https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume AAVE,Volume USDT,tradecount
1704844800000,2024-01-10,AAVEUSDT,96.41,110.07,96.0,107.08,296386.212,30431533.48836,137482
1704758400000,2024-01-09,AAVEUSDT,99.02,99.26,92.39,96.46,143617.623,13702682.93961,69638
1704585600000,2024-01-07,AAVEUSDT,99.43,100.54,93.66,94.94,65520.413,6404600.96334,36912
1704499200000,2024-01-06,AAVEUSDT,102.93,103.27,96.98,99.43,93242.439,9280958.80588,59868
1704412800000,2024-01-05,AAVEUSDT,103.81,108.59,99.0,102.94,167063.537,17283186.58024,89965
1704326400000,2024-01-04,AAVEUSDT,102.62,105.5,101.18,103.77,142988.985,14796102.13144,59748
1704240000000,2024-01-03,AAVEUSDT,110.29,113.08,92.39,102.66,337085.699,34973216.33897,167217
1704153600000,2024-01-02,AAVEUSDT,116.18,120.0,108.57,110.28,245841.15,28321943.24855,132136
1704067200000,2024-01-01,AAVEUSDT,108.68,116.65,107.7,116.17,144362.947,16144094.75038,93810
1703980800000,2023-12-31,AAVEUSDT,111.05,118.88,106.0,108.69,260625.03,29826132.41149,184424
1703894400000,2023-12-30,AAVEUSDT,112.43,117.5,110.81,111.02,206355.638,23460092.03417,151154
1703808000000,2023-12-29,AAVEUSDT,118.91,122.29,108.24,112.47,324473.627,36619748.51166,183710
1703721600000,2023-12-28,AAVEUSDT,112.01,129.88,111.98,118.88,692153.637,83284523.92888,507843
1703635200000,2023-12-27,AAVEUSDT,102.86,113.28,99.02,112.0,434108.16,46379967.67805,213275
1703548800000,2023-12-26,AAVEUSDT,102.77,109.74,98.1,102.9,472317.523,49140615.2959,215931
1703462400000,2023-12-25,AAVEUSDT,99.58,105.12,98.29,102.77,401955.241,40775581.67515,163781
1703376000000,2023-12-24,AAVEUSDT,99.42,103.77,97.59,99.61,324058.02,32769665.09127,135145
1703289600000,2023-12-23,AAVEUSDT,100.01,102.06,95.45,99.44,268726.38,26327053.35005,124001
1703203200000,2023-12-22,AAVEUSDT,101.73,102.61,98.25,100.02,243573.585,24358189.0239,115428
1703116800000,2023-12-21,AAVEUSDT,100.14,102.08,98.5,101.71,271895.168,27190725.31245,84045
1703030400000,2023-12-20,AAVEUSDT,101.33,105.76,99.26,100.11,177808.609,18167675.29295,78430
1702944000000,2023-12-19,AAVEUSDT,99.37,108.65,98.55,101.33,243307.962,25136089.01689,123439
1702857600000,2023-12-18,AAVEUSDT,100.09,100.95,93.15,99.37,194117.201,18846900.47624,93784
1702771200000,2023-12-17,AAVEUSDT,104.8,106.1,99.68,100.1,144918.302,14981439.57129,70226
1702684800000,2023-12-16,AAVEUSDT,108.2,109.3,103.57,104.77,221640.826,23603529.89356,107116
1702598400000,2023-12-15,AAVEUSDT,107.13,119.0,103.9,108.2,639830.045,71289838.16408,335185
1702512000000,2023-12-14,AAVEUSDT,94.8,107.64,92.19,107.12,261528.833,26159479.47692,127065
1702425600000,2023-12-13,AAVEUSDT,92.66,95.27,88.23,94.75,142803.713,13122555.86005,62965
1702339200000,2023-12-12,AAVEUSDT,91.6,93.82,90.44,92.68,131123.652,12076804.9067,58489
1702252800000,2023-12-11,AAVEUSDT,97.96,98.41,87.0,91.62,236472.374,21641509.02358,118090
1702166400000,2023-12-10,AAVEUSDT,98.68,100.08,95.5,97.98,110203.024,10807194.51616,54601
1702080000000,2023-12-09,AAVEUSDT,99.49,104.97,97.31,98.65,263323.305,26571822.55462,128990
1701993600000,2023-12-08,AAVEUSDT,98.66,100.84,95.8,99.49,215890.707,21231442.10673,110212
1701907200000,2023-12-07,AAVEUSDT,96.26,99.66,94.5,98.65,112303.921,10959833.12537,62510
1701820800000,2023-12-06,AAVEUSDT,98.73,100.49,95.23,96.3,128163.309,12513487.14647,69616
1701734400000,2023-12-05,AAVEUSDT,100.0,100.68,95.38,98.69,160354.524,15633579.25038,96764
1701648000000,2023-12-04,AAVEUSDT,102.71,104.91,97.69,100.0,225749.264,22762756.5003,127286
1701561600000,2023-12-03,AAVEUSDT,104.19,106.0,101.2,102.72,88971.327,9181973.35302,52700
