https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ADA,Volume USDT,tradecount
1704844800000,2024-01-10,ADAUSDT,0.5123,0.5895,0.4872,0.566,279571914.5,147678943.05708,354728
1704758400000,2024-01-09,ADAUSDT,0.5412,0.5436,0.4964,0.5124,168923575.1,87075585.39227,237769
1704585600000,2024-01-07,ADAUSDT,0.5227,0.53,0.4877,0.4945,111767718.9,57355040.12286,212997
1704499200000,2024-01-06,ADAUSDT,0.5413,0.5429,0.5068,0.5227,120959496.4,63178197.73018,173182
1704412800000,2024-01-05,ADAUSDT,0.57,0.5726,0.522,0.5414,152848545.9,82878327.58854,206227
1704326400000,2024-01-04,ADAUSDT,0.5568,0.5791,0.5491,0.5699,149952088.0,84628917.81523,189308
1704240000000,2024-01-03,ADAUSDT,0.6051,0.6188,0.5,0.5569,319806612.8,180080645.78333,438535
1704153600000,2024-01-02,ADAUSDT,0.6233,0.637,0.6015,0.605,160535672.8,99671678.54985,205626
1704067200000,2024-01-01,ADAUSDT,0.5939,0.624,0.5902,0.6232,91021386.4,55163198.2366,120871
1703980800000,2023-12-31,ADAUSDT,0.601,0.61,0.58,0.594,104191519.8,62557065.99101,129126
1703894400000,2023-12-30,ADAUSDT,0.6082,0.6133,0.5929,0.6011,96059388.4,58088553.25719,127117
1703808000000,2023-12-29,ADAUSDT,0.6158,0.6258,0.5908,0.6083,195162581.0,118972507.00499,257434
1703721600000,2023-12-28,ADAUSDT,0.6334,0.6769,0.61,0.6158,321217533.2,205948966.08632,501268
1703635200000,2023-12-27,ADAUSDT,0.6087,0.643,0.5839,0.6334,229068834.3,141756656.88542,313049
1703548800000,2023-12-26,ADAUSDT,0.624,0.6279,0.5601,0.6087,221963239.7,133916166.27744,318817
1703462400000,2023-12-25,ADAUSDT,0.5919,0.635,0.589,0.6242,163634887.8,100302708.50801,202702
1703376000000,2023-12-24,ADAUSDT,0.613,0.6286,0.585,0.5919,217308386.0,132896667.88659,275978
