https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ATOM,Volume USDT,tradecount
1704758400000,2024-01-09,ATOMUSDT,9.948,10.07,9.37,9.666,4760005.68,46368382.9277,202509
1704585600000,2024-01-07,ATOMUSDT,9.827,9.914,9.31,9.41,3089679.48,30062524.1141,127209
1704499200000,2024-01-06,ATOMUSDT,10.324,10.41,9.519,9.829,4294855.09,42514843.04126,171746
1704412800000,2024-01-05,ATOMUSDT,10.268,10.8,9.737,10.328,6714398.32,68829661.89186,257068
1704326400000,2024-01-04,ATOMUSDT,9.922,10.357,9.738,10.268,4863069.88,49160431.68907,163497
1704240000000,2024-01-03,ATOMUSDT,10.96,11.382,9.123,9.922,7009719.63,72771291.92329,285937
1704153600000,2024-01-02,ATOMUSDT,11.201,11.422,10.926,10.963,3090508.99,34670475.82661,119607
1704067200000,2024-01-01,ATOMUSDT,10.6,11.204,10.452,11.201,2227784.22,24250114.1565,88025
1703980800000,2023-12-31,ATOMUSDT,10.75,10.99,10.33,10.6,2683841.16,29028564.52692,104458
1703894400000,2023-12-30,ATOMUSDT,10.986,11.032,10.568,10.75,2755027.24,29762123.58299,106791
1703808000000,2023-12-29,ATOMUSDT,11.396,11.54,10.701,10.986,4119385.67,46128625.34664,181934
1703721600000,2023-12-28,ATOMUSDT,11.962,12.219,11.293,11.4,4411529.23,51633374.68219,213093
1703635200000,2023-12-27,ATOMUSDT,11.637,12.1,11.153,11.96,3901854.62,45628943.93753,205698
1703548800000,2023-12-26,ATOMUSDT,11.894,12.6,11.069,11.637,9068321.44,108858495.20717,446861
1703462400000,2023-12-25,ATOMUSDT,11.229,12.056,11.001,11.894,4906600.46,56949371.26096,230814
1703376000000,2023-12-24,ATOMUSDT,11.33,11.75,11.054,11.233,5377444.69,61763503.13079,232239
1703289600000,2023-12-23,ATOMUSDT,11.399,11.419,11.043,11.33,3271338.98,36681628.648,122257
1703203200000,2023-12-22,ATOMUSDT,11.401,11.75,10.968,11.399,5268763.21,59625141.5836,213100
1703116800000,2023-12-21,ATOMUSDT,10.662,11.702,10.485,11.402,6570770.65,71749812.52251,212042
1703030400000,2023-12-20,ATOMUSDT,10.421,10.9,10.234,10.663,4637987.25,49387530.1439,161380
1702944000000,2023-12-19,ATOMUSDT,10.902,11.029,10.286,10.421,3602473.22,38427063.95921,144042
1702857600000,2023-12-18,ATOMUSDT,11.104,11.153,10.2,10.902,4674443.36,49824029.86881,194691
1702771200000,2023-12-17,ATOMUSDT,12.045,12.08,11.065,11.104,4560084.23,52449665.98451,213787
1702684800000,2023-12-16,ATOMUSDT,10.883,12.1,10.691,12.05,4888833.6,56211571.18943,215126
1702598400000,2023-12-15,ATOMUSDT,11.535,11.548,10.827,10.884,4172905.39,46766263.42044,181428
1702512000000,2023-12-14,ATOMUSDT,11.66,11.932,11.013,11.534,6058054.56,69546191.92516,264895
1702425600000,2023-12-13,ATOMUSDT,11.742,11.927,10.737,11.657,9214603.53,103564629.22757,472222
1702339200000,2023-12-12,ATOMUSDT,9.861,12.412,9.823,11.744,13344301.03,151383422.92332,667124
1702252800000,2023-12-11,ATOMUSDT,10.691,10.705,9.45,9.86,5747794.74,57123517.12593,277463
1702166400000,2023-12-10,ATOMUSDT,10.469,10.7,10.103,10.694,2858327.15,29818787.6423,139226
1702080000000,2023-12-09,ATOMUSDT,10.41,11.358,10.38,10.468,6755392.31,73464260.50512,326344
1701993600000,2023-12-08,ATOMUSDT,9.901,10.685,9.828,10.406,4826866.69,49368447.27863,191027
1701907200000,2023-12-07,ATOMUSDT,9.745,10.032,9.547,9.902,3873663.22,38084523.64507,168152
1701820800000,2023-12-06,ATOMUSDT,9.891,10.29,9.7,9.745,6076391.93,60514179.65518,267028
1701734400000,2023-12-05,ATOMUSDT,9.777,9.933,9.482,9.891,3816600.51,37033299.14937,166977
1701648000000,2023-12-04,ATOMUSDT,9.541,9.876,9.205,9.777,5677618.72,54499527.08746,220389
1701561600000,2023-12-03,ATOMUSDT,9.635,9.656,9.35,9.539,1811334.41,17211397.77449,82888
