https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume AVAX,Volume USDT,tradecount
1704844800000,2024-01-10,AVAXUSDT,34.64,39.55,33.32,38.53,4360929.64,156681131.7459,271878
1704758400000,2024-01-09,AVAXUSDT,36.08,37.6,33.78,34.65,4305952.25,153866821.883,279585
1704585600000,2024-01-07,AVAXUSDT,34.62,35.78,33.08,33.64,2727132.92,94797296.6874,152259
1704499200000,2024-01-06,AVAXUSDT,36.46,36.51,33.42,34.61,2367153.87,82136611.3957,140623
1704412800000,2024-01-05,AVAXUSDT,38.72,38.91,35.0,36.46,3385914.09,123863570.2348,205391
1704326400000,2024-01-04,AVAXUSDT,36.79,39.45,36.07,38.72,3541865.71,134629036.8137,205791
1704240000000,2024-01-03,AVAXUSDT,40.61,41.43,33.06,36.8,6289630.67,235808452.7971,419264
1704153600000,2024-01-02,AVAXUSDT,41.95,43.44,40.31,40.61,3642001.26,152881602.4529,231180
1704067200000,2024-01-01,AVAXUSDT,38.57,42.0,38.0,41.94,2734126.31,109336068.2752,160645
1703980800000,2023-12-31,AVAXUSDT,39.33,40.55,37.51,38.55,2208181.77,87260271.4329,149718
1703894400000,2023-12-30,AVAXUSDT,40.18,40.36,38.15,39.33,2217519.52,87475649.3759,145795
1703808000000,2023-12-29,AVAXUSDT,39.8,42.15,38.5,40.18,5054515.59,205177566.4711,304590
1703721600000,2023-12-28,AVAXUSDT,42.4,43.39,39.23,39.8,5049991.19,206543476.7554,341277
1703635200000,2023-12-27,AVAXUSDT,44.41,44.95,41.87,42.39,4199478.73,181963479.0321,289382
1703548800000,2023-12-26,AVAXUSDT,48.18,48.35,40.53,44.41,4773394.73,215972199.4733,344947
1703462400000,2023-12-25,AVAXUSDT,47.68,48.9,45.94,48.18,4146186.27,197044393.3015,281206
1703376000000,2023-12-24,AVAXUSDT,48.04,49.96,46.32,47.68,6410094.86,306550236.1412,467138
1703289600000,2023-12-23,AVAXUSDT,45.35,48.27,43.34,48.05,4660235.64,211931808.8044,304844
1703203200000,2023-12-22,AVAXUSDT,45.96,48.88,43.66,45.35,6546935.03,301992614.4829,492508
1703116800000,2023-12-21,AVAXUSDT,43.46,47.38,43.06,45.97,7253794.87,328793781.9648,501069
1703030400000,2023-12-20,AVAXUSDT,39.73,44.49,39.08,43.46,6459700.84,274642781.0889,431865
1702944000000,2023-12-19,AVAXUSDT,41.15,42.17,38.73,39.74,4755734.07,192934937.9126,300526
1702857600000,2023-12-18,AVAXUSDT,40.62,41.44,36.5,41.16,6850358.5,268766460.2556,421847
1702771200000,2023-12-17,AVAXUSDT,42.23,44.06,40.28,40.62,4937788.07,208149662.1194,349588
1702684800000,2023-12-16,AVAXUSDT,39.72,45.33,38.5,42.22,8705680.65,371395389.5634,585061
1702598400000,2023-12-15,AVAXUSDT,39.29,42.27,38.52,39.71,8958206.04,361849206.9914,570649
1702512000000,2023-12-14,AVAXUSDT,38.98,40.34,36.51,39.3,7164273.35,277752335.2259,419683
1702425600000,2023-12-13,AVAXUSDT,37.49,41.47,34.02,38.99,11810098.4,447891593.752,677167
1702339200000,2023-12-12,AVAXUSDT,38.04,42.89,36.0,37.49,12429466.44,493046908.6693,789661
1702252800000,2023-12-11,AVAXUSDT,37.14,39.39,31.6,38.04,17625128.99,636025432.1222,1094438
1702166400000,2023-12-10,AVAXUSDT,31.91,37.99,31.52,37.14,9029970.15,311306219.8057,517411
1702080000000,2023-12-09,AVAXUSDT,30.44,34.26,30.44,31.91,10263975.2,332719137.4658,554857
1701993600000,2023-12-08,AVAXUSDT,26.28,30.8,26.03,30.44,8000503.43,225203648.1076,372186
1701907200000,2023-12-07,AVAXUSDT,26.2,27.9,25.71,26.28,7035602.62,187854395.8352,349877
1701820800000,2023-12-06,AVAXUSDT,24.54,27.68,24.45,26.2,10747936.78,281995542.9852,542675
1701734400000,2023-12-05,AVAXUSDT,22.67,24.83,21.81,24.54,6173878.71,143298771.3436,286752
1701648000000,2023-12-04,AVAXUSDT,21.94,23.2,20.56,22.68,5307454.35,117438240.4618,227104
1701561600000,2023-12-03,AVAXUSDT,22.24,22.74,21.59,21.94,2457069.2,54187429.4128,95393
1701475200000,2023-12-02,AVAXUSDT,21.86,22.45,21.75,22.24,2115296.06,46717861.2267,76423
1701388800000,2023-12-01,AVAXUSDT,21.4,22.64,21.1,21.87,4149300.78,91827588.2174,158212
1701302400000,2023-11-30,AVAXUSDT,21.12,21.5,20.81,21.39,2759264.75,58399634.0371,103529
1701216000000,2023-11-29,AVAXUSDT,20.69,21.56,20.55,21.12,3710793.82,78187215.8422,128472
1701129600000,2023-11-28,AVAXUSDT,20.36,20.86,19.47,20.68,3188388.54,64763035.142,114657
1701043200000,2023-11-27,AVAXUSDT,21.07,21.3,19.82,20.35,2994013.72,61234389.4428,120145
1700956800000,2023-11-26,AVAXUSDT,21.36,21.52,20.1,21.06,2825385.24,59237018.8243,119899
1700870400000,2023-11-25,AVAXUSDT,20.89,21.48,20.63,21.36,2069224.51,43652173.5075,84669
1700784000000,2023-11-24,AVAXUSDT,20.64,21.88,20.45,20.89,3692026.02,77975012.7099,155030
1700697600000,2023-11-23,AVAXUSDT,20.79,21.49,20.42,20.64,3128091.29,65344795.4977,128043
1700611200000,2023-11-22,AVAXUSDT,19.02,21.25,18.96,20.78,6214364.77,125310912.9706,223618
1700524800000,2023-11-21,AVAXUSDT,20.86,22.29,18.9,19.02,11207307.49,233043114.4764,495393
1700438400000,2023-11-20,AVAXUSDT,22.84,23.25,20.71,20.85,5827146.19,128538901.9727,270078
1700352000000,2023-11-19,AVAXUSDT,22.0,23.04,20.75,22.85,5314132.45,115529303.9582,244319
1700265600000,2023-11-18,AVAXUSDT,21.94,22.69,20.17,21.99,6017391.55,129832291.4809,296471
1700179200000,2023-11-17,AVAXUSDT,21.71,24.69,20.0,21.94,15838526.82,353409409.6863,745225
1700092800000,2023-11-16,AVAXUSDT,20.69,24.07,20.23,21.71,17186161.77,386568923.6801,884870
1700006400000,2023-11-15,AVAXUSDT,17.05,20.95,17.01,20.7,14801379.2,287491439.8257,589880
1699920000000,2023-11-14,AVAXUSDT,16.12,18.1,15.56,17.05,10623733.95,181131673.6136,385816
1699833600000,2023-11-13,AVAXUSDT,18.98,19.75,16.1,16.12,9459851.54,167177315.2797,350660
1699747200000,2023-11-12,AVAXUSDT,16.8,19.73,15.87,18.98,12880795.74,233124323.4495,533475
1699660800000,2023-11-11,AVAXUSDT,14.75,17.0,13.99,16.79,10333477.54,159070608.3888,341127
1699574400000,2023-11-10,AVAXUSDT,12.97,14.85,12.88,14.74,7715255.48,106183310.0837,228393
1699488000000,2023-11-09,AVAXUSDT,12.98,13.96,11.9,12.96,6349228.52,83842388.0352,188120
1699401600000,2023-11-08,AVAXUSDT,12.8,13.15,12.66,12.99,2037125.6,26247567.7321,60624
