https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume BNB,Volume USDT,tradecount
1704758400000,2024-01-09,BNBUSDT,303.6,306.8,295.7,301.1,1401490.155,422526207.0798,423666
1704585600000,2024-01-07,BNBUSDT,307.6,310.0,300.0,302.4,498367.089,152361829.1541,206206
1704499200000,2024-01-06,BNBUSDT,317.6,317.6,300.2,307.5,909358.183,278569949.9934,329261
1704412800000,2024-01-05,BNBUSDT,323.6,327.3,308.6,317.5,1157056.276,368222963.7918,388664
1704326400000,2024-01-04,BNBUSDT,315.9,324.3,310.9,323.7,1133774.957,361837483.3215,418424
1704153600000,2024-01-02,BNBUSDT,313.5,321.3,305.8,312.2,937764.737,295174406.4809,344903
1704067200000,2024-01-01,BNBUSDT,311.9,316.0,307.0,313.5,619455.158,192732706.8128,261880
1703980800000,2023-12-31,BNBUSDT,317.0,325.5,307.4,311.8,667097.557,212735142.2708,291013
1703894400000,2023-12-30,BNBUSDT,313.7,320.8,312.2,317.1,561853.413,177942240.5332,255800
1703808000000,2023-12-29,BNBUSDT,322.6,325.6,307.0,313.7,1407022.74,444941733.1464,501778
1703721600000,2023-12-28,BNBUSDT,324.0,338.3,320.0,322.6,2249136.219,737870670.9829,742279
1703635200000,2023-12-27,BNBUSDT,297.7,324.4,285.1,324.1,2126454.61,645877189.4539,724654
1703548800000,2023-12-26,BNBUSDT,266.8,303.2,264.0,297.7,2356245.345,677051118.3951,891624
1703462400000,2023-12-25,BNBUSDT,264.4,268.2,261.5,266.9,469743.423,124678355.3422,255423
1703376000000,2023-12-24,BNBUSDT,271.0,272.9,261.9,264.5,572645.135,153772670.7267,285531
1703289600000,2023-12-23,BNBUSDT,271.1,272.0,265.6,271.0,408213.412,109797737.1071,207044
1703203200000,2023-12-22,BNBUSDT,272.1,276.5,264.9,271.1,967819.921,261603644.0307,362492
1703116800000,2023-12-21,BNBUSDT,260.4,274.9,256.2,272.1,1286767.653,344882938.8172,448177
1703030400000,2023-12-20,BNBUSDT,252.8,261.9,250.1,260.3,1116951.002,286414435.3106,354980
1702944000000,2023-12-19,BNBUSDT,241.7,254.8,241.3,252.9,1569167.394,392788601.6509,489304
1702857600000,2023-12-18,BNBUSDT,238.9,241.7,232.0,241.7,876189.244,207558062.952,305327
1702771200000,2023-12-17,BNBUSDT,244.4,244.5,238.8,238.8,464957.446,112451147.5021,209731
1702684800000,2023-12-16,BNBUSDT,244.9,248.4,242.7,244.4,444080.33,109276324.5659,193517
1702598400000,2023-12-15,BNBUSDT,253.2,253.4,242.6,244.9,655654.892,162781619.0281,257518
1702512000000,2023-12-14,BNBUSDT,252.1,254.0,247.7,253.3,818946.787,205663878.7038,272248
1702425600000,2023-12-13,BNBUSDT,254.6,255.9,244.1,252.0,1149182.339,287346449.3793,366113
1702339200000,2023-12-12,BNBUSDT,246.4,257.3,245.5,254.6,1877670.629,474066909.6198,551262
1702252800000,2023-12-11,BNBUSDT,239.8,248.2,228.0,246.4,2010717.772,481507074.9227,580215
1702166400000,2023-12-10,BNBUSDT,237.8,241.4,236.8,239.8,433591.534,103874632.9652,175456
1702080000000,2023-12-09,BNBUSDT,238.8,245.5,236.3,237.7,838098.223,202267145.4988,294258
1701993600000,2023-12-08,BNBUSDT,232.6,240.0,232.2,238.9,764638.52,179932210.9931,257312
1701907200000,2023-12-07,BNBUSDT,229.5,234.8,228.3,232.6,793571.247,183986311.039,256861
1701820800000,2023-12-06,BNBUSDT,231.3,234.8,228.6,229.4,858794.132,198533925.8919,304002
1701734400000,2023-12-05,BNBUSDT,233.5,234.9,227.9,231.2,861796.38,199321079.6331,296404
1701648000000,2023-12-04,BNBUSDT,228.1,237.4,224.8,233.5,1475825.971,340713237.4163,398485
1701561600000,2023-12-03,BNBUSDT,229.1,231.9,225.9,228.1,594689.614,135571793.4611,192981
1701475200000,2023-12-02,BNBUSDT,228.5,230.1,224.8,229.0,456196.933,104181500.1925,157045
1701388800000,2023-12-01,BNBUSDT,227.6,230.0,227.0,228.5,425879.275,97377363.7116,132047
1701302400000,2023-11-30,BNBUSDT,227.3,229.2,225.9,227.6,360874.419,82134829.4554,133792
1701216000000,2023-11-29,BNBUSDT,229.6,231.2,226.1,227.3,416529.001,95227304.2401,143396
1701129600000,2023-11-28,BNBUSDT,227.3,231.7,224.3,229.6,547422.862,124990569.2474,180702
1701043200000,2023-11-27,BNBUSDT,231.8,232.9,222.5,227.2,831147.034,188795151.7685,240758
1700956800000,2023-11-26,BNBUSDT,234.5,234.5,227.9,231.7,437624.722,101501869.2893,164960
1700870400000,2023-11-25,BNBUSDT,232.8,235.7,232.1,234.4,313338.264,73311189.6661,131778
1700784000000,2023-11-24,BNBUSDT,233.8,236.7,231.6,232.7,616904.315,144657214.7094,194380
1700697600000,2023-11-23,BNBUSDT,236.2,239.2,230.2,233.8,718114.377,168197253.3751,212606
1700611200000,2023-11-22,BNBUSDT,225.5,238.5,224.6,236.1,1791363.245,417655559.5203,450957
1700524800000,2023-11-21,BNBUSDT,253.1,271.9,224.0,225.5,4050392.778,1011993817.7675,1330065
1700438400000,2023-11-20,BNBUSDT,246.5,268.4,238.6,253.1,1523794.58,385938132.7184,541413
1700352000000,2023-11-19,BNBUSDT,244.8,246.9,241.8,246.4,379101.104,92591222.5672,140883
1700265600000,2023-11-18,BNBUSDT,244.9,245.2,238.5,244.8,485737.217,118012503.5516,161972
1700179200000,2023-11-17,BNBUSDT,242.7,245.9,238.3,244.9,757117.698,184229112.2533,252405
1700092800000,2023-11-16,BNBUSDT,253.7,256.0,240.0,242.7,1090149.24,270933175.081,330942
1700006400000,2023-11-15,BNBUSDT,242.3,254.5,242.1,253.7,911316.433,227361551.2316,298377
1699920000000,2023-11-14,BNBUSDT,241.1,249.4,233.7,242.3,992864.124,241108612.3373,350365
1699833600000,2023-11-13,BNBUSDT,247.5,250.2,240.3,241.1,953917.532,234087272.3777,315939
1699747200000,2023-11-12,BNBUSDT,251.6,252.0,244.5,247.4,637126.209,158268647.2047,240726
1699660800000,2023-11-11,BNBUSDT,251.1,255.2,246.0,251.5,738756.911,185242581.1229,289654
1699574400000,2023-11-10,BNBUSDT,251.7,258.0,248.1,251.0,814936.218,205904335.778,317560
1699488000000,2023-11-09,BNBUSDT,246.7,255.9,240.0,251.6,1320420.474,328534543.7581,485471
1699401600000,2023-11-08,BNBUSDT,246.2,248.3,244.0,246.7,500403.192,123208657.9482,196425
1699315200000,2023-11-07,BNBUSDT,255.1,255.6,242.1,246.2,865045.808,214554466.2946,299474
1699228800000,2023-11-06,BNBUSDT,244.0,256.1,241.5,255.1,844924.324,210620058.5931,345075
1699142400000,2023-11-05,BNBUSDT,237.2,245.5,236.1,244.0,613299.473,148461728.7971,317197
1699056000000,2023-11-04,BNBUSDT,230.3,238.7,229.3,237.1,391480.947,91700260.481,187294
1698969600000,2023-11-03,BNBUSDT,231.9,232.4,225.6,230.2,501371.786,114768431.2497,235911
1698883200000,2023-11-02,BNBUSDT,228.0,233.7,227.5,231.9,829216.687,191104853.8685,265823
