https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume DOGE,Volume USDT,tradecount
1704844800000,2024-01-10,DOGEUSDT,0.07922,0.08501,0.07579,0.08307,1240032433.0,98980901.8188,221942
1704758400000,2024-01-09,DOGEUSDT,0.0813,0.08399,0.07642,0.07923,2205553399.0,175210044.35441,343943
1704585600000,2024-01-07,DOGEUSDT,0.08058,0.08148,0.07701,0.07824,927733107.0,74015800.99796,222250
1704499200000,2024-01-06,DOGEUSDT,0.08267,0.08268,0.07833,0.08058,979471694.0,78819192.75806,169538
1704412800000,2024-01-05,DOGEUSDT,0.08401,0.08483,0.08046,0.08267,1109914047.0,91546774.14758,163743
1704326400000,2024-01-04,DOGEUSDT,0.082,0.08467,0.08093,0.08401,1144911613.0,94958162.03245,153450
1704240000000,2024-01-03,DOGEUSDT,0.09109,0.09213,0.075,0.08201,1959750401.0,164033163.66787,331170
1704153600000,2024-01-02,DOGEUSDT,0.092,0.09438,0.09035,0.0911,881934936.0,81620263.86776,144162
1704067200000,2024-01-01,DOGEUSDT,0.08956,0.09207,0.08847,0.09199,506560988.0,45856152.14607,81285
1703980800000,2023-12-31,DOGEUSDT,0.09,0.09089,0.08808,0.08955,385427628.0,34692853.38567,69321
1703894400000,2023-12-30,DOGEUSDT,0.09096,0.0914,0.0892,0.09,348435520.0,31486570.85449,69213
1703808000000,2023-12-29,DOGEUSDT,0.09174,0.093,0.08843,0.09097,676368690.0,61781686.94874,141745
1703721600000,2023-12-28,DOGEUSDT,0.09365,0.09493,0.09107,0.09174,896005552.0,83376381.12298,158395
1703635200000,2023-12-27,DOGEUSDT,0.09135,0.09386,0.08956,0.09365,697904313.0,64377495.45571,137851
1703548800000,2023-12-26,DOGEUSDT,0.09436,0.09445,0.087,0.09135,1045263091.0,95772725.87688,190662
1703462400000,2023-12-25,DOGEUSDT,0.09172,0.09544,0.09124,0.09435,794322702.0,74189206.09987,136914
1703376000000,2023-12-24,DOGEUSDT,0.09346,0.09492,0.09026,0.09171,1078125456.0,100751515.50742,187946
1703289600000,2023-12-23,DOGEUSDT,0.09498,0.095,0.09204,0.09346,649710275.0,60513659.70097,107984
1703203200000,2023-12-22,DOGEUSDT,0.095,0.09559,0.09195,0.09499,1258416466.0,117980916.01579,199405
1703116800000,2023-12-21,DOGEUSDT,0.09151,0.098,0.09063,0.09499,1726958198.0,162540116.75855,277356
1703030400000,2023-12-20,DOGEUSDT,0.09023,0.09334,0.08942,0.0915,1223678648.0,111626346.00808,180521
1702944000000,2023-12-19,DOGEUSDT,0.09212,0.0935,0.08926,0.09023,884237508.0,81106107.33288,143335
1702857600000,2023-12-18,DOGEUSDT,0.09295,0.09378,0.08638,0.09213,1479114802.0,133063803.10646,225263
1702771200000,2023-12-17,DOGEUSDT,0.09713,0.09784,0.09238,0.09295,986491713.0,93584238.22971,162093
1702684800000,2023-12-16,DOGEUSDT,0.09302,0.09728,0.09152,0.09713,1016225212.0,95995125.3446,153789
1702598400000,2023-12-15,DOGEUSDT,0.0983,0.09879,0.09232,0.09303,1313568767.0,125558212.82158,183455
1702512000000,2023-12-14,DOGEUSDT,0.09643,0.09878,0.09327,0.0983,1405821668.0,135886229.87469,213794
1702425600000,2023-12-13,DOGEUSDT,0.09381,0.09759,0.0898,0.09642,1654708893.0,154070288.91372,261177
1702339200000,2023-12-12,DOGEUSDT,0.09412,0.09802,0.09122,0.09381,2003591978.0,189982703.73185,295622
1702252800000,2023-12-11,DOGEUSDT,0.10186,0.1073,0.09106,0.09413,3926452012.0,383703034.40585,670104
1702166400000,2023-12-10,DOGEUSDT,0.09846,0.10275,0.09665,0.10186,1337401762.0,133811827.50554,224632
1702080000000,2023-12-09,DOGEUSDT,0.10165,0.1051,0.0975,0.09846,2400778713.0,244004075.71668,372697
1701993600000,2023-12-08,DOGEUSDT,0.09594,0.10385,0.09556,0.10164,2247014999.0,221624227.34803,329281
1701907200000,2023-12-07,DOGEUSDT,0.09493,0.09828,0.09269,0.09593,2842604920.0,271534378.26471,424890
1701820800000,2023-12-06,DOGEUSDT,0.09436,0.10645,0.09338,0.09493,5278501455.0,529155108.63456,948176
1701734400000,2023-12-05,DOGEUSDT,0.09188,0.0958,0.08746,0.09435,2544186116.0,232092568.92358,380284
1701648000000,2023-12-04,DOGEUSDT,0.08571,0.0926,0.085,0.09188,2933769955.0,260449580.87759,433480
1701561600000,2023-12-03,DOGEUSDT,0.08617,0.08738,0.0836,0.08571,1233031851.0,105070170.07289,172238
1701475200000,2023-12-02,DOGEUSDT,0.08384,0.08663,0.08327,0.08617,1047224679.0,88820270.26934,149952
1701388800000,2023-12-01,DOGEUSDT,0.08344,0.0851,0.0823,0.08385,1075587047.0,90073150.12766,153166
1701302400000,2023-11-30,DOGEUSDT,0.08045,0.08443,0.08039,0.08343,1474563719.0,121471815.67515,190111
1701216000000,2023-11-29,DOGEUSDT,0.08083,0.08317,0.07959,0.08047,1518465698.0,123175366.24291,195922
1701129600000,2023-11-28,DOGEUSDT,0.07883,0.08121,0.07671,0.08083,1710141271.0,135496791.44933,206525
1701043200000,2023-11-27,DOGEUSDT,0.07867,0.0817,0.0768,0.07884,2139460195.0,169353426.66961,261805
1700956800000,2023-11-26,DOGEUSDT,0.07894,0.07899,0.0755,0.07868,785924906.0,60952055.85693,103691
1700870400000,2023-11-25,DOGEUSDT,0.07818,0.07916,0.07753,0.07894,651722335.0,51176418.12649,81889
1700784000000,2023-11-24,DOGEUSDT,0.07621,0.07866,0.07605,0.07818,883650952.0,68478819.9583,107945
