https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume DOT,Volume USDT,tradecount
1704844800000,2024-01-10,DOTUSDT,7.128,8.091,6.8,7.991,9967541.16,73376438.34569,249944
1704758400000,2024-01-09,DOTUSDT,7.483,7.527,6.908,7.129,6989170.94,50450272.49773,180550
1704585600000,2024-01-07,DOTUSDT,7.132,7.327,6.817,6.899,4713975.33,33656989.53706,101384
1704499200000,2024-01-06,DOTUSDT,7.448,7.448,6.943,7.133,4644445.49,33334458.0295,105082
1704412800000,2024-01-05,DOTUSDT,7.879,7.954,7.178,7.45,7631254.61,57464488.34297,174803
1704326400000,2024-01-04,DOTUSDT,7.626,7.999,7.469,7.879,7500909.27,58093267.24788,147572
1704240000000,2024-01-03,DOTUSDT,8.408,8.575,6.5,7.626,14473959.94,111257397.3596,391891
1704153600000,2024-01-02,DOTUSDT,8.594,8.806,8.317,8.411,6792266.31,58377153.17058,178496
1704067200000,2024-01-01,DOTUSDT,8.203,8.63,8.061,8.595,5268802.23,43998462.10093,122448
1703980800000,2023-12-31,DOTUSDT,8.346,8.648,8.025,8.202,6738987.99,56770536.06377,165484
1703894400000,2023-12-30,DOTUSDT,8.291,8.489,8.095,8.346,4747990.66,39505354.69642,116065
1703808000000,2023-12-29,DOTUSDT,8.427,8.686,8.049,8.291,11281188.12,94656040.37373,259701
1703721600000,2023-12-28,DOTUSDT,8.695,8.912,8.263,8.426,9422637.54,80436056.56324,244659
1703635200000,2023-12-27,DOTUSDT,8.819,9.063,8.402,8.694,9947554.08,87404188.54861,254059
1703548800000,2023-12-26,DOTUSDT,9.192,9.593,8.353,8.819,14922261.11,134627578.77037,384851
1703462400000,2023-12-25,DOTUSDT,8.612,9.4,8.499,9.191,19304116.18,175485853.42602,454471
1703376000000,2023-12-24,DOTUSDT,8.326,9.2,8.315,8.611,26401737.92,232219586.88424,579066
1703289600000,2023-12-23,DOTUSDT,7.954,8.446,7.578,8.326,12748793.29,101419413.82964,249079
1703203200000,2023-12-22,DOTUSDT,8.422,8.58,7.841,7.954,16078478.66,130889349.79462,358130
1703116800000,2023-12-21,DOTUSDT,6.952,8.435,6.915,8.42,27166695.07,210298551.9881,546551
1703030400000,2023-12-20,DOTUSDT,6.706,7.136,6.618,6.951,8621839.76,60025500.50549,137506
1702944000000,2023-12-19,DOTUSDT,6.884,7.049,6.612,6.706,5474784.2,37461004.36364,97081
