https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume FIL,Volume USDT,tradecount
1704758400000,2024-01-09,FILUSDT,5.857,5.899,5.216,5.491,12187825.7,67361481.66787,208984
1704585600000,2024-01-07,FILUSDT,5.892,6.147,5.501,5.623,8813249.85,51723399.28948,151951
1704499200000,2024-01-06,FILUSDT,6.152,6.298,5.722,5.894,10591101.57,63262223.86904,197510
1704412800000,2024-01-05,FILUSDT,6.494,6.55,5.76,6.153,12942395.83,78982391.14398,245844
1704326400000,2024-01-04,FILUSDT,6.288,6.649,6.155,6.495,13938335.06,89517296.66295,253543
1704240000000,2024-01-03,FILUSDT,7.174,7.74,5.666,6.288,33656144.32,227545570.38182,699766
1704153600000,2024-01-02,FILUSDT,7.57,7.884,7.079,7.174,25450385.47,191112756.85922,538639
1704067200000,2024-01-01,FILUSDT,6.921,8.12,6.729,7.569,39540183.47,292839056.61143,906039
1703980800000,2023-12-31,FILUSDT,6.006,7.454,5.927,6.92,35965684.19,241216918.35509,828236
1703894400000,2023-12-30,FILUSDT,5.811,6.099,5.726,6.005,7778926.69,45853618.7578,150244
1703808000000,2023-12-29,FILUSDT,6.251,6.308,5.664,5.81,16192033.11,97198176.24777,310721
1703721600000,2023-12-28,FILUSDT,5.928,6.299,5.805,6.251,17355258.7,104515246.55233,384267
1703635200000,2023-12-27,FILUSDT,5.758,6.09,5.5,5.929,14290884.72,83170150.03101,268921
1703548800000,2023-12-26,FILUSDT,5.79,5.819,5.26,5.757,13321213.31,74860834.54564,257787
1703462400000,2023-12-25,FILUSDT,5.637,5.892,5.572,5.79,12262777.26,70271496.34298,239190
1703376000000,2023-12-24,FILUSDT,5.641,5.768,5.413,5.637,11388470.92,64086028.21605,233221
1703289600000,2023-12-23,FILUSDT,5.53,5.644,5.275,5.64,6823121.67,37083071.97529,128135
1703203200000,2023-12-22,FILUSDT,5.499,5.795,5.42,5.53,12595963.18,70220093.28043,237230
1703116800000,2023-12-21,FILUSDT,5.328,5.543,5.265,5.499,8519588.03,46008819.19281,161723
1703030400000,2023-12-20,FILUSDT,5.108,5.393,5.068,5.33,8148450.0,42798294.18691,147561
1702944000000,2023-12-19,FILUSDT,5.305,5.451,5.037,5.108,9390603.74,49405835.42123,180041
1702857600000,2023-12-18,FILUSDT,5.279,5.406,4.863,5.305,16879492.59,87058822.94564,292926
1702771200000,2023-12-17,FILUSDT,5.696,5.792,5.242,5.28,25744005.62,143911036.98739,534161
1702684800000,2023-12-16,FILUSDT,4.806,6.19,4.693,5.696,38862296.48,214185803.08484,760677
1702598400000,2023-12-15,FILUSDT,4.86,4.986,4.67,4.806,10234595.04,49397103.24611,170574
1702512000000,2023-12-14,FILUSDT,4.723,4.892,4.56,4.86,7557201.58,35994706.99914,125307
