https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume FLOW,Volume USDT,tradecount
1704844800000,2024-01-10,FLOWUSDT,0.765,0.838,0.726,0.819,13122608.79,10111977.72402,47976
1704758400000,2024-01-09,FLOWUSDT,0.822,0.823,0.739,0.766,14156366.3,10952047.50239,45290
1704672000000,2024-01-08,FLOWUSDT,0.764,0.829,0.699,0.821,16115553.04,12179610.94278,46648
1704585600000,2024-01-07,FLOWUSDT,0.82,0.829,0.744,0.763,10246740.87,8112381.68027,30323
1704499200000,2024-01-06,FLOWUSDT,0.81,0.831,0.747,0.82,11575474.96,9203774.95658,34440
1704412800000,2024-01-05,FLOWUSDT,0.853,0.855,0.776,0.81,13363791.92,10822016.69943,38880
1704326400000,2024-01-04,FLOWUSDT,0.826,0.87,0.8,0.852,14500383.81,12212363.19408,45293
1704240000000,2024-01-03,FLOWUSDT,0.915,0.952,0.677,0.827,25888743.0,21725054.50148,84024
1704153600000,2024-01-02,FLOWUSDT,0.954,0.986,0.909,0.915,16840592.49,16021269.07761,40440
1704067200000,2024-01-01,FLOWUSDT,0.911,0.964,0.891,0.954,11718327.9,10873355.55128,30665
1703980800000,2023-12-31,FLOWUSDT,0.887,0.943,0.885,0.911,11998220.02,10948284.36069,32803
1703894400000,2023-12-30,FLOWUSDT,0.905,0.907,0.868,0.887,7073444.87,6298284.21629,21325
1703808000000,2023-12-29,FLOWUSDT,0.92,0.944,0.873,0.904,14654119.02,13370823.28046,39043
1703721600000,2023-12-28,FLOWUSDT,0.977,1.013,0.903,0.92,16769921.18,15863231.35814,56850
1703635200000,2023-12-27,FLOWUSDT,0.954,0.996,0.902,0.978,17280536.74,16580172.31783,49597
1703548800000,2023-12-26,FLOWUSDT,0.995,1.034,0.888,0.954,23989316.23,23083848.89036,64739
1703462400000,2023-12-25,FLOWUSDT,0.933,1.034,0.933,0.995,26636750.94,26275834.74765,70248
1703376000000,2023-12-24,FLOWUSDT,0.911,0.965,0.892,0.932,20474640.44,19084570.6003,51775
1703289600000,2023-12-23,FLOWUSDT,0.925,0.926,0.887,0.911,11465465.32,10322406.70943,26716
1703203200000,2023-12-22,FLOWUSDT,0.916,0.974,0.878,0.925,22719345.72,20866138.97072,54155
1703116800000,2023-12-21,FLOWUSDT,0.842,0.946,0.83,0.917,37149013.57,33372666.22216,80988
1703030400000,2023-12-20,FLOWUSDT,0.772,0.86,0.76,0.841,17533617.36,14463990.35923,41283
1702944000000,2023-12-19,FLOWUSDT,0.778,0.811,0.757,0.773,11152249.93,8758219.30721,28135
1702857600000,2023-12-18,FLOWUSDT,0.779,0.802,0.715,0.777,13610375.77,10257115.70018,33101
1702771200000,2023-12-17,FLOWUSDT,0.795,0.798,0.761,0.779,9260590.97,7222266.86464,24676
1702684800000,2023-12-16,FLOWUSDT,0.751,0.83,0.738,0.795,10156121.21,7971797.01741,25704
1702598400000,2023-12-15,FLOWUSDT,0.814,0.817,0.748,0.751,7323530.17,5728145.21202,18909
1702512000000,2023-12-14,FLOWUSDT,0.788,0.817,0.755,0.814,8542911.76,6726274.83497,25038
1702425600000,2023-12-13,FLOWUSDT,0.779,0.797,0.722,0.787,12208274.5,9189582.55452,30496
1702339200000,2023-12-12,FLOWUSDT,0.771,0.786,0.755,0.779,13441713.73,10384060.8101,26387
1702252800000,2023-12-11,FLOWUSDT,0.837,0.838,0.711,0.77,21326001.27,16430551.75709,46302
1702166400000,2023-12-10,FLOWUSDT,0.852,0.88,0.817,0.838,11386165.3,9641113.99372,25124
