https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume GALA,Volume USDT,tradecount
1704844800000,2024-01-10,GALAUSDT,0.02467,0.02806,0.02411,0.02735,1155181661.0,29458812.87308,106765
1704758400000,2024-01-09,GALAUSDT,0.02648,0.02664,0.02366,0.02467,971230787.0,24288324.02329,96624
1704585600000,2024-01-07,GALAUSDT,0.02622,0.02744,0.02438,0.02468,904758026.0,23698915.63419,70706
1704499200000,2024-01-06,GALAUSDT,0.02668,0.02673,0.02435,0.02622,763109614.0,19638659.79261,63717
1704412800000,2024-01-05,GALAUSDT,0.02802,0.02837,0.02515,0.02669,988769125.0,26286524.49104,88242
1704326400000,2024-01-04,GALAUSDT,0.02685,0.02836,0.02636,0.02801,885985256.0,24498960.16363,74377
1704240000000,2024-01-03,GALAUSDT,0.03095,0.03165,0.02349,0.02685,2058015492.0,57211100.94264,193545
1704153600000,2024-01-02,GALAUSDT,0.0322,0.03285,0.03051,0.03095,867998407.0,27526720.13894,78896
1704067200000,2024-01-01,GALAUSDT,0.03035,0.03223,0.03005,0.03219,577098911.0,17904694.89721,50784
1703980800000,2023-12-31,GALAUSDT,0.03065,0.03149,0.02947,0.03035,627193478.0,19398726.236,55606
1703894400000,2023-12-30,GALAUSDT,0.03081,0.03119,0.02983,0.03065,574586863.0,17605633.72518,48943
1703808000000,2023-12-29,GALAUSDT,0.03131,0.03235,0.02981,0.03082,1052116998.0,32894950.44523,97795
1703721600000,2023-12-28,GALAUSDT,0.03343,0.03425,0.0306,0.0313,1312540621.0,42185160.50612,129028
1703635200000,2023-12-27,GALAUSDT,0.03312,0.0343,0.03194,0.03343,1049816201.0,34993528.72535,97721
1703548800000,2023-12-26,GALAUSDT,0.0357,0.0364,0.0305,0.03312,2100858920.0,70934780.64775,210071
1703462400000,2023-12-25,GALAUSDT,0.03096,0.03672,0.0302,0.0357,2820353536.0,94990036.74473,245441
1703376000000,2023-12-24,GALAUSDT,0.03155,0.03226,0.03012,0.03095,1193299666.0,37227430.84533,108632
1703289600000,2023-12-23,GALAUSDT,0.03221,0.03239,0.03067,0.03154,601238382.0,18817335.00121,60627
1703203200000,2023-12-22,GALAUSDT,0.03144,0.03281,0.03104,0.0322,1191051508.0,37953711.27859,108523
1703116800000,2023-12-21,GALAUSDT,0.03047,0.03164,0.03008,0.03143,1307123789.0,40396240.05319,93431
1703030400000,2023-12-20,GALAUSDT,0.02853,0.03134,0.02812,0.03048,1237811948.0,37107171.15104,88845
1702944000000,2023-12-19,GALAUSDT,0.02926,0.0298,0.02811,0.02853,844113428.0,24519162.03815,60649
1702857600000,2023-12-18,GALAUSDT,0.02971,0.02997,0.02697,0.02926,1088507082.0,30953111.84005,82675
1702771200000,2023-12-17,GALAUSDT,0.03056,0.03116,0.0295,0.02971,527008977.0,16009822.82187,52545
1702684800000,2023-12-16,GALAUSDT,0.02959,0.03148,0.02921,0.03055,773164137.0,23715623.94865,59658
1702598400000,2023-12-15,GALAUSDT,0.03208,0.03212,0.02951,0.02958,836729032.0,25784212.75881,69037
1702512000000,2023-12-14,GALAUSDT,0.03155,0.03261,0.0303,0.03207,1125470916.0,35838170.25523,89293
1702425600000,2023-12-13,GALAUSDT,0.03074,0.03199,0.02873,0.03154,1138247117.0,34490580.80588,92068
1702339200000,2023-12-12,GALAUSDT,0.03067,0.03238,0.0298,0.03074,1370746565.0,42530431.62807,111228
1702252800000,2023-12-11,GALAUSDT,0.03455,0.03463,0.02857,0.03068,1856200841.0,58003364.09879,175337
1702166400000,2023-12-10,GALAUSDT,0.03231,0.03465,0.03158,0.03455,1239851647.0,40893877.05121,105831
1702080000000,2023-12-09,GALAUSDT,0.03296,0.03509,0.0318,0.03231,2049000596.0,68835947.427,187872
1701993600000,2023-12-08,GALAUSDT,0.03151,0.03357,0.03055,0.03297,1827269562.0,58385959.17745,155988
1701907200000,2023-12-07,GALAUSDT,0.02887,0.03244,0.02842,0.03151,2864183417.0,87404511.72159,206992
1701820800000,2023-12-06,GALAUSDT,0.03031,0.03077,0.02831,0.02886,2060902970.0,60818591.16693,150529
1701734400000,2023-12-05,GALAUSDT,0.02935,0.03199,0.02907,0.03031,3910554231.0,118551307.7744,285231
1701648000000,2023-12-04,GALAUSDT,0.02666,0.02959,0.02608,0.02936,2732786042.0,75459136.46733,204021
1701561600000,2023-12-03,GALAUSDT,0.0265,0.02717,0.02611,0.02666,1042349880.0,27817792.17092,72106
1701475200000,2023-12-02,GALAUSDT,0.02605,0.02684,0.02574,0.02649,803180497.0,21123379.47702,53355
1701388800000,2023-12-01,GALAUSDT,0.02518,0.02634,0.025,0.02604,1104548307.0,28496222.32355,61477
1701302400000,2023-11-30,GALAUSDT,0.02509,0.02543,0.02456,0.02519,968153663.0,24271092.7326,64889
1701216000000,2023-11-29,GALAUSDT,0.02628,0.02673,0.02485,0.02509,1442448989.0,37068994.51597,93791
1701129600000,2023-11-28,GALAUSDT,0.02733,0.02746,0.02511,0.02629,2403607937.0,62534627.88944,149334
1701043200000,2023-11-27,GALAUSDT,0.02722,0.02794,0.02601,0.02733,3642995040.0,98090434.49139,229390
1700956800000,2023-11-26,GALAUSDT,0.02636,0.02755,0.02525,0.02721,2523286882.0,66887137.44087,153949
1700870400000,2023-11-25,GALAUSDT,0.02447,0.02705,0.02423,0.02636,2993701896.0,78382307.83605,172111
1700784000000,2023-11-24,GALAUSDT,0.02408,0.02523,0.02392,0.02447,1264164935.0,31130852.06376,86984
1700697600000,2023-11-23,GALAUSDT,0.02536,0.02569,0.0239,0.02408,1019660124.0,25220653.05829,70128
1700611200000,2023-11-22,GALAUSDT,0.02265,0.02539,0.02256,0.02537,1853082496.0,44022649.57668,121656
1700524800000,2023-11-21,GALAUSDT,0.0256,0.02712,0.02254,0.02266,2778188571.0,69580074.36452,207794
1700438400000,2023-11-20,GALAUSDT,0.02454,0.02674,0.02446,0.02561,2591718990.0,66477592.14,199075
1700352000000,2023-11-19,GALAUSDT,0.02344,0.02478,0.02257,0.02455,1516692803.0,35680543.66487,99123
1700265600000,2023-11-18,GALAUSDT,0.0261,0.02612,0.0231,0.02344,2081184086.0,50349441.02046,135446
1700179200000,2023-11-17,GALAUSDT,0.02343,0.02685,0.0231,0.02611,3114456977.0,77016513.10055,204352
1700092800000,2023-11-16,GALAUSDT,0.02415,0.0255,0.02264,0.02343,2425303621.0,58929114.12514,154226
1700006400000,2023-11-15,GALAUSDT,0.02305,0.0252,0.02264,0.02415,2536198009.0,60746124.49933,155820
1699920000000,2023-11-14,GALAUSDT,0.0221,0.02337,0.0207,0.02305,1601761755.0,35639511.33841,102436
1699833600000,2023-11-13,GALAUSDT,0.02431,0.0252,0.022,0.0221,1880431593.0,44155352.48621,129341
1699747200000,2023-11-12,GALAUSDT,0.02458,0.02511,0.02315,0.0243,1726687142.0,41743743.66877,114828
1699660800000,2023-11-11,GALAUSDT,0.02519,0.02567,0.02296,0.02459,3390012313.0,82304935.63827,270232
1699574400000,2023-11-10,GALAUSDT,0.02391,0.02532,0.02274,0.0252,2602785647.0,62542047.8007,236497
1699488000000,2023-11-09,GALAUSDT,0.02264,0.0261,0.02,0.02392,6497012252.0,155071644.45489,474244
1699401600000,2023-11-08,GALAUSDT,0.02082,0.02303,0.02064,0.02264,2211927682.0,49114628.61569,167164
1699315200000,2023-11-07,GALAUSDT,0.0213,0.02133,0.01952,0.02082,1292772733.0,26556856.56936,100260
1699228800000,2023-11-06,GALAUSDT,0.02037,0.02247,0.01982,0.02129,1784892454.0,37672711.63734,134236
1699142400000,2023-11-05,GALAUSDT,0.01958,0.0208,0.01914,0.02038,1609238541.0,32245914.25995,118711
1699056000000,2023-11-04,GALAUSDT,0.0186,0.01985,0.01842,0.01957,1182960926.0,22706990.67929,84953
1698969600000,2023-11-03,GALAUSDT,0.01829,0.0187,0.01751,0.01859,1090185669.0,19752316.28091,92692
1698883200000,2023-11-02,GALAUSDT,0.01967,0.02038,0.01773,0.01828,1522110066.0,28919384.04341,137324
1698796800000,2023-11-01,GALAUSDT,0.01913,0.01986,0.01814,0.01966,1993796187.0,37565906.55922,159323
1698710400000,2023-10-31,GALAUSDT,0.01989,0.02059,0.01825,0.01914,1861609012.0,36562041.69959,165523
1698624000000,2023-10-30,GALAUSDT,0.02082,0.02143,0.01953,0.0199,2507474682.0,51441821.09003,194427
1698537600000,2023-10-29,GALAUSDT,0.01808,0.022,0.01759,0.02082,3326056333.0,66829169.47221,253773
1698451200000,2023-10-28,GALAUSDT,0.01756,0.01866,0.01754,0.01808,987597689.0,17858339.29221,78676
