https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume LINK,Volume USDT,tradecount
1704844800000,2024-01-10,LINKUSDT,13.716,15.363,13.563,15.072,6108662.9,87012368.77934,220501
1704758400000,2024-01-09,LINKUSDT,14.143,14.25,13.242,13.716,6089402.93,83646753.23174,188402
1704585600000,2024-01-07,LINKUSDT,13.435,13.741,13.0,13.151,3045099.87,41054293.34619,92044
1704499200000,2024-01-06,LINKUSDT,14.092,14.098,13.18,13.436,3565461.87,48206687.88498,124013
1704412800000,2024-01-05,LINKUSDT,14.53,14.655,13.705,14.091,6076419.59,86179566.41586,191464
1704326400000,2024-01-04,LINKUSDT,14.148,14.777,13.975,14.526,4365827.16,62880870.46925,126458
1704240000000,2024-01-03,LINKUSDT,15.165,15.578,12.2,14.148,10147635.17,143513686.83934,349177
1704153600000,2024-01-02,LINKUSDT,15.547,16.063,15.017,15.166,5675020.93,88582158.81126,161201
1704067200000,2024-01-01,LINKUSDT,14.942,15.58,14.81,15.548,3173937.89,48410299.5335,98335
1703980800000,2023-12-31,LINKUSDT,15.17,15.528,14.77,14.941,3495890.27,53145917.53242,108055
1703894400000,2023-12-30,LINKUSDT,15.539,15.623,15.017,15.167,2951588.48,45123375.11613,113096
1703808000000,2023-12-29,LINKUSDT,16.006,16.224,15.116,15.54,7020535.98,110618351.40606,232636
1703721600000,2023-12-28,LINKUSDT,16.711,17.672,15.975,16.005,12399584.63,209252738.19674,442153
1703635200000,2023-12-27,LINKUSDT,15.092,16.75,14.646,16.709,8604959.81,136785210.09551,276733
1703548800000,2023-12-26,LINKUSDT,15.586,15.9,14.3,15.092,6443612.14,97836193.17875,214568
1703462400000,2023-12-25,LINKUSDT,15.263,15.802,15.12,15.585,5182592.13,79928546.31045,148934
1703376000000,2023-12-24,LINKUSDT,15.682,15.95,15.11,15.262,5937006.95,92802129.55644,199417
1703289600000,2023-12-23,LINKUSDT,15.478,15.9,14.894,15.682,6241227.2,96703831.33163,177827
1703203200000,2023-12-22,LINKUSDT,15.306,15.729,14.969,15.479,6378166.47,97981959.72098,206013
1703116800000,2023-12-21,LINKUSDT,14.252,15.311,14.179,15.305,6978195.1,103275598.51638,197450
1703030400000,2023-12-20,LINKUSDT,14.1,14.805,13.975,14.253,5093239.98,73436419.14789,133521
1702944000000,2023-12-19,LINKUSDT,14.669,14.808,13.923,14.1,4715602.5,67856499.43635,128821
1702857600000,2023-12-18,LINKUSDT,14.016,14.681,13.633,14.674,8220244.73,116322335.44621,249063
1702771200000,2023-12-17,LINKUSDT,14.32,14.372,13.91,14.013,3560218.31,50496829.05702,101929
1702684800000,2023-12-16,LINKUSDT,14.281,14.801,14.086,14.32,3975469.06,57534750.23196,109411
1702598400000,2023-12-15,LINKUSDT,15.372,15.394,14.257,14.281,5588024.0,83190160.91558,152098
1702512000000,2023-12-14,LINKUSDT,14.773,15.586,14.21,15.37,8398653.34,126296875.80554,240704
1702425600000,2023-12-13,LINKUSDT,14.527,14.959,13.857,14.77,8205912.53,117925837.92027,226992
1702339200000,2023-12-12,LINKUSDT,14.767,15.138,14.17,14.523,7450890.25,109772316.28013,224669
1702252800000,2023-12-11,LINKUSDT,16.368,16.462,13.78,14.768,14107495.09,210262385.58783,525117
1702166400000,2023-12-10,LINKUSDT,16.195,16.454,15.791,16.367,4766574.66,77075783.57713,149643
1702080000000,2023-12-09,LINKUSDT,16.926,17.299,16.023,16.196,8430393.84,141427596.37533,283367
1701993600000,2023-12-08,LINKUSDT,15.688,17.324,15.55,16.925,10827786.35,177727228.50166,392323
1701907200000,2023-12-07,LINKUSDT,15.266,15.802,14.658,15.691,9080106.82,138728132.29109,286938
1701820800000,2023-12-06,LINKUSDT,15.72,16.164,15.232,15.268,8057101.19,126434036.28565,260644
1701734400000,2023-12-05,LINKUSDT,15.812,16.088,15.178,15.729,7193745.83,111968205.436,218088
1701648000000,2023-12-04,LINKUSDT,15.706,16.396,15.11,15.813,8826925.32,139434906.24724,302435
1701561600000,2023-12-03,LINKUSDT,15.992,16.29,15.666,15.705,4379093.89,69868182.81018,158907
1701475200000,2023-12-02,LINKUSDT,14.987,16.199,14.919,15.992,6568892.92,103112115.36964,223583
1701388800000,2023-12-01,LINKUSDT,14.411,15.048,14.271,14.988,4634512.61,68476548.32227,134581
1701302400000,2023-11-30,LINKUSDT,14.514,14.832,14.268,14.412,4398464.68,63719582.86703,137707
1701216000000,2023-11-29,LINKUSDT,14.524,14.993,14.376,14.511,4845528.8,70989583.41618,152720
1701129600000,2023-11-28,LINKUSDT,14.186,14.712,13.765,14.521,5394866.99,77128802.3456,158014
1701043200000,2023-11-27,LINKUSDT,14.768,15.3,13.88,14.186,6146071.04,88783677.67896,208291
1700956800000,2023-11-26,LINKUSDT,14.763,15.333,14.364,14.766,5240707.85,78025855.7933,188296
1700870400000,2023-11-25,LINKUSDT,14.481,14.975,14.376,14.762,3318038.65,48882638.95608,115215
1700784000000,2023-11-24,LINKUSDT,14.398,14.843,14.208,14.482,4360537.63,63064539.44479,147297
1700697600000,2023-11-23,LINKUSDT,14.213,14.887,14.122,14.398,5780105.38,83646270.85141,183612
1700611200000,2023-11-22,LINKUSDT,13.362,14.621,13.24,14.212,7341318.89,103981564.20852,237848
1700524800000,2023-11-21,LINKUSDT,14.475,14.663,13.3,13.359,9307600.94,130690622.72039,421106
1700438400000,2023-11-20,LINKUSDT,14.911,15.393,14.365,14.477,7852547.72,117470342.93036,293930
1700352000000,2023-11-19,LINKUSDT,13.751,15.054,13.369,14.908,8024107.07,114729933.55449,256182
1700265600000,2023-11-18,LINKUSDT,13.707,13.81,12.921,13.75,5989655.98,80700673.80889,179730
1700179200000,2023-11-17,LINKUSDT,13.866,14.269,12.853,13.702,10376868.15,140844962.09135,335009
1700092800000,2023-11-16,LINKUSDT,15.027,15.22,13.55,13.866,11515683.62,166032670.40601,430740
1700006400000,2023-11-15,LINKUSDT,13.947,15.389,13.93,15.027,9561100.03,141422139.78388,317567
1699920000000,2023-11-14,LINKUSDT,14.354,14.91,13.361,13.945,12808258.53,183276340.44336,455713
1699833600000,2023-11-13,LINKUSDT,16.025,16.3,14.304,14.358,10117089.62,153549320.18469,410940
1699747200000,2023-11-12,LINKUSDT,16.477,16.543,15.371,16.025,9480541.7,151077585.18664,373310
1699660800000,2023-11-11,LINKUSDT,15.502,16.6,14.708,16.477,11922184.55,187529355.93821,480735
1699574400000,2023-11-10,LINKUSDT,14.603,15.644,14.122,15.493,12832103.89,190685843.64798,490540
1699488000000,2023-11-09,LINKUSDT,14.918,15.99,13.589,14.603,18901164.92,280301399.72718,719457
1699401600000,2023-11-08,LINKUSDT,13.04,14.98,12.81,14.919,12601104.84,175239537.26609,452874
1699315200000,2023-11-07,LINKUSDT,12.984,13.34,12.528,13.04,11935472.54,154499235.8978,422682
1699228800000,2023-11-06,LINKUSDT,12.231,13.255,12.118,12.984,10027182.42,125991889.3028,352472
1699142400000,2023-11-05,LINKUSDT,11.496,12.559,11.356,12.231,11907068.54,143154909.31344,390095
1699056000000,2023-11-04,LINKUSDT,11.457,11.626,11.147,11.496,5234888.3,59443955.54407,146112
1698969600000,2023-11-03,LINKUSDT,11.007,11.596,10.5,11.46,8887394.75,98581602.62749,259282
1698883200000,2023-11-02,LINKUSDT,11.639,11.749,10.806,11.007,8003890.51,90049986.7764,246395
1698796800000,2023-11-01,LINKUSDT,11.352,11.786,10.647,11.638,10588892.04,118107823.74664,326348
1698710400000,2023-10-31,LINKUSDT,11.22,12.026,10.92,11.353,12476688.51,142813122.04359,362613
1698624000000,2023-10-30,LINKUSDT,11.085,11.854,10.89,11.22,9454805.93,106793709.23733,280872
1698537600000,2023-10-29,LINKUSDT,10.923,11.297,10.75,11.081,5275457.69,58255211.17639,159371
1698451200000,2023-10-28,LINKUSDT,11.184,11.666,10.819,10.923,7686066.07,86729883.32123,242142
1698364800000,2023-10-27,LINKUSDT,10.927,11.434,10.605,11.185,11720249.83,129451116.94823,427621
1698278400000,2023-10-26,LINKUSDT,11.059,11.392,10.348,10.928,10983527.2,119208669.04088,359773
1698192000000,2023-10-25,LINKUSDT,10.371,11.788,10.337,11.058,17153705.46,191623950.23086,562025
1698105600000,2023-10-24,LINKUSDT,10.578,11.15,9.661,10.372,17094050.82,175850424.5087,511856
1698019200000,2023-10-23,LINKUSDT,10.189,11.058,9.789,10.577,24657322.01,255886777.80713,714846
1697932800000,2023-10-22,LINKUSDT,8.914,10.288,8.839,10.19,18639585.65,176456914.83463,531601
1697846400000,2023-10-21,LINKUSDT,7.57,9.171,7.52,8.914,15593852.19,133634101.00988,380558
1697760000000,2023-10-20,LINKUSDT,7.304,7.71,7.261,7.57,4329807.55,32728827.35326,93955
1697673600000,2023-10-19,LINKUSDT,7.356,7.435,7.215,7.304,2421707.11,17759339.63534,59499
1697587200000,2023-10-18,LINKUSDT,7.32,7.483,7.28,7.356,2301928.23,16979414.97488,57757
1697500800000,2023-10-17,LINKUSDT,7.525,7.559,7.262,7.32,2869585.65,21226531.34853,65510
1697414400000,2023-10-16,LINKUSDT,7.422,7.832,7.411,7.525,4491818.19,33964843.42367,119450
1697328000000,2023-10-15,LINKUSDT,7.331,7.568,7.285,7.423,2299972.73,17017438.84225,50872
1697241600000,2023-10-14,LINKUSDT,7.257,7.373,7.205,7.331,1522386.46,11100863.28931,35368
1697155200000,2023-10-13,LINKUSDT,7.198,7.403,7.107,7.256,4244477.6,30666618.6949,89457
1697068800000,2023-10-12,LINKUSDT,7.39,7.416,7.115,7.197,3425077.36,24822409.42983,95626
1696982400000,2023-10-11,LINKUSDT,7.259,7.43,7.1,7.391,3701911.87,27006057.00437,118498
1696896000000,2023-10-10,LINKUSDT,7.276,7.392,7.174,7.259,3315249.53,24152207.66761,100496
1696809600000,2023-10-09,LINKUSDT,7.671,7.696,7.134,7.276,5400392.17,40026721.42072,136558
1696723200000,2023-10-08,LINKUSDT,7.521,7.948,7.5,7.673,5220385.39,40191832.55423,111364
1696636800000,2023-10-07,LINKUSDT,7.64,7.68,7.47,7.524,2235442.95,16934629.39497,53646
1696550400000,2023-10-06,LINKUSDT,7.469,7.764,7.432,7.639,3176035.64,24134850.62353,76272
1696464000000,2023-10-05,LINKUSDT,7.673,7.793,7.451,7.465,3846525.19,29362136.49098,90447
1696377600000,2023-10-04,LINKUSDT,7.408,7.78,7.2,7.674,5466659.39,41343272.94321,129276
1696291200000,2023-10-03,LINKUSDT,7.472,7.744,7.366,7.409,4753914.76,35916072.14376,108753
1696204800000,2023-10-02,LINKUSDT,8.053,8.103,7.352,7.47,7388633.58,57325674.01534,184195
1696118400000,2023-10-01,LINKUSDT,8.19,8.26,7.778,8.054,5741530.2,46153757.80741,137862
1696032000000,2023-09-30,LINKUSDT,7.947,8.276,7.939,8.191,5316780.65,43246928.17421,119758
1695945600000,2023-09-29,LINKUSDT,7.81,8.082,7.674,7.946,4632422.26,36311757.19381,100566
1695859200000,2023-09-28,LINKUSDT,7.641,8.07,7.572,7.807,7218442.3,56335724.06916,156514
1695772800000,2023-09-27,LINKUSDT,7.355,7.901,7.271,7.645,7180632.89,54590364.53385,164821
