https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume LTC,Volume USDT,tradecount
1704844800000,2024-01-10,LTCUSDT,66.99,71.2,65.0,70.1,852014.198,57771776.94768,168479
1704758400000,2024-01-09,LTCUSDT,67.72,67.82,64.16,66.99,812582.618,53622168.31871,146291
1704585600000,2024-01-07,LTCUSDT,65.65,66.38,63.68,64.27,357443.918,23294567.64585,74068
1704499200000,2024-01-06,LTCUSDT,65.99,66.08,63.22,65.64,404291.404,26231882.51366,79927
1704412800000,2024-01-05,LTCUSDT,66.41,66.73,63.4,66.0,659391.057,43098156.74155,126414
1704326400000,2024-01-04,LTCUSDT,65.23,67.11,64.5,66.41,728924.878,47881226.9708,112378
1704240000000,2024-01-03,LTCUSDT,72.96,73.61,57.71,65.24,1513212.297,100333545.09116,268321
1704153600000,2024-01-02,LTCUSDT,74.72,75.9,72.48,72.97,608280.863,45206969.47175,121485
1704067200000,2024-01-01,LTCUSDT,72.83,74.78,72.06,74.72,308376.95,22631014.60155,65631
1703980800000,2023-12-31,LTCUSDT,73.23,74.24,71.41,72.83,403057.357,29619089.99848,84693
1703894400000,2023-12-30,LTCUSDT,73.25,74.01,72.38,73.22,460911.041,33778363.76325,104235
1703808000000,2023-12-29,LTCUSDT,76.51,77.8,72.71,73.25,909063.669,68906261.16708,185197
1703721600000,2023-12-28,LTCUSDT,75.98,77.64,74.51,76.51,981067.893,74691708.40849,197237
1703635200000,2023-12-27,LTCUSDT,73.24,77.3,72.07,75.98,929059.454,69751284.78202,184568
1703548800000,2023-12-26,LTCUSDT,72.23,74.45,71.04,73.24,851162.765,61904316.62239,149216
1703462400000,2023-12-25,LTCUSDT,71.11,72.77,70.55,72.22,364732.752,26272986.55563,67723
1703376000000,2023-12-24,LTCUSDT,72.44,72.95,70.0,71.12,507808.475,36621799.21222,89865
1703289600000,2023-12-23,LTCUSDT,73.58,74.09,70.7,72.45,472707.301,34142861.37548,81216
1703203200000,2023-12-22,LTCUSDT,70.93,73.78,70.31,73.58,539144.649,38718370.75002,105099
1703116800000,2023-12-21,LTCUSDT,69.83,71.09,68.92,70.93,581051.4,40703733.49985,94039
1703030400000,2023-12-20,LTCUSDT,70.72,71.89,69.38,69.83,738447.841,52311290.38605,112264
1702944000000,2023-12-19,LTCUSDT,70.86,71.66,69.69,70.73,342815.358,24334999.59728,75381
1702857600000,2023-12-18,LTCUSDT,71.18,71.55,68.0,70.85,516602.696,36020493.75196,109492
1702771200000,2023-12-17,LTCUSDT,72.18,73.63,70.86,71.18,405335.594,29410834.02539,85657
1702684800000,2023-12-16,LTCUSDT,70.92,72.52,70.43,72.19,273166.636,19671706.12643,59704
1702598400000,2023-12-15,LTCUSDT,72.93,72.96,70.52,70.93,388128.515,27867636.15741,80317
1702512000000,2023-12-14,LTCUSDT,73.14,74.05,71.25,72.93,673631.561,49054702.832,109197
1702425600000,2023-12-13,LTCUSDT,72.38,75.55,70.15,73.12,716835.326,51833620.75393,114967
1702339200000,2023-12-12,LTCUSDT,72.66,73.72,71.03,72.37,476918.626,34575143.83566,96279
1702252800000,2023-12-11,LTCUSDT,77.17,77.5,70.46,72.67,988665.178,72544195.34092,185331
1702166400000,2023-12-10,LTCUSDT,76.33,79.0,76.33,77.18,559666.195,43565867.66221,107360
1702080000000,2023-12-09,LTCUSDT,78.49,79.53,75.52,76.32,736505.035,57301991.39773,133735
1701993600000,2023-12-08,LTCUSDT,74.02,78.88,73.32,78.5,857419.485,65205063.17955,157799
1701907200000,2023-12-07,LTCUSDT,72.4,74.51,71.82,74.02,564515.734,41448604.4114,107118
1701820800000,2023-12-06,LTCUSDT,74.35,74.94,72.17,72.41,640078.051,47156666.01721,128526
1701734400000,2023-12-05,LTCUSDT,72.92,74.37,71.0,74.34,543100.844,39428257.12227,109273
1701648000000,2023-12-04,LTCUSDT,72.31,75.07,71.89,72.93,1008230.995,74007610.74816,159402
1701561600000,2023-12-03,LTCUSDT,72.2,72.75,71.3,72.31,285246.303,20531814.47944,59616
1701475200000,2023-12-02,LTCUSDT,71.57,72.72,71.16,72.2,286408.09,20600215.9871,59284
1701388800000,2023-12-01,LTCUSDT,69.44,72.23,69.2,71.57,478440.251,34026635.4187,81449
1701302400000,2023-11-30,LTCUSDT,69.99,70.15,69.11,69.42,212371.48,14771644.05129,52051
1701216000000,2023-11-29,LTCUSDT,69.76,70.46,69.15,70.0,304678.502,21264386.34352,58506
1701129600000,2023-11-28,LTCUSDT,69.22,70.27,67.81,69.77,633474.873,43913284.03863,81801
1701043200000,2023-11-27,LTCUSDT,70.03,70.5,67.91,69.22,322130.627,22263566.13496,71219
1700956800000,2023-11-26,LTCUSDT,71.87,71.87,68.91,70.03,373752.056,26318517.15444,70444
1700870400000,2023-11-25,LTCUSDT,70.72,72.5,70.48,71.87,300567.558,21475318.98977,61533
1700784000000,2023-11-24,LTCUSDT,69.51,71.77,69.43,70.73,431373.898,30352000.44832,77970
1700697600000,2023-11-23,LTCUSDT,68.7,70.76,68.38,69.51,487505.593,33857643.07991,85284
1700611200000,2023-11-22,LTCUSDT,66.15,69.15,65.96,68.7,411855.152,27937990.43011,83442
1700524800000,2023-11-21,LTCUSDT,69.52,71.87,65.12,66.15,766319.59,52741538.94914,188115
1700438400000,2023-11-20,LTCUSDT,70.56,71.02,68.62,69.51,363216.736,25476809.8106,90721
1700352000000,2023-11-19,LTCUSDT,69.85,70.67,68.5,70.54,267656.397,18650494.6809,63028
1700265600000,2023-11-18,LTCUSDT,70.28,70.33,67.5,69.86,319967.121,22156894.78408,68976
1700179200000,2023-11-17,LTCUSDT,70.96,71.66,68.0,70.29,701059.335,49078772.15463,126814
1700092800000,2023-11-16,LTCUSDT,74.02,74.35,69.78,70.97,516234.012,37356440.8551,123103
1700006400000,2023-11-15,LTCUSDT,70.61,74.3,70.5,74.03,546364.964,39479612.39254,106317
1699920000000,2023-11-14,LTCUSDT,71.1,72.56,68.09,70.61,612778.52,43372079.29673,142325
1699833600000,2023-11-13,LTCUSDT,74.88,76.05,70.5,71.1,687416.727,50302812.26026,163293
1699747200000,2023-11-12,LTCUSDT,75.26,76.79,72.12,74.88,759337.894,56901785.83759,142332
1699660800000,2023-11-11,LTCUSDT,73.27,75.95,70.84,75.26,701397.299,52030099.77565,139624
1699574400000,2023-11-10,LTCUSDT,73.85,75.48,70.67,73.28,659369.92,48133353.84027,141197
1699488000000,2023-11-09,LTCUSDT,73.06,76.23,67.85,73.83,1037301.535,75728192.84037,216844
1699401600000,2023-11-08,LTCUSDT,73.41,74.31,72.45,73.07,454113.58,33332286.76763,94683
1699315200000,2023-11-07,LTCUSDT,74.46,74.57,71.06,73.41,587908.072,42921057.41226,132612
1699228800000,2023-11-06,LTCUSDT,71.6,74.95,70.79,74.46,517587.681,37760698.65948,115024
1699142400000,2023-11-05,LTCUSDT,70.41,72.32,69.9,71.6,604752.663,43082207.25642,115162
1699056000000,2023-11-04,LTCUSDT,69.45,70.81,68.69,70.41,286371.778,19896712.80929,72196
1698969600000,2023-11-03,LTCUSDT,69.42,69.58,67.5,69.45,366590.453,25246675.51283,92812
1698883200000,2023-11-02,LTCUSDT,69.97,70.77,67.4,69.43,658461.347,45887391.07385,120422
1698796800000,2023-11-01,LTCUSDT,68.89,70.46,66.51,69.97,758567.526,51929112.70106,129197
1698710400000,2023-10-31,LTCUSDT,69.21,70.53,67.6,68.89,616209.44,42625945.13606,123683
1698624000000,2023-10-30,LTCUSDT,68.79,69.79,67.62,69.21,391259.073,26936356.33677,84316
1698537600000,2023-10-29,LTCUSDT,67.73,69.31,67.0,68.79,254650.085,17378937.46053,59734
