https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume MATIC,Volume USDT,tradecount
1704844800000,2024-01-10,MATICUSDT,0.8065,0.9127,0.8023,0.8992,177956181.9,151026418.88176,379974
1704758400000,2024-01-09,MATICUSDT,0.8414,0.8445,0.78,0.8066,132998421.3,107027542.56258,279239
1704585600000,2024-01-07,MATICUSDT,0.828,0.844,0.7926,0.8011,64191572.5,53082554.7936,131002
1704499200000,2024-01-06,MATICUSDT,0.8525,0.8534,0.7958,0.8281,72391482.5,59424620.98594,165339
1704412800000,2024-01-05,MATICUSDT,0.883,0.887,0.816,0.8525,102615312.1,86999491.32705,231179
1704326400000,2024-01-04,MATICUSDT,0.8539,0.892,0.8372,0.883,110499881.0,95850906.51834,219219
1704240000000,2024-01-03,MATICUSDT,0.969,0.9887,0.738,0.8539,243619558.7,214874301.49268,533759
1704153600000,2024-01-02,MATICUSDT,1.0156,1.0333,0.9616,0.9691,108879456.5,108781673.55112,251100
1704067200000,2024-01-01,MATICUSDT,0.9708,1.019,0.9556,1.0157,78051831.3,77113606.28827,200690
1703980800000,2023-12-31,MATICUSDT,0.9509,1.0115,0.9432,0.9707,102886345.4,101338079.93737,270957
1703894400000,2023-12-30,MATICUSDT,0.9733,0.9886,0.941,0.9509,66818362.3,64476925.4921,164438
1703808000000,2023-12-29,MATICUSDT,1.0021,1.0187,0.94,0.9733,165887784.6,163548954.07324,356617
1703721600000,2023-12-28,MATICUSDT,1.0369,1.0697,0.9835,1.0021,226243754.2,231804609.65123,528744
1703635200000,2023-12-27,MATICUSDT,1.019,1.093,0.9847,1.0368,388820801.4,406608903.65498,1037409
1703548800000,2023-12-26,MATICUSDT,0.9118,1.0303,0.8589,1.0191,405110669.5,379542312.26531,967395
1703462400000,2023-12-25,MATICUSDT,0.8474,0.9213,0.8354,0.9117,156671024.8,138271746.81771,306644
1703376000000,2023-12-24,MATICUSDT,0.8576,0.89,0.8307,0.8474,163945264.1,140143540.52738,281351
1703289600000,2023-12-23,MATICUSDT,0.8774,0.8817,0.8273,0.8577,95748478.6,81212514.08851,166939
1703203200000,2023-12-22,MATICUSDT,0.8164,0.8774,0.812,0.8773,178974846.1,150915769.55064,332106
1703116800000,2023-12-21,MATICUSDT,0.7758,0.8195,0.7698,0.8164,125599198.5,99338446.23308,201324
1703030400000,2023-12-20,MATICUSDT,0.7663,0.7979,0.7536,0.7759,133348860.5,103861254.64351,206447
1702944000000,2023-12-19,MATICUSDT,0.8011,0.8235,0.7505,0.7662,107199768.4,84007801.38057,190317
1702857600000,2023-12-18,MATICUSDT,0.8175,0.8259,0.7555,0.8011,111818527.0,87862223.619,202158
