https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume NEAR,Volume USDT,tradecount
1704844800000,2024-01-10,NEARUSDT,3.222,3.684,3.08,3.603,22822968.5,75561780.2395,224909
1704758400000,2024-01-09,NEARUSDT,3.416,3.54,3.026,3.222,24410549.9,80419870.4326,243067
1704585600000,2024-01-07,NEARUSDT,3.476,3.539,3.151,3.215,12829779.7,43311589.4977,116583
1704499200000,2024-01-06,NEARUSDT,3.551,3.708,3.167,3.479,22677929.8,77493211.6844,204762
1704412800000,2024-01-05,NEARUSDT,3.91,3.95,3.451,3.552,16442583.3,60136243.0929,168203
1704326400000,2024-01-04,NEARUSDT,3.771,4.048,3.571,3.91,23129680.8,87881300.1065,231872
1704240000000,2024-01-03,NEARUSDT,3.924,4.089,2.905,3.771,38638209.3,143805544.8304,391425
1704153600000,2024-01-02,NEARUSDT,3.793,4.331,3.737,3.923,52454346.3,211293226.1906,592460
1704067200000,2024-01-01,NEARUSDT,3.651,3.834,3.567,3.794,13962506.3,51654172.3703,126464
1703980800000,2023-12-31,NEARUSDT,3.675,3.883,3.521,3.65,15864655.7,59032889.5648,151634
1703894400000,2023-12-30,NEARUSDT,3.621,3.782,3.539,3.676,15126384.9,55541839.0296,144907
1703808000000,2023-12-29,NEARUSDT,3.757,3.973,3.52,3.62,24259118.5,91312117.0915,256508
1703721600000,2023-12-28,NEARUSDT,4.085,4.322,3.728,3.756,28060345.2,112656525.2808,289444
1703635200000,2023-12-27,NEARUSDT,4.301,4.4,3.988,4.083,27689133.6,115029146.3693,285566
1703548800000,2023-12-26,NEARUSDT,4.25,4.625,3.948,4.301,50211486.7,218495890.6298,539973
1703462400000,2023-12-25,NEARUSDT,3.798,4.374,3.71,4.25,47591449.0,191644774.4778,475538
1703376000000,2023-12-24,NEARUSDT,3.902,4.097,3.614,3.798,42586262.9,163248802.237,396083
1703289600000,2023-12-23,NEARUSDT,3.36,4.0,3.203,3.902,39145831.4,136854015.4604,344722
1703203200000,2023-12-22,NEARUSDT,3.537,3.803,3.271,3.36,46609009.6,162591279.0279,412352
1703116800000,2023-12-21,NEARUSDT,2.846,3.625,2.766,3.538,84184146.9,276922123.4948,604093
1703030400000,2023-12-20,NEARUSDT,2.431,3.055,2.422,2.845,83773397.6,234735689.6284,528648
1702944000000,2023-12-19,NEARUSDT,2.289,2.5,2.262,2.431,30928107.9,74075035.2168,171632
1702857600000,2023-12-18,NEARUSDT,2.267,2.318,2.067,2.29,18967305.1,41408640.0113,117694
1702771200000,2023-12-17,NEARUSDT,2.389,2.482,2.26,2.266,17453844.8,41438137.9784,126827
1702684800000,2023-12-16,NEARUSDT,2.191,2.446,2.16,2.39,26889718.4,62605826.0735,138496
1702598400000,2023-12-15,NEARUSDT,2.322,2.327,2.181,2.191,17911063.7,40320226.8676,102427
1702512000000,2023-12-14,NEARUSDT,2.329,2.355,2.18,2.322,20890471.5,47678109.1517,122278
1702425600000,2023-12-13,NEARUSDT,2.305,2.342,2.101,2.328,21565632.8,47823554.5259,130095
1702339200000,2023-12-12,NEARUSDT,2.24,2.465,2.222,2.305,34839883.7,81088503.2675,179554
1702252800000,2023-12-11,NEARUSDT,2.519,2.541,2.162,2.24,36466566.3,84538986.8731,195782
1702166400000,2023-12-10,NEARUSDT,2.421,2.599,2.382,2.519,22403544.0,55306299.3623,115148
1702080000000,2023-12-09,NEARUSDT,2.377,2.613,2.376,2.421,39602783.2,99263718.593,217910
1701993600000,2023-12-08,NEARUSDT,2.267,2.393,2.19,2.376,26905824.7,61059386.8759,132716
1701907200000,2023-12-07,NEARUSDT,2.284,2.374,2.212,2.267,23792112.9,54169402.9089,121334
1701820800000,2023-12-06,NEARUSDT,2.257,2.397,2.241,2.285,32112716.2,74405516.5448,162777
1701734400000,2023-12-05,NEARUSDT,2.15,2.321,2.131,2.257,33936487.1,75899702.563,183258
1701648000000,2023-12-04,NEARUSDT,1.98,2.196,1.975,2.149,32024206.9,67657113.5991,179602
1701561600000,2023-12-03,NEARUSDT,2.008,2.026,1.952,1.979,9989162.7,19819378.9319,57727
1701475200000,2023-12-02,NEARUSDT,1.892,2.033,1.89,2.008,15063254.5,29829376.0799,81710
1701388800000,2023-12-01,NEARUSDT,1.879,1.907,1.854,1.893,9719614.3,18244047.4879,49404
1701302400000,2023-11-30,NEARUSDT,1.799,1.89,1.786,1.879,13433650.2,24857263.2038,59066
1701216000000,2023-11-29,NEARUSDT,1.821,1.892,1.793,1.798,13971264.1,25697050.3968,65834
1701129600000,2023-11-28,NEARUSDT,1.781,1.826,1.73,1.821,12135525.2,21605861.2201,54964
1701043200000,2023-11-27,NEARUSDT,1.829,1.834,1.732,1.781,13351378.3,23623066.2767,62722
1700956800000,2023-11-26,NEARUSDT,1.885,1.916,1.785,1.828,13920190.0,25780348.8246,62294
1700870400000,2023-11-25,NEARUSDT,1.834,1.913,1.818,1.885,11442702.2,21282660.7554,59309
1700784000000,2023-11-24,NEARUSDT,1.809,1.915,1.775,1.833,17992582.3,33101487.1841,82199
1700697600000,2023-11-23,NEARUSDT,1.825,1.855,1.766,1.808,20024990.8,36280989.4839,87850
1700611200000,2023-11-22,NEARUSDT,1.75,1.868,1.742,1.824,26122066.9,47547656.9462,115779
1700524800000,2023-11-21,NEARUSDT,1.997,2.052,1.728,1.75,37430517.2,70583230.2397,198863
1700438400000,2023-11-20,NEARUSDT,1.986,2.188,1.963,1.997,49997968.1,104061200.3296,246337
1700352000000,2023-11-19,NEARUSDT,1.77,2.052,1.713,1.985,33478846.3,62766805.6898,146973
1700265600000,2023-11-18,NEARUSDT,1.871,1.897,1.678,1.77,27057605.9,47638458.6891,117632
1700179200000,2023-11-17,NEARUSDT,1.722,1.951,1.713,1.872,48696695.8,90288600.4032,221517
1700092800000,2023-11-16,NEARUSDT,1.7,1.858,1.648,1.721,41974911.4,73803101.2817,183956
1700006400000,2023-11-15,NEARUSDT,1.538,1.74,1.534,1.7,27904096.0,46295223.6752,113052
1699920000000,2023-11-14,NEARUSDT,1.59,1.628,1.45,1.538,26311248.6,41228177.3031,120049
1699833600000,2023-11-13,NEARUSDT,1.702,1.746,1.589,1.59,38071835.8,64157500.4813,164689
1699747200000,2023-11-12,NEARUSDT,1.598,1.8,1.521,1.701,42445161.1,71702023.4702,197420
1699660800000,2023-11-11,NEARUSDT,1.553,1.634,1.468,1.598,34460404.5,53842355.6634,163165
1699574400000,2023-11-10,NEARUSDT,1.438,1.586,1.398,1.553,24320958.8,35987281.1417,115274
1699488000000,2023-11-09,NEARUSDT,1.469,1.567,1.288,1.438,32458140.6,47380233.5901,151150
1699401600000,2023-11-08,NEARUSDT,1.446,1.493,1.417,1.47,14346006.3,20884429.7048,72233
1699315200000,2023-11-07,NEARUSDT,1.583,1.584,1.406,1.446,22296044.9,33275505.7601,114659
1699228800000,2023-11-06,NEARUSDT,1.636,1.68,1.551,1.583,19318856.8,30832045.2557,94807
1699142400000,2023-11-05,NEARUSDT,1.512,1.677,1.497,1.636,24534249.6,39570915.2017,119995
1699056000000,2023-11-04,NEARUSDT,1.473,1.535,1.456,1.511,9867751.3,14772249.9013,57578
1698969600000,2023-11-03,NEARUSDT,1.525,1.562,1.447,1.473,15672876.9,23481209.4946,97193
1698883200000,2023-11-02,NEARUSDT,1.527,1.568,1.434,1.524,30784425.0,45987888.8691,216859
1698796800000,2023-11-01,NEARUSDT,1.332,1.576,1.321,1.527,33723299.7,49228632.9275,173859
