https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume SHIB,Volume USDT,tradecount
1704844800000,2024-01-10,SHIBUSDT,9.67e-06,1.016e-05,9.11e-06,9.98e-06,6113614569122.0,58628398.9462578,157040
1704758400000,2024-01-09,SHIBUSDT,9.58e-06,1.001e-05,9.04e-06,9.67e-06,9003914278168.0,86068058.52631219,205173
1704672000000,2024-01-08,SHIBUSDT,9.02e-06,9.59e-06,8.49e-06,9.58e-06,6170976069743.0,56042951.18524099,129474
1704585600000,2024-01-07,SHIBUSDT,9.61e-06,9.68e-06,8.93e-06,9.02e-06,3333253542409.0,31170968.62751178,85634
1704499200000,2024-01-06,SHIBUSDT,9.81e-06,9.83e-06,9.32e-06,9.61e-06,2321621338265.0,22249704.91926473,71277
1704412800000,2024-01-05,SHIBUSDT,1e-05,1.009e-05,9.41e-06,9.81e-06,4406315565247.0,42806596.39933536,108286
1704326400000,2024-01-04,SHIBUSDT,9.57e-06,1.014e-05,9.42e-06,9.99e-06,4382945722418.0,42965677.65737269,106195
1704240000000,2024-01-03,SHIBUSDT,1.056e-05,1.066e-05,8.27e-06,9.57e-06,8809791876169.0,84880113.60273005,228452
1704153600000,2024-01-02,SHIBUSDT,1.068e-05,1.092e-05,1.046e-05,1.056e-05,4111956270583.0,43973176.76194572,104653
1704067200000,2024-01-01,SHIBUSDT,1.036e-05,1.071e-05,1.021e-05,1.068e-05,1912387996323.0,20017390.81968201,58393
1703980800000,2023-12-31,SHIBUSDT,1.043e-05,1.06e-05,1.025e-05,1.036e-05,1638144850711.0,17151842.48623823,52900
1703894400000,2023-12-30,SHIBUSDT,1.042e-05,1.06e-05,1.035e-05,1.043e-05,1650602636728.0,17320172.46400021,52911
1703808000000,2023-12-29,SHIBUSDT,1.062e-05,1.071e-05,1.025e-05,1.041e-05,3229505490239.0,33894239.34388459,90357
1703721600000,2023-12-28,SHIBUSDT,1.09e-05,1.106e-05,1.044e-05,1.061e-05,4548816263148.0,48838776.78603335,123673
1703635200000,2023-12-27,SHIBUSDT,1.06e-05,1.094e-05,1.027e-05,1.089e-05,3548911343952.0,37884026.39764216,93080
1703548800000,2023-12-26,SHIBUSDT,1.101e-05,1.103e-05,1e-05,1.059e-05,4818861286461.0,50967955.35296121,131452
1703462400000,2023-12-25,SHIBUSDT,1.065e-05,1.105e-05,1.054e-05,1.102e-05,3583595648212.0,38930248.88202562,97326
1703376000000,2023-12-24,SHIBUSDT,1.106e-05,1.11e-05,1.044e-05,1.066e-05,4416781554608.0,47976580.29438397,123266
1703289600000,2023-12-23,SHIBUSDT,1.09e-05,1.128e-05,1.052e-05,1.107e-05,5779650272111.0,63267564.72308268,141845
1703203200000,2023-12-22,SHIBUSDT,1.044e-05,1.096e-05,1.031e-05,1.091e-05,6438377994429.0,68627229.96647112,143312
1703116800000,2023-12-21,SHIBUSDT,1.024e-05,1.056e-05,1.013e-05,1.043e-05,3452105271058.0,35739677.81032937,78115
1703030400000,2023-12-20,SHIBUSDT,1.012e-05,1.051e-05,9.95e-06,1.024e-05,3869769326531.0,39704754.58627465,86802
1702944000000,2023-12-19,SHIBUSDT,1.044e-05,1.059e-05,9.99e-06,1.012e-05,4259796688330.0,43833767.54167781,91636
1702857600000,2023-12-18,SHIBUSDT,1.03e-05,1.05e-05,9.54e-06,1.044e-05,8415148643940.0,84585389.42898107,152987
1702771200000,2023-12-17,SHIBUSDT,1.16e-05,1.195e-05,1.023e-05,1.03e-05,12826893301482.0,139098816.10673347,249604
1702684800000,2023-12-16,SHIBUSDT,9.6e-06,1.172e-05,9.46e-06,1.16e-05,16445060785290.0,176046281.80055884,335251
1702598400000,2023-12-15,SHIBUSDT,1.008e-05,1.01e-05,9.57e-06,9.6e-06,3778937131276.0,37104231.07670289,79642
1702512000000,2023-12-14,SHIBUSDT,9.81e-06,1.02e-05,9.5e-06,1.008e-05,5439037741851.0,54229817.54999051,110693
1702425600000,2023-12-13,SHIBUSDT,9.58e-06,9.87e-06,9.14e-06,9.8e-06,4449423771777.0,42312468.218674,86723
1702339200000,2023-12-12,SHIBUSDT,9.52e-06,9.77e-06,9.29e-06,9.57e-06,4635904936911.0,44328975.99890067,93841
1702252800000,2023-12-11,SHIBUSDT,1.032e-05,1.06e-05,9.1e-06,9.51e-06,11489012631409.0,111276907.09401764,209959
1702166400000,2023-12-10,SHIBUSDT,9.99e-06,1.039e-05,9.9e-06,1.033e-05,5430806233796.0,55275324.5410739,103717
1702080000000,2023-12-09,SHIBUSDT,1.02e-05,1.045e-05,9.9e-06,9.99e-06,7132170248698.0,72964502.81199674,134587
1701993600000,2023-12-08,SHIBUSDT,9.78e-06,1.044e-05,9.74e-06,1.019e-05,7299445199717.0,73496880.32581809,133207
1701907200000,2023-12-07,SHIBUSDT,9.71e-06,9.88e-06,9.38e-06,9.78e-06,6279589108739.0,60786182.87821622,116832
1701820800000,2023-12-06,SHIBUSDT,9.49e-06,1.07e-05,9.31e-06,9.72e-06,20385955254073.0,203060340.8201124,388193
