https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume SOL,Volume USDT,tradecount
1704844800000,2024-01-10,SOLUSDT,99.36,105.52,91.68,102.0,8634280.07,844272802.6054,1171099
1704758400000,2024-01-09,SOLUSDT,97.88,104.89,95.25,99.36,8574930.67,856996851.9727,1264291
1704672000000,2024-01-08,SOLUSDT,89.44,99.97,85.16,97.88,9677497.13,898941032.1847,1011344
1704585600000,2024-01-07,SOLUSDT,93.77,96.8,87.68,89.44,5547334.15,518106999.3883,610413
1704499200000,2024-01-06,SOLUSDT,99.93,100.3,91.53,93.77,5151478.03,489617161.2686,613981
1704412800000,2024-01-05,SOLUSDT,104.91,105.48,95.23,99.94,6703567.21,670654588.264,792668
1704326400000,2024-01-04,SOLUSDT,98.52,108.15,96.6,104.91,7235482.95,737464117.3016,828177
1704240000000,2024-01-03,SOLUSDT,106.72,109.9,85.0,98.52,12221060.38,1229680872.7649,1428502
1704153600000,2024-01-02,SOLUSDT,109.93,116.95,106.02,106.73,7831366.05,872701826.1161,1029366
1704067200000,2024-01-01,SOLUSDT,101.72,109.93,101.44,109.91,4403310.37,464763783.1089,563530
1703980800000,2023-12-31,SOLUSDT,101.9,105.21,99.54,101.72,3821990.67,393154901.3442,490129
1703894400000,2023-12-30,SOLUSDT,106.17,107.47,100.62,101.9,4178339.62,432370368.8049,527519
1703808000000,2023-12-29,SOLUSDT,101.8,110.0,99.0,106.17,9432538.67,998024734.4306,1208220
1703721600000,2023-12-28,SOLUSDT,106.92,109.66,97.14,101.8,10194201.02,1043685011.5619,1255836
1703635200000,2023-12-27,SOLUSDT,112.48,115.3,104.58,106.91,8972638.9,984653333.0384,1233525
1703548800000,2023-12-26,SOLUSDT,120.91,121.36,102.09,112.49,12300095.38,1381917663.7165,1600432
1703462400000,2023-12-25,SOLUSDT,112.45,126.36,107.92,120.91,11114497.92,1304701622.3238,1530670
1703376000000,2023-12-24,SOLUSDT,107.88,118.1,107.3,112.45,12261699.03,1381818060.2829,1666365
1703289600000,2023-12-23,SOLUSDT,97.91,110.0,92.8,107.88,8336420.6,834085981.572,993004
1703203200000,2023-12-22,SOLUSDT,93.86,99.5,90.34,97.9,11975121.56,1142233209.1915,1304087
1703116800000,2023-12-21,SOLUSDT,82.22,95.54,81.03,93.84,12129644.35,1071627249.9601,1243866
1703030400000,2023-12-20,SOLUSDT,73.0,84.14,72.96,82.21,10701294.29,844729188.4502,949815
1702944000000,2023-12-19,SOLUSDT,74.41,76.37,71.78,73.0,6086806.16,452723595.9081,527336
1702857600000,2023-12-18,SOLUSDT,70.85,75.46,67.0,74.42,7219822.33,509564447.4618,611266
1702771200000,2023-12-17,SOLUSDT,73.71,75.05,70.36,70.87,5108641.26,372478234.0344,422507
1702684800000,2023-12-16,SOLUSDT,72.51,77.22,71.18,73.72,5513079.61,410808269.5864,466725
1702598400000,2023-12-15,SOLUSDT,75.68,79.5,72.13,72.51,8834567.44,673033918.0997,786885
1702512000000,2023-12-14,SOLUSDT,70.62,76.24,68.18,75.68,7493589.41,543474285.6242,633186
1702425600000,2023-12-13,SOLUSDT,68.6,72.6,63.67,70.62,8271925.44,559579173.0734,603343
1702339200000,2023-12-12,SOLUSDT,70.24,72.42,65.75,68.6,7763463.64,541671172.2283,588718
1702252800000,2023-12-11,SOLUSDT,74.88,75.0,64.18,70.25,12970688.47,901955694.2818,974088
1702166400000,2023-12-10,SOLUSDT,72.31,74.89,70.67,74.87,5886808.01,429356414.6488,434901
1702080000000,2023-12-09,SOLUSDT,74.93,77.78,71.5,72.3,8809964.3,661734151.0119,695172
