https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume TRX,Volume USDT,tradecount
1704844800000,2024-01-10,TRXUSDT,0.10276,0.10577,0.10274,0.10524,373902317.1,38918028.119935,137000
1704758400000,2024-01-09,TRXUSDT,0.1042,0.10453,0.10162,0.10277,356089853.7,36644601.496475,122795
1704585600000,2024-01-07,TRXUSDT,0.10386,0.1041,0.10255,0.1028,188093257.6,19488065.598978,76597
1704499200000,2024-01-06,TRXUSDT,0.10438,0.10439,0.10177,0.10387,260125323.2,26867878.204993,95295
1704412800000,2024-01-05,TRXUSDT,0.10697,0.10711,0.10329,0.10438,361639139.0,37972616.077934,138645
1704326400000,2024-01-04,TRXUSDT,0.10675,0.10866,0.10628,0.10696,365657572.7,39247867.226898,136025
1704240000000,2024-01-03,TRXUSDT,0.10834,0.10997,0.1035,0.10675,653375226.0,69261650.916177,204197
1704153600000,2024-01-02,TRXUSDT,0.10771,0.11052,0.10756,0.10834,369857145.1,40365364.54673,152666
1704067200000,2024-01-01,TRXUSDT,0.10764,0.10832,0.10607,0.10772,219601099.4,23542044.896537,99663
1703980800000,2023-12-31,TRXUSDT,0.10596,0.109,0.10563,0.10764,285832127.2,30769657.878967,112664
1703894400000,2023-12-30,TRXUSDT,0.10561,0.10719,0.10514,0.10595,232397263.8,24646334.219825,106975
1703808000000,2023-12-29,TRXUSDT,0.10544,0.10672,0.10461,0.1056,313739596.0,33148399.80559,134886
1703721600000,2023-12-28,TRXUSDT,0.10535,0.10641,0.10439,0.10545,317361023.9,33475689.533581,134282
1703635200000,2023-12-27,TRXUSDT,0.10305,0.1054,0.10246,0.10534,251042078.9,26105611.594837,108417
1703548800000,2023-12-26,TRXUSDT,0.10587,0.1065,0.102,0.10305,434138526.2,45331100.840869,148536
1703462400000,2023-12-25,TRXUSDT,0.10621,0.10838,0.10551,0.10586,372605945.5,39902546.816687,125656
1703376000000,2023-12-24,TRXUSDT,0.10676,0.1075,0.10538,0.1062,288291905.4,30707192.425233,114241
1703289600000,2023-12-23,TRXUSDT,0.10508,0.10693,0.10398,0.10676,238188196.9,25154868.408476,105570
1703203200000,2023-12-22,TRXUSDT,0.10463,0.10508,0.1038,0.10508,235469453.7,24595975.220932,95907
1703116800000,2023-12-21,TRXUSDT,0.10273,0.10492,0.10245,0.10463,228759932.8,23794850.156055,94568
1703030400000,2023-12-20,TRXUSDT,0.1006,0.10329,0.10058,0.10273,228268521.5,23346294.727531,92953
1702944000000,2023-12-19,TRXUSDT,0.1009,0.10166,0.10004,0.1006,228404875.7,23070956.394482,93629
1702857600000,2023-12-18,TRXUSDT,0.10204,0.10207,0.09769,0.1009,417647096.2,41660161.840134,129194
1702771200000,2023-12-17,TRXUSDT,0.10282,0.10345,0.10194,0.10203,199693519.2,20521647.832074,81068
1702684800000,2023-12-16,TRXUSDT,0.10157,0.10318,0.10112,0.10282,235922028.9,24174595.106466,91314
1702598400000,2023-12-15,TRXUSDT,0.10601,0.10628,0.10141,0.10156,298311454.1,31029070.52909,110209
