https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume UNI,Volume USDT,tradecount
1704844800000,2024-01-10,UNIUSDT,6.012,6.755,5.93,6.568,3830777.16,23942433.91835,105260
1704758400000,2024-01-09,UNIUSDT,6.24,6.278,5.705,6.011,3192609.82,18977956.41947,84066
1704672000000,2024-01-08,UNIUSDT,6.007,6.241,5.66,6.24,2939688.96,17566448.2769,69095
1704585600000,2024-01-07,UNIUSDT,6.311,6.446,5.921,6.004,1373058.26,8528485.8303,40197
1704499200000,2024-01-06,UNIUSDT,6.434,6.44,6.015,6.308,1721820.18,10759090.11187,48443
1704412800000,2024-01-05,UNIUSDT,6.532,6.639,6.162,6.434,2493708.19,16046546.03659,65826
1704326400000,2024-01-04,UNIUSDT,6.431,6.716,6.363,6.53,2240246.85,14701513.81651,58190
1704240000000,2024-01-03,UNIUSDT,7.176,7.38,5.879,6.433,6237233.92,41878931.37052,191377
1704153600000,2024-01-02,UNIUSDT,7.603,7.723,7.145,7.175,2848688.7,21213815.8245,94914
1704067200000,2024-01-01,UNIUSDT,7.222,7.644,7.139,7.6,1945826.63,14427461.41688,56637
1703980800000,2023-12-31,UNIUSDT,7.357,7.706,7.143,7.222,2415081.67,18020099.65915,74029
1703894400000,2023-12-30,UNIUSDT,7.566,7.81,7.318,7.358,3041523.58,22987554.14264,89887
1703808000000,2023-12-29,UNIUSDT,7.809,7.882,7.366,7.568,5813176.49,44403707.60051,160269
1703721600000,2023-12-28,UNIUSDT,7.235,8.26,7.223,7.806,10437790.81,80985613.09214,321424
1703635200000,2023-12-27,UNIUSDT,7.346,7.443,6.981,7.237,4791991.55,34658412.12905,130390
1703548800000,2023-12-26,UNIUSDT,6.969,7.799,6.632,7.346,9709654.78,70934605.59129,289226
1703462400000,2023-12-25,UNIUSDT,6.841,7.16,6.664,6.969,5009058.85,34372153.79701,124703
1703376000000,2023-12-24,UNIUSDT,6.341,7.18,6.317,6.842,9372595.58,63603913.64811,234163
1703289600000,2023-12-23,UNIUSDT,6.391,6.426,6.098,6.339,6697092.57,41567378.4307,103537
1703203200000,2023-12-22,UNIUSDT,6.183,6.489,6.121,6.392,4554815.3,28741751.61896,93015
1703116800000,2023-12-21,UNIUSDT,5.93,6.21,5.861,6.182,2931221.25,17601001.48413,58928
1703030400000,2023-12-20,UNIUSDT,5.834,6.107,5.794,5.926,1816453.26,10840110.92462,44276
1702944000000,2023-12-19,UNIUSDT,5.943,6.039,5.75,5.834,1703388.54,10109831.26232,44839
1702857600000,2023-12-18,UNIUSDT,6.065,6.117,5.593,5.945,3717189.38,21604864.51996,87416
1702771200000,2023-12-17,UNIUSDT,6.167,6.28,6.05,6.063,2076777.88,12834400.62886,47630
1702684800000,2023-12-16,UNIUSDT,6.035,6.25,5.931,6.167,1497453.29,9197852.78869,35944
1702598400000,2023-12-15,UNIUSDT,6.364,6.366,5.982,6.036,2333835.74,14387021.61512,52180
1702512000000,2023-12-14,UNIUSDT,6.298,6.473,6.1,6.361,2471343.09,15602818.91603,60287
1702425600000,2023-12-13,UNIUSDT,6.236,6.33,5.943,6.296,2862521.04,17604042.30094,59151
1702339200000,2023-12-12,UNIUSDT,6.099,6.345,6.084,6.232,2761397.24,17176277.36515,59717
1702252800000,2023-12-11,UNIUSDT,6.605,6.618,5.894,6.1,5672416.75,34952765.86466,124298
