https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume XLM,Volume USDT,tradecount
1704844800000,2024-01-10,XLMUSDT,0.1165,0.1224,0.1128,0.1208,114862149.0,13420222.6209,51557
1704758400000,2024-01-09,XLMUSDT,0.1195,0.1205,0.1139,0.1165,98815867.0,11517159.6557,45035
1704672000000,2024-01-08,XLMUSDT,0.1152,0.1201,0.1122,0.1195,132765445.0,15475143.3971,60212
1704585600000,2024-01-07,XLMUSDT,0.1201,0.1205,0.1145,0.1152,53027179.0,6247288.086,25398
1704499200000,2024-01-06,XLMUSDT,0.1192,0.1206,0.1158,0.12,50684749.0,6012643.8217,26162
1704412800000,2024-01-05,XLMUSDT,0.1216,0.1219,0.1141,0.1191,99231748.0,11718883.0091,38170
1704326400000,2024-01-04,XLMUSDT,0.1204,0.1221,0.1191,0.1216,70329544.0,8496734.0501,30638
1704240000000,2024-01-03,XLMUSDT,0.1291,0.133,0.1108,0.1205,178737979.0,21993684.4243,85752
1704153600000,2024-01-02,XLMUSDT,0.132,0.1334,0.1283,0.1291,83796689.0,10997873.245,40091
1704067200000,2024-01-01,XLMUSDT,0.1291,0.1325,0.1272,0.132,46557489.0,6049113.2119,26194
1703980800000,2023-12-31,XLMUSDT,0.1325,0.1334,0.1271,0.129,69558211.0,9098406.8981,36551
1703894400000,2023-12-30,XLMUSDT,0.1297,0.1385,0.1291,0.1325,126968004.0,17050933.4893,64337
1703808000000,2023-12-29,XLMUSDT,0.132,0.1326,0.1268,0.1296,80492577.0,10444952.8778,40167
1703721600000,2023-12-28,XLMUSDT,0.1307,0.136,0.1294,0.132,137771906.0,18275928.7236,64669
1703635200000,2023-12-27,XLMUSDT,0.1261,0.1336,0.1238,0.1307,81253542.0,10519513.6602,42262
1703548800000,2023-12-26,XLMUSDT,0.131,0.1312,0.1204,0.126,97952696.0,12376020.7476,46594
1703462400000,2023-12-25,XLMUSDT,0.1259,0.1317,0.125,0.131,92710666.0,12001095.1527,38049
1703376000000,2023-12-24,XLMUSDT,0.1267,0.1279,0.1243,0.1258,65235274.0,8255355.4055,27882
1703289600000,2023-12-23,XLMUSDT,0.1266,0.1271,0.1237,0.1266,39805779.0,5001184.8335,19028
1703203200000,2023-12-22,XLMUSDT,0.1247,0.1268,0.1231,0.1266,71125419.0,8901673.1686,30759
1703116800000,2023-12-21,XLMUSDT,0.1219,0.1247,0.1211,0.1247,49444199.0,6073610.5496,22296
1703030400000,2023-12-20,XLMUSDT,0.1194,0.1229,0.1187,0.122,58964237.0,7156970.3751,24550
1702944000000,2023-12-19,XLMUSDT,0.1213,0.1226,0.1186,0.1195,65752863.0,7936702.8587,24762
1702857600000,2023-12-18,XLMUSDT,0.1222,0.1225,0.1162,0.1213,80153208.0,9588190.2129,33939
1702771200000,2023-12-17,XLMUSDT,0.1247,0.1251,0.1219,0.1221,42423069.0,5267409.0635,17965
1702684800000,2023-12-16,XLMUSDT,0.1229,0.1262,0.1213,0.1247,35439819.0,4412210.7641,17442
1702598400000,2023-12-15,XLMUSDT,0.1276,0.1282,0.1225,0.123,56752453.0,7126084.5585,24127
1702512000000,2023-12-14,XLMUSDT,0.1248,0.1282,0.1224,0.1276,62165966.0,7791061.8879,29928
1702425600000,2023-12-13,XLMUSDT,0.1232,0.1258,0.1182,0.1249,72760432.0,8852215.4486,31884
1702339200000,2023-12-12,XLMUSDT,0.1235,0.1255,0.1208,0.1231,62853527.0,7761546.3113,30913
1702252800000,2023-12-11,XLMUSDT,0.1333,0.1347,0.1182,0.1234,131079845.0,16428258.1025,64312
1702166400000,2023-12-10,XLMUSDT,0.1337,0.1369,0.1315,0.1333,74424522.0,9964266.2166,33791
1702080000000,2023-12-09,XLMUSDT,0.1323,0.1383,0.1314,0.1337,137938119.0,18619899.4948,60162
1701993600000,2023-12-08,XLMUSDT,0.1261,0.1336,0.1258,0.1322,102413367.0,13314388.0058,45736
1701907200000,2023-12-07,XLMUSDT,0.1254,0.1274,0.1226,0.1262,82292777.0,10295444.4184,38680
1701820800000,2023-12-06,XLMUSDT,0.1225,0.1259,0.1207,0.1254,73899062.0,9124199.2623,39880
1701734400000,2023-12-05,XLMUSDT,0.1222,0.123,0.1195,0.1224,68903867.0,8355175.3871,33334
1701648000000,2023-12-04,XLMUSDT,0.122,0.1254,0.1184,0.1222,107245797.0,13140321.191,43797
1701561600000,2023-12-03,XLMUSDT,0.1215,0.1233,0.1208,0.122,40962428.0,4984350.892,21842
1701475200000,2023-12-02,XLMUSDT,0.1197,0.1218,0.1193,0.1216,38360726.0,4614661.0312,19894
1701388800000,2023-12-01,XLMUSDT,0.1182,0.12,0.1178,0.1198,28755152.0,3429703.7624,14806
1701302400000,2023-11-30,XLMUSDT,0.1185,0.1197,0.1178,0.1183,34161123.0,4056856.9818,18875
1701216000000,2023-11-29,XLMUSDT,0.1186,0.1201,0.118,0.1185,36526636.0,4342150.7666,20767
1701129600000,2023-11-28,XLMUSDT,0.1165,0.1189,0.1149,0.1185,37055076.0,4349503.7778,18684
1701043200000,2023-11-27,XLMUSDT,0.1198,0.1207,0.1146,0.1165,47098366.0,5501333.0653,25627
1700956800000,2023-11-26,XLMUSDT,0.121,0.1237,0.1189,0.1198,67674104.0,8209628.4601,31852
1700870400000,2023-11-25,XLMUSDT,0.1178,0.1215,0.1173,0.1211,39560290.0,4748963.7438,22002
1700784000000,2023-11-24,XLMUSDT,0.1173,0.1191,0.1167,0.1178,44054486.0,5199635.1977,20756
1700697600000,2023-11-23,XLMUSDT,0.1182,0.1188,0.1154,0.1172,46700040.0,5481624.3726,22415
1700611200000,2023-11-22,XLMUSDT,0.1134,0.1185,0.1131,0.1182,40539214.0,4720418.0947,22181
1700524800000,2023-11-21,XLMUSDT,0.1198,0.1204,0.1122,0.1134,77176238.0,9005006.2244,40897
1700438400000,2023-11-20,XLMUSDT,0.1211,0.1219,0.1178,0.1197,52540634.0,6325438.789,27110
1700352000000,2023-11-19,XLMUSDT,0.1192,0.1214,0.1175,0.121,42000231.0,5019185.7046,22270
1700265600000,2023-11-18,XLMUSDT,0.1183,0.1194,0.1144,0.1193,39828734.0,4670589.1931,22349
1700179200000,2023-11-17,XLMUSDT,0.1184,0.1205,0.1142,0.1184,89614362.0,10563565.6755,37544
1700092800000,2023-11-16,XLMUSDT,0.1215,0.1232,0.1168,0.1184,93306179.0,11244293.6031,44776
1700006400000,2023-11-15,XLMUSDT,0.118,0.1218,0.1169,0.1214,67367719.0,8062982.0324,33944
1699920000000,2023-11-14,XLMUSDT,0.1223,0.1226,0.1139,0.1179,128824652.0,15362461.1674,59691
1699833600000,2023-11-13,XLMUSDT,0.1243,0.1376,0.119,0.1223,228378083.0,28764428.1,126047
1699747200000,2023-11-12,XLMUSDT,0.125,0.1268,0.1217,0.1244,66302182.0,8251042.7889,38163
1699660800000,2023-11-11,XLMUSDT,0.1238,0.1273,0.1206,0.125,97526118.0,12133028.5888,49958
1699574400000,2023-11-10,XLMUSDT,0.1229,0.1244,0.1199,0.1237,97370465.0,11933597.741,47839
1699488000000,2023-11-09,XLMUSDT,0.1276,0.1304,0.1098,0.123,199428921.0,24764037.9894,91801
1699401600000,2023-11-08,XLMUSDT,0.1265,0.1319,0.1254,0.1276,74771718.0,9508029.3776,37499
1699315200000,2023-11-07,XLMUSDT,0.131,0.1311,0.1222,0.1266,99362961.0,12622367.8949,48848
1699228800000,2023-11-06,XLMUSDT,0.1256,0.1349,0.125,0.1311,169989533.0,22238263.6308,74470
1699142400000,2023-11-05,XLMUSDT,0.1236,0.1285,0.1228,0.1255,126505986.0,15854843.1255,54694
1699056000000,2023-11-04,XLMUSDT,0.1225,0.1243,0.121,0.1236,45657765.0,5603780.9018,26536
1698969600000,2023-11-03,XLMUSDT,0.1196,0.1243,0.116,0.1225,87697181.0,10607997.9318,44203
1698883200000,2023-11-02,XLMUSDT,0.1225,0.1235,0.117,0.1196,75123999.0,9070363.9431,39814
1698796800000,2023-11-01,XLMUSDT,0.1212,0.123,0.1175,0.1225,85179119.0,10282917.3264,42294
1698710400000,2023-10-31,XLMUSDT,0.1189,0.125,0.1155,0.1212,161708999.0,19560617.9595,65410
