https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume XRP,Volume USDT,tradecount
1704758400000,2024-01-09,XRPUSDT,0.5776,0.5793,0.5531,0.5669,454568370.0,258327968.5304,326240
1704585600000,2024-01-07,XRPUSDT,0.568,0.573,0.5454,0.5515,226717559.0,127831730.9433,214162
1704499200000,2024-01-06,XRPUSDT,0.5758,0.5758,0.5568,0.5679,166749051.0,94643295.6385,153251
1704412800000,2024-01-05,XRPUSDT,0.5868,0.5885,0.553,0.5757,383229345.0,218834036.5278,245647
1704326400000,2024-01-04,XRPUSDT,0.5823,0.5938,0.5692,0.5868,384638363.0,223518040.6822,242875
1704240000000,2024-01-03,XRPUSDT,0.6245,0.6394,0.5,0.5823,1063513320.0,616476961.0012,736079
1704153600000,2024-01-02,XRPUSDT,0.6295,0.6405,0.6213,0.6246,371069494.0,233870765.0564,225913
1704067200000,2024-01-01,XRPUSDT,0.6155,0.6309,0.6083,0.6294,165869400.0,102732273.8982,117055
1703980800000,2023-12-31,XRPUSDT,0.6207,0.6285,0.6055,0.6156,160978768.0,99819076.467,119943
1703894400000,2023-12-30,XRPUSDT,0.6229,0.6297,0.6158,0.6207,168141907.0,104681939.6298,122347
1703808000000,2023-12-29,XRPUSDT,0.6346,0.6363,0.6121,0.623,347060742.0,217547687.8781,243393
1703721600000,2023-12-28,XRPUSDT,0.6341,0.6584,0.6249,0.6346,468193003.0,299092512.0579,355284
1703635200000,2023-12-27,XRPUSDT,0.6219,0.6421,0.6127,0.634,363959180.0,228589962.9332,239715
1703548800000,2023-12-26,XRPUSDT,0.6461,0.6469,0.6,0.6219,427204990.0,266404566.6774,302019
1703462400000,2023-12-25,XRPUSDT,0.6122,0.6488,0.6082,0.6462,501529244.0,317774651.6537,326833
1703376000000,2023-12-24,XRPUSDT,0.6195,0.6295,0.6035,0.6121,305003397.0,188565171.4613,202416
1703289600000,2023-12-23,XRPUSDT,0.6243,0.6249,0.6106,0.6195,170948891.0,105499262.1589,109711
1703203200000,2023-12-22,XRPUSDT,0.624,0.6317,0.6154,0.6244,386616422.0,240110049.2457,220638
1703116800000,2023-12-21,XRPUSDT,0.6171,0.6249,0.6103,0.6241,294263304.0,181486794.9879,163056
1703030400000,2023-12-20,XRPUSDT,0.6047,0.6264,0.601,0.6171,380133323.0,233730636.44,207789
1702944000000,2023-12-19,XRPUSDT,0.6125,0.6167,0.5972,0.6047,309456484.0,188305009.5832,166330
1702857600000,2023-12-18,XRPUSDT,0.6103,0.6145,0.5778,0.6125,477105096.0,285526632.3142,273493
1702771200000,2023-12-17,XRPUSDT,0.6202,0.6237,0.6084,0.6103,176476817.0,108983642.7115,123202
1702684800000,2023-12-16,XRPUSDT,0.6156,0.6258,0.61,0.6203,160755138.0,99749269.6558,104112
1702598400000,2023-12-15,XRPUSDT,0.6316,0.6441,0.6116,0.6156,356613976.0,224036403.9219,214133
1702512000000,2023-12-14,XRPUSDT,0.6276,0.6379,0.6053,0.6316,340698850.0,213406134.1976,221555
1702425600000,2023-12-13,XRPUSDT,0.6191,0.6348,0.5925,0.6275,383566539.0,234465552.887,246939
1702339200000,2023-12-12,XRPUSDT,0.6187,0.6263,0.6067,0.6192,372907112.0,231170040.1073,229429
1702252800000,2023-12-11,XRPUSDT,0.6617,0.6628,0.6,0.6187,601855237.0,374407040.2717,442580
1702166400000,2023-12-10,XRPUSDT,0.6584,0.6715,0.6468,0.6617,251001949.0,165918653.9992,222709
1702080000000,2023-12-09,XRPUSDT,0.672,0.7,0.651,0.6584,522942153.0,355677766.9118,432033
1701993600000,2023-12-08,XRPUSDT,0.6431,0.6756,0.6373,0.6721,497144485.0,325864380.6329,331483
1701907200000,2023-12-07,XRPUSDT,0.64,0.6544,0.6204,0.6432,454683854.0,290693308.7034,326240
1701820800000,2023-12-06,XRPUSDT,0.621,0.6437,0.6104,0.64,498860756.0,312787290.2284,350624
1701734400000,2023-12-05,XRPUSDT,0.6246,0.6307,0.6076,0.621,369372743.0,227916914.9618,251818
1701648000000,2023-12-04,XRPUSDT,0.6229,0.6439,0.582,0.6245,492198799.0,306906152.554,375265
