Timezones are UTC,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USD
1602460800.0,2020-10-12,ETHUSD,370.48,374.9,364.94,367.48,13.4,4981.97
1602374400.0,2020-10-11,ETHUSD,372,372,360,370.48,48.82,18103.75
1602288000.0,2020-10-10,ETHUSD,362.12,375,362.12,372,2.207,821.52
1602201600.0,2020-10-09,ETHUSD,339.36,364.35,339.36,362.12,5.746,2038.55
1602115200.0,2020-10-08,ETHUSD,339.36,339.36,339.36,339.36,0.0,0.0
1602028800.0,2020-10-07,ETHUSD,341,343.45,335.31,339.36,9.988,3390.15
1601942400.0,2020-10-06,ETHUSD,353,353,341,341,0.2934,100.3
1601856000.0,2020-10-05,ETHUSD,353.9,353.9,348.41,353,1.113,392.86
1601769600.0,2020-10-04,ETHUSD,345.64,353.9,345.64,353.9,0.03961,13.92
1601683200.0,2020-10-03,ETHUSD,374.99,374.99,345.64,345.64,0.0175,6.049
1601596800.0,2020-10-02,ETHUSD,353.73,374.99,340,374.99,2.887,1009.47
1601510400.0,2020-10-01,ETHUSD,351.56,366.41,348.27,353.73,2.969,1045.7
1601424000.0,2020-09-30,ETHUSD,359.73,359.73,351.56,351.56,0.1399,49.18
1601337600.0,2020-09-29,ETHUSD,359.73,359.73,359.73,359.73,0.0,0.0
1601251200.0,2020-09-28,ETHUSD,354.49,363.31,354.49,359.73,6.775,2433.84
1601164800.0,2020-09-27,ETHUSD,355.38,355.38,354.34,354.49,1.963,695.5
1601078400.0,2020-09-26,ETHUSD,332,355.38,332,355.38,1.821,642.9
1600992000.0,2020-09-25,ETHUSD,332,332,332,332,0.0,0.0
1600905600.0,2020-09-24,ETHUSD,315.99,332,315.99,332,0.09104,30.22
1600819200.0,2020-09-23,ETHUSD,342.63,342.63,315.99,315.99,6.627,2198.36
1600732800.0,2020-09-22,ETHUSD,347.3,347.3,342.63,342.63,0.04848,16.61
1600646400.0,2020-09-21,ETHUSD,368.83,394.99,339.51,347.3,10.06,3533.53
1600560000.0,2020-09-20,ETHUSD,382.87,382.87,368.83,368.83,1.278,471.48
1600473600.0,2020-09-19,ETHUSD,376.73,387.93,376.73,382.87,1.27,486.56
1600387200.0,2020-09-18,ETHUSD,390,390.67,340,376.73,8.651,3211.31
1600300800.0,2020-09-17,ETHUSD,370,390,370,390,8.12,3161.24
1600214400.0,2020-09-16,ETHUSD,375,382,370,370,4.625,1713.24
1600128000.0,2020-09-15,ETHUSD,375,375,375,375,0.0,0.0
1600041600.0,2020-09-14,ETHUSD,380,385,340.01,375,1.502,539.13
1599955200.0,2020-09-13,ETHUSD,384,384,380,380,0.05203,19.77
1599868800.0,2020-09-12,ETHUSD,379.99,384,379.99,384,7.743,2949.15
1599782400.0,2020-09-11,ETHUSD,399.5,399.5,363,379.99,5.472,2004.76
1599696000.0,2020-09-10,ETHUSD,330,409,330,399.5,26.38,10716.84
1599609600.0,2020-09-09,ETHUSD,330,330,330,330,0.0,0.0
1599523200.0,2020-09-08,ETHUSD,350,409.5,330,330,4.549,1552.55
1599436800.0,2020-09-07,ETHUSD,420,420,343,350,1.516,529.24
1599350400.0,2020-09-06,ETHUSD,329.3,420,329.3,420,4.525,1598.26
1599264000.0,2020-09-05,ETHUSD,378.81,389,328.39,329.3,15.44,5451.37
1599177600.0,2020-09-04,ETHUSD,396.2,396.2,378.81,378.81,2.46,950.13
1599091200.0,2020-09-03,ETHUSD,488.88,488.88,396.2,396.2,8.398,3503.23
1599004800.0,2020-09-02,ETHUSD,485,488.88,425.01,488.88,7.241,3128.03
1598918400.0,2020-09-01,ETHUSD,435,485,435,485,46.67,21794.71
1598832000.0,2020-08-31,ETHUSD,410,437.68,410,435,7.719,3290.1
1598745600.0,2020-08-30,ETHUSD,404,410,403.99,410,18.16,7442.31
1598659200.0,2020-08-29,ETHUSD,391.41,404.99,390.23,404,7.361,2956.88
1598572800.0,2020-08-28,ETHUSD,404.8,404.8,391.41,391.41,0.1168,45.7
1598486400.0,2020-08-27,ETHUSD,387.02,404.8,385,404.8,0.9566,370.78
1598400000.0,2020-08-26,ETHUSD,387,387.02,387,387.02,0.1034,40.0
1598313600.0,2020-08-25,ETHUSD,407.19,409.99,387,387,12.67,5015.03
1598227200.0,2020-08-24,ETHUSD,387,407.19,387,407.19,3.126,1229.91
1598140800.0,2020-08-23,ETHUSD,421.64,421.64,387,387,21.99,8510.16
1598054400.0,2020-08-22,ETHUSD,389.9,421.64,389.9,421.64,13.4,5239.28
1597968000.0,2020-08-21,ETHUSD,421.65,421.65,389.9,389.9,0.8917,347.67
1597881600.0,2020-08-20,ETHUSD,400,442,380,421.65,16.16,6488.11
1597795200.0,2020-08-19,ETHUSD,439.99,439.99,400,400,56.53,22887.45
1597708800.0,2020-08-18,ETHUSD,407,439.99,407,439.99,1.69,710.44
1597622400.0,2020-08-17,ETHUSD,404,407,404,407,0.2002,81.4
1597536000.0,2020-08-16,ETHUSD,438.47,438.47,404,404,1.042,436.96
1597449600.0,2020-08-15,ETHUSD,430,442,420,438.47,6.184,2693.58
1597363200.0,2020-08-14,ETHUSD,375,442,375,430,5.622,2313.47
1597276800.0,2020-08-13,ETHUSD,389.2,411,375,375,12.94,5099.13
1597190400.0,2020-08-12,ETHUSD,388.99,389.2,360,389.2,4.81,1824.5
1597104000.0,2020-08-11,ETHUSD,360.01,389.9,360.01,388.99,0.1301,50.63
1597017600.0,2020-08-10,ETHUSD,352.5,390,352.5,360.01,9.777,3747.66
1596931200.0,2020-08-09,ETHUSD,340.04,380,340.04,352.5,5.384,1917.94
1596844800.0,2020-08-08,ETHUSD,343,343,340.04,340.04,3.805,1298.58
1596758400.0,2020-08-07,ETHUSD,399.98,399.98,343,343,11.42,3928.65
1596672000.0,2020-08-06,ETHUSD,378,399.98,351.03,399.98,0.8078,313.7
1596585600.0,2020-08-05,ETHUSD,374.99,378,350,378,12.62,4769.14
1596499200.0,2020-08-04,ETHUSD,365.32,378,325.01,374.99,14.61,5226.16
1596412800.0,2020-08-03,ETHUSD,325,365.32,325,365.32,1.757,641.7
1596326400.0,2020-08-02,ETHUSD,362.9,365.32,325,325,2.488,830.35
1596240000.0,2020-08-01,ETHUSD,326,362.9,323.98,362.9,3.833,1359.47
1596153600.0,2020-07-31,ETHUSD,323.79,326,322,326,2.517,820.25
1596067200.0,2020-07-30,ETHUSD,279.2,323.79,279.2,323.79,0.5215,167.8
1595980800.0,2020-07-29,ETHUSD,292.61,293.99,275,279.2,10.13,2961.37
1595894400.0,2020-07-28,ETHUSD,298.47,298.47,275,292.61,3.567,1027.24
1595808000.0,2020-07-27,ETHUSD,309.22,316.85,293.55,298.47,11.01,3368.02
1595721600.0,2020-07-26,ETHUSD,296,311.23,296,309.22,1.504,458.76
1595635200.0,2020-07-25,ETHUSD,284,296,284,296,5.054,1459.96
1595548800.0,2020-07-24,ETHUSD,275.36,284,254.36,284,4.606,1258.62
1595462400.0,2020-07-23,ETHUSD,258.94,275.36,254.36,275.36,43.48,11780.63
1595376000.0,2020-07-22,ETHUSD,243,258.94,243,258.94,5.287,1346.31
1595289600.0,2020-07-21,ETHUSD,237.16,243,237.16,243,0.12,29.16
1595203200.0,2020-07-20,ETHUSD,243.79,246.29,236.67,237.16,1.349,327.66
1595116800.0,2020-07-19,ETHUSD,233.16,243.79,233.16,243.79,2.53,605.7
1595030400.0,2020-07-18,ETHUSD,232.79,235.68,232.49,233.16,2.353,548.58
1594944000.0,2020-07-17,ETHUSD,233.26,233.81,231.71,232.79,5.923,1379.04
1594857600.0,2020-07-16,ETHUSD,237.82,240.18,230.12,233.26,47.87,11236.91
1594771200.0,2020-07-15,ETHUSD,240.85,242.8,236.69,237.82,20.9,4989.27
1594684800.0,2020-07-14,ETHUSD,239.69,240.85,235.2,240.85,21.18,5075.96
1594598400.0,2020-07-13,ETHUSD,238,245.8,237.23,239.69,15.55,3757.25
1594512000.0,2020-07-12,ETHUSD,237.44,239,237.44,238,0.04201,10.02
1594425600.0,2020-07-11,ETHUSD,237.44,237.44,237.44,237.44,0.0,0.0
1594339200.0,2020-07-10,ETHUSD,242,242.05,237.44,237.44,14.08,3383.5
1594252800.0,2020-07-09,ETHUSD,248.78,899,242,242,150.79,60418.9
1594166400.0,2020-07-08,ETHUSD,234.7,248.78,234.7,248.78,2.694,658.48
1594080000.0,2020-07-07,ETHUSD,240,240,234.7,234.7,3.018,710.9
1593993600.0,2020-07-06,ETHUSD,226.29,240,226.29,240,3.111,728.02
1593907200.0,2020-07-05,ETHUSD,225.89,227.79,224.92,226.29,3.586,813.37
1593820800.0,2020-07-04,ETHUSD,226.89,226.89,225.89,225.89,0.1063,24.08
1593734400.0,2020-07-03,ETHUSD,226.54,226.89,226.54,226.89,0.1188,26.94
1593648000.0,2020-07-02,ETHUSD,230.34,232.46,224.92,226.54,2.725,617.44
1593561600.0,2020-07-01,ETHUSD,229.62,233.17,223.77,230.34,2.87,650.54
1593475200.0,2020-06-30,ETHUSD,224,229.62,224,229.62,5.725,1314.57
1593388800.0,2020-06-29,ETHUSD,225,225,223.58,224,1.359,304.65
1593302400.0,2020-06-28,ETHUSD,221,229.72,221,225,12.12,2760.68
1593216000.0,2020-06-27,ETHUSD,160,230,160,221,7.802,1764.89
1593129600.0,2020-06-26,ETHUSD,236,236,160,160,28.5,5832.75
