https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BTC
1705017600000,2024-01-12 00:00:00,BTC/USD,46334,46508,46086,46417,9093033.23215518,195.89877054
1704931200000,2024-01-11 00:00:00,BTC/USD,46654,48750,45581,46333,251117497.38142887,5419.84109342
1704844800000,2024-01-10 00:00:00,BTC/USD,46100,47582,44268,46653,235809277.5065508,5054.5362036
1704758400000,2024-01-09 00:00:00,BTC/USD,46946,47857,44545,46113,178430799.87977663,3869.42510528
1704672000000,2024-01-08 00:00:00,BTC/USD,43959,47224,43241,46946,179592359.92219687,3825.50930691
1704585600000,2024-01-07 00:00:00,BTC/USD,44011,44500,43627,43959,25244258.63388042,574.26826438
1704499200000,2024-01-06 00:00:00,BTC/USD,44192,44263,43453,44018,32673617.37148444,742.27855358
1704412800000,2024-01-05 00:00:00,BTC/USD,44216,44449,42413,44191,83700034.24808753,1894.05159983
1704326400000,2024-01-04 00:00:00,BTC/USD,42874,44810,42673,44224,81787334.99292992,1849.38800183
1704240000000,2024-01-03 00:00:00,BTC/USD,45003,45559,40383,42869,179473482.0842879,4186.55630139
1704153600000,2024-01-02 00:00:00,BTC/USD,44180,45920,44175,44994,139689302.35084003,3104.62066833
1704067200000,2024-01-01 00:00:00,BTC/USD,42331,44190,42232,44175,51337717.2775965,1162.14413758
1703980800000,2023-12-31 00:00:00,BTC/USD,42198,42939,42023,42326,27788378.34901142,656.53211617
1703894400000,2023-12-30 00:00:00,BTC/USD,42123,42665,41585,42199,28371976.45816881,672.33764919
1703808000000,2023-12-29 00:00:00,BTC/USD,42659,43175,41304,42139,68981579.05876368,1637.00085571
1703721600000,2023-12-28 00:00:00,BTC/USD,43475,43793,42388,42617,46653435.52038509,1094.71421077
1703635200000,2023-12-27 00:00:00,BTC/USD,42569,43666,42171,43479,44216145.14560227,1016.95405013
1703548800000,2023-12-26 00:00:00,BTC/USD,43640,43649,41616,42568,84526586.56343272,1985.68376629
1703462400000,2023-12-25 00:00:00,BTC/USD,43040,43881,42784,43641,36534202.53149862,837.15319382
1703376000000,2023-12-24 00:00:00,BTC/USD,43801,43978,42700,43043,32087873.66197413,745.48413591
1703289600000,2023-12-23 00:00:00,BTC/USD,44058,44068,43332,43801,28787265.22276902,657.22849302
1703203200000,2023-12-22 00:00:00,BTC/USD,43890,44444,43480,44038,43718907.32904156,992.75415162
1703116800000,2023-12-21 00:00:00,BTC/USD,43697,44250,43362,43890,51265120.8552714,1168.03647426
1703030400000,2023-12-20 00:00:00,BTC/USD,42309,44363,42244,43689,95057552.43204392,2175.77771137
1702944000000,2023-12-19 00:00:00,BTC/USD,42684,43529,41850,42316,40521921.36570532,957.60283027
1702857600000,2023-12-18 00:00:00,BTC/USD,41410,42773,40508,42672,62172405.77555952,1456.98363741
1702771200000,2023-12-17 00:00:00,BTC/USD,42321,42448,41286,41411,45929014.16937104,1109.10178864
1702684800000,2023-12-16 00:00:00,BTC/USD,41976,42746,41693,42328,27540529.7250512,650.6456654
1702598400000,2023-12-15 00:00:00,BTC/USD,43061,43106,41723,41974,42463409.20618862,1011.65981813
1702512000000,2023-12-14 00:00:00,BTC/USD,42902,43470,41475,43064,71747515.59429216,1666.06714644
1702425600000,2023-12-13 00:00:00,BTC/USD,41518,43461,40666,42891,62398169.607604235,1454.80799253
1702339200000,2023-12-12 00:00:00,BTC/USD,41286,42115,40695,41501,37461622.993434645,902.66795965
1702252800000,2023-12-11 00:00:00,BTC/USD,43818,43842,40198,41287,124044708.17366907,3004.44954038
1702166400000,2023-12-10 00:00:00,BTC/USD,43745,44066,43623,43809,41014087.37905212,936.20231868
1702080000000,2023-12-09 00:00:00,BTC/USD,44178,44366,43623,43749,56216738.360171795,1284.98339071
1701993600000,2023-12-08 00:00:00,BTC/USD,43284,44699,43086,44173,86676813.66937168,1962.21252053
1701907200000,2023-12-07 00:00:00,BTC/USD,43809,44091,42862,43290,127080375.00564511,2935.55959819
1701820800000,2023-12-06 00:00:00,BTC/USD,44113,44297,43444,43814,224570705.61601752,5125.54675711
1701734400000,2023-12-05 00:00:00,BTC/USD,41905,44488,40849,44112,235210246.02888912,5332.11475401
1701648000000,2023-12-04 00:00:00,BTC/USD,39959,42336,39959,41942,123884155.44775362,2953.70167011
1701561600000,2023-12-03 00:00:00,BTC/USD,39431,40170,39253,39940,56264874.8767372,1408.73497438
1701475200000,2023-12-02 00:00:00,BTC/USD,38676,39678,38634,39438,112652391.99550013,2856.44282153
1701388800000,2023-12-01 00:00:00,BTC/USD,37732,38979,37618,38676,104031677.73074868,2689.82515593
1701302400000,2023-11-30 00:00:00,BTC/USD,37840,38136,37490,37724,27701778.05784932,734.3276974300001
1701216000000,2023-11-29 00:00:00,BTC/USD,37815,38402,37555,37834,45014106.84149704,1189.77921556
1701129600000,2023-11-28 00:00:00,BTC/USD,37253,38349,36891,37815,67760625.9299898,1791.89808092
1701043200000,2023-11-27 00:00:00,BTC/USD,37442,37547,36732,37263,65009879.527565755,1744.62280352
1700956800000,2023-11-26 00:00:00,BTC/USD,37781,37798,37117,37443,68782349.04491937,1836.98819659
1700870400000,2023-11-25 00:00:00,BTC/USD,37710,37893,37583,37781,42638747.26964071,1128.57646091
1700784000000,2023-11-24 00:00:00,BTC/USD,37290,38410,37248,37704,137387705.24450016,3643.84959804
1700697600000,2023-11-23 00:00:00,BTC/USD,37408,37645,36890,37280,48301431.9934288,1295.63927021
1700611200000,2023-11-22 00:00:00,BTC/USD,35756,37888,35660,37407,78322466.83263299,2093.791719
1700524800000,2023-11-21 00:00:00,BTC/USD,37451,37645,35755,35755,95947400.4595564,2683.46805928
1700438400000,2023-11-20 00:00:00,BTC/USD,37379,37745,36620,37451,61869163.906209566,1652.00298807
1700352000000,2023-11-19 00:00:00,BTC/USD,36586,37509,36410,37369,19461482.016652532,520.79215437
1700265600000,2023-11-18 00:00:00,BTC/USD,36631,36850,36221,36581,12385991.80922476,338.59084796
1700179200000,2023-11-17 00:00:00,BTC/USD,36181,36846,35866,36631,32209482.112009577,879.29573618
1700092800000,2023-11-16 00:00:00,BTC/USD,37856,37929,35517,36161,34724932.88554724,960.28685284
1700006400000,2023-11-15 00:00:00,BTC/USD,35550,37950,35374,37865,75537528.53171635,1994.91690299
1699920000000,2023-11-14 00:00:00,BTC/USD,36500,36756,34779,35542,72953873.60146339,2052.6102527
1699833600000,2023-11-13 00:00:00,BTC/USD,37045,37444,36379,36503,44942286.287782036,1231.19432068
1699747200000,2023-11-12 00:00:00,BTC/USD,37133,37215,36751,37046,16726174.235961542,451.49744199
1699660800000,2023-11-11 00:00:00,BTC/USD,37301,37405,36651,37141,45219567.636335045,1217.51077344
1699574400000,2023-11-10 00:00:00,BTC/USD,36708,37522,36350,37301,35453672.420906186,950.47511919
1699488000000,2023-11-09 00:00:00,BTC/USD,35629,37974,35524,36699,145746340.69070244,3971.39814956
1699401600000,2023-11-08 00:00:00,BTC/USD,35439,36103,35106,35629,25118733.234690808,705.00808989
1699315200000,2023-11-07 00:00:00,BTC/USD,35068,35930,34518,35455,34562722.100595504,974.8335101
1699228800000,2023-11-06 00:00:00,BTC/USD,35062,35323,34798,35053,13137541.91520424,374.79080008
1699142400000,2023-11-05 00:00:00,BTC/USD,35103,35439,34479,35074,21402344.76534362,610.20541613
1699056000000,2023-11-04 00:00:00,BTC/USD,34757,35296,34647,35103,25420181.08449996,724.15978932
1698969600000,2023-11-03 00:00:00,BTC/USD,34947,34954,34154,34751,52476871.63156174,1510.08234674
1698883200000,2023-11-02 00:00:00,BTC/USD,35447,35975,34333,34944,76535881.02136704,2190.24384791
1698796800000,2023-11-01 00:00:00,BTC/USD,34670,35622,34111,35447,70431152.15334776,1986.94253825
1698710400000,2023-10-31 00:00:00,BTC/USD,34492,34732,34111,34669,48286227.89977924,1392.77821396
1698624000000,2023-10-30 00:00:00,BTC/USD,34552,34876,34100,34490,46987349.4054612,1362.34703988
1698537600000,2023-10-29 00:00:00,BTC/USD,34103,34783,33969,34552,51549161.37753648,1491.92988474
1698451200000,2023-10-28 00:00:00,BTC/USD,33933,34531,33906,34104,25630341.73435176,751.53476819
1698364800000,2023-10-27 00:00:00,BTC/USD,34184,34269,33428,33933,38016268.67751237,1120.33326489
1698278400000,2023-10-26 00:00:00,BTC/USD,34501,34843,33768,34184,34641454.17540448,1013.38211372
1698192000000,2023-10-25 00:00:00,BTC/USD,33953,35152,33720,34504,77137147.1443,2235.6001375
1698105600000,2023-10-24 00:00:00,BTC/USD,33078,35199,32851,33949,180020031.08026934,5302.66078766
1698019200000,2023-10-23 00:00:00,BTC/USD,30023,33542,29923,33084,223875835.2711414,6766.89140585
1697932800000,2023-10-22 00:00:00,BTC/USD,29917,30243,29668,30023,15124314.2536689,503.7575943
1697846400000,2023-10-21 00:00:00,BTC/USD,29688,30362,29478,29922,23678543.45739804,791.34227182
1697760000000,2023-10-20 00:00:00,BTC/USD,28752,30260,28619,29689,93633718.72045499,3153.81854291
1697673600000,2023-10-19 00:00:00,BTC/USD,28327,28955,28147,28751,44880851.01105734,1561.01878234
1697587200000,2023-10-18 00:00:00,BTC/USD,28409,28990,28166,28332,28933030.4922144,1021.2138392
1697500800000,2023-10-17 00:00:00,BTC/USD,28526,28624,28099,28410,23482972.9160307,826.57419627
1697414400000,2023-10-16 00:00:00,BTC/USD,27169,30208,27129,28524,122948293.04560524,4310.34543001
1697328000000,2023-10-15 00:00:00,BTC/USD,26870,27304,26832,27168,12731849.331386881,468.63403016
1697241600000,2023-10-14 00:00:00,BTC/USD,26875,26995,26820,26871,9700698.92026131,361.00997061
1697155200000,2023-10-13 00:00:00,BTC/USD,26794,27140,26699,26875,22980736.3582875,855.09716682
1697068800000,2023-10-12 00:00:00,BTC/USD,26889,26964,26580,26795,38677509.82943045,1443.45996751
1696982400000,2023-10-11 00:00:00,BTC/USD,27425,27492,26562,26894,53136993.147517584,1975.79360257
1696896000000,2023-10-10 00:00:00,BTC/USD,27624,27752,27325,27414,34940051.7672465,1274.53314975
1696809600000,2023-10-09 00:00:00,BTC/USD,27927,27989,27331,27618,84819627.78893352,3071.17198164
1696723200000,2023-10-08 00:00:00,BTC/USD,27964,28093,27710,27929,8441588.54566467,302.25172923
1696636800000,2023-10-07 00:00:00,BTC/USD,27927,28026,27840,27967,12505914.03235863,447.16680489
1696550400000,2023-10-06 00:00:00,BTC/USD,27418,28297,27195,27942,45336751.38262236,1622.53064858
1696464000000,2023-10-05 00:00:00,BTC/USD,27815,28134,27369,27418,39617424.72222234,1444.94218113
1696377600000,2023-10-04 00:00:00,BTC/USD,27431,27846,27211,27813,24743181.56442309,889.62648993
1696291200000,2023-10-03 00:00:00,BTC/USD,27532,27700,27176,27431,21057592.602487393,767.65676069
1696204800000,2023-10-02 00:00:00,BTC/USD,28023,28611,27335,27532,57367145.630157284,2083.65340804
1696118400000,2023-10-01 00:00:00,BTC/USD,26976,28105,26973,28010,51315444.1065633,1832.04013233
1696032000000,2023-09-30 00:00:00,BTC/USD,26928,27110,26909,26980,8953904.728058,331.8719321
1695945600000,2023-09-29 00:00:00,BTC/USD,27061,27264,26708,26929,28436979.90834043,1055.99836267
1695859200000,2023-09-28 00:00:00,BTC/USD,26392,27335,26368,27046,28830605.15532678,1065.98406993
1695772800000,2023-09-27 00:00:00,BTC/USD,26250,26876,26147,26391,50457884.65352043,1911.93530573
1695686400000,2023-09-26 00:00:00,BTC/USD,26331,26410,26129,26244,23716106.057367,903.67726175
1695600000000,2023-09-25 00:00:00,BTC/USD,26293,26466,26040,26330,30934233.465254,1174.8664438
1695513600000,2023-09-24 00:00:00,BTC/USD,26608,26768,26191,26299,53490195.27601932,2033.92506468
1695427200000,2023-09-23 00:00:00,BTC/USD,26607,26810,26555,26609,23545643.23594901,884.87516389
1695340800000,2023-09-22 00:00:00,BTC/USD,26594,26749,26525,26606,54165703.10670092,2035.84541482
1695254400000,2023-09-21 00:00:00,BTC/USD,27144,27167,26412,26594,40796765.26619832,1534.05900828
1695168000000,2023-09-20 00:00:00,BTC/USD,27245,27414,26804,27144,39164285.0224548,1442.83396045
1695081600000,2023-09-19 00:00:00,BTC/USD,26788,27508,26700,27244,43568932.7264926,1599.21203665
