https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume DOT
1705017600000,2024-01-12 00:00:00,DOT/USD,8.1701,8.208,8.1136,8.208,1309.4170462238399,159.52936723
1704931200000,2024-01-11 00:00:00,DOT/USD,7.9933,8.5722,7.8866,8.176,442196.6784285781,54084.72094283
1704844800000,2024-01-10 00:00:00,DOT/USD,7.1267,8.0729,6.818,7.9671,319375.3551274223,40086.77625829
1704758400000,2024-01-09 00:00:00,DOT/USD,7.4911,7.5286,6.9109,7.1179,216424.4436688522,30405.65948789
1704672000000,2024-01-08 00:00:00,DOT/USD,6.9449,7.5006,6.5245,7.4911,438047.79406172194,58475.76378125
1704585600000,2024-01-07 00:00:00,DOT/USD,7.1406,7.3315,6.8367,6.8759,87885.8455235657,12781.72246885
1704499200000,2024-01-06 00:00:00,DOT/USD,7.4474,7.452,6.9538,7.1358,101124.68178195247,14171.45684884
1704412800000,2024-01-05 00:00:00,DOT/USD,7.8891,7.9683,7.199,7.4349,319914.04536620085,43028.69512249
1704326400000,2024-01-04 00:00:00,DOT/USD,7.6482,8.0,7.4898,7.8752,288856.57523749117,36679.26849318
1704240000000,2024-01-03 00:00:00,DOT/USD,8.4332,8.5932,6.5351,7.6492,709032.4284910954,92693.67103633
1704153600000,2024-01-02 00:00:00,DOT/USD,8.5831,8.8,8.3573,8.4197,357608.9673511807,42472.88708044
1704067200000,2024-01-01 00:00:00,DOT/USD,8.2014,8.6372,8.0892,8.5994,145123.49696826536,16876.0026244
1703980800000,2023-12-31 00:00:00,DOT/USD,8.3428,8.6579,8.0228,8.2062,171727.3487775108,20926.53710335
1703894400000,2023-12-30 00:00:00,DOT/USD,8.297,8.4919,8.1049,8.3564,111285.14752976088,13317.3552642
1703808000000,2023-12-29 00:00:00,DOT/USD,8.4693,8.6879,8.0699,8.2998,215630.68431230317,25980.22654911
1703721600000,2023-12-28 00:00:00,DOT/USD,8.6827,8.915,8.2859,8.4346,422590.17324829457,50101.98151048
1703635200000,2023-12-27 00:00:00,DOT/USD,8.8026,9.0206,8.4103,8.7035,285639.72336138453,32818.94908501
1703548800000,2023-12-26 00:00:00,DOT/USD,9.2088,9.5851,8.3494,8.8335,666134.5186499569,75410.03211071
1703462400000,2023-12-25 00:00:00,DOT/USD,8.6645,9.4049,8.5185,9.1899,954309.576648093,103843.30369733
1703376000000,2023-12-24 00:00:00,DOT/USD,8.336,9.2226,8.3239,8.6211,956709.9592189007,110973.07295112
1703289600000,2023-12-23 00:00:00,DOT/USD,7.9674,8.4565,7.5997,8.3476,665483.3781560952,79721.52213284
1703203200000,2023-12-22 00:00:00,DOT/USD,8.4516,8.5744,7.8548,7.9647,514076.8297948642,64544.405915459996
1703116800000,2023-12-21 00:00:00,DOT/USD,6.9346,8.4438,6.9346,8.4348,1767346.252015193,209530.30919704
1703030400000,2023-12-20 00:00:00,DOT/USD,6.7177,7.137,6.6236,6.9604,82771.52038760096,11891.77639038
1702944000000,2023-12-19 00:00:00,DOT/USD,6.8741,7.0464,6.6111,6.706,52865.209720991086,7883.27016418
1702857600000,2023-12-18 00:00:00,DOT/USD,6.7933,6.888,6.372,6.888,260467.0304963664,37814.6095378
1702771200000,2023-12-17 00:00:00,DOT/USD,7.1025,7.1564,6.756,6.7928,340781.73433733184,50168.08007557
1702684800000,2023-12-16 00:00:00,DOT/USD,6.9689,7.3577,6.8826,7.0824,175799.45109272364,24822.01670235
1702598400000,2023-12-15 00:00:00,DOT/USD,7.5132,7.5657,6.943,6.9493,455869.8522082157,65599.39162336
1702512000000,2023-12-14 00:00:00,DOT/USD,7.5778,7.7808,6.9484,7.5377,476113.2644465561,63164.26289804
1702425600000,2023-12-13 00:00:00,DOT/USD,7.1489,7.6489,6.63,7.6184,355389.7944402869,46648.87567472
1702339200000,2023-12-12 00:00:00,DOT/USD,6.7249,7.3349,6.7249,7.1261,515936.7669585526,72401.00012048
1702252800000,2023-12-11 00:00:00,DOT/USD,7.3334,7.36,6.24,6.7109,722536.6307607713,107666.12984261
1702166400000,2023-12-10 00:00:00,DOT/USD,7.1057,7.3564,6.9196,7.3564,503557.9944035338,68451.68756505
1702080000000,2023-12-09 00:00:00,DOT/USD,6.8826,7.68,6.8826,7.1124,1012596.1865730956,142370.53407754
1701993600000,2023-12-08 00:00:00,DOT/USD,6.2525,6.91,6.174,6.8421,1367028.696531345,199796.65549047
1701907200000,2023-12-07 00:00:00,DOT/USD,6.0651,6.3011,5.9055,6.2479,578151.8517779576,92535.3881749
1701820800000,2023-12-06 00:00:00,DOT/USD,5.9227,6.201,5.8114,6.0404,435373.63234178827,72076.9539007
1701734400000,2023-12-05 00:00:00,DOT/USD,5.6127,5.94,5.5114,5.9127,574343.5936563516,97137.27969563
1701648000000,2023-12-04 00:00:00,DOT/USD,5.5406,5.7122,5.4431,5.6183,431716.5489290484,76841.13502822
1701561600000,2023-12-03 00:00:00,DOT/USD,5.5558,5.6131,5.422,5.5509,167003.76078715496,30085.8889166
1701475200000,2023-12-02 00:00:00,DOT/USD,5.4733,5.597,5.454,5.5729,171625.7431759857,30796.48713883
1701388800000,2023-12-01 00:00:00,DOT/USD,5.4805,5.5291,5.3699,5.4732,133523.53959105356,24395.88167636
1701302400000,2023-11-30 00:00:00,DOT/USD,5.1552,5.5718,5.12,5.4732,119489.8451027679,21831.80682284
1701216000000,2023-11-29 00:00:00,DOT/USD,5.2781,5.39,5.1507,5.1625,323991.9527752731,62758.73177245
1701129600000,2023-11-28 00:00:00,DOT/USD,5.1549,5.301,5.1178,5.2601,166220.58919578613,31600.27170506
1701043200000,2023-11-27 00:00:00,DOT/USD,5.3414,5.3761,5.0423,5.1626,57749.11062928988,11186.0517238
1700956800000,2023-11-26 00:00:00,DOT/USD,5.3366,5.4108,5.1703,5.3217,109225.86457697008,20524.61893323
1700870400000,2023-11-25 00:00:00,DOT/USD,5.2288,5.3823,5.2288,5.3215,55704.36199651327,10467.79329071
1700784000000,2023-11-24 00:00:00,DOT/USD,5.1416,5.2919,5.1185,5.254,100921.94144939064,19208.59182516
