https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume LTC
1705017600000,2024-01-12 00:00:00,LTC/USD,71.869,71.945,71.409,71.815,2535.17612157605,35.30148467
1704931200000,2024-01-11 00:00:00,LTC/USD,69.785,74.47,69.585,71.93,1530532.6959003126,21278.08558182
1704844800000,2024-01-10 00:00:00,LTC/USD,66.912,71.07,65.116,70.044,884997.8433359653,12634.88440603
1704758400000,2024-01-09 00:00:00,LTC/USD,67.605,67.775,64.32,66.919,452158.9529912689,6756.80976989
1704672000000,2024-01-08 00:00:00,LTC/USD,64.28,68.343,61.131,67.7,1079742.31195878,15948.9263214
1704585600000,2024-01-07 00:00:00,LTC/USD,65.689,66.469,63.724,64.299,500164.0116979376,7778.72146842
1704499200000,2024-01-06 00:00:00,LTC/USD,66.051,66.158,63.371,65.62,519666.97845921625,7919.33828801
1704412800000,2024-01-05 00:00:00,LTC/USD,66.49,66.762,63.28,66.017,964580.8390031516,14611.09773245
1704326400000,2024-01-04 00:00:00,LTC/USD,65.312,67.116,64.602,66.515,981339.4390680116,14753.65615377
1704240000000,2024-01-03 00:00:00,LTC/USD,73.086,73.715,56.354,65.279,1476883.2435342434,22624.17076754
1704153600000,2024-01-02 00:00:00,LTC/USD,74.738,75.804,72.62,73.05,561140.6214534044,7681.59646069
1704067200000,2024-01-01 00:00:00,LTC/USD,73.064,74.79,72.15,74.71,133276.3620477255,1783.91596905
1703980800000,2023-12-31 00:00:00,LTC/USD,73.201,74.319,71.463,72.866,174129.92754369107,2389.72809738
1703894400000,2023-12-30 00:00:00,LTC/USD,73.3,74.053,72.5,73.275,243393.3266141175,3321.6421237
1703808000000,2023-12-29 00:00:00,LTC/USD,76.78,77.89,72.92,73.241,1057125.4168581897,14433.51970697
1703721600000,2023-12-28 00:00:00,LTC/USD,75.863,77.68,74.592,76.642,853451.6712517953,11135.56106641
1703635200000,2023-12-27 00:00:00,LTC/USD,73.332,77.33,72.27,76.073,826520.2998282341,10864.83114677
1703548800000,2023-12-26 00:00:00,LTC/USD,72.254,74.499,71.19,73.31,646849.6118464615,8823.48399736
1703462400000,2023-12-25 00:00:00,LTC/USD,71.262,72.851,70.586,72.392,306398.4090290192,4232.4899026
