https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume UNI
1704844800000,2024-01-10 00:00:00,UNI/USD,6.0251,6.1436,6.0251,6.1436,479.94139531382,78.12054745
1704758400000,2024-01-09 00:00:00,UNI/USD,6.2668,6.2668,5.7205,6.0099,42231.22884094249,7026.94368308
1704672000000,2024-01-08 00:00:00,UNI/USD,6.0311,6.2302,5.671,6.2278,89657.22983070413,14396.29240353
1704585600000,2024-01-07 00:00:00,UNI/USD,6.2908,6.4402,5.9461,5.9863,48454.817857781745,8094.28492688
1704499200000,2024-01-06 00:00:00,UNI/USD,6.4298,6.4333,6.0435,6.3101,6547.495177964151,1037.62146051
1704412800000,2024-01-05 00:00:00,UNI/USD,6.5493,6.6295,6.1921,6.4161,56619.1851674151,8824.54842777
1704326400000,2024-01-04 00:00:00,UNI/USD,6.4445,6.7169,6.3909,6.5346,48332.57778485426,7396.40954073
1704240000000,2024-01-03 00:00:00,UNI/USD,7.1822,7.3685,5.8327,6.4089,138550.60448877333,21618.46876824
1704153600000,2024-01-02 00:00:00,UNI/USD,7.5723,7.7273,7.1634,7.1634,31599.016969562137,4411.17583404
1704067200000,2024-01-01 00:00:00,UNI/USD,7.2351,7.6479,7.1532,7.6038,17481.801272221925,2299.08746577
1703980800000,2023-12-31 00:00:00,UNI/USD,7.3606,7.6975,7.1652,7.2379,46273.7489148484,6393.25618133
1703894400000,2023-12-30 00:00:00,UNI/USD,7.5718,7.8056,7.3467,7.3828,31099.982438595765,4212.49152606
1703808000000,2023-12-29 00:00:00,UNI/USD,7.8094,7.8273,7.4027,7.5553,111045.36506413172,14697.67779759
1703721600000,2023-12-28 00:00:00,UNI/USD,7.247,8.2589,7.247,7.8374,360933.4049331848,46052.6966766
1703635200000,2023-12-27 00:00:00,UNI/USD,7.3005,7.4319,6.9929,7.2634,239057.95596216308,32912.6794562
