https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XRP
1705017600000,2024-01-12 00:00:00,XRP/USD,0.60206,0.60286,0.59848,0.5997,19454.605661061014,32440.56304996
1704931200000,2024-01-11 00:00:00,XRP/USD,0.60039,0.62324,0.58547,0.60167,4067706.6553872214,6760693.82782459
1704844800000,2024-01-10 00:00:00,XRP/USD,0.56667,0.61487,0.54801,0.60039,3231211.0575702856,5381853.55780457
1704758400000,2024-01-09 00:00:00,XRP/USD,0.57758,0.579,0.55066,0.56666,2631236.2002688562,4643412.62885832
1704672000000,2024-01-08 00:00:00,XRP/USD,0.55212,0.5824,0.54488,0.57758,2223034.1560877785,3848876.6163783
1704585600000,2024-01-07 00:00:00,XRP/USD,0.56768,0.57335,0.54643,0.55189,831429.0087241438,1506512.18308747
1704499200000,2024-01-06 00:00:00,XRP/USD,0.57592,0.57592,0.55762,0.56825,443738.6340143587,780886.28951053
1704412800000,2024-01-05 00:00:00,XRP/USD,0.58778,0.58931,0.55282,0.57661,1390749.8452451103,2411941.94558733
1704326400000,2024-01-04 00:00:00,XRP/USD,0.58217,0.59451,0.57,0.58821,1611591.1333655228,2739822.73909917
1704240000000,2024-01-03 00:00:00,XRP/USD,0.62492,0.64021,0.48335,0.58218,4775184.119282861,8202246.93270614
1704153600000,2024-01-02 00:00:00,XRP/USD,0.62997,0.64,0.6219,0.62478,1820246.564605156,2913420.02721783
1704067200000,2024-01-01 00:00:00,XRP/USD,0.61584,0.63151,0.6091,0.62988,968703.4373523997,1537917.44038928
1703980800000,2023-12-31 00:00:00,XRP/USD,0.62168,0.62915,0.6059,0.61551,1144210.260902719,1858962.91027395
1703894400000,2023-12-30 00:00:00,XRP/USD,0.6232,0.63044,0.61652,0.62169,918180.1617440487,1476909.97401285
1703808000000,2023-12-29 00:00:00,XRP/USD,0.63551,0.63689,0.61266,0.62356,1897793.5451213084,3043481.8543866
1703721600000,2023-12-28 00:00:00,XRP/USD,0.63473,0.65836,0.6257,0.63548,2727556.3318223064,4292119.86501905
1703635200000,2023-12-27 00:00:00,XRP/USD,0.62271,0.64293,0.61395,0.63485,1836039.1157749286,2892083.35161838
1703548800000,2023-12-26 00:00:00,XRP/USD,0.64755,0.64755,0.598,0.62274,2340104.5895115463,3757755.38669677
1703462400000,2023-12-25 00:00:00,XRP/USD,0.61315,0.64986,0.60916,0.64723,2967198.9925485244,4584458.37267822
1703376000000,2023-12-24 00:00:00,XRP/USD,0.6208,0.63039,0.6031,0.61325,1195027.8079815477,1948679.67057733
1703289600000,2023-12-23 00:00:00,XRP/USD,0.6257,0.62572,0.61122,0.62088,594470.1142567344,957463.7840754
1703203200000,2023-12-22 00:00:00,XRP/USD,0.62478,0.6319,0.61626,0.62581,1483086.7434365924,2369867.44129463
1703116800000,2023-12-21 00:00:00,XRP/USD,0.61682,0.62537,0.61092,0.62453,1447913.8295475037,2318405.56826334
1703030400000,2023-12-20 00:00:00,XRP/USD,0.6051,0.62714,0.60147,0.61753,2003535.7048849796,3244434.61027801
1702944000000,2023-12-19 00:00:00,XRP/USD,0.61216,0.61686,0.59761,0.60547,1383160.9133104836,2284441.69539446
1702857600000,2023-12-18 00:00:00,XRP/USD,0.61072,0.61462,0.5773,0.61264,2089910.9500971707,3411319.78012727
1702771200000,2023-12-17 00:00:00,XRP/USD,0.62107,0.62405,0.60889,0.61073,626846.563667629,1026389.01587875
1702684800000,2023-12-16 00:00:00,XRP/USD,0.61597,0.62622,0.61102,0.62091,623478.7943901911,1004137.1444979
1702598400000,2023-12-15 00:00:00,XRP/USD,0.63224,0.64438,0.613,0.61551,1463540.377130372,2377768.64247595
1702512000000,2023-12-14 00:00:00,XRP/USD,0.62851,0.63834,0.6024,0.63294,2018614.7430368976,3189267.13912361
1702425600000,2023-12-13 00:00:00,XRP/USD,0.61912,0.63485,0.59449,0.62788,2541760.5066221976,4048162.87606262
1702339200000,2023-12-12 00:00:00,XRP/USD,0.61917,0.62651,0.60727,0.61988,1620892.7908746116,2614849.31095472
1702252800000,2023-12-11 00:00:00,XRP/USD,0.66239,0.66306,0.59632,0.61911,4211906.534082261,6803163.46704505
1702166400000,2023-12-10 00:00:00,XRP/USD,0.659,0.67191,0.64746,0.66214,1856623.3371262064,2803973.98907513
1702080000000,2023-12-09 00:00:00,XRP/USD,0.67245,0.69989,0.65259,0.65895,4381439.09799993,6649122.23689192
1701993600000,2023-12-08 00:00:00,XRP/USD,0.64473,0.67529,0.63795,0.67228,2350495.9729468483,3496305.07072477
1701907200000,2023-12-07 00:00:00,XRP/USD,0.64054,0.65474,0.62219,0.64352,2114888.408792262,3286437.73121622
1701820800000,2023-12-06 00:00:00,XRP/USD,0.62163,0.64414,0.611,0.64119,2332319.479342674,3637485.73643175
1701734400000,2023-12-05 00:00:00,XRP/USD,0.62358,0.6299,0.60701,0.62162,1380790.6227217691,2221277.66597241
1701648000000,2023-12-04 00:00:00,XRP/USD,0.62269,0.64335,0.5816,0.62397,2652105.090487684,4250372.75908727
1701561600000,2023-12-03 00:00:00,XRP/USD,0.62054,0.63304,0.61664,0.62247,1042238.6208286062,1674359.60099058
1701475200000,2023-12-02 00:00:00,XRP/USD,0.61273,0.6225,0.6112,0.62062,965721.2407143118,1556058.84553239
1701388800000,2023-12-01 00:00:00,XRP/USD,0.60589,0.61382,0.60331,0.61274,671352.8979610556,1095657.04533906
1701302400000,2023-11-30 00:00:00,XRP/USD,0.60882,0.6094,0.59814,0.60628,1609238.0272111737,2654281.8948525
1701216000000,2023-11-29 00:00:00,XRP/USD,0.61105,0.61689,0.60368,0.60928,1268377.8719980477,2081765.15230772
1701129600000,2023-11-28 00:00:00,XRP/USD,0.6035,0.61365,0.59626,0.61081,1242817.5124864264,2034703.93819097
1701043200000,2023-11-27 00:00:00,XRP/USD,0.61579,0.61659,0.59408,0.604,2068844.0275605342,3425238.45622605
1700956800000,2023-11-26 00:00:00,XRP/USD,0.62283,0.63728,0.6066,0.61595,1579429.9250112337,2564217.75308261
1700870400000,2023-11-25 00:00:00,XRP/USD,0.62101,0.62351,0.61554,0.62282,742510.9931169552,1192175.89852117
1700784000000,2023-11-24 00:00:00,XRP/USD,0.62072,0.62591,0.61598,0.62142,1274787.5111395186,2051410.49715091
