https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AAVE,Volume USD
1705104000,2024-01-13 00:00:00,AAVE/USD,102.72,102.72,102.72,102.72,0.00000000,0.0
1705017600,2024-01-12 00:00:00,AAVE/USD,110.02,113.70,101.88,102.72,901.13132674,92564.2098827328
1704931200,2024-01-11 00:00:00,AAVE/USD,106.63,116.63,106.63,109.62,630.60031301,69126.4063121562
1704844800,2024-01-10 00:00:00,AAVE/USD,98.60,110.04,97.69,106.77,443.26074172,47326.949393444396
1704758400,2024-01-09 00:00:00,AAVE/USD,98.46,98.63,92.87,95.65,111.33313983,10649.014824739499
1704672000,2024-01-08 00:00:00,AAVE/USD,92.75,100.00,90.30,99.34,324.95184223,32280.7160071282
1704585600,2024-01-07 00:00:00,AAVE/USD,99.58,100.22,94.08,94.23,123.42233134,11630.0862821682
1704499200,2024-01-06 00:00:00,AAVE/USD,103.07,103.31,98.27,98.27,20.77201391,2041.2658069356999
1704412800,2024-01-05 00:00:00,AAVE/USD,105.07,108.52,99.67,100.33,207.48396577,20816.866285704098
1704326400,2024-01-04 00:00:00,AAVE/USD,103.18,105.48,101.73,105.01,338.28606998,35523.4202085998
1704240000,2024-01-03 00:00:00,AAVE/USD,110.82,112.73,92.50,102.88,1200.18772521,123475.3131696048
1704153600,2024-01-02 00:00:00,AAVE/USD,118.06,119.55,109.44,110.68,325.91414652,36072.1777368336
1704067200,2024-01-01 00:00:00,AAVE/USD,110.11,116.18,107.81,116.18,60.41468932,7018.978605197601
1703980800,2023-12-31 00:00:00,AAVE/USD,112.75,117.61,106.72,106.72,133.28504184,14224.179665164798
1703894400,2023-12-30 00:00:00,AAVE/USD,112.27,116.67,111.74,111.85,53.94034959,6033.228101641499
1703808000,2023-12-29 00:00:00,AAVE/USD,120.39,120.39,108.65,112.56,258.33275152,29077.9345110912
1703721600,2023-12-28 00:00:00,AAVE/USD,113.16,129.52,113.16,118.78,1414.97344682,168070.54601327959
1703635200,2023-12-27 00:00:00,AAVE/USD,102.33,113.01,99.00,113.01,466.32685131,52699.5974665431
1703548800,2023-12-26 00:00:00,AAVE/USD,102.45,109.62,98.51,102.74,839.98684411,86300.24836386139
1703462400,2023-12-25 00:00:00,AAVE/USD,99.32,104.85,98.57,103.27,132.96742441,13731.5459188207
1703376000,2023-12-24 00:00:00,AAVE/USD,99.93,102.90,98.43,99.76,284.98203290,28429.807602104
1703289600,2023-12-23 00:00:00,AAVE/USD,101.08,101.39,96.36,98.55,266.56111759,26269.598138494497
