https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ADA,Volume USD
1705104000,2024-01-13 00:00:00,ADA/USD,0.54755,0.55007,0.54743,0.54782,3783.34520750,2072.59217157265
1705017600,2024-01-12 00:00:00,ADA/USD,0.58209,0.58887,0.53000,0.54773,977111.15079846,535193.0906268406
1704931200,2024-01-11 00:00:00,ADA/USD,0.56999,0.64267,0.56120,0.58209,3062907.31158657,1782887.7170014265
1704844800,2024-01-10 00:00:00,ADA/USD,0.51134,0.58951,0.48860,0.56496,1603694.49956352,906023.2444734063
1704758400,2024-01-09 00:00:00,ADA/USD,0.54191,0.54360,0.49729,0.51259,766936.57458734,393124.0187677246
1704672000,2024-01-08 00:00:00,ADA/USD,0.49421,0.54399,0.46500,0.54129,1675523.20954541,906943.958094835
1704585600,2024-01-07 00:00:00,ADA/USD,0.52230,0.53021,0.48781,0.49446,436866.93804271,216013.2261845984
1704499200,2024-01-06 00:00:00,ADA/USD,0.54083,0.54282,0.50747,0.52328,805170.69284785,421329.72015342297
1704412800,2024-01-05 00:00:00,ADA/USD,0.57097,0.57280,0.52272,0.54219,999933.63707829,542154.018687478
1704326400,2024-01-04 00:00:00,ADA/USD,0.55823,0.57888,0.55000,0.57004,1019469.82989871,581138.5818354606
1704240000,2024-01-03 00:00:00,ADA/USD,0.60498,0.61887,0.50558,0.55740,2524589.55101715,1407206.2157369594
1704153600,2024-01-02 00:00:00,ADA/USD,0.62236,0.63811,0.60240,0.60483,1087806.33527813,657937.9057662713
1704067200,2024-01-01 00:00:00,ADA/USD,0.59633,0.62410,0.59120,0.62300,503840.53659878,313892.65430103993
1703980800,2023-12-31 00:00:00,ADA/USD,0.60139,0.60908,0.57380,0.59429,334388.20522496,198723.56648314148
1703894400,2023-12-30 00:00:00,ADA/USD,0.60770,0.61284,0.59509,0.60246,277928.11421323,167440.57168890254
1703808000,2023-12-29 00:00:00,ADA/USD,0.62003,0.62530,0.59015,0.60710,550306.51415748,334091.08474500605
1703721600,2023-12-28 00:00:00,ADA/USD,0.63371,0.67538,0.61055,0.61544,743887.35165514,457818.03170263936
1703635200,2023-12-27 00:00:00,ADA/USD,0.60914,0.64580,0.58578,0.63378,1288628.05483839,816706.6885954749
1703548800,2023-12-26 00:00:00,ADA/USD,0.62469,0.62513,0.56263,0.60919,1718475.61381490,1046878.1591798989
1703462400,2023-12-25 00:00:00,ADA/USD,0.59855,0.63140,0.59000,0.62493,1059584.31419773,662166.0254715874
