https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AVAX,Volume USD
1705104000,2024-01-13 00:00:00,AVAX/USD,36.04089,36.04089,36.02501,36.02501,43.59126519,1570.375764382402
1705017600,2024-01-12 00:00:00,AVAX/USD,39.39730,39.39730,34.70250,35.93332,11268.99721614,404932.4830466678
1704931200,2024-01-11 00:00:00,AVAX/USD,38.71073,41.72000,37.66157,39.38000,29543.08385662,1163406.6422736957
1704844800,2024-01-10 00:00:00,AVAX/USD,34.46590,39.52740,33.74307,38.40706,24038.96845772,923266.1038937594
1704758400,2024-01-09 00:00:00,AVAX/USD,35.95154,37.62832,33.95341,34.69571,15066.86465581,522755.5667072336
1704672000,2024-01-08 00:00:00,AVAX/USD,33.69560,36.45000,31.25982,36.05385,16052.90921017,578769.1807270877
1704585600,2024-01-07 00:00:00,AVAX/USD,34.67848,35.78320,33.12785,33.63789,7639.70077550,256983.4143191837
1704499200,2024-01-06 00:00:00,AVAX/USD,36.48758,36.48758,33.50000,34.67848,7377.71225885,255847.84701428455
1704412800,2024-01-05 00:00:00,AVAX/USD,38.91692,38.91692,35.10570,36.47546,11949.85696993,435876.5299124029
1704326400,2024-01-04 00:00:00,AVAX/USD,36.89000,39.38068,36.09209,38.77993,19254.95325132,746705.739239462
1704240000,2024-01-03 00:00:00,AVAX/USD,40.67184,48.90000,32.76485,36.83939,41708.01805758,1536497.943350232
1704153600,2024-01-02 00:00:00,AVAX/USD,41.89170,43.44619,40.35000,40.61296,15840.26866128,643320.1975298183
1704067200,2024-01-01 00:00:00,AVAX/USD,38.90000,42.04156,38.13906,41.88402,4684.42476137,196202.5403937163
1703980800,2023-12-31 00:00:00,AVAX/USD,39.35059,40.48000,37.68000,38.63000,6881.89635937,265847.65636246314
1703894400,2023-12-30 00:00:00,AVAX/USD,40.19000,40.35000,38.18436,39.47999,6358.24365170,251023.39578667947
1703808000,2023-12-29 00:00:00,AVAX/USD,39.91417,42.12000,38.72002,40.14000,12849.74506300,515788.76682882
1703721600,2023-12-28 00:00:00,AVAX/USD,42.73000,43.39000,39.25000,39.87000,12689.90595846,505946.55056380015
1703635200,2023-12-27 00:00:00,AVAX/USD,44.60491,44.78000,41.99001,42.41000,11202.47472669,475096.95315892284
1703548800,2023-12-26 00:00:00,AVAX/USD,48.23456,48.23456,40.85881,44.18607,26980.57893472,1192165.7494500633
1703462400,2023-12-25 00:00:00,AVAX/USD,47.69122,48.88998,46.00000,48.20173,7906.35817369,381100.14197149844
1703376000,2023-12-24 00:00:00,AVAX/USD,48.10999,49.96036,46.51000,47.72467,20231.47368461,965540.4052116963
1703289600,2023-12-23 00:00:00,AVAX/USD,44.95465,48.24999,43.50000,48.06053,17285.19291356,830735.5325779378
1703203200,2023-12-22 00:00:00,AVAX/USD,46.86972,48.78152,43.74000,45.57547,27115.11232476,1235783.9883037298
1703116800,2023-12-21 00:00:00,AVAX/USD,43.25512,47.49799,43.12365,46.12999,45216.69611358,2085845.7395524844
1703030400,2023-12-20 00:00:00,AVAX/USD,39.63212,44.52501,39.24000,43.52000,19400.53320547,844311.2051020545
1702944000,2023-12-19 00:00:00,AVAX/USD,40.91001,41.91850,38.80462,39.78608,13826.19409820,550090.064486513
1702857600,2023-12-18 00:00:00,AVAX/USD,40.57354,41.34000,36.54219,40.92161,22224.86256161,909477.1580498054
1702771200,2023-12-17 00:00:00,AVAX/USD,42.20582,43.77000,40.29090,40.66939,12115.86505230,492744.8409993591
1702684800,2023-12-16 00:00:00,AVAX/USD,40.19467,45.25000,38.53055,41.98954,39557.26702321,1660991.445961757
