https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT
1705104000,2024-01-13 00:00:00,BTC/USDT,42760,42936,42760,42851,0.01862774,798.21728674
1705017600,2024-01-12 00:00:00,BTC/USDT,46309,46450,41485,42893,100.97266537,4331020.5357154105
1704931200,2024-01-11 00:00:00,BTC/USDT,46653,48957,45600,46399,97.87509175,4541306.38210825
1704844800,2024-01-10 00:00:00,BTC/USDT,46143,47680,44304,46650,93.66061759,4369267.8105735
1704758400,2024-01-09 00:00:00,BTC/USDT,46962,47925,44700,46104,73.49784231,3388544.52186024
1704672000,2024-01-08 00:00:00,BTC/USDT,43931,47250,43221,46916,136.50130514,6404095.23194824
1704585600,2024-01-07 00:00:00,BTC/USDT,43978,44470,43624,43920,47.19909710,2072984.3446320002
1704499200,2024-01-06 00:00:00,BTC/USDT,44119,44182,43434,43977,46.22179950,2032696.0766115002
1704412800,2024-01-05 00:00:00,BTC/USDT,44168,44345,42501,44093,111.36344343,4910348.3111589905
1704326400,2024-01-04 00:00:00,BTC/USDT,42837,44716,42642,44135,72.35127155,3193223.3698592503
1704240000,2024-01-03 00:00:00,BTC/USDT,44972,45500,41000,42825,96.43030129,4129627.65274425
1704153600,2024-01-02 00:00:00,BTC/USDT,44169,45879,44145,44965,37.49776139,1686086.8409013501
1704067200,2024-01-01 00:00:00,BTC/USDT,42306,44100,42201,44100,12.25729929,540546.898689
1703980800,2023-12-31 00:00:00,BTC/USDT,42158,42850,41961,42281,11.72569383,495774.06082623004
1703894400,2023-12-30 00:00:00,BTC/USDT,42054,42608,41535,42130,11.78156368,496357.2778384
1703808000,2023-12-29 00:00:00,BTC/USDT,42564,43092,41328,41999,58.28899385,2448079.45270615
1703721600,2023-12-28 00:00:00,BTC/USDT,43448,43752,42300,42577,15.68118128,667657.65535856
1703635200,2023-12-27 00:00:00,BTC/USDT,42509,43550,42133,43404,13.10230503,568692.44752212
1703548800,2023-12-26 00:00:00,BTC/USDT,43584,43592,41655,42507,27.53222089,1170312.11337123
1703462400,2023-12-25 00:00:00,BTC/USDT,42979,43799,42755,43622,16.79404186,732589.69401692
1703376000,2023-12-24 00:00:00,BTC/USDT,43701,43936,42603,43020,22.84587566,982829.5708932
1703289600,2023-12-23 00:00:00,BTC/USDT,43976,43993,43344,43719,9.59425209,419451.10712271
1703203200,2023-12-22 00:00:00,BTC/USDT,43862,44390,43434,43969,30.80686963,1354547.25076147
1703116800,2023-12-21 00:00:00,BTC/USDT,43623,44229,43325,43863,20.88701478,916167.12929514
1703030400,2023-12-20 00:00:00,BTC/USDT,42267,44283,42203,43644,37.06603914,1617710.21222616
1702944000,2023-12-19 00:00:00,BTC/USDT,42619,43480,41866,42302,38.07521790,1610657.8676058
1702857600,2023-12-18 00:00:00,BTC/USDT,41372,42746,40567,42656,32.14784166,1371298.33384896
1702771200,2023-12-17 00:00:00,BTC/USDT,42265,42400,41265,41368,13.44573815,556223.2957892
1702684800,2023-12-16 00:00:00,BTC/USDT,41939,42716,41644,42278,13.80535535,583662.8134873
1702598400,2023-12-15 00:00:00,BTC/USDT,43054,43074,41680,41952,27.22061196,1141959.11294592
1702512000,2023-12-14 00:00:00,BTC/USDT,42826,43411,41461,43001,63.48198807,2729788.96899807
1702425600,2023-12-13 00:00:00,BTC/USDT,41491,43445,40574,42867,41.32067234,1771293.26119878
1702339200,2023-12-12 00:00:00,BTC/USDT,41221,42071,40743,41498,22.74312722,943794.2933755601
1702252800,2023-12-11 00:00:00,BTC/USDT,43775,43795,40291,41184,65.66411122,2704310.7564844796
1702166400,2023-12-10 00:00:00,BTC/USDT,43709,43992,43582,43766,11.06003922,484053.67650252
1702080000,2023-12-09 00:00:00,BTC/USDT,44179,44342,43600,43702,17.02960547,744227.8182499399
1701993600,2023-12-08 00:00:00,BTC/USDT,43284,44700,43100,44163,30.03118971,1326267.43116273
1701907200,2023-12-07 00:00:00,BTC/USDT,43768,44042,42000,43305,92.37719337,4000394.35888785
1701820800,2023-12-06 00:00:00,BTC/USDT,44108,44271,43300,43765,39.22258749,1716576.54149985
1701734400,2023-12-05 00:00:00,BTC/USDT,41972,44400,41403,44097,63.09074208,2782112.45350176
1701648000,2023-12-04 00:00:00,BTC/USDT,39979,42400,39979,41990,80.20013410,3367603.630859
1701561600,2023-12-03 00:00:00,BTC/USDT,39457,40233,39298,39976,34.91384694,1395715.9452734399
1701475200,2023-12-02 00:00:00,BTC/USDT,38679,39700,38641,39427,40.65734759,1602997.24343093
1701388800,2023-12-01 00:00:00,BTC/USDT,37668,38950,37634,38684,45.42694067,1757295.77287828
1701302400,2023-11-30 00:00:00,BTC/USDT,37854,38112,37500,37710,19.70961647,743249.6370837
1701216000,2023-11-29 00:00:00,BTC/USDT,37797,38429,37592,37837,34.59195117,1308855.65641929
1701129600,2023-11-28 00:00:00,BTC/USDT,37245,38350,36876,37796,43.34369574,1638218.32418904
1701043200,2023-11-27 00:00:00,BTC/USDT,37457,37556,36725,37231,25.41324714,946160.6042693399
1700956800,2023-11-26 00:00:00,BTC/USDT,37790,37800,37186,37489,14.26546889,534798.16321721
1700870400,2023-11-25 00:00:00,BTC/USDT,37697,37874,37590,37780,12.74302107,481431.33602459996
1700784000,2023-11-24 00:00:00,BTC/USDT,37300,38400,37255,37709,55.00281333,2074101.08786097
1700697600,2023-11-23 00:00:00,BTC/USDT,37408,37629,36883,37294,18.11462383,675566.7811160199
1700611200,2023-11-22 00:00:00,BTC/USDT,35700,37842,35652,37402,36.31951366,1358422.4499113199
1700524800,2023-11-21 00:00:00,BTC/USDT,37452,37632,35771,35771,80.45152395,2877831.46321545
