https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GALA,Volume USD
1705104000,2024-01-13 00:00:00,GALA/USD,0.02584,0.02584,0.02584,0.02584,0.00000000,0.0
1705017600,2024-01-12 00:00:00,GALA/USD,0.02821,0.02838,0.02503,0.02584,3204433.45199562,82802.56039956682
1704931200,2024-01-11 00:00:00,GALA/USD,0.02732,0.02926,0.02659,0.02802,5280290.01948564,147953.72634598764
1704844800,2024-01-10 00:00:00,GALA/USD,0.02458,0.02810,0.02451,0.02721,4553701.98717713,123906.23107108971
1704758400,2024-01-09 00:00:00,GALA/USD,0.02652,0.03800,0.02368,0.02440,1973487.38924735,48153.09229763534
1704672000,2024-01-08 00:00:00,GALA/USD,0.02464,0.02671,0.02242,0.02655,2829766.74129232,75130.3069813111
1704585600,2024-01-07 00:00:00,GALA/USD,0.02648,0.02734,0.02448,0.02458,1270676.17551426,31233.220394140513
1704499200,2024-01-06 00:00:00,GALA/USD,0.02651,0.02672,0.02440,0.02611,2444742.77685492,63832.23390368197
1704412800,2024-01-05 00:00:00,GALA/USD,0.02809,0.02837,0.02538,0.02671,7924604.41880670,211666.18402632696
1704326400,2024-01-04 00:00:00,GALA/USD,0.02690,0.02838,0.02644,0.02802,2101798.09322960,58892.3825722934
1704240000,2024-01-03 00:00:00,GALA/USD,0.03104,0.03165,0.02344,0.02690,9202687.07897228,247552.28242435434
1704153600,2024-01-02 00:00:00,GALA/USD,0.03227,0.03378,0.03061,0.03109,1623142.94819832,50463.51425948577
1704067200,2024-01-01 00:00:00,GALA/USD,0.03051,0.03500,0.03027,0.03210,1831289.98874073,58784.40863857743
1703980800,2023-12-31 00:00:00,GALA/USD,0.03097,0.03163,0.02972,0.03051,983081.59146716,29993.81935566305
1703894400,2023-12-30 00:00:00,GALA/USD,0.03081,0.03117,0.02987,0.03050,2179996.55664325,66489.89497761911
1703808000,2023-12-29 00:00:00,GALA/USD,0.03147,0.03233,0.03000,0.03084,1815527.67780374,55990.873583467335
1703721600,2023-12-28 00:00:00,GALA/USD,0.03353,0.03407,0.03082,0.03136,1457321.65281139,45701.60703216519
1703635200,2023-12-27 00:00:00,GALA/USD,0.03316,0.03443,0.03212,0.03350,1769612.02578036,59282.00286364206
1703548800,2023-12-26 00:00:00,GALA/USD,0.03577,0.03636,0.03000,0.03283,3405424.12450837,111800.07400760979
1703462400,2023-12-25 00:00:00,GALA/USD,0.03056,0.03678,0.03034,0.03565,4251468.45934397,151564.85057561254
1703376000,2023-12-24 00:00:00,GALA/USD,0.03142,0.03221,0.03035,0.03096,1533644.52410494,47481.634466288946
1703289600,2023-12-23 00:00:00,GALA/USD,0.03173,0.03179,0.03076,0.03161,484575.27454893,15317.424428491677
1703203200,2023-12-22 00:00:00,GALA/USD,0.03164,0.03257,0.03112,0.03224,2028289.22153953,65392.044502434444
