https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LINK,Volume USD
1705104000,2024-01-13 00:00:00,LINK/USD,14.21,14.21,14.16,14.16,8.58791257,121.6048419912
1705017600,2024-01-12 00:00:00,LINK/USD,15.02,15.30,13.59,14.15,61063.06404126,864042.356183829
1704931200,2024-01-11 00:00:00,LINK/USD,15.09,15.65,14.61,15.02,80676.24749273,1211757.2373408047
1704844800,2024-01-10 00:00:00,LINK/USD,13.74,15.35,13.58,15.09,174467.23699223,2632710.6062127505
1704758400,2024-01-09 00:00:00,LINK/USD,14.24,14.27,13.16,13.68,127750.92178276,1747632.6099881567
1704672000,2024-01-08 00:00:00,LINK/USD,13.14,14.40,12.55,14.16,89049.68637646,1260943.5590906737
1704585600,2024-01-07 00:00:00,LINK/USD,13.42,13.73,13.03,13.16,23805.07557915,313274.79462161404
1704499200,2024-01-06 00:00:00,LINK/USD,14.09,14.10,13.20,13.43,51625.09296707,693324.9985477501
1704412800,2024-01-05 00:00:00,LINK/USD,14.58,14.67,13.74,14.06,99780.09606647,1402908.1506945682
1704326400,2024-01-04 00:00:00,LINK/USD,14.19,14.79,13.98,14.55,43244.80366507,629211.8933267685
1704240000,2024-01-03 00:00:00,LINK/USD,15.23,15.57,13.08,14.14,201935.71172340,2855370.963768876
1704153600,2024-01-02 00:00:00,LINK/USD,15.55,16.07,15.07,15.16,120291.23556541,1823615.1311716156
1704067200,2024-01-01 00:00:00,LINK/USD,14.93,15.59,14.85,15.53,34452.21475776,535042.8951880127
1703980800,2023-12-31 00:00:00,LINK/USD,15.19,15.49,14.80,14.90,18207.05280725,271285.086828025
1703894400,2023-12-30 00:00:00,LINK/USD,15.49,15.63,15.03,15.20,15894.48387651,241596.15492295197
1703808000,2023-12-29 00:00:00,LINK/USD,16.02,16.23,15.13,15.52,96831.57853524,1502826.0988669246
1703721600,2023-12-28 00:00:00,LINK/USD,16.75,17.66,15.99,16.01,85244.62017807,1364766.369050901
1703635200,2023-12-27 00:00:00,LINK/USD,15.10,16.73,14.66,16.73,177179.89898560,2964219.7100290884
1703548800,2023-12-26 00:00:00,LINK/USD,15.60,15.89,14.34,15.10,72989.27891943,1102138.111683393
1703462400,2023-12-25 00:00:00,LINK/USD,15.30,15.73,15.15,15.62,27908.06194906,435923.92764431715
1703376000,2023-12-24 00:00:00,LINK/USD,15.65,15.94,15.21,15.31,39993.46983555,612300.0231822706
1703289600,2023-12-23 00:00:00,LINK/USD,15.44,15.91,14.95,15.70,92069.87919238,1445497.103320366
1703203200,2023-12-22 00:00:00,LINK/USD,15.30,15.72,15.07,15.50,60692.39552150,940732.1305832501
1703116800,2023-12-21 00:00:00,LINK/USD,14.21,15.87,14.18,15.29,78825.40567660,1205240.452795214
1703030400,2023-12-20 00:00:00,LINK/USD,14.11,14.80,14.02,14.24,70841.75883294,1008786.6457810657
1702944000,2023-12-19 00:00:00,LINK/USD,14.64,14.78,13.93,14.11,29748.55082832,419752.05218759517
1702857600,2023-12-18 00:00:00,LINK/USD,14.03,14.69,13.63,14.69,58707.54080123,862413.7743700687
1702771200,2023-12-17 00:00:00,LINK/USD,14.33,14.37,13.94,14.03,10897.13125361,152886.7514881483
1702684800,2023-12-16 00:00:00,LINK/USD,14.29,14.78,14.10,14.33,16578.48572270,237569.700406291
1702598400,2023-12-15 00:00:00,LINK/USD,15.37,15.40,14.25,14.28,41858.16858652,597734.6474155055
1702512000,2023-12-14 00:00:00,LINK/USD,14.79,15.58,14.28,15.39,69548.70589110,1070354.5836640291
1702425600,2023-12-13 00:00:00,LINK/USD,14.46,14.95,13.86,14.77,76799.12206263,1134323.0328650451
1702339200,2023-12-12 00:00:00,LINK/USD,14.76,15.12,14.19,14.52,50210.22687423,729052.4942138196
1702252800,2023-12-11 00:00:00,LINK/USD,16.35,16.43,14.09,14.78,191127.17229664,2824859.606544339
1702166400,2023-12-10 00:00:00,LINK/USD,16.20,16.44,15.80,16.36,41236.53800268,674629.7617238447
1702080000,2023-12-09 00:00:00,LINK/USD,16.93,17.27,16.05,16.19,160027.65580566,2590847.747493636
1701993600,2023-12-08 00:00:00,LINK/USD,15.75,17.33,15.58,16.99,166423.26430843,2827531.2606002255
1701907200,2023-12-07 00:00:00,LINK/USD,15.30,15.81,14.69,15.72,83584.32487585,1313945.587048362
1701820800,2023-12-06 00:00:00,LINK/USD,15.73,16.16,15.27,15.30,99566.09906604,1523361.315710412
1701734400,2023-12-05 00:00:00,LINK/USD,15.79,16.06,15.22,15.74,45875.36037127,722078.1722437898
1701648000,2023-12-04 00:00:00,LINK/USD,15.69,16.42,15.17,15.81,83363.37006372,1317974.8807074132
1701561600,2023-12-03 00:00:00,LINK/USD,16.01,16.29,15.68,15.72,15511.39955457,243839.2009978404
1701475200,2023-12-02 00:00:00,LINK/USD,15.01,16.22,14.95,15.97,43362.20036523,692494.3398327231
1701388800,2023-12-01 00:00:00,LINK/USD,14.40,15.03,14.29,15.02,104290.14639486,1566437.998850797
1701302400,2023-11-30 00:00:00,LINK/USD,14.53,14.81,14.29,14.41,19467.89713125,280532.3976613125
1701216000,2023-11-29 00:00:00,LINK/USD,14.53,15.00,14.42,14.50,38363.18358924,556266.16204398
1701129600,2023-11-28 00:00:00,LINK/USD,14.20,14.69,13.81,14.54,45179.43494333,656908.9840760182
1701043200,2023-11-27 00:00:00,LINK/USD,14.80,15.27,13.88,14.19,27003.25647609,383176.2093957171
1700956800,2023-11-26 00:00:00,LINK/USD,14.82,15.30,14.39,14.80,18368.54030070,271854.39645036
1700870400,2023-11-25 00:00:00,LINK/USD,14.50,14.96,14.44,14.71,29910.53628461,439983.98874661315
1700784000,2023-11-24 00:00:00,LINK/USD,14.40,14.84,14.25,14.49,32451.82778116,470226.98454900837
1700697600,2023-11-23 00:00:00,LINK/USD,14.22,14.84,14.15,14.37,51295.61962517,737118.0540136929
1700611200,2023-11-22 00:00:00,LINK/USD,13.34,14.62,13.29,14.20,86440.45668862,1227454.484978404
1700524800,2023-11-21 00:00:00,LINK/USD,14.47,14.63,13.34,13.37,92898.92208477,1242058.5882733748
1700438400,2023-11-20 00:00:00,LINK/USD,14.95,15.41,14.40,14.43,123882.72788876,1787627.7634348066
1700352000,2023-11-19 00:00:00,LINK/USD,13.70,15.10,13.44,14.90,117224.03714634,1746638.153480466
1700265600,2023-11-18 00:00:00,LINK/USD,13.67,13.81,12.94,13.77,32227.65051077,443774.74753330287
1700179200,2023-11-17 00:00:00,LINK/USD,13.91,14.26,12.88,13.64,150026.20457463,2046357.4303979534
1700092800,2023-11-16 00:00:00,LINK/USD,15.06,15.22,13.57,13.88,94927.80437969,1317597.9247900974
1700006400,2023-11-15 00:00:00,LINK/USD,13.99,15.34,13.99,15.07,69917.36820103,1053654.738789522
1699920000,2023-11-14 00:00:00,LINK/USD,14.35,14.92,13.44,13.95,163766.92391450,2284548.588607275
1699833600,2023-11-13 00:00:00,LINK/USD,16.05,16.27,14.33,14.36,89219.80302227,1281196.3713997973
1699747200,2023-11-12 00:00:00,LINK/USD,16.49,16.49,15.43,16.02,87803.29100307,1406608.7218691814
1699660800,2023-11-11 00:00:00,LINK/USD,15.52,16.59,14.77,16.48,161219.45948736,2656896.692351693
1699574400,2023-11-10 00:00:00,LINK/USD,14.55,15.63,14.15,15.51,176699.45559914,2740608.5563426614
1699488000,2023-11-09 00:00:00,LINK/USD,14.96,15.96,13.35,14.59,329761.38876219,4811218.662040352
1699401600,2023-11-08 00:00:00,LINK/USD,13.09,15.00,12.86,14.99,148322.28088680,2223350.990493132
1699315200,2023-11-07 00:00:00,LINK/USD,12.89,13.33,12.55,13.06,91195.28987673,1191010.485790094
1699228800,2023-11-06 00:00:00,LINK/USD,12.23,13.25,12.16,13.02,165610.54634780,2156249.313448356
1699142400,2023-11-05 00:00:00,LINK/USD,11.50,12.56,11.38,12.25,89950.91041557,1101898.6525907326
1699056000,2023-11-04 00:00:00,LINK/USD,11.46,11.61,11.18,11.47,23264.55774139,266844.4772937433
1698969600,2023-11-03 00:00:00,LINK/USD,10.98,11.58,10.51,11.45,79780.52467039,913487.0074759655
1698883200,2023-11-02 00:00:00,LINK/USD,11.67,11.74,10.86,11.01,90109.58947239,992106.5800910138
1698796800,2023-11-01 00:00:00,LINK/USD,11.35,11.77,10.63,11.64,170593.14329148,1985704.1879128274
1698710400,2023-10-31 00:00:00,LINK/USD,11.27,12.55,11.01,11.37,244637.74072178,2781531.112006638
1698624000,2023-10-30 00:00:00,LINK/USD,11.10,11.84,10.90,11.25,76948.87993664,865674.8992872001
1698537600,2023-10-29 00:00:00,LINK/USD,10.93,11.28,10.78,11.10,49899.59971510,553885.55683761
1698451200,2023-10-28 00:00:00,LINK/USD,11.18,11.68,10.83,10.93,110851.78078736,1211609.9640058447
1698364800,2023-10-27 00:00:00,LINK/USD,10.90,11.42,10.64,11.20,114891.70008310,1286787.04093072
1698278400,2023-10-26 00:00:00,LINK/USD,11.03,11.36,10.39,10.90,183701.18218884,2002342.885858356
1698192000,2023-10-25 00:00:00,LINK/USD,10.36,11.78,10.35,11.01,500226.38056989,5507492.450074489
1698105600,2023-10-24 00:00:00,LINK/USD,10.58,11.13,9.72,10.46,298461.49209293,3121907.2072920483
1698019200,2023-10-23 00:00:00,LINK/USD,10.11,11.03,9.83,10.58,455598.13320678,4820228.249327732
1697932800,2023-10-22 00:00:00,LINK/USD,8.88,10.23,8.88,10.19,111635.56050263,1137566.3615217996
1697846400,2023-10-21 00:00:00,LINK/USD,7.59,9.16,7.53,8.90,145025.52372876,1290727.161185964
1697760000,2023-10-20 00:00:00,LINK/USD,7.31,7.67,7.28,7.59,16123.65080060,122378.509576554
1697673600,2023-10-19 00:00:00,LINK/USD,7.35,7.43,7.23,7.31,42025.92410876,307209.5052350356
1697587200,2023-10-18 00:00:00,LINK/USD,7.32,7.47,7.29,7.36,21347.31256312,157116.2204645632
1697500800,2023-10-17 00:00:00,LINK/USD,7.53,7.55,7.28,7.34,31726.69328350,232873.92870089
1697414400,2023-10-16 00:00:00,LINK/USD,7.42,7.82,7.41,7.53,108982.84776474,820640.8436684923
1697328000,2023-10-15 00:00:00,LINK/USD,7.33,7.56,7.30,7.42,28418.71158030,210866.839925826
1697241600,2023-10-14 00:00:00,LINK/USD,7.26,7.35,7.23,7.32,7892.30573555,57771.677984226
1697155200,2023-10-13 00:00:00,LINK/USD,7.20,7.39,7.13,7.25,22088.08577568,160138.62187368
1697068800,2023-10-12 00:00:00,LINK/USD,7.38,7.40,7.10,7.20,17884.70810186,128769.898333392
1696982400,2023-10-11 00:00:00,LINK/USD,7.27,7.42,7.12,7.39,20859.09440764,154148.7076724596
1696896000,2023-10-10 00:00:00,LINK/USD,7.28,7.37,7.20,7.29,13052.40083023,95152.0020523767
1696809600,2023-10-09 00:00:00,LINK/USD,7.66,7.66,7.18,7.30,45453.02924315,331807.11347499496
1696723200,2023-10-08 00:00:00,LINK/USD,7.53,7.94,7.51,7.72,32276.47555485,249174.391283442
1696636800,2023-10-07 00:00:00,LINK/USD,7.65,7.66,7.48,7.56,11070.73883739,83694.78561066839
1696550400,2023-10-06 00:00:00,LINK/USD,7.48,7.75,7.46,7.67,32211.80168556,247064.5189282452
1696464000,2023-10-05 00:00:00,LINK/USD,7.66,7.79,7.49,7.53,49339.52860617,371526.65040446015
1696377600,2023-10-04 00:00:00,LINK/USD,7.41,7.74,7.21,7.68,45109.64327298,346442.0603364864
1696291200,2023-10-03 00:00:00,LINK/USD,7.46,7.73,7.39,7.41,40382.45173189,299233.9673333049
1696204800,2023-10-02 00:00:00,LINK/USD,8.08,8.10,7.36,7.47,97006.65642385,724639.7234861595
1696118400,2023-10-01 00:00:00,LINK/USD,8.18,8.25,7.78,8.05,91872.35965663,739572.4952358715
1696032000,2023-09-30 00:00:00,LINK/USD,7.95,8.51,7.95,8.16,85211.93575156,695329.3957327296
1695945600,2023-09-29 00:00:00,LINK/USD,7.83,8.06,7.68,7.96,33665.96565319,267981.08659939235
1695859200,2023-09-28 00:00:00,LINK/USD,7.63,8.04,7.57,7.81,73444.04873204,573598.0205972324
1695772800,2023-09-27 00:00:00,LINK/USD,7.35,7.87,7.28,7.64,102007.28762555,779335.677459202
1695686400,2023-09-26 00:00:00,LINK/USD,7.54,7.56,7.25,7.37,34850.24218240,256846.28488428798
1695600000,2023-09-25 00:00:00,LINK/USD,6.98,7.51,6.95,7.48,42848.93968230,320510.06882360403
1695513600,2023-09-24 00:00:00,LINK/USD,7.19,7.23,6.96,6.97,11407.63193959,79511.19461894229
1695427200,2023-09-23 00:00:00,LINK/USD,6.99,7.21,6.95,7.19,50177.80428999,360778.41284502816
1695340800,2023-09-22 00:00:00,LINK/USD,6.65,6.96,6.60,6.96,27163.93893617,189061.0149957432
1695254400,2023-09-21 00:00:00,LINK/USD,6.89,6.89,6.62,6.71,34500.97124365,231501.5170448915
1695168000,2023-09-20 00:00:00,LINK/USD,6.92,7.03,6.77,6.92,16221.92922535,112255.750239422
1695081600,2023-09-19 00:00:00,LINK/USD,6.58,6.96,6.52,6.94,38437.72732947,266757.8276665218
1694995200,2023-09-18 00:00:00,LINK/USD,6.15,6.82,6.11,6.54,58994.42560396,385823.5434498984
1694908800,2023-09-17 00:00:00,LINK/USD,6.25,6.27,6.06,6.15,18237.63992138,112161.48551648701
1694822400,2023-09-16 00:00:00,LINK/USD,6.40,6.42,6.19,6.27,24266.78830640,152152.762681128
1694736000,2023-09-15 00:00:00,LINK/USD,6.22,6.36,6.11,6.36,4079.62537226,25946.417367573602
1694649600,2023-09-14 00:00:00,LINK/USD,6.05,6.20,6.02,6.15,4855.24458173,29859.754177639505
1694563200,2023-09-13 00:00:00,LINK/USD,5.97,6.06,5.94,6.04,11677.01056803,70529.1438309012
1694476800,2023-09-12 00:00:00,LINK/USD,5.86,6.05,5.84,5.96,25082.51631769,149491.7972534324
1694390400,2023-09-11 00:00:00,LINK/USD,5.96,6.03,5.74,5.82,27220.37862182,158422.60357899242
1694304000,2023-09-10 00:00:00,LINK/USD,6.11,6.12,5.96,6.03,10998.71147062,66322.2301678386
1694217600,2023-09-09 00:00:00,LINK/USD,6.27,6.28,6.17,6.17,5331.72201713,32896.7248456921
1694131200,2023-09-08 00:00:00,LINK/USD,6.39,6.39,6.17,6.28,10361.20567195,65068.371619846
1694044800,2023-09-07 00:00:00,LINK/USD,6.32,6.42,6.21,6.42,10011.00811522,64270.6720997124
1693958400,2023-09-06 00:00:00,LINK/USD,6.18,6.32,6.10,6.26,48976.96793788,306595.8192911288
1693872000,2023-09-05 00:00:00,LINK/USD,5.95,6.13,5.91,6.10,12481.66778590,76138.17349398999
1693785600,2023-09-04 00:00:00,LINK/USD,6.13,6.15,5.96,5.96,25911.73602250,154433.9466941
1693699200,2023-09-03 00:00:00,LINK/USD,6.03,6.05,5.98,6.01,15835.02178029,95168.4808995429
1693612800,2023-09-02 00:00:00,LINK/USD,5.94,5.99,5.90,5.95,7626.66880467,45378.6793877865
1693526400,2023-09-01 00:00:00,LINK/USD,5.90,6.02,5.83,5.91,29644.49601282,175198.9714357662
1693440000,2023-08-31 00:00:00,LINK/USD,5.90,6.05,5.74,5.87,23541.61558123,138189.2834618201
1693353600,2023-08-30 00:00:00,LINK/USD,6.18,6.18,5.92,5.95,23658.85575427,140770.1917379065
1693267200,2023-08-29 00:00:00,LINK/USD,5.98,6.31,5.85,6.18,36950.55080542,228354.40397749562
1693180800,2023-08-28 00:00:00,LINK/USD,5.97,6.03,5.85,5.97,10210.94751902,60959.35668854939
1693094400,2023-08-27 00:00:00,LINK/USD,5.97,6.03,5.96,6.02,4728.46295927,28465.3470148054
1693008000,2023-08-26 00:00:00,LINK/USD,5.99,6.04,5.97,5.99,6898.32578128,41320.971429867204
