https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USD
1705104000,2024-01-13 00:00:00,LTC/USD,73.21,73.21,73.21,73.21,0.53279019,39.0055698099
1705017600,2024-01-12 00:00:00,LTC/USD,72.05,77.10,70.63,72.85,32765.69120067,2386980.6039688094
1704931200,2024-01-11 00:00:00,LTC/USD,70.11,74.62,69.62,71.98,21577.20265394,1553127.0470306012
1704844800,2024-01-10 00:00:00,LTC/USD,66.99,71.10,65.04,69.79,13812.21728952,963954.6446356009
1704758400,2024-01-09 00:00:00,LTC/USD,67.77,67.82,64.25,67.00,17568.81409466,1177110.54434222
1704672000,2024-01-08 00:00:00,LTC/USD,64.52,68.41,61.15,67.80,21013.93158758,1424744.5616379238
1704585600,2024-01-07 00:00:00,LTC/USD,65.69,66.34,63.77,64.26,4740.64557572,304633.88469576725
1704499200,2024-01-06 00:00:00,LTC/USD,66.05,66.19,63.39,65.73,3519.30498581,231323.91671729131
1704412800,2024-01-05 00:00:00,LTC/USD,66.55,66.79,63.65,66.04,11196.51567614,739417.8952522856
1704326400,2024-01-04 00:00:00,LTC/USD,65.26,67.18,64.61,66.52,13374.32768363,889660.2775150675
1704240000,2024-01-03 00:00:00,LTC/USD,73.20,73.63,59.07,65.23,21920.69968477,1429887.2404375472
1704153600,2024-01-02 00:00:00,LTC/USD,74.72,75.70,72.55,73.00,6039.79638964,440905.13644371997
1704067200,2024-01-01 00:00:00,LTC/USD,73.09,74.78,72.14,74.76,1329.57729206,99399.19835440561
1703980800,2023-12-31 00:00:00,LTC/USD,73.17,74.16,71.50,72.58,2495.56263939,181127.9363669262
1703894400,2023-12-30 00:00:00,LTC/USD,73.13,74.02,72.46,73.29,2847.42236404,208687.58506049163
1703808000,2023-12-29 00:00:00,LTC/USD,76.58,77.80,72.84,73.20,10342.67857812,757084.071918384
1703721600,2023-12-28 00:00:00,LTC/USD,75.92,77.61,74.55,76.63,9193.97861049,704534.5809218487
1703635200,2023-12-27 00:00:00,LTC/USD,73.29,77.25,72.12,75.89,17511.33936870,1328935.544690643
1703548800,2023-12-26 00:00:00,LTC/USD,72.21,74.37,71.14,73.21,8100.86965233,593064.6672470792
1703462400,2023-12-25 00:00:00,LTC/USD,71.21,72.69,70.84,72.41,2933.35271036,212404.0697571676
1703376000,2023-12-24 00:00:00,LTC/USD,72.45,72.99,70.09,71.09,4460.50498017,317097.2990402853
1703289600,2023-12-23 00:00:00,LTC/USD,73.58,74.05,71.50,72.55,4586.06445842,332718.976458371
1703203200,2023-12-22 00:00:00,LTC/USD,70.93,73.76,70.44,73.76,7281.01941128,537047.9917760128
1703116800,2023-12-21 00:00:00,LTC/USD,69.68,72.99,69.00,70.85,8915.25766716,631646.0057182859
1703030400,2023-12-20 00:00:00,LTC/USD,70.72,71.87,69.47,69.82,5800.67077005,405002.833164891
1702944000,2023-12-19 00:00:00,LTC/USD,70.86,71.56,69.73,70.65,5684.73778261,401626.72434139653
1702857600,2023-12-18 00:00:00,LTC/USD,71.20,71.44,68.00,70.79,4656.97332507,329667.1416817053
1702771200,2023-12-17 00:00:00,LTC/USD,72.15,73.52,70.84,71.10,5512.28185047,391923.23956841696
1702684800,2023-12-16 00:00:00,LTC/USD,70.86,72.48,70.61,72.04,11759.86758511,847180.8608313245
1702598400,2023-12-15 00:00:00,LTC/USD,72.94,72.94,70.63,70.91,6877.20605858,487662.6816139078
1702512000,2023-12-14 00:00:00,LTC/USD,73.20,74.04,71.29,72.93,7930.21497070,578350.5778131511
1702425600,2023-12-13 00:00:00,LTC/USD,72.28,74.04,70.21,73.19,10441.80236577,764235.5151507063
1702339200,2023-12-12 00:00:00,LTC/USD,72.63,73.55,71.00,72.35,4245.60301810,307169.37835953495
1702252800,2023-12-11 00:00:00,LTC/USD,77.18,77.50,70.76,72.59,14757.28013407,1071230.9649321414
1702166400,2023-12-10 00:00:00,LTC/USD,76.62,79.00,76.62,77.17,5498.26113362,424300.8116814554
1702080000,2023-12-09 00:00:00,LTC/USD,78.47,79.51,75.73,76.30,8022.52501535,612118.6586712049
1701993600,2023-12-08 00:00:00,LTC/USD,74.15,78.85,73.38,78.53,11078.77433544,870016.1485621033
1701907200,2023-12-07 00:00:00,LTC/USD,72.59,74.48,71.97,74.10,6603.56296582,489324.0157672619
1701820800,2023-12-06 00:00:00,LTC/USD,74.46,74.83,72.21,72.29,4855.06866344,350972.91368007765
1701734400,2023-12-05 00:00:00,LTC/USD,72.98,74.36,71.30,74.29,5144.25055385,382166.3736455165
1701648000,2023-12-04 00:00:00,LTC/USD,72.44,75.07,71.94,72.89,10122.25745561,737811.345939413
1701561600,2023-12-03 00:00:00,LTC/USD,72.27,73.40,71.43,72.33,3086.85983172,223272.57162830757
1701475200,2023-12-02 00:00:00,LTC/USD,71.57,72.73,71.38,72.21,3252.26214054,234845.84916839338
1701388800,2023-12-01 00:00:00,LTC/USD,69.25,72.20,69.23,71.50,2827.71972373,202181.960246695
1701302400,2023-11-30 00:00:00,LTC/USD,70.08,70.13,69.15,69.47,1646.49722331,114382.16210334569
1701216000,2023-11-29 00:00:00,LTC/USD,69.76,70.43,69.17,70.03,2508.62016107,175678.6698797321
1701129600,2023-11-28 00:00:00,LTC/USD,69.18,70.21,67.86,69.75,5513.16333459,384543.1425876525
1701043200,2023-11-27 00:00:00,LTC/USD,70.01,70.52,67.99,69.31,2709.05892249,187764.8739177819
1700956800,2023-11-26 00:00:00,LTC/USD,71.88,71.88,69.00,70.04,3310.58888594,231873.64557123763
1700870400,2023-11-25 00:00:00,LTC/USD,70.64,72.19,70.61,71.90,3404.94309639,244815.408630441
1700784000,2023-11-24 00:00:00,LTC/USD,69.59,71.71,69.49,70.73,3287.42054830,232519.25538125902
1700697600,2023-11-23 00:00:00,LTC/USD,68.82,70.69,68.44,69.54,4795.54241240,333482.01935829606
1700611200,2023-11-22 00:00:00,LTC/USD,66.20,69.07,66.04,68.67,2357.26883360,161873.65080331202
1700524800,2023-11-21 00:00:00,LTC/USD,69.67,71.79,65.26,66.50,11267.87443983,749313.650248695
1700438400,2023-11-20 00:00:00,LTC/USD,70.58,71.02,68.77,69.53,3950.85944489,274703.2572032017
1700352000,2023-11-19 00:00:00,LTC/USD,69.88,70.66,68.53,70.59,1769.16196118,124885.1428396962
1700265600,2023-11-18 00:00:00,LTC/USD,70.35,70.82,67.65,69.88,5578.63493653,389835.0093647164
1700179200,2023-11-17 00:00:00,LTC/USD,71.00,71.65,68.16,70.12,7087.26534116,496959.04572213924
1700092800,2023-11-16 00:00:00,LTC/USD,74.07,74.41,69.97,70.94,10865.91870490,770828.2729256059
1700006400,2023-11-15 00:00:00,LTC/USD,70.82,74.28,70.62,74.07,3520.07995099,260732.32196982927
1699920000,2023-11-14 00:00:00,LTC/USD,71.32,72.52,68.01,70.61,8009.39947013,565543.6965858793
1699833600,2023-11-13 00:00:00,LTC/USD,74.89,76.75,70.50,71.23,12886.88616503,917932.901535087
1699747200,2023-11-12 00:00:00,LTC/USD,75.25,76.71,72.25,74.73,5439.64592822,406504.7402158806
1699660800,2023-11-11 00:00:00,LTC/USD,73.29,75.88,70.92,75.25,8629.89039262,649399.252044655
1699574400,2023-11-10 00:00:00,LTC/USD,73.71,75.41,70.81,73.31,6214.89116249,455613.67112214194
1699488000,2023-11-09 00:00:00,LTC/USD,73.07,76.22,68.74,73.87,17298.75331129,1277858.9071049923
1699401600,2023-11-08 00:00:00,LTC/USD,73.53,74.30,72.53,73.10,5441.15954385,397748.76265543496
1699315200,2023-11-07 00:00:00,LTC/USD,74.31,74.47,71.17,73.50,4974.26841654,365608.72861568996
1699228800,2023-11-06 00:00:00,LTC/USD,71.72,74.93,71.02,74.42,4711.76423468,350649.49434488564
1699142400,2023-11-05 00:00:00,LTC/USD,70.46,72.30,70.04,71.82,16357.72712267,1174811.9619501592
1699056000,2023-11-04 00:00:00,LTC/USD,69.36,70.99,68.83,70.46,3451.68091769,243205.4374604374
1698969600,2023-11-03 00:00:00,LTC/USD,69.09,69.54,67.56,69.50,4882.87562212,339359.85573734
1698883200,2023-11-02 00:00:00,LTC/USD,69.99,70.73,67.43,69.33,9616.09992627,666684.2078882991
1698796800,2023-11-01 00:00:00,LTC/USD,69.12,70.35,66.56,69.97,6254.24672660,437609.64346020203
1698710400,2023-10-31 00:00:00,LTC/USD,69.19,71.40,67.61,68.93,8777.06117384,605002.8267127912
1698624000,2023-10-30 00:00:00,LTC/USD,68.88,69.71,67.65,69.27,6257.76202129,433475.17521475826
1698537600,2023-10-29 00:00:00,LTC/USD,67.84,69.25,67.11,68.83,2629.53771787,180991.0811209921
1698451200,2023-10-28 00:00:00,LTC/USD,67.11,68.39,67.11,67.75,3187.45661496,215950.18566354
1698364800,2023-10-27 00:00:00,LTC/USD,68.70,68.73,65.41,67.05,3216.13071314,215641.564316037
1698278400,2023-10-26 00:00:00,LTC/USD,68.67,70.58,66.31,68.78,3961.09182168,272443.8954951504
1698192000,2023-10-25 00:00:00,LTC/USD,69.14,70.35,67.73,68.68,4385.98694167,301229.5831538956
1698105600,2023-10-24 00:00:00,LTC/USD,69.22,72.69,67.16,69.01,5865.08214750,404749.31899897504
1698019200,2023-10-23 00:00:00,LTC/USD,65.30,70.04,64.93,69.16,7122.32073458,492579.7020035528
1697932800,2023-10-22 00:00:00,LTC/USD,64.75,66.32,63.18,65.21,2938.49727142,191619.40706929818
1697846400,2023-10-21 00:00:00,LTC/USD,63.45,65.37,63.43,64.77,1979.41663750,128206.815610875
1697760000,2023-10-20 00:00:00,LTC/USD,61.75,64.19,61.64,63.43,5641.94128489,357868.3357005727
1697673600,2023-10-19 00:00:00,LTC/USD,60.25,61.85,59.72,61.79,2938.44715846,181566.6499212434
1697587200,2023-10-18 00:00:00,LTC/USD,62.10,62.84,60.06,60.21,1901.85317973,114510.5799515433
1697500800,2023-10-17 00:00:00,LTC/USD,63.14,63.30,61.49,62.08,1775.58885542,110228.55614447361
1697414400,2023-10-16 00:00:00,LTC/USD,61.65,66.30,61.58,63.30,10011.51665480,633729.0042488399
1697328000,2023-10-15 00:00:00,LTC/USD,61.63,62.10,61.40,61.59,712.66103992,43892.793448672805
1697241600,2023-10-14 00:00:00,LTC/USD,61.55,61.99,61.37,61.60,1379.50186176,84977.31468441601
1697155200,2023-10-13 00:00:00,LTC/USD,61.23,62.10,61.14,61.47,1942.35254745,119396.41109175149
1697068800,2023-10-12 00:00:00,LTC/USD,61.43,61.47,60.35,61.08,2905.12457663,177445.00914056037
1696982400,2023-10-11 00:00:00,LTC/USD,63.62,63.73,61.11,61.55,2978.29737969,183314.2037199195
1696896000,2023-10-10 00:00:00,LTC/USD,63.19,63.82,62.61,63.78,2184.39749242,139320.8720665476
1696809600,2023-10-09 00:00:00,LTC/USD,65.37,65.40,61.65,63.09,3990.25472035,251745.1703068815
1696723200,2023-10-08 00:00:00,LTC/USD,65.51,65.93,65.06,65.41,1271.41853782,83163.4865588062
1696636800,2023-10-07 00:00:00,LTC/USD,65.49,66.26,65.00,65.49,745.09645845,48796.367063890495
1696550400,2023-10-06 00:00:00,LTC/USD,64.86,66.00,64.42,65.52,3868.00686740,253431.80995204797
1696464000,2023-10-05 00:00:00,LTC/USD,64.40,65.23,63.83,64.83,1675.09109479,108596.1556752357
1696377600,2023-10-04 00:00:00,LTC/USD,65.41,65.41,63.00,64.42,5453.53349357,351316.6276557794
1696291200,2023-10-03 00:00:00,LTC/USD,66.12,66.88,65.24,65.46,1729.68841696,113225.4037742016
1696204800,2023-10-02 00:00:00,LTC/USD,68.28,68.45,65.18,66.03,2702.97473220,178477.421567166
1696118400,2023-10-01 00:00:00,LTC/USD,66.02,68.80,65.84,68.20,2337.08528883,159389.216698206
