https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UNI,Volume USD
1707696000,2024-02-12 00:00:00,UNI/USD,6.72601,6.72601,6.72601,6.72601,0.00000000,0.0
1707609600,2024-02-11 00:00:00,UNI/USD,6.60700,6.80756,6.60100,6.72601,3131.21642662,21060.592997610387
1707523200,2024-02-10 00:00:00,UNI/USD,6.66199,6.71400,6.61000,6.65699,619.75792738,4125.722324989386
1707436800,2024-02-09 00:00:00,UNI/USD,6.37600,6.65600,6.37600,6.65600,2705.47521247,18007.64301420032
1707350400,2024-02-08 00:00:00,UNI/USD,6.39800,6.42100,6.32200,6.32201,784.86429869,4961.919944961167
1707264000,2024-02-07 00:00:00,UNI/USD,6.32298,6.46345,6.25500,6.39900,2722.23020539,17419.551084290608
1707177600,2024-02-06 00:00:00,UNI/USD,6.12899,6.40800,6.12299,6.26925,8309.94635311,52097.13117423486
1707091200,2024-02-05 00:00:00,UNI/USD,5.98400,6.09545,5.92802,6.00599,2585.67452955,15529.535367732004
1707004800,2024-02-04 00:00:00,UNI/USD,6.10107,6.12411,5.96800,5.96800,2026.08952177,12091.702265923359
1706918400,2024-02-03 00:00:00,UNI/USD,6.14999,6.23034,6.09900,6.11443,1638.04237425,10015.695434385427
1706832000,2024-02-02 00:00:00,UNI/USD,6.04400,6.22699,6.04400,6.14600,6495.93072551,39923.99023898446
1706745600,2024-02-01 00:00:00,UNI/USD,6.00100,6.06958,5.92800,6.04900,17642.77941408,106721.17267576992
1706659200,2024-01-31 00:00:00,UNI/USD,6.26900,6.28800,5.96800,6.00900,16354.58471585,98274.69955754266
1706572800,2024-01-30 00:00:00,UNI/USD,6.14101,6.31328,6.12900,6.27098,38163.59872889,239323.1643568946
1706486400,2024-01-29 00:00:00,UNI/USD,5.94191,6.14911,5.89200,6.14900,46192.98142223,284040.64276529226
1706400000,2024-01-28 00:00:00,UNI/USD,5.95101,5.97350,5.89513,5.91632,2855.77177587,16895.659673015198
1706313600,2024-01-27 00:00:00,UNI/USD,5.96974,5.99729,5.84010,5.98363,174.75389936,1045.6626748274766
1706227200,2024-01-26 00:00:00,UNI/USD,5.78700,5.94211,5.73800,5.93757,1298.49707991,7709.917306761218
1706140800,2024-01-25 00:00:00,UNI/USD,5.84100,5.84100,5.66400,5.73100,183.73652369,1052.99401726739
1706054400,2024-01-24 00:00:00,UNI/USD,5.83904,5.89100,5.72900,5.78600,4528.29678738,26200.72521178068
1705968000,2024-01-23 00:00:00,UNI/USD,6.08800,6.08800,5.55000,5.82000,11127.70490538,64763.2425493116
1705881600,2024-01-22 00:00:00,UNI/USD,6.38100,6.38100,5.97303,6.00000,9974.60641406,59847.638484359995
1705795200,2024-01-21 00:00:00,UNI/USD,6.44753,6.45700,6.39937,6.39937,47.29148581,302.6357155479397
1705708800,2024-01-20 00:00:00,UNI/USD,6.36230,6.60473,6.36230,6.49778,8365.63319500,54358.0440618071
1705622400,2024-01-19 00:00:00,UNI/USD,6.31900,6.34800,6.08301,6.31447,10877.87981125,68688.0457317438
1705536000,2024-01-18 00:00:00,UNI/USD,6.75401,6.81172,6.25000,6.30800,2812.08573172,17738.63679568976
1705449600,2024-01-17 00:00:00,UNI/USD,6.83814,6.85600,6.69000,6.73559,11734.29983535,79037.43262798511
1705363200,2024-01-16 00:00:00,UNI/USD,6.69416,6.89468,6.69300,6.87100,18172.63612346,124864.18280429367
1705276800,2024-01-15 00:00:00,UNI/USD,6.34354,6.71400,6.34354,6.64200,4153.80298925,27589.5594545985
1705190400,2024-01-14 00:00:00,UNI/USD,6.60900,6.60900,6.18836,6.37800,5252.79325969,33502.31541030282
1705104000,2024-01-13 00:00:00,UNI/USD,6.60300,6.65679,6.51500,6.59000,1900.88467761,12526.830025449899
1705017600,2024-01-12 00:00:00,UNI/USD,6.64430,6.92630,6.45397,6.62600,8317.26233600,55110.180238336005
1704931200,2024-01-11 00:00:00,UNI/USD,6.52951,7.14474,6.52951,6.81660,17824.09176084,121499.70389694195
1704844800,2024-01-10 00:00:00,UNI/USD,6.07844,6.72183,6.00300,6.68109,2697.27393951,18020.729944520866
1704758400,2024-01-09 00:00:00,UNI/USD,6.20269,6.20269,5.72899,6.02299,3045.43929291,18342.650406804
1704672000,2024-01-08 00:00:00,UNI/USD,5.96378,6.24117,5.71000,6.24117,5644.44041012,35227.91215442864
1704585600,2024-01-07 00:00:00,UNI/USD,6.34898,6.41000,5.95999,5.95999,31414.44251522,187229.76324628605
1704499200,2024-01-06 00:00:00,UNI/USD,6.36400,6.41682,6.06200,6.38498,1493.43800882,9535.571817555523
1704412800,2024-01-05 00:00:00,UNI/USD,6.57428,6.59800,6.19003,6.41379,3248.05648965,20832.352232752273
1704326400,2024-01-04 00:00:00,UNI/USD,6.49099,6.68368,6.39401,6.52766,11866.29135743,77459.11544224151
1704240000,2024-01-03 00:00:00,UNI/USD,7.27272,7.32400,6.00000,6.43160,24171.68936006,155462.6372881619
1704153600,2024-01-02 00:00:00,UNI/USD,7.32115,7.84494,7.18499,7.19699,12859.18581898,92547.43174734087
1704067200,2024-01-01 00:00:00,UNI/USD,7.30600,7.71985,7.30600,7.57473,936.35391031,7092.628055042465
1703980800,2023-12-31 00:00:00,UNI/USD,7.41800,7.62100,7.17000,7.22700,4241.37421652,30652.41146279004
