https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRP,Volume USDT
1705104000,2024-01-13 00:00:00,XRP/USDT,0.57048,0.57173,0.57048,0.57158,6533.95694030,3734.6791079366735
1705017600,2024-01-12 00:00:00,XRP/USDT,0.60166,0.60283,0.55347,0.56969,770100.02451054,438718.28296340955
1704931200,2024-01-11 00:00:00,XRP/USDT,0.60080,0.62229,0.58771,0.60143,2352934.29594895,1415125.273612577
1704844800,2024-01-10 00:00:00,XRP/USDT,0.56800,0.61210,0.54855,0.59983,1289800.58391575,773661.0842501844
1704758400,2024-01-09 00:00:00,XRP/USDT,0.57797,0.57954,0.55657,0.56521,937589.39655261,529934.9028255007
1704672000,2024-01-08 00:00:00,XRP/USDT,0.55132,0.58177,0.54655,0.57746,901323.14615098,520478.0639763449
1704585600,2024-01-07 00:00:00,XRP/USDT,0.56705,0.57264,0.54777,0.55088,224332.85702627,123580.48427863163
1704499200,2024-01-06 00:00:00,XRP/USDT,0.57448,0.57448,0.55873,0.56686,200080.84435951,113417.82743363184
1704412800,2024-01-05 00:00:00,XRP/USDT,0.58786,0.58786,0.55389,0.57559,1101373.67414363,633939.673100332
1704326400,2024-01-04 00:00:00,XRP/USDT,0.58208,0.59202,0.57022,0.58787,484096.33768506,284585.7140349162
1704240000,2024-01-03 00:00:00,XRP/USDT,0.62430,0.63918,0.49079,0.58084,1721584.65689263,999965.2321095152
1704153600,2024-01-02 00:00:00,XRP/USDT,0.62924,0.63910,0.62270,0.62606,559691.52974412,350400.4791116037
1704067200,2024-01-01 00:00:00,XRP/USDT,0.61710,0.62908,0.60851,0.62908,55754.42991615,35073.99677165164
1703980800,2023-12-31 00:00:00,XRP/USDT,0.62201,0.62839,0.60660,0.61570,232609.90259866,143217.91702999498
1703894400,2023-12-30 00:00:00,XRP/USDT,0.62250,0.62933,0.61670,0.62159,211347.76704394,131371.65851684267
1703808000,2023-12-29 00:00:00,XRP/USDT,0.63454,0.63600,0.61250,0.62205,456074.90665971,283701.3956876726
1703721600,2023-12-28 00:00:00,XRP/USDT,0.63407,0.65777,0.62500,0.63443,475645.83116247,301763.98466440587
1703635200,2023-12-27 00:00:00,XRP/USDT,0.62151,0.64147,0.61330,0.63471,419278.23546883,266120.08883442107
