https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AAVE,Volume USD
1704844800,2024-01-10,AAVE/USD,105.7,105.7,105.7,105.7,1.0,105.7
1704240000,2024-01-03,AAVE/USD,105.71,105.71,100.27,100.27,1.441,144.48907
1704067200,2024-01-01,AAVE/USD,113.43,113.43,113.43,113.43,1.0,113.43
1703980800,2023-12-31,AAVE/USD,117.5,118.0,117.5,118.0,1.0,118.0
1703894400,2023-12-30,AAVE/USD,112.05,112.28,112.01,112.28,2.589,290.69292
1703808000,2023-12-29,AAVE/USD,111.73,111.73,111.73,111.73,2.386,266.58778
1703721600,2023-12-28,AAVE/USD,115.0,123.45,112.84,118.49,18.953265,2245.77236985
1703635200,2023-12-27,AAVE/USD,100.78,108.18,100.72,108.18,33.2963,3601.9937340000006
1703548800,2023-12-26,AAVE/USD,107.0,108.0,107.0,108.0,1.0,108.0
1703462400,2023-12-25,AAVE/USD,100.77,101.5,100.77,101.5,11.6306,1180.5058999999999
1703376000,2023-12-24,AAVE/USD,102.5,102.5,100.75,100.76,22.74105,2291.388198
1703289600,2023-12-23,AAVE/USD,99.75,100.38,97.2,100.38,18.2335,1830.2787299999998
1703203200,2023-12-22,AAVE/USD,100.0,100.82,100.0,100.82,16.410831,1654.53998142
1703116800,2023-12-21,AAVE/USD,99.2,100.0,99.2,100.0,12.188968,1218.8968
1702944000,2023-12-19,AAVE/USD,101.21,101.21,101.19,101.19,7.35,743.7465
1702857600,2023-12-18,AAVE/USD,99.0,99.0,94.0,94.0,2.174898,204.440412
1702684800,2023-12-16,AAVE/USD,104.27,104.27,104.27,104.27,1.0,104.27
1702598400,2023-12-15,AAVE/USD,109.14,114.0,109.14,114.0,6.348339,723.710646
1702512000,2023-12-14,AAVE/USD,101.57,103.99,101.57,103.99,8.241,856.9815899999999
1702252800,2023-12-11,AAVE/USD,95.55,95.55,90.77,90.77,2.077,188.52928999999997
1702080000,2023-12-09,AAVE/USD,104.31,104.31,104.31,104.31,0.304193,31.73037183
