https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ADA,Volume USD
1705017600,2024-01-12,ADA/USD,0.5841,0.586199,0.5335,0.5335,24057.945261,12834.9137967435
1704931200,2024-01-11,ADA/USD,0.566099,0.599,0.566099,0.579,69309.550734,40130.229874986
1704844800,2024-01-10,ADA/USD,0.515899,0.572301,0.489501,0.565501,175776.059648,99401.53750700365
1704758400,2024-01-09,ADA/USD,0.532101,0.532699,0.5026,0.508101,67762.413626,34430.150125784225
1704672000,2024-01-08,ADA/USD,0.489,0.549999,0.478999,0.540899,37170.46148,20105.46544407052
1704585600,2024-01-07,ADA/USD,0.52,0.52,0.4895,0.4895,3549.911073,1737.6814702335
1704499200,2024-01-06,ADA/USD,0.526102,0.526102,0.516199,0.516199,38034.347172,19633.291975839227
1704412800,2024-01-05,ADA/USD,0.561201,0.561201,0.5265,0.532399,66584.491885,35449.51689508211
1704326400,2024-01-04,ADA/USD,0.558598,0.573799,0.555699,0.57,56618.082386,32272.30696002
1704240000,2024-01-03,ADA/USD,0.609199,0.617399,0.517001,0.5555,491080.439779,272795.1842972345
1704153600,2024-01-02,ADA/USD,0.627,0.638558,0.603999,0.607299,140283.875539,85194.25733095917
1704067200,2024-01-01,ADA/USD,0.594099,0.623201,0.594099,0.623201,9961.052775,6207.738050432775
1703980800,2023-12-31,ADA/USD,0.604399,0.605999,0.580999,0.586199,12899.346799,7561.584194227002
1703894400,2023-12-30,ADA/USD,0.609101,0.611499,0.596399,0.603802,25139.377956,15179.20668858871
1703808000,2023-12-29,ADA/USD,0.605,0.623299,0.593999,0.607099,165739.614459,100620.35419844445
1703721600,2023-12-28,ADA/USD,0.643499,0.676201,0.611401,0.623401,613230.051021,382288.22703654243
1703635200,2023-12-27,ADA/USD,0.6,0.64,0.584399,0.634499,268638.952533,170451.14674323596
1703548800,2023-12-26,ADA/USD,0.621301,0.621301,0.587599,0.608699,143587.165781,87401.36422372892
1703462400,2023-12-25,ADA/USD,0.5952,0.630199,0.594901,0.630199,89057.788832,56124.129464137564
1703376000,2023-12-24,ADA/USD,0.607587,0.626499,0.591899,0.594199,196018.070918,116473.7417214047
1703289600,2023-12-23,ADA/USD,0.607499,0.618928,0.6,0.614799,74281.870019,45668.419405811175
1703203200,2023-12-22,ADA/USD,0.645099,0.647799,0.61,0.623299,87585.268098,54591.81002021531
1703116800,2023-12-21,ADA/USD,0.586799,0.637299,0.584501,0.637299,191910.477039,122304.35510647764
1703030400,2023-12-20,ADA/USD,0.590901,0.603399,0.585499,0.585499,38551.413179,22571.813864891323
1702944000,2023-12-19,ADA/USD,0.593,0.593,0.5787,0.579999,14801.105676,8584.626490974324
1702857600,2023-12-18,ADA/USD,0.57,0.593,0.55,0.593,5482.864878,3251.338872654
1702771200,2023-12-17,ADA/USD,0.586,0.586,0.58,0.58,126.720796,73.49806167999999
1702684800,2023-12-16,ADA/USD,0.6,0.6126,0.59,0.6126,2537.73536,1554.6166815360002
1702598400,2023-12-15,ADA/USD,0.64,0.64,0.615,0.615,2125.104428,1306.93922322
1702512000,2023-12-14,ADA/USD,0.64008,0.653,0.6126,0.63,28286.630796,17820.57740148
1702425600,2023-12-13,ADA/USD,0.58,0.675,0.574999,0.675,94635.378579,63878.880540825005
1702339200,2023-12-12,ADA/USD,0.558,0.5988,0.5535,0.5766,26980.963798,15557.2237259268
1702252800,2023-12-11,ADA/USD,0.5888,0.5888,0.521,0.536,52026.997427,27886.470620872
1702166400,2023-12-10,ADA/USD,0.594999,0.61,0.5875,0.5932,10400.596603,6169.6339048996
1702080000,2023-12-09,ADA/USD,0.563,0.632,0.562999,0.58,74168.267862,43017.595359959996
1701993600,2023-12-08,ADA/USD,0.479999,0.5492,0.479999,0.5485,34799.668729,19087.618297856498
1701820800,2023-12-06,ADA/USD,0.4224,0.454783,0.4224,0.4433,45325.415788,20092.756818820402
1701734400,2023-12-05,ADA/USD,0.4094,0.425,0.4094,0.425,12992.028768,5521.6122264
1701648000,2023-12-04,ADA/USD,0.41,0.41,0.3987,0.4049,13460.762462,5450.2627208638
1701561600,2023-12-03,ADA/USD,0.399,0.399,0.399,0.399,272.0,108.528
1701475200,2023-12-02,ADA/USD,0.388,0.388,0.388,0.388,18400.0,7139.2
1701388800,2023-12-01,ADA/USD,0.3803,0.3803,0.3803,0.3803,150.0,57.045
1701302400,2023-11-30,ADA/USD,0.3777,0.3777,0.374,0.374,33175.110859,12407.491461266
1701043200,2023-11-27,ADA/USD,0.3746,0.3746,0.3746,0.3746,300.0,112.38
1700956800,2023-11-26,ADA/USD,0.3943,0.3943,0.38,0.38,4873.800915,1852.0443477
1700870400,2023-11-25,ADA/USD,0.389,0.3954,0.389,0.3954,4299.0,1699.8246
1700784000,2023-11-24,ADA/USD,0.39,0.39,0.39,0.39,900.0,351.0
1700697600,2023-11-23,ADA/USD,0.385,0.385,0.385,0.385,200.0,77.0
1700611200,2023-11-22,ADA/USD,0.357904,0.372,0.357464,0.369244,4490.752797,1658.183525775468
1700524800,2023-11-21,ADA/USD,0.380718,0.388531,0.356504,0.358345,40030.732091,14344.812691149395
1700438400,2023-11-20,ADA/USD,0.383526,0.398382,0.379231,0.38025,10638.355861,4045.2348161452496
1700352000,2023-11-19,ADA/USD,0.377165,0.384153,0.370425,0.38368,18486.036454,7092.722466670721
1700265600,2023-11-18,ADA/USD,0.366123,0.377263,0.35,0.376701,28397.631258,10697.41609251986
1700179200,2023-11-17,ADA/USD,0.370065,0.376868,0.353867,0.366237,16329.899002,5980.613220795473
1700092800,2023-11-16,ADA/USD,0.379052,0.40882,0.35991,0.37,122227.437412,45224.15184244
1700006400,2023-11-15,ADA/USD,0.357937,0.379018,0.354723,0.378586,15618.343324,5912.886125659864
1699920000,2023-11-14,ADA/USD,0.35722,0.371293,0.341814,0.357612,18473.038659,6606.180300922309
1699833600,2023-11-13,ADA/USD,0.38275,0.388123,0.353598,0.35766,17152.016985,6134.5903948550995
1699747200,2023-11-12,ADA/USD,0.384325,0.390612,0.371957,0.38287,11191.639065,4284.9428488165495
1699660800,2023-11-11,ADA/USD,0.386067,0.394518,0.371053,0.383887,66981.167828,25713.199573987436
1699574400,2023-11-10,ADA/USD,0.368377,0.387139,0.36382,0.386542,47522.432058,18369.415932563435
1699488000,2023-11-09,ADA/USD,0.358309,0.385605,0.343702,0.368492,141804.37737,52253.77862582604
1699401600,2023-11-08,ADA/USD,0.351324,0.3595,0.349951,0.35875,30321.817461,10877.95201413375
1699315200,2023-11-07,ADA/USD,0.363355,0.364699,0.334302,0.350924,57217.386951,20078.954298392724
