https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ATOM,Volume USD
1705017600,2024-01-12,ATOM/USD,10.3969,10.3969,9.9,9.9,308.113644,3050.3250756
1704931200,2024-01-11,ATOM/USD,10.4806,10.849,10.4806,10.849,86.929623,943.0994799270001
1704844800,2024-01-10,ATOM/USD,9.8311,10.47,9.4,10.47,633.975982,6637.728531540001
1704758400,2024-01-09,ATOM/USD,9.7081,9.7989,9.5279,9.5721,1053.434195,10083.577457959502
1704672000,2024-01-08,ATOM/USD,9.2,9.7179,9.0232,9.7179,430.502468,4183.5799337772005
1704585600,2024-01-07,ATOM/USD,9.5,9.5,9.5,9.5,26.264864,249.516208
1704499200,2024-01-06,ATOM/USD,9.9178,9.9727,9.9178,9.9727,156.75642,1563.284749734
1704412800,2024-01-05,ATOM/USD,10.0911,10.5429,9.8179,9.8179,743.27851,7297.434083329
1704326400,2024-01-04,ATOM/USD,9.88,10.2439,9.7941,10.2439,265.367563,2718.3987786157004
1704240000,2024-01-03,ATOM/USD,11.0679,11.1659,9.2149,10.025,4753.395938,47652.79427845
1704153600,2024-01-02,ATOM/USD,11.19,11.2841,10.9891,10.9891,175.995576,1934.0329842216001
1704067200,2024-01-01,ATOM/USD,10.5164,11.1382,10.5164,11.1032,281.218675,3122.42719226
1703980800,2023-12-31,ATOM/USD,10.76,10.76,10.5,10.5599,339.799216,3588.2457410384004
1703894400,2023-12-30,ATOM/USD,10.67,10.9918,10.67,10.9918,28.984812,318.5952565416
1703808000,2023-12-29,ATOM/USD,11.36,11.36,10.8001,10.8001,741.076669,8003.702132866901
1703721600,2023-12-28,ATOM/USD,12.1331,12.1331,11.3441,11.3599,1189.573787,13513.4392629413
1703635200,2023-12-27,ATOM/USD,11.35,12.0359,11.25,11.9631,313.868135,3754.8358858185
1703548800,2023-12-26,ATOM/USD,11.8999,12.4,11.3269,11.5739,3464.957977,40103.0771300003
1703462400,2023-12-25,ATOM/USD,11.2986,12.0,11.2986,11.9511,630.207898,7531.6776097878
1703376000,2023-12-24,ATOM/USD,11.5621,11.6999,11.1451,11.4027,559.279108,6377.291884791599
1703289600,2023-12-23,ATOM/USD,11.19,11.4957,11.1829,11.4949,490.602581,5639.4276083368995
1703203200,2023-12-22,ATOM/USD,11.5609,11.5609,11.0612,11.391,337.45721,3843.9750791099996
1703116800,2023-12-21,ATOM/USD,10.6987,11.4891,10.6987,11.3979,298.192767,3398.7713389893
1703030400,2023-12-20,ATOM/USD,10.7971,10.7971,10.5941,10.6627,162.867894,1736.6114933538
1702857600,2023-12-18,ATOM/USD,10.793,10.793,10.793,10.793,143.395503,1547.6676638789997
1702771200,2023-12-17,ATOM/USD,11.2298,11.2298,11.2298,11.2298,32.820385,368.566359473
1702684800,2023-12-16,ATOM/USD,11.8446,11.8447,11.8446,11.8447,108.627821,1286.6639513987
1702512000,2023-12-14,ATOM/USD,11.7359,11.736,11.7359,11.736,99.274182,1165.081799952
1702425600,2023-12-13,ATOM/USD,11.88,11.88,11.5,11.5,77.924607,896.1329804999999
1702339200,2023-12-12,ATOM/USD,10.1999,12.25,10.1999,11.563,236.115951,2730.208741413
1702252800,2023-12-11,ATOM/USD,10.5,10.5,9.5507,9.5507,56.360868,538.2857420076001
1702166400,2023-12-10,ATOM/USD,10.5,10.5,10.25,10.25,82.493621,845.5596152500001
1702080000,2023-12-09,ATOM/USD,10.8,11.19,10.5,10.5,129.830143,1363.2165014999998
1701993600,2023-12-08,ATOM/USD,10.45,10.45,10.45,10.45,2.925173,30.56805785
1701907200,2023-12-07,ATOM/USD,9.65,9.65,9.65,9.65,50.652256,488.7942704
1701820800,2023-12-06,ATOM/USD,9.9299,10.075,9.9299,10.075,132.838713,1338.3500334750001
1701734400,2023-12-05,ATOM/USD,9.8509,9.8509,9.8509,9.8509,75.152452,740.3192894068
1701648000,2023-12-04,ATOM/USD,9.8,9.8,9.28,9.4001,328.547047,3088.3750965047
1701561600,2023-12-03,ATOM/USD,9.44,9.44,9.44,9.44,19.0,179.35999999999999
1701302400,2023-11-30,ATOM/USD,9.0701,9.1601,9.0701,9.1601,24.184,221.5278584
1701216000,2023-11-29,ATOM/USD,9.1101,9.1101,9.11,9.11,11.8931,108.346141
1701129600,2023-11-28,ATOM/USD,8.8501,8.8501,8.79,8.79,27.136833,238.53276206999996
1701043200,2023-11-27,ATOM/USD,9.507,9.507,9.507,9.507,19.0,180.63299999999998
1700956800,2023-11-26,ATOM/USD,9.7699,9.841,9.5199,9.841,283.052445,2785.5191112449997
1700870400,2023-11-25,ATOM/USD,9.1999,9.2,9.1999,9.2,135.037235,1242.342562
1700524800,2023-11-21,ATOM/USD,8.701,8.88,8.41,8.41,127.513252,1072.3864493199999
1700438400,2023-11-20,ATOM/USD,9.4365,9.47,9.0,9.0,138.993886,1250.944974
1700352000,2023-11-19,ATOM/USD,9.1,9.3001,9.1,9.3001,71.0,660.3071
1700265600,2023-11-18,ATOM/USD,9.0,9.35,9.0,9.25,95.5,883.375
1700179200,2023-11-17,ATOM/USD,10.2,10.2,9.2,9.2,52.0,478.4
1700092800,2023-11-16,ATOM/USD,9.67,10.0,9.4793,9.4793,1283.599558,12167.625290149399
1700006400,2023-11-15,ATOM/USD,9.6699,9.67,9.6699,9.6699,13.784488,133.2946205112
1699920000,2023-11-14,ATOM/USD,9.1001,9.1001,8.6501,8.986,324.80156,2918.6668181600003
1699833600,2023-11-13,ATOM/USD,9.7599,10.4,9.604,10.4,160.619385,1670.441604
1699747200,2023-11-12,ATOM/USD,9.4599,9.46,9.4599,9.46,107.652296,1018.3907201600001
1699660800,2023-11-11,ATOM/USD,9.081,9.081,9.081,9.081,15.601356,141.67591383599998
1699574400,2023-11-10,ATOM/USD,9.1,9.1,9.1,9.1,2.1,19.11
1699488000,2023-11-09,ATOM/USD,8.92,9.0,8.36,8.576,89.532802,767.833309952
1699401600,2023-11-08,ATOM/USD,8.6,8.6,8.44,8.44,97.582264,823.5943081599999
1699315200,2023-11-07,ATOM/USD,8.559,8.559,8.396,8.476,195.833935,1659.8884330600001
1699228800,2023-11-06,ATOM/USD,8.693,8.693,8.693,8.693,62.488613,543.213512809
1699142400,2023-11-05,ATOM/USD,8.3199,8.32,8.228,8.228,224.537308,1847.492970224
1698883200,2023-11-02,ATOM/USD,7.99,7.99,7.92,7.92,226.808909,1796.32655928
1698796800,2023-11-01,ATOM/USD,7.67,7.67,7.67,7.67,10.0,76.7
1698710400,2023-10-31,ATOM/USD,7.7801,7.7801,7.78,7.78,85.913847,668.40972966
1698624000,2023-10-30,ATOM/USD,8.0999,8.1,8.0999,8.1,86.220033,698.3822673
1698537600,2023-10-29,ATOM/USD,7.357,7.357,7.357,7.357,22.772122,167.534501554
1698278400,2023-10-26,ATOM/USD,7.3,7.3,7.3,7.3,10.0,73.0
1698192000,2023-10-25,ATOM/USD,7.07,7.07,7.054,7.054,1325.501059,9350.084470186
1698019200,2023-10-23,ATOM/USD,6.682,6.761,6.682,6.761,45.0,304.245
1697846400,2023-10-21,ATOM/USD,6.611,6.611,6.611,6.611,368.008197,2432.902190367
1697500800,2023-10-17,ATOM/USD,6.44,6.44,6.44,6.44,20.59,132.5996
1697414400,2023-10-16,ATOM/USD,6.74,6.74,6.6,6.6,27.100419,178.86276539999997
1697068800,2023-10-12,ATOM/USD,6.45,6.53,6.45,6.53,4.82,31.474600000000002
1696982400,2023-10-11,ATOM/USD,6.558,6.558,6.5,6.5,14.0,91.0
1696464000,2023-10-05,ATOM/USD,6.96,6.96,6.85,6.85,109.06076,747.066206
1695945600,2023-09-29,ATOM/USD,7.17,7.17,7.17,7.17,235.0,1684.95
1695859200,2023-09-28,ATOM/USD,7.1599,7.16,7.1599,7.16,127.869104,915.5427846399999
1694995200,2023-09-18,ATOM/USD,7.422,7.422,7.422,7.422,30.17,223.92174
1694736000,2023-09-15,ATOM/USD,6.9196,6.98,6.9196,6.98,218.97576,1528.4508048000002
1694649600,2023-09-14,ATOM/USD,6.891,6.891,6.891,6.891,1.52,10.47432
1694390400,2023-09-11,ATOM/USD,6.56,6.56,6.412,6.412,100.48,644.2777600000001
1694304000,2023-09-10,ATOM/USD,6.6688,6.6688,6.65,6.65,137.0,911.0500000000001
1693699200,2023-09-03,ATOM/USD,6.85,6.85,6.85,6.85,39.282353,269.08411805
