https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AVAX,Volume USD
1705017600,2024-01-12,AVAX/USD,36.0001,36.0001,36.0,36.0,16.149307,581.375052
1704585600,2024-01-07,AVAX/USD,34.5,34.5,34.5,34.5,3.94,135.93
1704326400,2024-01-04,AVAX/USD,36.38,36.38,36.38,36.38,6.961387,253.25525906000001
1704240000,2024-01-03,AVAX/USD,24.0,37.8201,24.0,35.6201,19.905017,709.0186960417001
1703721600,2023-12-28,AVAX/USD,41.0,41.0,41.0,41.0,4.474806,183.467046
1703635200,2023-12-27,AVAX/USD,42.55,42.55,42.55,42.55,41.951702,1785.0449200999997
1703548800,2023-12-26,AVAX/USD,42.2901,42.2901,42.2901,42.2901,5.0,211.4505
1703376000,2023-12-24,AVAX/USD,49.0,49.0,47.9,47.9,107.0,5125.3
1703289600,2023-12-23,AVAX/USD,45.0,45.0,45.0,45.0,10.0,450.0
1703203200,2023-12-22,AVAX/USD,48.0,48.0,47.6,47.6,94.625211,4504.1600436
1703116800,2023-12-21,AVAX/USD,45.1,46.4,44.7,45.88,186.85861,8573.0730268
1702944000,2023-12-19,AVAX/USD,40.6,40.6,40.6,40.6,6.240576,253.3673856
1702771200,2023-12-17,AVAX/USD,42.41,42.41,42.41,42.41,2.390761,101.39217400999999
1702684800,2023-12-16,AVAX/USD,43.6,43.6,43.6,43.6,90.70916,3954.919376
1702598400,2023-12-15,AVAX/USD,41.2,41.2,39.25,40.3,280.3045,11296.271349999999
1702425600,2023-12-13,AVAX/USD,36.0,36.0,36.0,36.0,28.0,1008.0
1702339200,2023-12-12,AVAX/USD,40.0,42.0,38.85,38.85,209.258092,8129.6768742
1702252800,2023-12-11,AVAX/USD,36.75,38.5,35.55,38.4,273.393843,10498.3235712
1702166400,2023-12-10,AVAX/USD,35.0,36.98,35.0,36.98,101.574971,3756.24242758
1701993600,2023-12-08,AVAX/USD,24.5003,30.0,24.5003,30.0,111.717741,3351.5322300000003
1701820800,2023-12-06,AVAX/USD,24.9999,26.4,24.9999,26.4,89.810773,2371.0044071999996
1701734400,2023-12-05,AVAX/USD,24.06,24.06,24.06,24.06,1.15,27.668999999999997
1701648000,2023-12-04,AVAX/USD,21.5,21.5,21.31,21.31,13.0,277.03
1701388800,2023-12-01,AVAX/USD,22.0,22.55,21.8,21.8,119.462804,2604.2891272
1701216000,2023-11-29,AVAX/USD,21.4099,21.41,21.4099,21.41,25.924427,555.04198207
1701043200,2023-11-27,AVAX/USD,20.0001,20.0001,20.0,20.0,18.455269,369.10538
1700956800,2023-11-26,AVAX/USD,20.99,20.99,20.99,20.99,10.0,209.89999999999998
1700870400,2023-11-25,AVAX/USD,18.97,18.9701,18.97,18.9701,23.4699,445.22634998999996
1700784000,2023-11-24,AVAX/USD,20.88,20.88,20.88,20.88,7.4608,155.78150399999998
1700611200,2023-11-22,AVAX/USD,20.2,20.2,20.2,20.2,2.0,40.4
1700438400,2023-11-20,AVAX/USD,21.75,21.83,21.5,21.5,84.634548,1819.642782
1700352000,2023-11-19,AVAX/USD,21.15,21.26,21.15,21.26,64.712,1375.7771200000002
1700179200,2023-11-17,AVAX/USD,22.11,22.11,22.11,22.11,11.7,258.68699999999995
1700092800,2023-11-16,AVAX/USD,23.06,23.3,22.52,22.52,63.862288,1438.17872576
1700006400,2023-11-15,AVAX/USD,19.81,20.48,19.81,20.48,7.347354,150.47380992
1699920000,2023-11-14,AVAX/USD,15.89,17.14,15.89,17.14,15.143906,259.56654884
1699833600,2023-11-13,AVAX/USD,16.26,16.26,16.26,16.26,1.101,17.902260000000002
1699747200,2023-11-12,AVAX/USD,17.0,18.41,17.0,18.41,18.636365,343.09547965
1699660800,2023-11-11,AVAX/USD,16.35,16.74,16.35,16.74,21.2,354.888
1699488000,2023-11-09,AVAX/USD,12.6201,12.6201,12.6201,12.6201,20.0,252.40200000000002
1699142400,2023-11-05,AVAX/USD,12.4,12.4,12.4,12.4,1.2,14.879999999999999
1699056000,2023-11-04,AVAX/USD,12.0,12.0,12.0,12.0,10.0,120.0
1698624000,2023-10-30,AVAX/USD,11.3399,11.34,11.3399,11.34,529.1051,6000.051834
1698105600,2023-10-24,AVAX/USD,10.67,10.67,10.67,10.67,8.137876,86.83113692
1697587200,2023-10-18,AVAX/USD,8.91,8.91,8.91,8.91,2.3,20.493
1697414400,2023-10-16,AVAX/USD,9.43,9.43,9.43,9.43,1.679468,15.83738324
1696982400,2023-10-11,AVAX/USD,9.38,9.38,9.38,9.38,6.864335,64.3874623
1696204800,2023-10-02,AVAX/USD,9.25,9.25,9.25,9.25,1.573533,14.555180250000001
1695945600,2023-09-29,AVAX/USD,9.27,9.27,9.27,9.27,500.0,4635.0
1694995200,2023-09-18,AVAX/USD,9.0,9.0,8.92,8.92,3.13,27.9196
1694390400,2023-09-11,AVAX/USD,9.2,9.2,9.11,9.11,5.99,54.5689
1694304000,2023-09-10,AVAX/USD,9.56,9.56,9.55,9.55,3.1893,30.457815
1693785600,2023-09-04,AVAX/USD,9.75,9.75,9.72,9.72,4.07,39.56040000000001
1692921600,2023-08-25,AVAX/USD,10.05,10.05,10.05,10.05,2.0,20.1
1692662400,2023-08-22,AVAX/USD,10.16,10.16,10.0,10.0,20.99,209.89999999999998
1692576000,2023-08-21,AVAX/USD,10.6,10.6,10.5,10.5,35.0,367.5
1692230400,2023-08-17,AVAX/USD,11.11,11.11,10.5,10.5,22.95,240.975
1692057600,2023-08-15,AVAX/USD,12.0,12.0,11.51,11.51,2.1897,25.203447
1691798400,2023-08-12,AVAX/USD,12.41,12.41,12.41,12.41,1.556079,19.31094039
1691712000,2023-08-11,AVAX/USD,12.48,12.48,12.48,12.48,1.142408,14.257251840000002
1690156800,2023-07-24,AVAX/USD,13.1,13.1,13.1,13.1,2.0,26.2
1689984000,2023-07-22,AVAX/USD,13.7,13.7,13.7,13.7,1.371984,18.796180800000002
1689724800,2023-07-19,AVAX/USD,14.12,14.12,14.12,14.12,211.0,2979.3199999999997
1689552000,2023-07-17,AVAX/USD,14.42,14.42,14.42,14.42,14.38,207.3596
1689033600,2023-07-11,AVAX/USD,13.3001,13.3001,13.3,13.3,51.7627,688.4439100000001
1688860800,2023-07-09,AVAX/USD,13.7,13.7,13.7,13.7,9.946906,136.2726122
1688515200,2023-07-05,AVAX/USD,12.6731,12.75,12.6731,12.75,26.569,338.75475
1688342400,2023-07-03,AVAX/USD,13.32,16.9821,13.32,16.9821,1.8523,31.45594383
1688256000,2023-07-02,AVAX/USD,13.07,13.07,13.07,13.07,15.610438,204.02842466
1688083200,2023-06-30,AVAX/USD,13.0455,13.0455,13.0455,13.0455,7.629182,99.526493781
1687564800,2023-06-24,AVAX/USD,13.25,13.25,13.25,13.25,0.4619,6.120175
1687392000,2023-06-22,AVAX/USD,12.83,12.83,12.83,12.83,2.84,36.4372
1687305600,2023-06-21,AVAX/USD,12.9,12.9,12.9,12.9,0.4995,6.44355
1687219200,2023-06-20,AVAX/USD,11.4,11.4,11.4,11.4,34.0,387.6
1687132800,2023-06-19,AVAX/USD,11.34,11.34,11.34,11.34,1.5,17.009999999999998
