https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BNB,Volume USD
1704844800,2024-01-10,BNB/USD,300.1,300.1,295.8999,295.8999,37.906563,11216.548201043699
1704672000,2024-01-08,BNB/USD,300.0,300.0,300.0,300.0,0.5,150.0
1704240000,2024-01-03,BNB/USD,319.1999,328.7001,297.2999,319.5001,215.492203,68849.78040772029
1704153600,2024-01-02,BNB/USD,318.2999,318.2999,313.2001,313.2001,26.581248,8325.2495317248
1704067200,2024-01-01,BNB/USD,312.0,312.0,312.0,312.0,1.221841,381.214392
1703894400,2023-12-30,BNB/USD,317.2999,317.2999,317.2999,317.2999,0.031098,9.8673922902
1703808000,2023-12-29,BNB/USD,320.8,320.8,310.6999,310.6999,2.68914,835.515529086
1703721600,2023-12-28,BNB/USD,326.7999,334.1001,326.7999,332.0,4.492843,1491.6238759999999
1703635200,2023-12-27,BNB/USD,311.4001,319.1999,310.0999,319.1999,65.685292,20966.738637870803
1703548800,2023-12-26,BNB/USD,275.3,302.6999,273.0001,302.6999,58.582755,17732.9940802245
1703376000,2023-12-24,BNB/USD,269.3999,269.3999,263.9999,264.3001,1.996012,527.5461712012
1703289600,2023-12-23,BNB/USD,270.1999,271.7999,270.1999,271.7999,0.123171,33.4778654829
1703203200,2023-12-22,BNB/USD,270.2999,272.7999,270.2999,272.7999,0.087081,23.7556880919
1703116800,2023-12-21,BNB/USD,258.9999,271.2999,258.9999,271.2999,1.599161,433.8522193839
1703030400,2023-12-20,BNB/USD,256.8,260.6999,256.8,260.6999,4.440789,1157.7132482211
1702944000,2023-12-19,BNB/USD,254.0,254.0,254.0,254.0,2.0,508.0
1702857600,2023-12-18,BNB/USD,235.0,235.0,235.0,235.0,2.0,470.0
1702771200,2023-12-17,BNB/USD,243.3,243.3,243.3,243.3,0.262474,63.8599242
1702339200,2023-12-12,BNB/USD,250.0,250.0,250.0,250.0,3.917705,979.4262500000001
1702080000,2023-12-09,BNB/USD,244.3,244.3,240.0,240.0,1.578144,378.75455999999997
1701993600,2023-12-08,BNB/USD,200.3055,200.3055,200.3055,200.3055,0.095916,19.212502338
1701129600,2023-11-28,BNB/USD,229.7,229.7,229.7,229.7,0.8335,191.45495
1700956800,2023-11-26,BNB/USD,230.0,230.0,230.0,230.0,0.14844,34.1412
1700697600,2023-11-23,BNB/USD,235.0,235.0,235.0,235.0,1.28,300.8
1700611200,2023-11-22,BNB/USD,229.5,229.5,229.5,229.5,0.5,114.75
1700524800,2023-11-21,BNB/USD,256.0,256.0,230.0,230.0,9.924323,2282.59429
1700438400,2023-11-20,BNB/USD,260.0,260.0,260.0,260.0,0.135276,35.17176
1700092800,2023-11-16,BNB/USD,248.0,248.0,248.0,248.0,1.076836,267.055328
1699833600,2023-11-13,BNB/USD,243.9,243.9,243.9,243.9,0.41,99.999
1699747200,2023-11-12,BNB/USD,248.1,248.1,248.1,248.1,0.05,12.405000000000001
1699488000,2023-11-09,BNB/USD,245.2,245.2,245.2,245.2,6.40989,1571.7050279999999
1699401600,2023-11-08,BNB/USD,246.5,246.5,246.5,246.5,0.17413,42.923045
1698537600,2023-10-29,BNB/USD,226.9,226.9,226.9,226.9,0.125879,28.5619451
1698192000,2023-10-25,BNB/USD,225.5,225.5,225.5,225.5,0.2347,52.92485
1698105600,2023-10-24,BNB/USD,231.0,231.0,231.0,231.0,3.035587,701.220597
1695513600,2023-09-24,BNB/USD,210.0,210.0,210.0,210.0,0.35,73.5
1695427200,2023-09-23,BNB/USD,210.0001,210.0001,210.0001,210.0001,0.227,47.670022700000004
1692576000,2023-08-21,BNB/USD,210.0,210.0,210.0,210.0,0.1,21.0
1692316800,2023-08-18,BNB/USD,324.9999,325.0,324.9999,324.9999,0.140092,45.529885990800004
1692230400,2023-08-17,BNB/USD,230.0,230.0,222.9,222.9,35.63101,7942.152129000001
1692144000,2023-08-16,BNB/USD,232.0,232.0,232.0,232.0,0.3,69.6
1692057600,2023-08-15,BNB/USD,239.9,239.9,235.0,235.0,2.71,636.85
1691971200,2023-08-14,BNB/USD,239.9001,239.9001,239.9001,239.9001,0.05,11.995005
1691712000,2023-08-11,BNB/USD,240.0,240.0,240.0,240.0,0.08301,19.9224
1690329600,2023-07-26,BNB/USD,237.7,237.7,237.7,237.7,0.68,161.636
1690156800,2023-07-24,BNB/USD,241.0,241.0,241.0,241.0,0.65,156.65
1689465600,2023-07-16,BNB/USD,244.1,244.1,244.0,244.0,1.137987,277.668828
1689292800,2023-07-14,BNB/USD,257.3,259.4,245.0,245.0,5.312002,1301.44049
1689120000,2023-07-12,BNB/USD,254.1,254.1,254.1,254.1,1.125541,285.9999681
1688947200,2023-07-10,BNB/USD,242.0,242.0,242.0,242.0,1.0,242.0
1688601600,2023-07-06,BNB/USD,243.1,243.1,232.0,232.0,2.662252,617.642464
1688256000,2023-07-02,BNB/USD,246.0,246.0,246.0,246.0,0.571486,140.58555600000003
1688083200,2023-06-30,BNB/USD,241.0,241.0,241.0,241.0,0.58,139.78
1687564800,2023-06-24,BNB/USD,246.0,246.0,241.0,241.0,0.68,163.88000000000002
1687392000,2023-06-22,BNB/USD,243.8,243.8,243.8,243.8,0.5,121.9
1687305600,2023-06-21,BNB/USD,249.0,249.0,249.0,249.0,0.5,124.5
1687132800,2023-06-19,BNB/USD,244.0,244.0,242.0,242.0,3.335602,807.215684
1686700800,2023-06-14,BNB/USD,235.8,235.8,235.8,235.8,0.502,118.3716
1686528000,2023-06-12,BNB/USD,234.0,236.7,222.0,236.7,6.765227,1601.3292309
1686355200,2023-06-10,BNB/USD,240.0,240.0,234.0,236.0,1.05419,248.78884
1686096000,2023-06-07,BNB/USD,260.0,260.0,260.0,260.0,0.1,26.0
1686009600,2023-06-06,BNB/USD,280.0,280.0,280.0,280.0,0.326937,91.54235999999999
1685836800,2023-06-04,BNB/USD,307.0,307.0,307.0,307.0,0.51438,157.91466
1685577600,2023-06-01,BNB/USD,304.8,304.8,304.8,304.8,0.101525,30.944820000000004
1685318400,2023-05-29,BNB/USD,316.0,316.0,316.0,316.0,0.224241,70.860156
1685232000,2023-05-28,BNB/USD,307.4001,307.4001,307.4001,307.4001,0.72,221.328072
1685145600,2023-05-27,BNB/USD,306.8001,306.8001,306.8001,306.8001,0.054209,16.631326620899998
1685059200,2023-05-26,BNB/USD,302.4001,310.2,302.4001,310.2,2.47966,769.190532
1684972800,2023-05-25,BNB/USD,303.7999,304.0001,303.1001,303.1001,2.695615,817.0411760615
1684886400,2023-05-24,BNB/USD,313.9999,316.0,309.3,309.3,0.677136,209.43816479999998
1684800000,2023-05-23,BNB/USD,314.5999,316.0,313.0,313.9999,17.725359,5565.760953464101
1684713600,2023-05-22,BNB/USD,309.0001,309.0001,309.0001,309.0001,2.47,763.230247
1684627200,2023-05-21,BNB/USD,310.5001,310.5001,309.3001,309.3001,2.058118,636.5761032117999
1684454400,2023-05-19,BNB/USD,309.0,309.0,309.0,309.0,0.1,30.900000000000002
1684368000,2023-05-18,BNB/USD,312.4001,312.4001,312.4001,312.4001,0.315274,98.4916291274
1684281600,2023-05-17,BNB/USD,313.5,313.5,313.5,313.5,7.492019,2348.7479565
1684195200,2023-05-16,BNB/USD,313.5,318.9995,313.5,313.5,10.107388,3168.666138
1684108800,2023-05-15,BNB/USD,313.5,313.5,313.5,313.5,13.633593,4274.1314055
1683763200,2023-05-11,BNB/USD,310.0,310.0,305.1001,305.1001,0.572115,174.55234371150001
1683676800,2023-05-10,BNB/USD,312.0,316.0,312.0,316.0,1.693748,535.224368
1683504000,2023-05-08,BNB/USD,324.0,332.9995,317.0,317.0,10.214826,3238.099842
1683417600,2023-05-07,BNB/USD,335.999,335.9994,320.0001,329.9994,4.033544,1331.0670998736
1683331200,2023-05-06,BNB/USD,320.0006,336.9988,320.0,320.0001,10.021545,3206.8954021544996
1683244800,2023-05-05,BNB/USD,338.9795,339.0,320.0001,320.0001,5.733446,1834.7032933445998
1683158400,2023-05-04,BNB/USD,326.0,339.9,320.0001,320.0001,1.686305,539.6177686305
1683072000,2023-05-03,BNB/USD,320.0002,342.98,320.0001,320.0101,7.186174,2299.6482603574004
1682985600,2023-05-02,BNB/USD,325.0,342.98,320.0002,342.98,4.133553,1417.72600794
1682899200,2023-05-01,BNB/USD,337.9,337.9,317.5001,320.0004,4.640062,1484.8216960248
1682812800,2023-04-30,BNB/USD,320.0001,342.9831,317.5001,342.9831,2.817827,966.4670397236999
1682726400,2023-04-29,BNB/USD,325.0,342.9836,317.2013,342.983,10.107662,3466.7562357459997
1682640000,2023-04-28,BNB/USD,344.9995,344.9995,319.0001,342.9837,4.997285,1713.9872992545
1682553600,2023-04-27,BNB/USD,318.0,344.9995,317.0001,344.9995,3.967255,1368.7009913725
1682467200,2023-04-26,BNB/USD,336.0,346.9106,316.0023,343.9997,5.881446,2023.2156595662002
1682380800,2023-04-25,BNB/USD,315.994,347.0,315.994,336.0,3.700121,1243.2406560000002
1682294400,2023-04-24,BNB/USD,315.5017,348.994,315.5016,347.9999,1.307699,455.0791212301
1682208000,2023-04-23,BNB/USD,330.0,349.9961,312.6021,348.9997,2.350627,820.3681178119
1682121600,2023-04-22,BNB/USD,312.6026,330.0,312.6004,330.0,2.758294,910.2370199999999
1682035200,2023-04-21,BNB/USD,320.0,331.7,312.6001,312.6019,16.27404,5087.295824676
1681948800,2023-04-20,BNB/USD,324.0,332.9999,315.0,319.9999,11.476168,3672.3726123832002
1681862400,2023-04-19,BNB/USD,337.0,340.0,320.9999,320.9999,11.367683,3649.0251062317
1681776000,2023-04-18,BNB/USD,341.0,350.11,319.9201,323.5001,14.581304,4717.053302130399
1681689600,2023-04-17,BNB/USD,352.9999,352.9999,319.5001,350.7998,20.007305,7018.558592539
1681603200,2023-04-16,BNB/USD,347.4775,356.9995,312.7001,319.311,3.618649,1155.474430839
1681516800,2023-04-15,BNB/USD,334.9999,347.4775,325.0001,347.4775,7.432991,2582.7971302025003
1681430400,2023-04-14,BNB/USD,330.0,347.705,312.601,334.9999,4.235899,1419.0257414101
1681344000,2023-04-13,BNB/USD,319.0,330.0,311.0001,312.6013,4.597006,1437.0300517078
1681257600,2023-04-12,BNB/USD,310.1002,330.0,310.1001,311.0001,1.683918,523.6986663918
1681171200,2023-04-11,BNB/USD,319.0,339.5066,304.0001,310.0003,18.456273,5721.450166881899
1681084800,2023-04-10,BNB/USD,301.0075,320.0,300.5604,301.0004,38.860425,11697.00346917
1680998400,2023-04-09,BNB/USD,306.5052,316.9999,300.5604,301.0007,5.466556,1645.4371825892
1680912000,2023-04-08,BNB/USD,308.0,315.9978,306.0001,306.5052,9.747308,2987.6005880016
1680825600,2023-04-07,BNB/USD,316.999,319.911,307.0,319.9108,5.230142,1673.1789113336
1680739200,2023-04-06,BNB/USD,318.9999,319.9109,300.5601,312.0,15.747964,4913.3647679999995
1680652800,2023-04-05,BNB/USD,310.5,320.0,303.0001,306.0,3.90015,1193.4459
1680566400,2023-04-04,BNB/USD,318.9999,319.9997,300.5601,310.5,4.984801,1547.7807105
1680480000,2023-04-03,BNB/USD,319.9999,319.9999,300.5555,300.5621,10.380433,3119.9647413893
1680393600,2023-04-02,BNB/USD,310.0,320.0,305.0001,319.9999,7.772081,2487.0651427919
1680307200,2023-04-01,BNB/USD,312.0,320.0,300.5556,319.0,20.245621,6458.353099
1680220800,2023-03-31,BNB/USD,320.0,325.0,307.0015,309.0,3.236592,1000.1069279999999
1680134400,2023-03-30,BNB/USD,315.0007,322.9998,300.0001,320.0,14.738009,4716.16288
1680048000,2023-03-29,BNB/USD,326.9385,336.8875,315.0,329.9992,19.313138,6373.320089489599
1679961600,2023-03-28,BNB/USD,310.9982,327.9999,307.8001,326.946,3.022293,988.1266071780001
1679875200,2023-03-27,BNB/USD,330.0,333.988,310.01,310.9982,7.894347,2455.1277071754
1679788800,2023-03-26,BNB/USD,347.8899,347.8899,323.0001,347.7894,2.010678,699.2924952132
1679702400,2023-03-25,BNB/USD,348.8998,348.8998,312.5009,347.8898,4.623832,1608.5839897136
1679616000,2023-03-24,BNB/USD,339.9504,349.0,312.0001,312.5008,11.387286,3558.5359848288003
1679529600,2023-03-23,BNB/USD,338.0,339.9504,310.0101,339.9503,2.358899,801.9084227197001
1679443200,2023-03-22,BNB/USD,339.0,356.6971,310.0101,310.0101,5.312204,1646.8368932604003
1679356800,2023-03-21,BNB/USD,335.0001,369.7232,330.0001,339.0,8.412135,2851.713765
1679270400,2023-03-20,BNB/USD,349.9998,349.9998,330.0001,340.0,10.052565,3417.8721
1679184000,2023-03-19,BNB/USD,350.0,356.9999,325.1007,354.9999,6.591872,2340.1139008128002
1679097600,2023-03-18,BNB/USD,349.9999,349.9999,320.0002,320.0002,0.850955,272.305770191
1679011200,2023-03-17,BNB/USD,307.0104,350.0,307.0104,349.9997,9.281576,3248.5488155272
