https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DAI,Volume USD
1705017600,2024-01-12,DAI/USD,0.997,0.997,0.997,0.997,2127.936634,2121.552824098
1702944000,2023-12-19,DAI/USD,1.0176,1.018,1.0176,1.0176,275.87,280.72531200000003
1700524800,2023-11-21,DAI/USD,0.9998,0.9998,0.9998,0.9998,29.527814,29.5219084372
1700265600,2023-11-18,DAI/USD,1.0,1.0,1.0,1.0,9.726382,9.726382
1700179200,2023-11-17,DAI/USD,1.0,1.0,1.0,1.0,19.968141,19.968141
1700092800,2023-11-16,DAI/USD,0.9999,0.9999,0.9999,0.9999,1.600283,1.6001229716999998
1700006400,2023-11-15,DAI/USD,0.9999,0.9999,0.9999,0.9999,10.0,9.999
1699488000,2023-11-09,DAI/USD,0.9997,0.9997,0.9997,0.9997,18.09424,18.088811728
1699401600,2023-11-08,DAI/USD,1.0,1.0,1.0,1.0,21.672927,21.672927
1699315200,2023-11-07,DAI/USD,0.9997,0.9997,0.9997,0.9997,21.672927,21.6664251219
1699228800,2023-11-06,DAI/USD,1.0015,1.0015,1.0015,1.0015,10.0592,10.074288800000001
1694995200,2023-09-18,DAI/USD,1.0004,1.0004,1.0004,1.0004,10.0,10.004
1690156800,2023-07-24,DAI/USD,1.0,1.0,1.0,1.0,188.45092,188.45092
1689552000,2023-07-17,DAI/USD,1.0,1.0,1.0,1.0,10.0,10.0
1688947200,2023-07-10,DAI/USD,0.9998,0.9998,0.9998,0.9998,10.0592,10.05718816
1687910400,2023-06-28,DAI/USD,0.9942,0.9952,0.9942,0.9952,151.79213,151.06352777599997
1685491200,2023-05-31,DAI/USD,0.9864,0.9864,0.985,0.9862,374.663176,369.4928241712
1685404800,2023-05-30,DAI/USD,0.9861,0.9861,0.985,0.985,171.440266,168.86866201
1685059200,2023-05-26,DAI/USD,1.0,1.0,1.0,1.0,85.993503,85.993503
1684886400,2023-05-24,DAI/USD,1.0,1.0,1.0,1.0,10.898442,10.898442
1684800000,2023-05-23,DAI/USD,1.0,1.0,1.0,1.0,41.233409,41.233409
1684627200,2023-05-21,DAI/USD,0.9922,0.9922,0.99,0.99,311.413405,308.29927095
1684540800,2023-05-20,DAI/USD,0.9922,0.9922,0.9922,0.9922,10.844417,10.7598305474
1683676800,2023-05-10,DAI/USD,0.992,0.992,0.9912,0.9912,117.24,116.208288
1683331200,2023-05-06,DAI/USD,0.9919,0.9919,0.9919,0.9919,37.613927,37.3092541913
1683072000,2023-05-03,DAI/USD,0.992,0.992,0.9914,0.9919,4999.992361,4959.4924228759
1682640000,2023-04-28,DAI/USD,1.0074,1.0074,1.0074,1.0074,7.0,7.0518
1682553600,2023-04-27,DAI/USD,0.9928,0.9928,0.9928,0.9928,1849.99,1836.6700720000001
1682380800,2023-04-25,DAI/USD,1.0077,1.0077,1.0074,1.0074,987.030885,994.3349135490001
1682121600,2023-04-22,DAI/USD,1.0091,1.0091,1.0091,1.0091,200.0,201.82000000000002
1681776000,2023-04-18,DAI/USD,0.9918,0.9918,0.9918,0.9918,589.48,584.646264
1680825600,2023-04-07,DAI/USD,0.9907,0.9907,0.9905,0.9905,101.18,100.21879000000001
1680652800,2023-04-05,DAI/USD,0.9908,0.9908,0.9908,0.9908,25.0,24.77
1680480000,2023-04-03,DAI/USD,1.0084,1.0085,1.0084,1.0085,25000.0,25212.5
1679616000,2023-03-24,DAI/USD,0.9897,0.9897,0.9884,0.9884,142.082632,140.43447346879998
1679356800,2023-03-21,DAI/USD,1.0078,1.0078,1.0078,1.0078,1000.0,1007.8000000000001
1679011200,2023-03-17,DAI/USD,0.9906,0.9906,0.9906,0.9906,124.340806,123.1720024236
1678924800,2023-03-16,DAI/USD,0.9903,0.9903,0.99,0.99,1250.0,1237.5
1678752000,2023-03-14,DAI/USD,1.008,1.008,1.008,1.008,645.32,650.48256
1678579200,2023-03-12,DAI/USD,0.9682,0.9682,0.9569,0.9569,71.286568,68.2141169192
1678492800,2023-03-11,DAI/USD,0.9779,0.9779,0.8776,0.9667,3592.408726,3472.7815154242003
1678060800,2023-03-06,DAI/USD,1.0088,1.0088,1.0088,1.0088,1000.0,1008.8
1677801600,2023-03-03,DAI/USD,1.0,1.0,0.9925,0.9925,1297.35506,1287.62489705
1676592000,2023-02-17,DAI/USD,0.9939,1.0064,0.9939,1.0064,1009.0,1015.4576
1676505600,2023-02-16,DAI/USD,0.9907,0.9923,0.9907,0.9923,261.573862,259.5597432626
1676332800,2023-02-14,DAI/USD,1.0062,1.0062,1.0047,1.0047,117.369585,117.92122204949999
1676073600,2023-02-11,DAI/USD,1.0058,1.0058,0.9922,0.9922,152.482961,151.29359390419998
1675900800,2023-02-09,DAI/USD,0.9996,1.0083,0.9996,0.9996,466.269563,466.08305517480005
1675814400,2023-02-08,DAI/USD,0.9996,0.9996,0.9996,0.9996,112.419264,112.3742962944
1675728000,2023-02-07,DAI/USD,0.9996,0.9996,0.9996,0.9996,83.092872,83.0596348512
1675641600,2023-02-06,DAI/USD,0.9996,0.9996,0.9996,0.9996,11.828492,11.823760603200002
1675468800,2023-02-04,DAI/USD,0.9996,0.9996,0.9905,0.9905,153.861397,152.39971372850002
1675382400,2023-02-03,DAI/USD,0.9996,0.9996,0.9996,0.9996,192.269384,192.19247624640002
1675209600,2023-02-01,DAI/USD,0.9916,0.9916,0.9916,0.9916,30.804283,30.5455270228
1675123200,2023-01-31,DAI/USD,0.9921,0.9921,0.9921,0.9921,35.098851,34.821570077100006
1674432000,2023-01-23,DAI/USD,0.9901,0.9901,0.9884,0.9901,188.475442,186.6095351242
1674086400,2023-01-19,DAI/USD,0.99,0.99,0.9749,0.99,1228.0,1215.72
1674000000,2023-01-18,DAI/USD,0.9907,0.9907,0.93,0.93,428.9014,398.878302
