https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOGE,Volume USD
1705017600,2024-01-12,DOGE/USD,0.084,0.084,0.08206,0.08206,4000.0,328.23999999999995
1704931200,2024-01-11,DOGE/USD,0.08747,0.08779,0.08747,0.08779,7300.0,640.8670000000001
1704844800,2024-01-10,DOGE/USD,0.07707,0.0843,0.07707,0.0843,3417.0,288.0531
1704758400,2024-01-09,DOGE/USD,0.0813,0.08239,0.079,0.0797,6537.126223,521.0089599731
1704672000,2024-01-08,DOGE/USD,0.07612,0.0806,0.07551,0.0806,20437.00676,1647.2227448560002
1704585600,2024-01-07,DOGE/USD,0.08,0.08,0.0786,0.0786,846.0,66.4956
1704499200,2024-01-06,DOGE/USD,0.08,0.08,0.08,0.08,2500.0,200.0
1704412800,2024-01-05,DOGE/USD,0.08288,0.08288,0.08288,0.08288,500.1099,41.449108511999995
1704240000,2024-01-03,DOGE/USD,0.09007,0.09007,0.08,0.08254,3988.88368,329.2424589472
1703980800,2023-12-31,DOGE/USD,0.09085,0.09085,0.089,0.089,1452.194079,129.245273031
1703894400,2023-12-30,DOGE/USD,0.09,0.09,0.09,0.09,1000.0,90.0
1703721600,2023-12-28,DOGE/USD,0.093,0.093,0.093,0.093,30000.0,2790.0
1703635200,2023-12-27,DOGE/USD,0.09256,0.09256,0.09246,0.09246,1341.167031,124.00430368626
1703548800,2023-12-26,DOGE/USD,0.09428,0.09428,0.08788,0.09033,16021.284131,1447.20259555323
1703462400,2023-12-25,DOGE/USD,0.0937,0.09441,0.0937,0.09441,2370.0,223.7517
1703376000,2023-12-24,DOGE/USD,0.0916,0.0916,0.0916,0.0916,200.0,18.32
1703289600,2023-12-23,DOGE/USD,0.09361,0.09361,0.09361,0.09361,185.0,17.31785
1703203200,2023-12-22,DOGE/USD,0.09478,0.09478,0.09295,0.09295,4469.0,415.39355
1703116800,2023-12-21,DOGE/USD,0.097,0.097,0.097,0.097,1200.0,116.4
