https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOT,Volume USD
1705017600,2024-01-12,DOT/USD,8.12,8.12,7.52,7.52,362.462491,2725.71793232
1704931200,2024-01-11,DOT/USD,7.95,8.4,7.95,8.21,239.781122,1968.6030116200002
1704844800,2024-01-10,DOT/USD,7.087,7.98,7.087,7.919,602.599692,4771.986960948
1704758400,2024-01-09,DOT/USD,7.451,7.488,7.08,7.117,118.233785,841.469847845
1704672000,2024-01-08,DOT/USD,6.7,7.4,6.61,7.4,279.960444,2071.7072856
1704585600,2024-01-07,DOT/USD,7.202,7.202,6.9,6.9,191.421606,1320.8090814
1704499200,2024-01-06,DOT/USD,7.395,7.395,7.15,7.215,226.81333,1636.45817595
1704412800,2024-01-05,DOT/USD,7.699,7.699,7.297,7.297,365.993079,2670.651497463
1704326400,2024-01-04,DOT/USD,7.63,7.63,7.63,7.63,125.0,953.75
1704240000,2024-01-03,DOT/USD,8.27,8.27,6.803,7.612,5674.720702,43195.973983624
1704153600,2024-01-02,DOT/USD,8.692,8.692,8.419,8.419,198.753017,1673.3016501230002
1704067200,2024-01-01,DOT/USD,8.235,8.6,8.225,8.547,1086.042344,9282.403914168
1703980800,2023-12-31,DOT/USD,8.289,8.5,8.1,8.1,237.631979,1924.8190299
1703894400,2023-12-30,DOT/USD,8.36,8.36,8.314,8.314,180.777266,1502.982189524
1703808000,2023-12-29,DOT/USD,8.391,8.599,8.175,8.2,1231.414883,10097.602040599999
1703721600,2023-12-28,DOT/USD,8.69,8.781,8.307,8.355,3136.636893,26206.601241015
1703635200,2023-12-27,DOT/USD,8.712,8.997,8.503,8.696,4867.89307,42331.19813672
1703548800,2023-12-26,DOT/USD,9.433,9.529,8.411,8.766,1720.139084,15078.739210344
1703462400,2023-12-25,DOT/USD,8.894,9.388,8.74,9.205,5036.878282,46364.46458581
1703376000,2023-12-24,DOT/USD,8.477,9.186,8.425,8.675,6501.194295,56397.86050912501
1703289600,2023-12-23,DOT/USD,7.851,8.43,7.744,8.326,2171.445299,18079.453559474
1703203200,2023-12-22,DOT/USD,8.376,8.5,7.915,8.055,3887.742364,31315.76474202
1703116800,2023-12-21,DOT/USD,6.949,8.4,6.949,8.4,5827.815368,48953.6490912
1703030400,2023-12-20,DOT/USD,6.965,7.079,6.909,6.909,777.911841,5374.592909469
1702944000,2023-12-19,DOT/USD,7.001,7.001,7.001,7.001,6.515421,45.614462421
1702857600,2023-12-18,DOT/USD,6.6,6.6,6.5,6.5,1010.591507,6568.8447955
1702684800,2023-12-16,DOT/USD,6.89,7.296,6.89,7.295,384.145525,2802.341604875
1702598400,2023-12-15,DOT/USD,7.457,7.457,7.026,7.026,132.288996,929.462485896
1702512000,2023-12-14,DOT/USD,7.035,7.475,6.99,7.475,1130.471106,8450.27151735
1702425600,2023-12-13,DOT/USD,6.717,7.61,6.717,7.61,828.447232,6304.48343552
1702339200,2023-12-12,DOT/USD,7.249,7.249,7.249,7.249,70.0,507.42999999999995
1702252800,2023-12-11,DOT/USD,6.86,6.9,6.28,6.71,1654.832231,11103.92427001
1702166400,2023-12-10,DOT/USD,7.209,7.349,7.0,7.349,110.2219,810.0207431
1702080000,2023-12-09,DOT/USD,6.97,7.61,6.97,7.4,1936.468787,14329.869023800002
1701993600,2023-12-08,DOT/USD,6.35,6.85,6.222,6.85,953.093991,6528.693838349999
1701907200,2023-12-07,DOT/USD,6.2,6.2,6.2,6.2,3.228497,20.0166814
