https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LINK,Volume USD
1705017600,2024-01-12,LINK/USD,14.763,14.763,14.5,14.5,124.443957,1804.4373765
1704931200,2024-01-11,LINK/USD,14.864,14.864,14.864,14.864,99.395846,1477.4198549440002
1704844800,2024-01-10,LINK/USD,13.75,15.0,13.75,15.0,515.003733,7725.055995000001
1704758400,2024-01-09,LINK/USD,13.862,13.862,13.593,13.598,644.699853,8766.628601094
1704672000,2024-01-08,LINK/USD,13.74,13.868,13.57,13.868,942.073188,13064.670971184
1704499200,2024-01-06,LINK/USD,13.69,13.69,13.69,13.69,20.0,273.8
1704412800,2024-01-05,LINK/USD,14.51,14.51,13.927,14.115,807.923811,11403.844592265
1704326400,2024-01-04,LINK/USD,14.664,14.664,14.664,14.664,99.514421,1459.279469544
1704240000,2024-01-03,LINK/USD,15.205,15.205,13.19,14.256,3673.538807,52369.969232592
1704153600,2024-01-02,LINK/USD,15.848,16.039,15.204,15.204,524.099071,7968.402275484
1704067200,2024-01-01,LINK/USD,15.262,15.546,15.262,15.546,203.55192,3164.41814832
1703980800,2023-12-31,LINK/USD,14.994,15.37,14.8,14.8,417.722702,6182.295989600001
1703894400,2023-12-30,LINK/USD,15.613,15.613,15.35,15.35,420.471543,6454.23818505
1703808000,2023-12-29,LINK/USD,16.111,16.111,15.408,15.607,1333.126583,20806.106580880998
1703721600,2023-12-28,LINK/USD,16.745,17.48,16.139,16.342,5788.590364,94597.143728488
1703635200,2023-12-27,LINK/USD,14.8,16.619,14.8,16.607,3606.444519,59892.224127033
1703548800,2023-12-26,LINK/USD,15.847,15.847,14.656,14.787,1480.404889,21890.747093643
1703462400,2023-12-25,LINK/USD,15.329,15.703,15.205,15.703,471.46262,7403.37752186
1703376000,2023-12-24,LINK/USD,15.678,15.921,15.678,15.921,295.884663,4710.779719622999
1703289600,2023-12-23,LINK/USD,15.134,15.854,15.134,15.743,933.007797,14688.341748171
1703203200,2023-12-22,LINK/USD,15.6,15.617,15.329,15.329,98.631775,1511.9264789750002
1703116800,2023-12-21,LINK/USD,14.66,14.983,14.66,14.983,394.305857,5907.884655431
1703030400,2023-12-20,LINK/USD,14.636,14.636,14.636,14.636,99.590152,1457.601464672
1702857600,2023-12-18,LINK/USD,14.329,14.33,14.329,14.33,202.315907,2899.18694731
1702771200,2023-12-17,LINK/USD,14.2,14.2,14.04,14.04,9.003407,126.40783427999999
1702598400,2023-12-15,LINK/USD,14.85,14.85,14.5,14.5,21.0,304.5
1702512000,2023-12-14,LINK/USD,15.199,15.199,14.47,14.47,18.884201,273.25438847000004
1702339200,2023-12-12,LINK/USD,15.0,15.0,14.84,14.84,71.318952,1058.3732476799998
1702252800,2023-12-11,LINK/USD,15.52,15.52,13.59,14.7,159.004373,2337.3642830999997
1702080000,2023-12-09,LINK/USD,17.089,17.2,16.298,16.298,515.623927,8403.638762245999
1701993600,2023-12-08,LINK/USD,15.92,17.24,15.92,16.8,868.021674,14582.7641232
1701907200,2023-12-07,LINK/USD,15.25,15.25,14.949,14.949,103.057566,1540.6075541339999
1701648000,2023-12-04,LINK/USD,15.999,15.999,15.999,15.999,59.910659,958.5106333410001
1701475200,2023-12-02,LINK/USD,15.199,16.05,15.199,15.96,152.855546,2439.57451416
1701043200,2023-11-27,LINK/USD,14.189,14.189,14.189,14.189,10.425141,147.922325649
1700956800,2023-11-26,LINK/USD,14.738,14.738,14.738,14.738,27.428937,404.247673506
1700697600,2023-11-23,LINK/USD,14.377,14.377,14.377,14.377,35.0,503.19500000000005
1700438400,2023-11-20,LINK/USD,15.3,15.3,14.8,14.8,68.892539,1019.6095772
1700352000,2023-11-19,LINK/USD,14.999,15.0,14.999,15.0,114.920462,1723.80693
1700179200,2023-11-17,LINK/USD,13.7,13.7,12.968,12.968,33.091259,429.127446712
1700092800,2023-11-16,LINK/USD,14.68,14.68,13.8,13.8,151.105876,2085.2610888
1700006400,2023-11-15,LINK/USD,15.2,15.2,15.2,15.2,57.86,879.472
1699920000,2023-11-14,LINK/USD,14.14,14.14,13.6,13.6,46.0,625.6
1699833600,2023-11-13,LINK/USD,15.3,15.3,15.2,15.2,31.82,483.664
1699747200,2023-11-12,LINK/USD,15.833,16.22,15.833,16.22,197.0,3195.3399999999997
1699574400,2023-11-10,LINK/USD,15.224,15.44,15.224,15.44,40.0,617.6
1699488000,2023-11-09,LINK/USD,15.0,15.44,13.99,14.23,36.777736,523.34718328
1699401600,2023-11-08,LINK/USD,13.65,14.75,13.65,14.56,240.082399,3495.5997294400004
1699315200,2023-11-07,LINK/USD,13.0,13.0,12.7,12.7,31.0,393.7
1699228800,2023-11-06,LINK/USD,12.899,13.2,12.899,13.2,249.034408,3287.2541856
1699142400,2023-11-05,LINK/USD,11.7,11.7,11.7,11.7,4.429452,51.8245884
1698883200,2023-11-02,LINK/USD,11.263,11.263,11.263,11.263,200.0,2252.6
1698796800,2023-11-01,LINK/USD,10.798,11.6,10.798,11.6,804.867241,9336.4599956
