https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USD
1705017600,2024-01-12,LTC/USD,70.94,76.387,70.83,71.779,90.52570677,6497.84470624383
1704931200,2024-01-11,LTC/USD,69.829,74.0,69.829,73.09,89.06281721,6509.601309878901
1704844800,2024-01-10,LTC/USD,66.911,70.931,65.529,70.931,74.47322035,5282.45999264585
1704758400,2024-01-09,LTC/USD,66.559,66.559,65.751,65.831,9.7343971,640.8250954901001
1704672000,2024-01-08,LTC/USD,63.13,66.04,62.21,66.04,45.226649,2986.7678999600002
1704585600,2024-01-07,LTC/USD,64.0,64.0,64.0,64.0,0.2,12.8
1704499200,2024-01-06,LTC/USD,65.55,65.55,65.55,65.55,14.70905331,964.1784444704999
1704412800,2024-01-05,LTC/USD,66.33,68.999,64.481,64.669,88.94609746,5752.05517664074
1704326400,2024-01-04,LTC/USD,65.381,66.45,65.17,66.45,24.71193166,1642.1078588070002
1704240000,2024-01-03,LTC/USD,72.369,72.369,57.001,64.689,938.6817311,60722.38250312789
1704153600,2024-01-02,LTC/USD,75.0,75.0,72.851,72.851,46.3788438,3378.7451496738
1703980800,2023-12-31,LTC/USD,72.0,72.0,72.0,72.0,1.20119899,86.48632728
1703894400,2023-12-30,LTC/USD,73.451,73.569,72.0,72.0,20.51611874,1477.16054928
1703808000,2023-12-29,LTC/USD,76.441,77.301,73.059,73.149,513.08095226,37531.35857686674
1703721600,2023-12-28,LTC/USD,75.758,76.899,74.841,76.461,378.38404232,28931.622259829517
1703635200,2023-12-27,LTC/USD,72.759,77.04,72.759,75.611,175.72693301,13286.88913181911
1703548800,2023-12-26,LTC/USD,71.491,73.931,71.491,72.379,86.89908137,6289.668610479231
1703462400,2023-12-25,LTC/USD,70.899,72.491,70.899,72.261,7.3062312,527.9555727431999
1703376000,2023-12-24,LTC/USD,72.309,72.569,70.419,70.469,213.67913842,15057.755205318977
1703289600,2023-12-23,LTC/USD,73.95,74.0,71.689,72.589,320.67688789,23277.61461504721
1703203200,2023-12-22,LTC/USD,71.299,73.761,70.729,73.751,136.29892884,10052.182300878841
1703116800,2023-12-21,LTC/USD,69.699,70.929,69.699,70.929,67.97809634,4821.61839529986
1703030400,2023-12-20,LTC/USD,70.869,71.629,69.965,70.051,150.42108639,10537.14752270589
1702944000,2023-12-19,LTC/USD,71.25,71.25,70.339,70.529,7.28256471,513.63200643159
1702857600,2023-12-18,LTC/USD,70.3,70.3,69.0,69.0,24.00540609,1656.37302021
1702771200,2023-12-17,LTC/USD,72.0,72.0,72.0,72.0,0.20080944,14.45827968
1702512000,2023-12-14,LTC/USD,73.75,73.75,72.0,72.0,2.4234537,174.4886664
1702425600,2023-12-13,LTC/USD,73.499,73.5,73.499,73.5,21.23435523,1560.7251094049998
1702339200,2023-12-12,LTC/USD,72.9,72.9,72.0,72.0,1.38915481,100.01914632
1702252800,2023-12-11,LTC/USD,74.21,74.21,72.32,73.49,44.13399892,3243.4075806308
1702166400,2023-12-10,LTC/USD,78.3,78.3,77.45,77.45,28.9384014,2241.27918843
1702080000,2023-12-09,LTC/USD,79.0,79.24,78.6,78.6,24.97254923,1962.8423694779997
1701993600,2023-12-08,LTC/USD,77.77,78.4,77.77,78.4,16.37285692,1283.6319825280002
