https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MATIC,Volume USD
1705017600,2024-01-12,MATIC/USD,0.9158,0.9158,0.89,0.89,8971.661116,7984.77839324
1704931200,2024-01-11,MATIC/USD,0.927,0.9493,0.885,0.9493,2526.234187,2398.1541137191
1704844800,2024-01-10,MATIC/USD,0.84159,0.91,0.84159,0.89719,25933.681354,23267.43957399526
1704758400,2024-01-09,MATIC/USD,0.82,0.82,0.785,0.80459,40515.891087,32598.680809689333
1704672000,2024-01-08,MATIC/USD,0.7708,0.8418,0.75,0.8418,954.532003,803.5250401254
1704585600,2024-01-07,MATIC/USD,0.8099,0.8099,0.8,0.8,88.0,70.4
1704499200,2024-01-06,MATIC/USD,0.85,0.85,0.8,0.8344,368.894728,307.8057610432
1704412800,2024-01-05,MATIC/USD,0.8745,0.8745,0.83,0.83809,2011.654823,1685.9477906080701
1704326400,2024-01-04,MATIC/USD,0.86,0.8814,0.86,0.8814,915.616787,807.0246360618
1704240000,2024-01-03,MATIC/USD,0.98399,0.98399,0.79,0.8608,353466.848565,304264.263244752
1704153600,2024-01-02,MATIC/USD,0.9802,0.9802,0.9712,0.9712,508.32138,493.68172425599994
1704067200,2024-01-01,MATIC/USD,0.98739,1.0163,0.98739,1.0163,13689.298054,13912.4336122802
1703980800,2023-12-31,MATIC/USD,0.9838,1.008,0.9838,0.989,8798.766869,8701.980433440998
1703894400,2023-12-30,MATIC/USD,0.9689,0.9689,0.9689,0.9689,500.0,484.45
1703808000,2023-12-29,MATIC/USD,0.98651,1.00861,0.94549,0.974,79587.144801,77517.879036174
1703721600,2023-12-28,MATIC/USD,1.04532,1.05881,0.98811,0.98811,256767.005624,253714.04592713068
1703635200,2023-12-27,MATIC/USD,1.01189,1.09908,0.99189,1.03579,504269.308051,522317.1065861453
1703548800,2023-12-26,MATIC/USD,0.87279,1.02589,0.869,1.01329,258865.080329,262305.3972465724
1703462400,2023-12-25,MATIC/USD,0.8496,0.90639,0.8496,0.9,32272.27609,29045.048481
1703376000,2023-12-24,MATIC/USD,0.85209,0.87478,0.83891,0.85,120874.658131,102743.45941135
1703289600,2023-12-23,MATIC/USD,0.86461,0.86461,0.82981,0.85149,38530.109423,32808.00287259027
1703203200,2023-12-22,MATIC/USD,0.87311,0.87311,0.865,0.8665,8104.64521,7022.675074465
1703116800,2023-12-21,MATIC/USD,0.77969,0.79549,0.77969,0.79549,16737.299323,13314.35423845327
1703030400,2023-12-20,MATIC/USD,0.77819,0.7929,0.77369,0.77369,41597.506091,32183.574487545793
1702944000,2023-12-19,MATIC/USD,0.75149,0.75149,0.75149,0.75149,7978.247084,5995.572901155159
1702857600,2023-12-18,MATIC/USD,0.81,0.81,0.77,0.77,2769.012569,2132.13967813
1702771200,2023-12-17,MATIC/USD,0.84,0.84,0.83,0.8308,665.644131,553.0171440348
1702684800,2023-12-16,MATIC/USD,0.85,0.85,0.85,0.85,530.0,450.5
1702598400,2023-12-15,MATIC/USD,0.85,0.863,0.85,0.863,863.71172,745.38321436
1702512000,2023-12-14,MATIC/USD,0.88949,0.8895,0.88949,0.8895,8590.380273,7641.1432528335
1702425600,2023-12-13,MATIC/USD,0.85,0.882,0.85,0.882,473.474386,417.604408452
1702339200,2023-12-12,MATIC/USD,0.85,0.85,0.85,0.85,300.0,255.0
1702252800,2023-12-11,MATIC/USD,0.89,0.89,0.82,0.843,2233.691463,1883.001903309
1702166400,2023-12-10,MATIC/USD,0.9044,0.9044,0.9011,0.9014,376.0,338.9264
1702080000,2023-12-09,MATIC/USD,0.932,0.932,0.932,0.932,186.289471,173.621786972
1701993600,2023-12-08,MATIC/USD,0.9,0.9018,0.9,0.9018,8156.525247,7355.5544677446
1701907200,2023-12-07,MATIC/USD,0.815,0.85,0.815,0.8416,181.0,152.3296
1701820800,2023-12-06,MATIC/USD,0.8332,0.84,0.8198,0.8198,2473.234337,2027.5575094725998
1701648000,2023-12-04,MATIC/USD,0.79,0.79,0.7888,0.7888,211.031393,166.4615627984
1701561600,2023-12-03,MATIC/USD,0.808,0.808,0.8063,0.8063,1438.175668,1159.6010411084
1701475200,2023-12-02,MATIC/USD,0.81,0.82,0.81,0.82,42.532603,34.87673446
1701216000,2023-11-29,MATIC/USD,0.76,0.76,0.76,0.76,4068.07,3091.7332
1701043200,2023-11-27,MATIC/USD,0.758,0.758,0.7403,0.7403,47.5,35.164249999999996
1700956800,2023-11-26,MATIC/USD,0.7645,0.7645,0.7645,0.7645,649.784578,496.76030988099996
1700870400,2023-11-25,MATIC/USD,0.774,0.774,0.774,0.774,38.0,29.412
1700611200,2023-11-22,MATIC/USD,0.72909,0.7735,0.72731,0.7732,64666.144104,49999.8626212128
1700524800,2023-11-21,MATIC/USD,0.80993,0.81976,0.7227,0.72958,224206.798422,163576.79599272276
1700438400,2023-11-20,MATIC/USD,0.85325,0.86561,0.80738,0.80956,92395.526634,74799.72254182103
1700352000,2023-11-19,MATIC/USD,0.83108,0.85669,0.81438,0.85382,88254.909484,75353.80681562888
1700265600,2023-11-18,MATIC/USD,0.83031,0.8313,0.77891,0.8307,150294.562184,124849.6928062488
1700179200,2023-11-17,MATIC/USD,0.84432,0.87218,0.7886,0.82993,247282.377108,205227.06323324243
1700092800,2023-11-16,MATIC/USD,0.92045,0.94251,0.83575,0.84478,239460.308787,202291.27965708185
1700006400,2023-11-15,MATIC/USD,0.91695,0.96048,0.88931,0.92107,304988.329563,280915.6007105924
1699920000,2023-11-14,MATIC/USD,0.88395,0.98162,0.8511,0.91634,1335747.946783,1223999.2735551342
1699833600,2023-11-13,MATIC/USD,0.89804,0.95079,0.85826,0.88346,750104.745566,662687.5385177383
1699747200,2023-11-12,MATIC/USD,0.80273,0.92664,0.7745,0.89846,772519.057219,694077.4721489827
1699660800,2023-11-11,MATIC/USD,0.84375,0.84375,0.79636,0.80289,109910.914051,88246.37378240739
1699574400,2023-11-10,MATIC/USD,0.85433,0.8695,0.81311,0.84432,222500.862487,187861.92821502383
1699488000,2023-11-09,MATIC/USD,0.78859,0.85964,0.76868,0.8549,561499.568625,480025.98121751245
1699401600,2023-11-08,MATIC/USD,0.74225,0.80865,0.73631,0.78895,337655.994372,266393.6967597894
1699315200,2023-11-07,MATIC/USD,0.73538,0.74613,0.69619,0.74176,149313.164897,110754.53319399872
1699228800,2023-11-06,MATIC/USD,0.69283,0.7354,0.69097,0.73505,129977.389617,95539.88023797584
1699142400,2023-11-05,MATIC/USD,0.67822,0.69774,0.67474,0.69329,74317.248063,51523.40490959727
1699056000,2023-11-04,MATIC/USD,0.67203,0.68109,0.66325,0.67868,40519.261806,27499.61260249608
1698969600,2023-11-03,MATIC/USD,0.66028,0.67268,0.64386,0.67172,57593.289377,38686.56434031844
1698883200,2023-11-02,MATIC/USD,0.66882,0.68656,0.64469,0.65998,101287.2876,66847.584070248
1698796800,2023-11-01,MATIC/USD,0.63541,0.66869,0.61699,0.66837,101305.622538,67709.63893572307
1698710400,2023-10-31,MATIC/USD,0.6491,0.65604,0.62002,0.63498,58832.604057,37357.52692411386
1698624000,2023-10-30,MATIC/USD,0.63813,0.65021,0.62796,0.6494,61863.350636,40174.0599030184
1698537600,2023-10-29,MATIC/USD,0.61996,0.6421,0.61431,0.638,34478.481379,21997.271119801997
1698451200,2023-10-28,MATIC/USD,0.60928,0.62624,0.60928,0.61968,23169.375975,14357.598904188
1698364800,2023-10-27,MATIC/USD,0.63169,0.63169,0.60206,0.60887,48023.090689,29239.81922781143
1698278400,2023-10-26,MATIC/USD,0.62964,0.6577,0.61574,0.6314,77526.860034,48950.4594254676
1698192000,2023-10-25,MATIC/USD,0.62345,0.64857,0.6117,0.62922,144120.728152,90683.64456780144
