https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SHIB,Volume USD
1705017600,2024-01-12,SHIB/USD,1e-05,1e-05,9.6e-06,9.6e-06,943724999,9059.7599904
1704931200,2024-01-11,SHIB/USD,1.045e-05,1.045e-05,1.045e-05,1.045e-05,1449869,15.15113105
1704844800,2024-01-10,SHIB/USD,9.35e-06,1.015e-05,9.35e-06,1.015e-05,34054838,345.6566057
1704758400,2024-01-09,SHIB/USD,9.48e-06,9.48e-06,9.48e-06,9.48e-06,102786253,974.4136784400001
1704672000,2024-01-08,SHIB/USD,8.8e-06,9.24e-06,8.6e-06,9.24e-06,576780861,5329.45515564
1704585600,2024-01-07,SHIB/USD,9.6e-06,9.6e-06,8.98e-06,8.98e-06,15064793,135.28184114
1704499200,2024-01-06,SHIB/USD,9.5e-06,9.5e-06,9.5e-06,9.5e-06,1500000,14.25
1704412800,2024-01-05,SHIB/USD,9.99e-06,9.99e-06,9.99e-06,9.99e-06,99108028,990.0891997199999
1704240000,2024-01-03,SHIB/USD,1.06e-05,1.06e-05,1.007e-05,1.007e-05,434856193,4379.0018635100005
1704153600,2024-01-02,SHIB/USD,1.062e-05,1.062e-05,1.061e-05,1.061e-05,28372458,301.03177938
1703808000,2023-12-29,SHIB/USD,1.043e-05,1.043e-05,1.042e-05,1.042e-05,5888301,61.35609642
1703721600,2023-12-28,SHIB/USD,1.07e-05,1.07e-05,1.07e-05,1.07e-05,11831096,126.59272719999998
1703635200,2023-12-27,SHIB/USD,1.042e-05,1.042e-05,1.042e-05,1.042e-05,18521576,192.99482192
1703548800,2023-12-26,SHIB/USD,1.06e-05,1.06e-05,1.042e-05,1.042e-05,24000000,250.08
1703376000,2023-12-24,SHIB/USD,1.092e-05,1.092e-05,1.06e-05,1.06e-05,5000000,53.0
1703289600,2023-12-23,SHIB/USD,1.111e-05,1.111e-05,1.111e-05,1.111e-05,18654670,207.2533837
1702944000,2023-12-19,SHIB/USD,1.01e-05,1.01e-05,1.005e-05,1.005e-05,35358895,355.35689475000004
1702857600,2023-12-18,SHIB/USD,1.019e-05,1.019e-05,9.6e-06,9.6e-06,1551662892,14895.9637632
1702771200,2023-12-17,SHIB/USD,1.049e-05,1.049e-05,1.049e-05,1.049e-05,4110344,43.11750856
1702684800,2023-12-16,SHIB/USD,1.014e-05,1.123e-05,1.014e-05,1.123e-05,1209122753,13578.44851619
1702339200,2023-12-12,SHIB/USD,9.5e-06,9.5e-06,9.5e-06,9.5e-06,76000000,722.0
1702252800,2023-12-11,SHIB/USD,9.9e-06,9.9e-06,9.9e-06,9.9e-06,19926551,197.2728549
1702166400,2023-12-10,SHIB/USD,1e-05,1e-05,1e-05,1e-05,7000000,70.0
1702080000,2023-12-09,SHIB/USD,1.035e-05,1.035e-05,9.99e-06,9.99e-06,8823671,88.14847329
1701993600,2023-12-08,SHIB/USD,9.8e-06,1.05e-05,9.8e-06,1.05e-05,833180438,8748.394599
1701907200,2023-12-07,SHIB/USD,9.8e-06,9.8e-06,9.7e-06,9.7e-06,1179363265,11439.8236705
1701820800,2023-12-06,SHIB/USD,9.94e-06,1.051e-05,9.77e-06,9.77e-06,1635804700,15981.811919
1701734400,2023-12-05,SHIB/USD,9.41e-06,9.41e-06,9.41e-06,9.41e-06,2500000,23.525
1701648000,2023-12-04,SHIB/USD,9.13e-06,9.5e-06,9.03e-06,9.03e-06,148692292,1342.69139676
1701561600,2023-12-03,SHIB/USD,8.85e-06,9.32e-06,8.85e-06,9.23e-06,323697073,2987.7239837899997
1701043200,2023-11-27,SHIB/USD,8.43e-06,8.59e-06,8.14e-06,8.14e-06,393294438,3201.41672532
1700956800,2023-11-26,SHIB/USD,8.44e-06,8.44e-06,8.2e-06,8.2e-06,42892112,351.7153184
1700870400,2023-11-25,SHIB/USD,8.3e-06,8.47e-06,8.3e-06,8.47e-06,37000000,313.39
1700524800,2023-11-21,SHIB/USD,8.26e-06,8.26e-06,7.67e-06,7.67e-06,425288011,3261.95904437
1700179200,2023-11-17,SHIB/USD,8.7e-06,8.7e-06,8.62e-06,8.62e-06,218027404,1879.39622248
1700092800,2023-11-16,SHIB/USD,8.6e-06,8.6e-06,8.6e-06,8.6e-06,9890000,85.054
1700006400,2023-11-15,SHIB/USD,8.58e-06,8.58e-06,8.58e-06,8.58e-06,23900000,205.06199999999998
1699920000,2023-11-14,SHIB/USD,8.32e-06,8.32e-06,8.26e-06,8.26e-06,6941706,57.33849156
1699833600,2023-11-13,SHIB/USD,9.15e-06,9.15e-06,8.5e-06,8.5e-06,178386277,1516.2833545
1699747200,2023-11-12,SHIB/USD,8.8e-06,9e-06,8.8e-06,8.98e-06,755000000,6779.900000000001
1699660800,2023-11-11,SHIB/USD,8.85e-06,9.33e-06,8.85e-06,9.05e-06,1023449581,9262.218708049999
1699488000,2023-11-09,SHIB/USD,8.6e-06,8.6e-06,8.4e-06,8.4e-06,617071877,5183.403766799999
1699315200,2023-11-07,SHIB/USD,8.3e-06,8.3e-06,8e-06,8e-06,1007184419,8057.4753519999995
1699228800,2023-11-06,SHIB/USD,8.1e-06,8.5e-06,8.1e-06,8.5e-06,755671366,6423.206611
1699142400,2023-11-05,SHIB/USD,8.25e-06,8.3e-06,8.18e-06,8.18e-06,204065448,1669.25536464
1698969600,2023-11-03,SHIB/USD,7.68e-06,7.81e-06,7.68e-06,7.81e-06,115116815,899.06232515
1698883200,2023-11-02,SHIB/USD,8.03e-06,8.03e-06,7.72e-06,7.72e-06,179178520,1383.2581744000001
1698796800,2023-11-01,SHIB/USD,7.6e-06,7.6e-06,7.6e-06,7.6e-06,5666000,43.0616
1698624000,2023-10-30,SHIB/USD,7.98e-06,7.98e-06,7.98e-06,7.98e-06,17840000,142.3632
1698278400,2023-10-26,SHIB/USD,8e-06,8e-06,7.8e-06,7.8e-06,1479447219,11539.6883082
1698192000,2023-10-25,SHIB/USD,7.8e-06,7.8e-06,7.8e-06,7.8e-06,95458437,744.5758086
1698019200,2023-10-23,SHIB/USD,7.15e-06,7.15e-06,7.15e-06,7.15e-06,1500000,10.725
1697587200,2023-10-18,SHIB/USD,6.89e-06,6.89e-06,6.78e-06,6.78e-06,276714955,1876.1273949000001
1696982400,2023-10-11,SHIB/USD,6.74e-06,6.74e-06,6.74e-06,6.74e-06,100000000,674.0
1696809600,2023-10-09,SHIB/USD,7.11e-06,7.11e-06,6.81e-06,6.81e-06,56115095,382.14379695
1696636800,2023-10-07,SHIB/USD,7.23e-06,7.23e-06,7.23e-06,7.23e-06,1500000,10.845
1696377600,2023-10-04,SHIB/USD,7.15e-06,7.26e-06,7.15e-06,7.26e-06,214920241,1560.32094966
1696204800,2023-10-02,SHIB/USD,7.25e-06,7.25e-06,7.23e-06,7.23e-06,36000000,260.28000000000003
1695168000,2023-09-20,SHIB/USD,7.37e-06,7.37e-06,7.28e-06,7.28e-06,30722475,223.659618
1694908800,2023-09-17,SHIB/USD,7.18e-06,7.18e-06,7.18e-06,7.18e-06,18000000,129.24
1694390400,2023-09-11,SHIB/USD,7.3e-06,7.3e-06,7.2e-06,7.2e-06,19798832,142.55159039999998
1694304000,2023-09-10,SHIB/USD,7.38e-06,7.38e-06,7.29e-06,7.29e-06,16663956,121.48023923999999
1693958400,2023-09-06,SHIB/USD,7.58e-06,7.58e-06,7.58e-06,7.58e-06,38975367,295.43328186
1693785600,2023-09-04,SHIB/USD,7.63e-06,7.63e-06,7.55e-06,7.55e-06,58680589,443.03844695
1693440000,2023-08-31,SHIB/USD,8.1e-06,8.1e-06,8.1e-06,8.1e-06,3281085,26.576788500000003
1693267200,2023-08-29,SHIB/USD,8.27e-06,8.27e-06,8.27e-06,8.27e-06,3230189,26.713663030000003
1693094400,2023-08-27,SHIB/USD,8.05e-06,8.05e-06,8.05e-06,8.05e-06,46311176,372.8049668
1692748800,2023-08-23,SHIB/USD,8.43e-06,8.44e-06,8.43e-06,8.44e-06,11450000,96.638
1692662400,2023-08-22,SHIB/USD,7.91e-06,7.91e-06,7.79e-06,7.79e-06,4000000,31.16
1692576000,2023-08-21,SHIB/USD,7.94e-06,7.94e-06,7.83e-06,7.83e-06,7000000,54.809999999999995
1692316800,2023-08-18,SHIB/USD,8.41e-06,8.47e-06,8.3e-06,8.3e-06,1228505728,10196.5975424
1692230400,2023-08-17,SHIB/USD,9.03e-06,1.03e-05,7.95e-06,7.95e-06,159255983,1266.08506485
1692144000,2023-08-16,SHIB/USD,9.96e-06,9.96e-06,9.96e-06,9.96e-06,5156969,51.36341124
1692057600,2023-08-15,SHIB/USD,1.035e-05,1.035e-05,9.6e-06,9.6e-06,129375013,1242.0001247999999
1691971200,2023-08-14,SHIB/USD,1.006e-05,1.006e-05,1.006e-05,1.006e-05,10613320,106.7699992
1691884800,2023-08-13,SHIB/USD,1.05e-05,1.067e-05,1.042e-05,1.047e-05,869973195,9108.619351649999
1691798400,2023-08-12,SHIB/USD,1.088e-05,1.102e-05,1.072e-05,1.072e-05,92961106,996.5430563200001
1691712000,2023-08-11,SHIB/USD,1.005e-05,1.05e-05,1.005e-05,1.038e-05,13329061,138.35565318000002
1691625600,2023-08-10,SHIB/USD,9.01e-06,1.004e-05,9.01e-06,1.004e-05,36409442,365.55079768
1691539200,2023-08-09,SHIB/USD,9.85e-06,1e-05,9.85e-06,1e-05,20748552,207.48552
1691452800,2023-08-08,SHIB/USD,8.98e-06,9.61e-06,8.98e-06,9.61e-06,26726056,256.83739815999996
1691366400,2023-08-07,SHIB/USD,9.01e-06,9.01e-06,8.88e-06,8.88e-06,198839082,1765.69104816
1691280000,2023-08-06,SHIB/USD,9.81e-06,9.81e-06,9.35e-06,9.35e-06,714900000,6684.3150000000005
1691193600,2023-08-05,SHIB/USD,9e-06,1.04e-05,9e-06,1.017e-05,1302804323,13249.51996491
1691107200,2023-08-04,SHIB/USD,8.6e-06,8.82e-06,8.6e-06,8.82e-06,960237016,8469.29048112
1691020800,2023-08-03,SHIB/USD,8.2e-06,8.2e-06,8.2e-06,8.2e-06,14634146,119.9999972
1690761600,2023-07-31,SHIB/USD,8.5e-06,8.5e-06,8.5e-06,8.5e-06,49800000,423.3
1690675200,2023-07-30,SHIB/USD,8.2e-06,8.2e-06,8.2e-06,8.2e-06,17775152,145.75624639999998
1690588800,2023-07-29,SHIB/USD,8.43e-06,8.6e-06,8.43e-06,8.6e-06,595617776,5122.312873600001
1690502400,2023-07-28,SHIB/USD,7.82e-06,8.4e-06,7.82e-06,8.33e-06,1806014583,15044.10147639
1689811200,2023-07-20,SHIB/USD,7.82e-06,7.82e-06,7.82e-06,7.82e-06,30000000,234.6
1689465600,2023-07-16,SHIB/USD,8.01e-06,8.01e-06,8.01e-06,8.01e-06,34000000,272.34
1689379200,2023-07-15,SHIB/USD,8.5e-06,8.5e-06,8.1e-06,8.1e-06,59633013,483.0274053
1689292800,2023-07-14,SHIB/USD,7.8e-06,7.8e-06,7.8e-06,7.8e-06,20000000,156.0
1689206400,2023-07-13,SHIB/USD,7.99e-06,8.03e-06,7.99e-06,8.03e-06,57645783,462.89563748999996
1688688000,2023-07-07,SHIB/USD,7.2e-06,7.2e-06,7.2e-06,7.2e-06,54630114,393.3368208
1688601600,2023-07-06,SHIB/USD,7.45e-06,7.45e-06,7.2e-06,7.2e-06,67908699,488.94263279999996
1688428800,2023-07-04,SHIB/USD,7.68e-06,7.68e-06,7.68e-06,7.68e-06,15102345,115.98600959999999
1687910400,2023-06-28,SHIB/USD,7.31e-06,7.31e-06,7.12e-06,7.12e-06,314851098,2241.73981776
1687737600,2023-06-26,SHIB/USD,7.84e-06,7.84e-06,7.71e-06,7.71e-06,13786771,106.29600441000001
1687651200,2023-06-25,SHIB/USD,7.94e-06,7.94e-06,7.93e-06,7.93e-06,2855888,22.64719184
1687564800,2023-06-24,SHIB/USD,7.98e-06,7.98e-06,7.98e-06,7.98e-06,9750000,77.80499999999999
1687392000,2023-06-22,SHIB/USD,7.59e-06,7.97e-06,7.59e-06,7.97e-06,27314069,217.69312993
1687305600,2023-06-21,SHIB/USD,7.47e-06,7.47e-06,7.47e-06,7.47e-06,35139,0.26248833
1687046400,2023-06-18,SHIB/USD,7.33e-06,7.33e-06,7.33e-06,7.33e-06,3000000,21.990000000000002
1686355200,2023-06-10,SHIB/USD,7.85e-06,7.85e-06,6e-06,6e-06,63872457,383.234742
1686096000,2023-06-07,SHIB/USD,7.94e-06,7.94e-06,7.94e-06,7.94e-06,29000000,230.26000000000002
1685923200,2023-06-05,SHIB/USD,8.56e-06,8.56e-06,7.94e-06,7.94e-06,16255186,129.06617684
1685577600,2023-06-01,SHIB/USD,8.55e-06,8.55e-06,8.55e-06,8.55e-06,20587031,176.01911504999998
