https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SOL,Volume USD
1705017600,2024-01-12,SOL/USD,98.5,98.9999,87.0001,88.0,163.755517,14410.485496
1704931200,2024-01-11,SOL/USD,100.0201,107.0,99.0998,100.18,244.240175,24467.9807315
1704844800,2024-01-10,SOL/USD,98.98,105.3201,94.0,104.6,378.880812,39630.9329352
1704758400,2024-01-09,SOL/USD,98.85,102.4,96.0,100.0,306.888171,30688.8171
1704672000,2024-01-08,SOL/USD,89.24,99.5,86.0,97.99,237.524065,23274.98312935
1704585600,2024-01-07,SOL/USD,94.4001,95.6299,88.0,88.1801,158.060822,13937.8190900422
1704499200,2024-01-06,SOL/USD,97.5,97.5,92.13,92.8101,116.342199,10797.7311234099
1704412800,2024-01-05,SOL/USD,100.0101,100.0101,97.0,97.0,237.807537,23067.331089
1704326400,2024-01-04,SOL/USD,99.5,107.0,97.81,106.33,52.068138,5536.40511354
1704240000,2024-01-03,SOL/USD,106.8401,107.8699,88.0199,98.2299,538.00572,52848.248075028
1704153600,2024-01-02,SOL/USD,110.13,116.8299,107.15,108.0599,347.296739,37528.8508866661
1704067200,2024-01-01,SOL/USD,102.33,109.9999,102.33,109.9999,189.754524,20872.9786645476
1703980800,2023-12-31,SOL/USD,100.0,104.9998,99.8,103.4699,68.885209,7127.5456867091
1703894400,2023-12-30,SOL/USD,101.4699,104.0,101.4699,101.57,9.283487,942.9237745899999
1703808000,2023-12-29,SOL/USD,99.9001,110.0,99.9001,103.8901,308.247137,32023.825887643703
1703721600,2023-12-28,SOL/USD,109.3701,109.3701,97.9301,103.0701,737.79332,76044.431271732
1703635200,2023-12-27,SOL/USD,113.2,115.0,107.0799,107.5,318.629946,34252.719195000005
1703548800,2023-12-26,SOL/USD,120.5799,120.5999,104.6,111.6199,483.638134,53983.6401532666
1703462400,2023-12-25,SOL/USD,109.5,125.0,109.5,121.0,532.592037,64443.636477
1703376000,2023-12-24,SOL/USD,108.36,117.0,108.36,112.0,1048.708182,117455.316384
1703289600,2023-12-23,SOL/USD,96.1001,110.0,94.5901,108.3699,765.087086,82912.4110011114
1703203200,2023-12-22,SOL/USD,93.5,99.0,90.44,98.1799,630.399476,61892.557513732405
1703116800,2023-12-21,SOL/USD,84.0,95.3099,83.5399,95.3099,1089.085405,103800.6210420095
1703030400,2023-12-20,SOL/USD,74.8601,83.0,74.8601,81.7699,786.850502,64340.686863489806
1702944000,2023-12-19,SOL/USD,74.9999,75.9999,72.0,73.2599,47.507321,3480.3815857279
1702857600,2023-12-18,SOL/USD,71.2,74.0,68.0,74.0,210.809402,15599.895748
1702771200,2023-12-17,SOL/USD,72.0,74.0,71.0,71.0,214.723919,15245.398249
1702684800,2023-12-16,SOL/USD,72.0,77.0,72.0,74.0,222.867357,16492.184418
1702598400,2023-12-15,SOL/USD,75.0,79.0,73.0,73.0,113.714124,8301.131052
1702512000,2023-12-14,SOL/USD,69.9,74.5,69.9,74.5,93.516175,6966.9550375
1702425600,2023-12-13,SOL/USD,66.0,71.11,64.0,71.11,287.276598,20428.23888378
1702339200,2023-12-12,SOL/USD,72.0,72.2,66.1,66.1,49.119791,3246.8181850999995
1702252800,2023-12-11,SOL/USD,71.0,71.0,66.0,68.0,458.907988,31205.743184
1702166400,2023-12-10,SOL/USD,72.35,74.0,71.5,73.0,46.501013,3394.573949
1702080000,2023-12-09,SOL/USD,75.0,76.7,72.0,72.0,166.968815,12021.75468
1701993600,2023-12-08,SOL/USD,68.9999,74.5,68.9999,74.5,193.044953,14381.8489985
1701907200,2023-12-07,SOL/USD,63.5,69.0,62.5,68.0,566.457343,38519.099324
1701820800,2023-12-06,SOL/USD,63.0,66.0,62.5,62.5,197.362439,12335.152437499999
1701734400,2023-12-05,SOL/USD,61.54,62.0,59.55,60.6,86.961702,5269.8791412
1701648000,2023-12-04,SOL/USD,65.0,65.0,60.72,60.72,352.510069,21404.411389679997
1701561600,2023-12-03,SOL/USD,65.0,65.0,63.36,63.36,57.114736,3618.78967296
1701475200,2023-12-02,SOL/USD,61.7999,63.19,61.7999,63.19,146.271946,9242.92426774
1701388800,2023-12-01,SOL/USD,61.7999,61.8,60.49,60.76,124.476468,7563.190195679999
1701302400,2023-11-30,SOL/USD,61.2999,61.3,60.7513,60.7513,81.951589,4978.6655688157
1701216000,2023-11-29,SOL/USD,58.4,61.4,58.4,59.8851,118.658744,7105.8907503144
1701129600,2023-11-28,SOL/USD,54.2,58.05,54.2,58.03,655.821092,38057.29796876
1701043200,2023-11-27,SOL/USD,56.42,56.42,54.38,54.38,27.922659,1518.43419642
1700956800,2023-11-26,SOL/USD,57.3001,58.15,57.3,58.15,73.291697,4261.91218055
1700870400,2023-11-25,SOL/USD,58.5,59.0,58.5,59.0,95.633502,5642.376617999999
1700784000,2023-11-24,SOL/USD,57.85,57.85,57.05,57.05,19.803502,1129.7897891
1700697600,2023-11-23,SOL/USD,58.1199,59.0,56.7,56.7,119.274684,6762.8745828
1700611200,2023-11-22,SOL/USD,55.0,58.1199,55.0,58.1199,53.279577,3096.6036872823
1700524800,2023-11-21,SOL/USD,55.7001,57.0,51.57,51.57,129.193971,6662.53308447
1700438400,2023-11-20,SOL/USD,60.48,60.48,56.54,56.9,415.171203,23623.2414507
1700352000,2023-11-19,SOL/USD,60.0,61.6501,59.9,61.65,1387.272797,85525.36793505
1700265600,2023-11-18,SOL/USD,57.15,59.0,56.15,59.0,566.016294,33394.961346000004
1700179200,2023-11-17,SOL/USD,59.1,59.66,54.6,58.3,1678.90754,97880.30958199999
1700092800,2023-11-16,SOL/USD,66.5,68.0,56.76,56.76,176.694137,10029.15921612
1700006400,2023-11-15,SOL/USD,57.7199,66.0,57.7199,66.0,76.316955,5036.919029999999
1699920000,2023-11-14,SOL/USD,52.5,57.7,52.5,57.2,349.761706,20006.3695832
1699833600,2023-11-13,SOL/USD,59.1,59.1,52.5,52.5,194.288799,10200.1619475
1699747200,2023-11-12,SOL/USD,57.9,61.5,55.8,55.8,56.703859,3164.0753322
1699660800,2023-11-11,SOL/USD,57.0,62.98,55.11,57.0,154.492532,8806.074324000001
1699574400,2023-11-10,SOL/USD,47.0,57.0,47.0,57.0,107.241836,6112.784652
1699488000,2023-11-09,SOL/USD,43.3,48.0,43.0,45.5,160.096153,7284.3749615
1699315200,2023-11-07,SOL/USD,42.0,44.5,40.38,43.0,198.281975,8526.124925
1699228800,2023-11-06,SOL/USD,40.0,42.0,39.97,42.0,87.400645,3670.8270899999998
1699142400,2023-11-05,SOL/USD,41.47,41.47,40.5,40.5,201.35985,8155.073925
1699056000,2023-11-04,SOL/USD,40.25,42.67,40.25,42.67,128.789779,5495.45986993
1698969600,2023-11-03,SOL/USD,39.99,39.99,38.5,38.88,48.685744,1892.9017267200002
1698883200,2023-11-02,SOL/USD,42.12,43.6001,39.35,42.0,223.86513,9402.33546
1698796800,2023-11-01,SOL/USD,40.0,45.0,40.0,41.5,300.604321,12475.079321500001
1698710400,2023-10-31,SOL/USD,36.0,38.5,35.86,38.5,136.257147,5245.9001595
1698624000,2023-10-30,SOL/USD,33.8,34.78,33.8,34.78,33.45,1163.391
1698537600,2023-10-29,SOL/USD,32.5,33.0,32.5,33.0,51.019868,1683.6556440000002
1698364800,2023-10-27,SOL/USD,32.0,33.0,31.5,31.5,21.64419,681.791985
1698278400,2023-10-26,SOL/USD,32.0,33.0,31.0,33.0,12.75,420.75
1698192000,2023-10-25,SOL/USD,31.0,33.4,31.0,32.0,75.370304,2411.849728
1698105600,2023-10-24,SOL/USD,31.0,31.9,30.0,30.0,69.382676,2081.48028
1698019200,2023-10-23,SOL/USD,30.0,32.5,30.0,32.5,371.287222,12066.834714999999
1697932800,2023-10-22,SOL/USD,29.0,29.0,28.26,29.0,11.0,319.0
1697846400,2023-10-21,SOL/USD,27.5,29.5,27.5,29.5,83.87,2474.165
1697760000,2023-10-20,SOL/USD,25.3,27.25,25.3,27.25,63.953222,1742.7252995
1697673600,2023-10-19,SOL/USD,24.0,25.5,24.0,25.5,34.514512,880.1200560000001
1697500800,2023-10-17,SOL/USD,23.6,23.93,23.6,23.93,17.0,406.81
1697414400,2023-10-16,SOL/USD,23.5,24.58,23.0,23.0,310.078213,7131.798899
1697241600,2023-10-14,SOL/USD,22.0,22.0,22.0,22.0,3.0,66.0
1697068800,2023-10-12,SOL/USD,21.05,21.0501,21.05,21.05,175.266811,3689.3663715499997
1696896000,2023-10-10,SOL/USD,22.12,22.12,22.12,22.12,2.0,44.24
1696809600,2023-10-09,SOL/USD,22.9,22.9,22.0,22.0,18.63654,410.00388
1696636800,2023-10-07,SOL/USD,24.0,24.0,23.52,23.52,240.010904,5645.0564620800005
1696550400,2023-10-06,SOL/USD,23.7,23.7,23.7,23.7,10.0,237.0
1696377600,2023-10-04,SOL/USD,23.0,23.0,23.0,23.0,10.0,230.0
1696291200,2023-10-03,SOL/USD,24.0,24.0,24.0,24.0,10.0,240.0
1696204800,2023-10-02,SOL/USD,23.0,23.0,23.0,23.0,10.0,230.0
1696118400,2023-10-01,SOL/USD,21.55,24.2,21.55,24.2,231.056971,5591.5786982
1696032000,2023-09-30,SOL/USD,21.58,21.58,21.58,21.58,2.0,43.16
1695945600,2023-09-29,SOL/USD,20.5499,22.264,18.207,20.27,194.86236,3949.8600371999996
1695686400,2023-09-26,SOL/USD,19.0,19.0,19.0,19.0,1.0,19.0
1695254400,2023-09-21,SOL/USD,19.5,19.5,19.34,19.34,77.212505,1493.2898466999998
1695081600,2023-09-19,SOL/USD,20.0,20.0,20.0,20.0,1.0,20.0
1694995200,2023-09-18,SOL/USD,18.66,19.8,18.66,19.8,13.0,257.40000000000003
1694736000,2023-09-15,SOL/USD,18.66,18.66,18.66,18.66,5.0,93.3
1694563200,2023-09-13,SOL/USD,18.4,18.4701,18.08,18.47,8.291532,153.14459603999998
1694390400,2023-09-11,SOL/USD,17.8,17.8,17.8,17.8,5.3,94.34
1694304000,2023-09-10,SOL/USD,19.2,19.2,18.0,18.35,248.283387,4556.000151450001
1694131200,2023-09-08,SOL/USD,19.55,19.55,19.5,19.5,46.541727,907.5636765
1693958400,2023-09-06,SOL/USD,19.8,19.8,19.48,19.48,107.876322,2101.43075256
1693872000,2023-09-05,SOL/USD,20.0,20.0,20.0,20.0,71.6,1432.0
1693526400,2023-09-01,SOL/USD,19.45,19.45,19.45,19.45,0.65,12.6425
1693440000,2023-08-31,SOL/USD,20.1,20.1,20.1,20.1,0.802471,16.129667100000002
1693267200,2023-08-29,SOL/USD,20.3,20.3,20.3,20.3,5.0,101.5
1693008000,2023-08-26,SOL/USD,20.3147,20.34,20.3,20.34,108.082806,2198.40427404
1692921600,2023-08-25,SOL/USD,20.2001,20.2001,20.2,20.2,7.840564,158.37939279999998
1692662400,2023-08-22,SOL/USD,20.0,20.0,19.55,19.55,293.181538,5731.6990679
1692576000,2023-08-21,SOL/USD,20.5,20.5,20.5,20.5,8.317073,170.4999965
1692230400,2023-08-17,SOL/USD,22.2,22.2,20.5,20.5,393.50597,8066.872385
1692144000,2023-08-16,SOL/USD,23.0,23.0,22.6,22.6,19.8136,447.78736000000004
1692057600,2023-08-15,SOL/USD,24.4,24.4,24.4,24.4,339.0,8271.6
1691884800,2023-08-13,SOL/USD,24.48,24.7,24.42,24.42,358.069607,8744.05980294
1691798400,2023-08-12,SOL/USD,24.4801,25.13,24.4801,25.13,3.198938,80.38931194
1691452800,2023-08-08,SOL/USD,24.7699,24.7699,24.7699,24.7699,2.0,49.5398
1691366400,2023-08-07,SOL/USD,23.01,23.01,23.01,23.01,173.7,3996.837
1691280000,2023-08-06,SOL/USD,23.25,23.25,23.25,23.25,6.0,139.5
1691193600,2023-08-05,SOL/USD,22.7001,22.7001,22.7,22.7,42.749196,970.4067491999999
1691107200,2023-08-04,SOL/USD,22.95,22.95,22.9,22.9,7.331877,167.8999833
1691020800,2023-08-03,SOL/USD,23.15,23.15,22.9,22.9,8.0,183.2
1690934400,2023-08-02,SOL/USD,23.0,23.0,22.9001,22.9001,14.522858,332.57490048579996
1690848000,2023-08-01,SOL/USD,23.5,23.5,23.0,23.0,85.375711,1963.641353
1690675200,2023-07-30,SOL/USD,24.5001,24.5001,23.75,23.75,52.929355,1257.07218125
1690588800,2023-07-29,SOL/USD,25.26,25.26,25.26,25.26,0.73,18.4398
1690502400,2023-07-28,SOL/USD,24.75,25.4,24.75,25.4,89.88888,2283.177552
1690329600,2023-07-26,SOL/USD,25.0,25.44,25.0,25.44,20.694,526.45536
1690243200,2023-07-25,SOL/USD,23.42,23.42,23.2089,23.2089,6.217368,144.2982721752
1690156800,2023-07-24,SOL/USD,24.001,24.001,23.0,23.0,83.025711,1909.591353
1689984000,2023-07-22,SOL/USD,25.0,25.0,24.3,24.3,8.75,212.625
1689811200,2023-07-20,SOL/USD,27.0,27.0,25.5,25.5,20.029668,510.75653400000004
1689724800,2023-07-19,SOL/USD,26.0,26.0,26.0,26.0,5.004336,130.112736
1689638400,2023-07-18,SOL/USD,26.5999,26.6,25.0,25.7,543.251704,13961.5687928
1689552000,2023-07-17,SOL/USD,27.0,27.0,25.8,25.8,28.6,737.8800000000001
1689465600,2023-07-16,SOL/USD,27.0,28.02,27.0,28.02,3.8,106.476
1689379200,2023-07-15,SOL/USD,27.0,29.0,27.0,27.5,29.6,814.0
1689292800,2023-07-14,SOL/USD,26.5,31.0,25.5,26.34,274.595928,7232.85674352
1689206400,2023-07-13,SOL/USD,23.0,26.5,23.0,26.5,758.85168,20109.56952
1689120000,2023-07-12,SOL/USD,22.5,22.69,22.15,22.15,48.487015,1073.9873822499999
1689033600,2023-07-11,SOL/USD,21.79,22.0,21.79,22.0,6.513364,143.294008
1688947200,2023-07-10,SOL/USD,21.0,21.0,21.0,21.0,4.0,84.0
1688860800,2023-07-09,SOL/USD,21.9999,22.0,21.1,21.1,47.835027,1009.3190697
1688774400,2023-07-08,SOL/USD,21.91,22.0,21.91,22.0,23.85,524.7
1688688000,2023-07-07,SOL/USD,20.4,21.5,20.4,21.5,30.320992,651.901328
1688601600,2023-07-06,SOL/USD,20.0,20.0,19.0,20.0,46.883848,937.67696
1688256000,2023-07-02,SOL/USD,19.0,19.1,18.62,18.62,90.982201,1694.0885826200001
1688083200,2023-06-30,SOL/USD,18.6,19.4,17.5,19.4,85.929949,1667.0410105999997
1687996800,2023-06-29,SOL/USD,16.0,18.0,16.0,18.0,14.363887,258.549966
1687910400,2023-06-28,SOL/USD,16.0,16.0,15.9,15.9,12.863887,204.5358033
1687392000,2023-06-22,SOL/USD,17.2901,17.2901,16.81,16.81,401.675863,6752.17125703
1687305600,2023-06-21,SOL/USD,17.0,17.0,17.0,17.0,1.0,17.0
1686960000,2023-06-17,SOL/USD,15.4699,15.85,15.4699,15.85,19.82,314.147
1686873600,2023-06-16,SOL/USD,14.99,15.3,14.99,15.3,62.971355,963.4617315
1686787200,2023-06-15,SOL/USD,14.85,14.85,14.3,14.3,40.252305,575.6079615
1686700800,2023-06-14,SOL/USD,15.02,15.16,14.8,14.8,139.375622,2062.7592056
1686614400,2023-06-13,SOL/USD,15.15,15.15,15.0,15.0,81.494655,1222.419825
1686528000,2023-06-12,SOL/USD,15.0,15.2,15.0,15.2,7.144625,108.5983
1686355200,2023-06-10,SOL/USD,17.2,17.2,13.6299,15.26,168.40156,2569.8078056
1686268800,2023-06-09,SOL/USD,18.0,18.0,17.25,17.25,55.23793,952.8542924999999
1686182400,2023-06-08,SOL/USD,18.65,18.65,18.65,18.65,1.25,23.3125
1686096000,2023-06-07,SOL/USD,20.43,20.43,18.75,19.08,127.518847,2433.0596007599997
1686009600,2023-06-06,SOL/USD,19.9,20.08,19.9,20.08,19.023301,381.98788407999996
1685923200,2023-06-05,SOL/USD,21.0,21.0,19.5986,19.85,73.213223,1453.2824765500002
1685836800,2023-06-04,SOL/USD,21.9999,22.0,21.9999,21.9999,22.788903,501.3535871097
1685491200,2023-05-31,SOL/USD,21.0,21.0,21.0,21.0,1.0,21.0
1685404800,2023-05-30,SOL/USD,20.83,20.83,20.83,20.83,100.0,2083.0
1685318400,2023-05-29,SOL/USD,20.6312,20.7599,20.6001,20.7,115.481337,2390.4636759
1685232000,2023-05-28,SOL/USD,20.6,21.052,20.5001,21.052,21.019875,442.5104085
1685145600,2023-05-27,SOL/USD,19.3538,20.3439,19.3538,20.3439,45.797563,931.7010419157
1685059200,2023-05-26,SOL/USD,19.2499,19.4499,19.21,19.4499,294.049244,5719.2283908756
1684972800,2023-05-25,SOL/USD,19.08,19.3031,18.99,19.3031,2.35,45.362285
1684886400,2023-05-24,SOL/USD,19.4502,19.4502,18.9658,18.9658,11.9381,226.41561698000004
1684800000,2023-05-23,SOL/USD,20.0799,20.0799,20.0799,20.0799,0.81485,16.362106514999997
