https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume TRX,Volume USD
1705017600,2024-01-12,TRX/USD,0.10728,0.10728,0.10728,0.10728,33316.95402,3574.2428272655998
1704931200,2024-01-11,TRX/USD,0.105268,0.10721,0.105268,0.10721,34797.341749,3730.62300891029
1704844800,2024-01-10,TRX/USD,0.103779,0.103779,0.103779,0.103779,31392.787086,3257.912050997994
1704758400,2024-01-09,TRX/USD,0.104125,0.104125,0.102473,0.102473,4442.495095,455.235799869935
1704672000,2024-01-08,TRX/USD,0.103039,0.103536,0.103039,0.103536,64925.930997,6722.171191705393
1704585600,2024-01-07,TRX/USD,0.1034,0.1034,0.1034,0.1034,1599.375244,165.37540022960002
1704499200,2024-01-06,TRX/USD,0.1039,0.1039,0.1039,0.1039,1948.6,202.45954
1704412800,2024-01-05,TRX/USD,0.105872,0.106123,0.103859,0.103859,162945.042714,16923.30919123333
1704326400,2024-01-04,TRX/USD,0.107507,0.107507,0.107507,0.107507,31535.191143,3390.2537942105014
1704240000,2024-01-03,TRX/USD,0.106491,0.106632,0.104083,0.104239,1565325.150955,163167.92841039825
1704153600,2024-01-02,TRX/USD,0.108285,0.109863,0.108285,0.108927,15506.38029,1689.06348584883
1704067200,2024-01-01,TRX/USD,0.106728,0.107698,0.106728,0.107685,2928.992674,315.40857609969004
1703980800,2023-12-31,TRX/USD,0.108929,0.110019,0.108929,0.108929,598.162635,65.157257667915
1703894400,2023-12-30,TRX/USD,0.106002,0.106002,0.106002,0.106002,145.0,15.37029
1703808000,2023-12-29,TRX/USD,0.10613,0.10613,0.105481,0.105775,1623.712089,171.748146213975
1703721600,2023-12-28,TRX/USD,0.105749,0.106663,0.104858,0.105453,34745.424656,3664.0092662491684
1703635200,2023-12-27,TRX/USD,0.102773,0.105056,0.102773,0.105056,35059.154177,3683.1745012189117
1703548800,2023-12-26,TRX/USD,0.105651,0.105894,0.102808,0.102808,104172.280391,10709.743802437926
1703462400,2023-12-25,TRX/USD,0.108,0.108,0.105785,0.105785,34629.627265,3663.2951202280256
1703376000,2023-12-24,TRX/USD,0.105754,0.107212,0.105754,0.106231,124437.943751,13219.167202612482
1703289600,2023-12-23,TRX/USD,0.106703,0.106754,0.10633,0.10633,2900.563813,308.41695023629
1703203200,2023-12-22,TRX/USD,0.10439,0.10564,0.10439,0.105124,4089.734858,429.92928721239196
1703116800,2023-12-21,TRX/USD,0.104685,0.105981,0.104511,0.104511,1541.859894,161.141319381834
1703030400,2023-12-20,TRX/USD,0.101802,0.102821,0.101802,0.102821,1245.0,128.012145
1702684800,2023-12-16,TRX/USD,0.102602,0.102602,0.1026,0.1026,786.468303,80.6916478878
1702425600,2023-12-13,TRX/USD,0.104396,0.104396,0.104396,0.104396,145.0,15.13742
1702252800,2023-12-11,TRX/USD,0.10316,0.10316,0.10316,0.10316,2403.4,247.93474400000002
1702166400,2023-12-10,TRX/USD,0.107,0.107689,0.107,0.107689,4500.0,484.60049999999995
1702080000,2023-12-09,TRX/USD,0.107742,0.1078,0.107742,0.1078,4150.0,447.37
1701993600,2023-12-08,TRX/USD,0.1067,0.1067,0.1067,0.1067,2067.0,220.5489
1701907200,2023-12-07,TRX/USD,0.105,0.105,0.105,0.105,1500.0,157.5
1701820800,2023-12-06,TRX/USD,0.104906,0.104906,0.104906,0.104906,1616.461976,169.576560054256
1701648000,2023-12-04,TRX/USD,0.103786,0.103786,0.103786,0.103786,2405.123357,249.618132729602
1701561600,2023-12-03,TRX/USD,0.10165,0.10165,0.10165,0.10165,476.698309,48.45638310985
1700784000,2023-11-24,TRX/USD,0.105,0.105,0.105,0.105,731.434529,76.800625545
1700611200,2023-11-22,TRX/USD,0.096221,0.101968,0.096103,0.100056,99796.020482,9985.190625346993
1700524800,2023-11-21,TRX/USD,0.10121,0.101818,0.095985,0.096252,58420.760414,5623.115031368328
1700438400,2023-11-20,TRX/USD,0.103394,0.104804,0.101054,0.101054,31967.130854,3230.406441320116
1700352000,2023-11-19,TRX/USD,0.102759,0.103557,0.102129,0.103359,15607.252691,1613.150030889069
1700265600,2023-11-18,TRX/USD,0.103486,0.103486,0.101592,0.102884,16406.954811,1688.013138774924
1700179200,2023-11-17,TRX/USD,0.102251,0.103783,0.102179,0.103521,29289.633227,3032.0921212922667
1700092800,2023-11-16,TRX/USD,0.103953,0.104609,0.10187,0.102217,20682.18254,2114.0706526911804
1700006400,2023-11-15,TRX/USD,0.102296,0.104589,0.102296,0.103825,37405.881357,3883.6656318905248
1699920000,2023-11-14,TRX/USD,0.10708,0.10708,0.102172,0.102172,46590.879386,4760.283328626392
1699833600,2023-11-13,TRX/USD,0.108401,0.110421,0.107212,0.107212,25724.226025,2757.9457205923
1699747200,2023-11-12,TRX/USD,0.107792,0.10868,0.106604,0.108233,23055.822771,2495.400865973643
1699660800,2023-11-11,TRX/USD,0.106028,0.108738,0.105236,0.107829,54819.431422,5911.124470802838
1699574400,2023-11-10,TRX/USD,0.09888,0.112652,0.09888,0.106156,960089.425162,101919.25301749728
1699488000,2023-11-09,TRX/USD,0.098455,0.100676,0.097666,0.098848,74336.848811,7348.048831269729
1699401600,2023-11-08,TRX/USD,0.096679,0.098397,0.096679,0.098345,32362.854101,3182.7248865628453
1699315200,2023-11-07,TRX/USD,0.097796,0.097796,0.096136,0.096561,26439.613517,2553.035520815037
1699228800,2023-11-06,TRX/USD,0.098191,0.098973,0.096757,0.097829,39884.344939,3901.845581037431
1699142400,2023-11-05,TRX/USD,0.097767,0.098901,0.097766,0.098159,20853.068861,2046.9163863268989
1699056000,2023-11-04,TRX/USD,0.097393,0.098032,0.097393,0.097735,6056.078839,591.890865329665
1698969600,2023-11-03,TRX/USD,0.099136,0.099136,0.097274,0.097274,19252.759027,1872.792881592398
1698883200,2023-11-02,TRX/USD,0.100227,0.100926,0.098955,0.099257,24137.561785,2395.821970093745
1698796800,2023-11-01,TRX/USD,0.097177,0.100402,0.097177,0.10026,48744.806923,4887.15434209998
1698710400,2023-10-31,TRX/USD,0.095549,0.097057,0.095549,0.097057,25073.333424,2433.542522133168
1698624000,2023-10-30,TRX/USD,0.09486,0.095432,0.094293,0.095432,15993.310577,1526.273614984264
1698537600,2023-10-29,TRX/USD,0.09438,0.095016,0.09438,0.094891,9346.166402,886.8670760521821
1698451200,2023-10-28,TRX/USD,0.093567,0.094588,0.093452,0.094349,15004.733654,1415.681615521246
1698364800,2023-10-27,TRX/USD,0.092816,0.093902,0.092816,0.093607,24113.326607,2257.176163701449
1698278400,2023-10-26,TRX/USD,0.09357,0.093589,0.092318,0.092702,14996.153744,1390.173444376288
1698192000,2023-10-25,TRX/USD,0.092423,0.093866,0.092423,0.093673,16033.48976,1501.90508628848
1698105600,2023-10-24,TRX/USD,0.092103,0.093677,0.091463,0.092318,125165.5807,11555.0360790626
1698019200,2023-10-23,TRX/USD,0.090245,0.093442,0.090245,0.092074,109488.579375,10081.051457373751
1697932800,2023-10-22,TRX/USD,0.091693,0.091693,0.0899,0.090216,12835.199095,1157.94032155452
