https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UNI,Volume USD
1704844800,2024-01-10,UNI/USD,6.24,6.24,6.23,6.23,144.0,897.1200000000001
1704672000,2024-01-08,UNI/USD,5.969,6.138,5.969,6.138,52.4,321.6312
1704240000,2024-01-03,UNI/USD,6.73,6.73,6.46,6.5,347.95982,2261.73883
1703980800,2023-12-31,UNI/USD,7.2,7.2,7.2,7.2,114.0,820.8000000000001
1703808000,2023-12-29,UNI/USD,7.766,7.766,7.573,7.573,25.9,196.1407
1703721600,2023-12-28,UNI/USD,7.8,8.0,7.8,8.0,57.753233,462.025864
1703548800,2023-12-26,UNI/USD,7.2,7.2,7.2,7.2,519.0,3736.8
1703462400,2023-12-25,UNI/USD,6.69,6.69,6.69,6.69,429.0,2870.01
1703376000,2023-12-24,UNI/USD,6.72,7.1,6.72,7.1,57.18,405.97799999999995
1703116800,2023-12-21,UNI/USD,5.94,6.1891,5.94,6.179,175.4,1083.7966000000001
1702425600,2023-12-13,UNI/USD,6.294,6.294,6.294,6.294,2.4,15.105599999999999
1702252800,2023-12-11,UNI/USD,6.3,6.3,6.1,6.1,669.0725,4081.3422499999997
1702166400,2023-12-10,UNI/USD,6.5,6.5,6.45,6.45,568.76,3668.502
1702080000,2023-12-09,UNI/USD,6.8,7.07,6.8,7.07,586.781276,4148.54362132
1701734400,2023-12-05,UNI/USD,6.2129,6.2129,6.2129,6.2129,2.4,14.91096
1701648000,2023-12-04,UNI/USD,6.1,6.1,6.1,6.1,35.0,213.5
1701216000,2023-11-29,UNI/USD,6.24,6.24,6.15,6.15,304.137453,1870.44533595
1701043200,2023-11-27,UNI/USD,6.11,6.27,6.11,6.27,89.20797,559.3339718999999
1700870400,2023-11-25,UNI/USD,6.15,6.15,6.05,6.06,708.526697,4293.67178382
1700784000,2023-11-24,UNI/USD,6.5,6.5,6.226,6.226,12.5,77.825
1700697600,2023-11-23,UNI/USD,6.3,6.3,6.3,6.3,5.0,31.5
1700611200,2023-11-22,UNI/USD,5.5257,6.151,5.5257,6.151,69.79238,429.29292938
1700352000,2023-11-19,UNI/USD,5.24,5.24,5.24,5.24,2.4,12.576
1700265600,2023-11-18,UNI/USD,4.96,4.96,4.96,4.96,40.0,198.4
1700179200,2023-11-17,UNI/USD,5.06,5.06,4.9701,4.9701,59.84,297.41078400000004
1700092800,2023-11-16,UNI/USD,5.5063,5.5063,5.17,5.17,329.908161,1705.62519237
1699833600,2023-11-13,UNI/USD,5.58,5.58,5.58,5.58,18.08,100.8864
1699747200,2023-11-12,UNI/USD,5.42,5.42,5.42,5.42,100.0,542.0
1699660800,2023-11-11,UNI/USD,5.53,5.63,5.48,5.48,97.913784,536.56753632
1699488000,2023-11-09,UNI/USD,5.2,5.2,4.866,4.866,140.403034,683.2011634439999
1699401600,2023-11-08,UNI/USD,5.14,5.14,5.14,5.14,10.124652,52.04071128
1699315200,2023-11-07,UNI/USD,4.95,4.95,4.95,4.95,102.0,504.90000000000003
