https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XLM,Volume USD
1705017600,2024-01-12,XLM/USD,0.12407,0.12407,0.11686,0.11707,54677.7274567,6401.121553355869
1704931200,2024-01-11,XLM/USD,0.12213,0.12362,0.1214,0.12141,25616.8135508,3110.1373332026283
1704844800,2024-01-10,XLM/USD,0.11675,0.12208,0.11381,0.12208,222326.5000859,27141.619130486673
1704758400,2024-01-09,XLM/USD,0.12019,0.135,0.11422,0.11598,299515.1605051,34737.768315381494
1704672000,2024-01-08,XLM/USD,0.11601,0.11948,0.113,0.11933,213775.1647416,25509.79040861513
1704585600,2024-01-07,XLM/USD,0.11897,0.11897,0.11692,0.11692,7261.4763435,849.01181408202
1704499200,2024-01-06,XLM/USD,0.11785,0.12001,0.11785,0.12001,26064.2044522,3127.965176308522
1704412800,2024-01-05,XLM/USD,0.11975,0.11994,0.11503,0.11632,121174.6030036,14095.029821378754
1704326400,2024-01-04,XLM/USD,0.12165,0.12205,0.12145,0.12145,28059.3202138,3407.8044399660102
1704240000,2024-01-03,XLM/USD,0.13007,0.13264,0.11477,0.1206,620643.5603404,74849.61337705224
1704153600,2024-01-02,XLM/USD,0.13294,0.1331,0.1292,0.12943,124946.2906776,16171.798402401768
1704067200,2024-01-01,XLM/USD,0.12754,0.13305,0.12754,0.13305,32678.276183,4347.84464614815
1703980800,2023-12-31,XLM/USD,0.13138,0.13195,0.12825,0.12855,21238.8313196,2730.25176613458
1703894400,2023-12-30,XLM/USD,0.13041,0.13802,0.12955,0.13239,181632.0848496,24046.271713238548
1703808000,2023-12-29,XLM/USD,0.13003,0.13114,0.128,0.12952,72791.5260192,9427.958450006783
1703721600,2023-12-28,XLM/USD,0.13225,0.1357,0.13022,0.13141,280747.2467082,36892.995689924566
1703635200,2023-12-27,XLM/USD,0.1247,0.13298,0.1247,0.1307,81821.6807717,10694.093676861192
1703548800,2023-12-26,XLM/USD,0.12959,0.13004,0.12262,0.12598,183679.2255518,23139.908835015765
1703462400,2023-12-25,XLM/USD,0.13008,0.13089,0.12891,0.13089,129493.9089343,16949.457740410526
1703376000,2023-12-24,XLM/USD,0.127,0.12754,0.12517,0.12517,148665.5935544,18608.47234520425
1703289600,2023-12-23,XLM/USD,0.12469,0.12691,0.12469,0.12675,15438.349865,1956.81084538875
1703203200,2023-12-22,XLM/USD,0.12531,0.12673,0.12531,0.12673,19810.8202393,2510.625248926489
1703116800,2023-12-21,XLM/USD,0.1239,0.12459,0.12379,0.12459,633.5692017,78.936386839803
1703030400,2023-12-20,XLM/USD,0.12249,0.12271,0.12118,0.12166,57009.2935371,6935.750651723586
1702944000,2023-12-19,XLM/USD,0.11957,0.11957,0.11957,0.11957,120.0,14.3484
1702771200,2023-12-17,XLM/USD,0.1239,0.12457,0.1239,0.12456,35589.3927258,4433.014757925648
1702598400,2023-12-15,XLM/USD,0.12652,0.12652,0.12495,0.12495,19689.091102,2460.1519331949
1702512000,2023-12-14,XLM/USD,0.12564,0.12564,0.12563,0.12563,25490.5024131,3202.371818157753
1702425600,2023-12-13,XLM/USD,0.1229,0.12502,0.119,0.12501,24086.3221664,3011.0311340216645
1702339200,2023-12-12,XLM/USD,0.12288,0.12288,0.12288,0.12288,120.0,14.7456
1702252800,2023-12-11,XLM/USD,0.125,0.125,0.125,0.125,15935.9803187,1991.9975398375
