https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRP,Volume USD
1705017600,2024-01-12,XRP/USD,0.59796,0.59796,0.56,0.56481,54985.522485,31056.372954752853
1704931200,2024-01-11,XRP/USD,0.59999,0.622,0.59369,0.60861,37171.681515,22623.057086844146
1704844800,2024-01-10,XRP/USD,0.57229,0.60859,0.55111,0.60039,124428.505419,74705.6303685134
1704758400,2024-01-09,XRP/USD,0.57044,0.57739,0.55859,0.57263,176537.98982,101090.94911062659
1704672000,2024-01-08,XRP/USD,0.55829,0.58119,0.5462,0.57953,102096.137287,59167.774441935115
1704585600,2024-01-07,XRP/USD,0.567,0.57275,0.55,0.55061,17996.991886,9909.32370235046
1704499200,2024-01-06,XRP/USD,0.56669,0.576,0.56651,0.56859,3042.685024,1730.0402777961601
1704412800,2024-01-05,XRP/USD,0.57609,0.57683,0.557,0.57529,77437.924387,44549.26352059723
1704326400,2024-01-04,XRP/USD,0.58012,0.59147,0.56,0.59147,34482.457068,20395.338882009964
1704240000,2024-01-03,XRP/USD,0.62747,0.63692,0.51677,0.58126,769940.75146,447535.76119363966
1704153600,2024-01-02,XRP/USD,0.62941,0.64,0.62409,0.62789,78079.504363,49025.339994484064
1704067200,2024-01-01,XRP/USD,0.61589,0.63012,0.61,0.63012,47004.788153,29618.65711096836
1703980800,2023-12-31,XRP/USD,0.62264,0.63011,0.6094,0.6094,11387.643731,6939.630089671401
1703894400,2023-12-30,XRP/USD,0.62213,0.63021,0.618,0.62173,12581.680378,7822.408141413939
1703808000,2023-12-29,XRP/USD,0.63059,0.63933,0.6151,0.62339,46437.075601,28948.408558907387
1703721600,2023-12-28,XRP/USD,0.63958,0.65398,0.62655,0.63265,106931.526066,67650.22996565491
1703635200,2023-12-27,XRP/USD,0.62112,0.64499,0.6168,0.63411,58389.737335,37025.51634149685
1703548800,2023-12-26,XRP/USD,0.64062,0.64062,0.60651,0.622,110893.688414,68975.874193508
1703462400,2023-12-25,XRP/USD,0.61101,0.65,0.61089,0.64692,157598.066075,101953.34090523902
1703376000,2023-12-24,XRP/USD,0.61981,0.62678,0.60783,0.61529,84682.151967,52104.08128377543
1703289600,2023-12-23,XRP/USD,0.62234,0.62649,0.61499,0.61981,43166.745816,26755.18072421496
1703203200,2023-12-22,XRP/USD,0.6238,0.62531,0.61791,0.6253,20782.326228,12995.1885903684
1703116800,2023-12-21,XRP/USD,0.61229,0.62499,0.61228,0.62401,55719.50567,34769.5287331367
1703030400,2023-12-20,XRP/USD,0.6087,0.62441,0.6087,0.61659,71222.194967,43914.89319470253
1702944000,2023-12-19,XRP/USD,0.60906,0.60906,0.602,0.60559,5166.96743,3129.0638059336998
1702857600,2023-12-18,XRP/USD,0.6,0.60999,0.584,0.60999,11740.0,7161.2826000000005
1702771200,2023-12-17,XRP/USD,0.615,0.615,0.61,0.61,3870.894449,2361.2456138899997
1702684800,2023-12-16,XRP/USD,0.6142,0.62,0.6142,0.62,940.0,582.8
1702598400,2023-12-15,XRP/USD,0.63879,0.64,0.61842,0.61842,37060.276659,22918.81629145878
1702512000,2023-12-14,XRP/USD,0.6235,0.63219,0.6233,0.63219,73737.287039,46615.97549318541
1702425600,2023-12-13,XRP/USD,0.6062,0.6062,0.5962,0.5962,26766.731634,15958.325400190799
1702339200,2023-12-12,XRP/USD,0.6207,0.6207,0.612,0.612,3200.0,1958.3999999999999
1702252800,2023-12-11,XRP/USD,0.6507,0.6507,0.605,0.619,53112.324964,32876.529152716
1702166400,2023-12-10,XRP/USD,0.651,0.655,0.6507,0.655,3145.0,2059.975
1702080000,2023-12-09,XRP/USD,0.679,0.699,0.654,0.654,108011.114995,70639.26920673
1701993600,2023-12-08,XRP/USD,0.64999,0.6723,0.639,0.6723,34093.84619,22921.292793537
1701907200,2023-12-07,XRP/USD,0.63799,0.65,0.623,0.623,23211.783617,14460.941193391001
1701820800,2023-12-06,XRP/USD,0.61526,0.64034,0.61526,0.64034,32279.040016,20669.56048384544
1701734400,2023-12-05,XRP/USD,0.614,0.6235,0.6118,0.6194,10218.368894,6329.257692943599
1701648000,2023-12-04,XRP/USD,0.6236,0.64,0.5914,0.6201,53843.372986,33388.2755886186
1701561600,2023-12-03,XRP/USD,0.62999,0.63201,0.62161,0.625,5269.41077,3293.3817312500005
1701475200,2023-12-02,XRP/USD,0.61799,0.62,0.61799,0.62,2471.276076,1532.19116712
1701388800,2023-12-01,XRP/USD,0.61169,0.61428,0.609,0.6123,2945.5,1803.52965
1701302400,2023-11-30,XRP/USD,0.60428,0.60749,0.60211,0.60591,2560.9793,1551.7229676629997
1701216000,2023-11-29,XRP/USD,0.61288,0.6142,0.61288,0.6142,17974.39717,11039.874741814
1701129600,2023-11-28,XRP/USD,0.6041,0.6041,0.6041,0.6041,871.471323,526.4558262242999
1701043200,2023-11-27,XRP/USD,0.6094,0.6094,0.5972,0.5972,3743.610658,2235.6842849576
1700956800,2023-11-26,XRP/USD,0.6201,0.634,0.6098,0.619,29189.597731,18068.360995489
1700870400,2023-11-25,XRP/USD,0.62,0.62,0.61798,0.61798,216.574299,133.83858529602
1700784000,2023-11-24,XRP/USD,0.62315,0.6295,0.61982,0.62395,9859.575458,6151.8821070191
1700697600,2023-11-23,XRP/USD,0.60859,0.62213,0.60465,0.61835,32944.699752,20371.3550916492
1700611200,2023-11-22,XRP/USD,0.57917,0.61392,0.57852,0.61392,100987.35626,61998.157755139204
1700524800,2023-11-21,XRP/USD,0.61302,0.61729,0.57706,0.57956,353784.385157,205039.2782615909
1700438400,2023-11-20,XRP/USD,0.62683,0.62739,0.60937,0.61303,156333.300924,95837.00346543972
1700352000,2023-11-19,XRP/USD,0.61039,0.6285,0.603,0.62695,169365.506318,106183.7041860701
1700265600,2023-11-18,XRP/USD,0.61365,0.61441,0.5916,0.61016,144943.681736,88438.83684803777
1700179200,2023-11-17,XRP/USD,0.6117,0.62367,0.58748,0.61368,254463.614792,156159.23112555456
1700092800,2023-11-16,XRP/USD,0.64872,0.65203,0.60629,0.61197,497201.689585,304272.51797533245
1700006400,2023-11-15,XRP/USD,0.6294,0.64985,0.62585,0.64916,229958.76784,149280.03373101438
1699920000,2023-11-14,XRP/USD,0.67129,0.67129,0.60891,0.62983,439260.779361,276659.6166649386
1699833600,2023-11-13,XRP/USD,0.66106,0.74554,0.64166,0.67098,1554962.007552,1043348.407827241
1699747200,2023-11-12,XRP/USD,0.66206,0.6703,0.64764,0.66107,130223.144353,86086.61403743771
1699660800,2023-11-11,XRP/USD,0.66026,0.68723,0.64231,0.66193,451939.318567,299152.1931390543
1699574400,2023-11-10,XRP/USD,0.66728,0.66974,0.63795,0.65996,328328.517257,216683.68824892974
1699488000,2023-11-09,XRP/USD,0.68766,0.70468,0.63731,0.66742,965556.37815,644431.637904873
