https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume ADA
1669680000000,2022-11-29 00:00:00,ADA/USDT,0.30670966,0.30679701,0.30413317,0.30522615,1371.0758658,4492.0
1669593600000,2022-11-28 00:00:00,ADA/USDT,0.31000051,0.31056507,0.30198176,0.30652231,23382.109375130858,76281.91688602
1669507200000,2022-11-27 00:00:00,ADA/USDT,0.31461292,0.318636,0.31282502,0.318636,29296.710198981455,91944.13123119
1669420800000,2022-11-26 00:00:00,ADA/USDT,0.31554604,0.32204831,0.3107952,0.31351479,33985.430937278266,108401.36421404
1669334400000,2022-11-25 00:00:00,ADA/USDT,0.31583152,0.31685849,0.30814802,0.31529537,33124.820679551915,105059.64828964
1669248000000,2022-11-24 00:00:00,ADA/USDT,0.31847747,0.32063765,0.31201752,0.31639495,31877.17942616118,100751.2269907
1669161600000,2022-11-23 00:00:00,ADA/USDT,0.31254522,0.31954728,0.30918725,0.31876215,33140.99152012935,103967.77509541
1669075200000,2022-11-22 00:00:00,ADA/USDT,0.30358774,0.3277,0.29850882,0.3117714,33487.33798637739,107409.90990956
1668988800000,2022-11-21 00:00:00,ADA/USDT,0.31173861,0.31324245,0.29651923,0.30483451,32018.586317586203,105035.96301346
1668902400000,2022-11-20 00:00:00,ADA/USDT,0.3277104,0.33111783,0.31105053,0.31233843,36890.70536154844,118111.3235459
1668816000000,2022-11-19 00:00:00,ADA/USDT,0.32593981,0.33163011,0.32143104,0.32816562,31547.869507142048,96133.98718349
1668729600000,2022-11-18 00:00:00,ADA/USDT,0.32460187,0.33205315,0.32035565,0.32583373,32053.859790515715,98374.89749915
1668643200000,2022-11-17 00:00:00,ADA/USDT,0.33215715,0.3338,0.31873422,0.3248178,33337.93806156925,102635.81017287
1668556800000,2022-11-16 00:00:00,ADA/USDT,0.33703396,0.3442932,0.32363965,0.3325051,29956.32698049347,90092.83460763
1668470400000,2022-11-15 00:00:00,ADA/USDT,0.3319899,0.34459438,0.32977467,0.33712709,34133.340061446914,101247.69285508
1668384000000,2022-11-14 00:00:00,ADA/USDT,0.3294548,0.34142581,0.31532449,0.33203495,35026.08868936061,105489.16217814
1668297600000,2022-11-13 00:00:00,ADA/USDT,0.3396818,0.34551527,0.32562565,0.32978629,32559.403038842833,98728.7950595
1668211200000,2022-11-12 00:00:00,ADA/USDT,0.35622814,0.35622814,0.33726303,0.33913247,33602.55386297126,99083.85906832
1668124800000,2022-11-11 00:00:00,ADA/USDT,0.36798492,0.37371639,0.34312942,0.35563297,41821.27206386775,117596.7235655
