https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume DAI
1669680000000,2022-11-29 00:00:00,DAI/USD,1.106977,1.109839,1.097233,1.100149,876.818753,797.0
1669593600000,2022-11-28 00:00:00,DAI/USD,1.088043,1.1575,1.0832,1.108299,11348.783108476156,10239.82075999
1669507200000,2022-11-27 00:00:00,DAI/USD,1.100838,1.104901,1.095006,1.095422,15785.031019999999,14410
1669420800000,2022-11-26 00:00:00,DAI/USD,1.103663,1.112148,1.088097,1.102307,16794.333224371112,15235.62240317
1669334400000,2022-11-25 00:00:00,DAI/USD,1.104117,1.1575,1.083131,1.103431,17468.215602705557,15830.8182412
1669248000000,2022-11-24 00:00:00,DAI/USD,1.099413,1.151625,1.084214,1.097358,17490.942319509857,15939.13956932
1669161600000,2022-11-23 00:00:00,DAI/USD,1.10541,1.121909,1.091152,1.099313,17054.567742542975,15513.84159247
1669075200000,2022-11-22 00:00:00,DAI/USD,1.089156,1.111704,1.079536,1.106281,16819.79479745079,15203.90822716
1668988800000,2022-11-21 00:00:00,DAI/USD,1.092847,1.107521,1.084214,1.096169,16997.075769614436,15505.88984875
1668902400000,2022-11-20 00:00:00,DAI/USD,1.085102,1.095256,1.084546,1.092187,17022.003884333113,15585.24674285
1668816000000,2022-11-19 00:00:00,DAI/USD,1.082082,1.1715,1.071287,1.088836,18904.97062969895,17362.55104506
1668729600000,2022-11-18 00:00:00,DAI/USD,1.089564,1.1,1.077635,1.089814,16355.509428113104,15007.61545375
1668643200000,2022-11-17 00:00:00,DAI/USD,1.091329,1.1,1.083998,1.091554,16676.20230939069,15277.4872424
1668556800000,2022-11-16 00:00:00,DAI/USD,1.087241,1.093486,1.07764,1.086707,15921.541020374978,14651.18106387
1668470400000,2022-11-15 00:00:00,DAI/USD,1.084989,1.09255,1.067014,1.086724,17093.15787515645,15729.0700078
1668384000000,2022-11-14 00:00:00,DAI/USD,1.075532,1.092548,1.055346,1.08739,16922.64456645468,15562.62662564
1668297600000,2022-11-13 00:00:00,DAI/USD,1.080454,1.088315,1.06674,1.075878,16183.356875999998,15042
1668211200000,2022-11-12 00:00:00,DAI/USD,1.050553,1.08255,1.050553,1.069432,15962.19388091146,14925.8614675
1668124800000,2022-11-11 00:00:00,DAI/USD,1.051658,1.077731,1.04735,1.058133,16352.630828108953,15454.23007137
1668038400000,2022-11-10 00:00:00,DAI/USD,1.072641,1.080245,1.02714,1.056002,16604.817548518044,15724.22926142
1667952000000,2022-11-09 00:00:00,DAI/USD,1.016518,1.087929,1.010349,1.070619,18029.234183469307,16840.00954912
1667865600000,2022-11-08 00:00:00,DAI/USD,1.004722,1.052518,0.96,1.016575,39351.31719730138,38709.70385589
1667779200000,2022-11-07 00:00:00,DAI/USD,1.002036,1.013711,0.996602,1.002093,15359.49640100721,15327.41611907
1667692800000,2022-11-06 00:00:00,DAI/USD,1.002327,1.006392,0.996602,1.001956,15424.730319079203,15394.6184454
1667606400000,2022-11-05 00:00:00,DAI/USD,1.003697,1.006977,0.999856,1.003155,15278.202816866555,15230.15168829
