https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume DOT
1669680000000,2022-11-29 00:00:00,DOT/USDT,5.1321,5.1499,5.1069,5.1198,87.224568644388,17.03671406
1669593600000,2022-11-28 00:00:00,DOT/USDT,5.2735,5.4288,5.0,5.1325,2472.868751930175,481.80589419
1669507200000,2022-11-27 00:00:00,DOT/USDT,5.3078,5.4301,5.2977,5.4001,3145.181809083001,582.43029001
1669420800000,2022-11-26 00:00:00,DOT/USDT,5.2778,5.4395,5.2572,5.3046,3006.300772706616,566.73467796
1669334400000,2022-11-25 00:00:00,DOT/USDT,5.3913,5.3913,5.2555,5.2752,4970.345624599488,942.20989244
1669248000000,2022-11-24 00:00:00,DOT/USDT,5.4306,5.5045,5.3165,5.3878,3383.7461603027505,628.03856125
1669161600000,2022-11-23 00:00:00,DOT/USDT,5.2863,5.4741,5.2498,5.4358,3675.2734870447507,676.12375125
1669075200000,2022-11-22 00:00:00,DOT/USDT,5.1939,5.3337,5.02,5.2761,3888.3027873210235,736.96533184
1668988800000,2022-11-21 00:00:00,DOT/USDT,5.2913,5.3062,5.0965,5.2055,2386.4834333085946,458.45421829
1668902400000,2022-11-20 00:00:00,DOT/USDT,5.6064,5.6594,5.2583,5.2869,3432.160284395814,649.18199406
1668816000000,2022-11-19 00:00:00,DOT/USDT,5.6507,5.6529,5.5151,5.6065,6402.2388291644,1141.9314776
1668729600000,2022-11-18 00:00:00,DOT/USDT,5.6833,5.8076,5.6128,5.6492,3479.118118953112,615.86031986
1668643200000,2022-11-17 00:00:00,DOT/USDT,5.7117,5.7268,5.6,5.6809,2873.969432441049,505.90037361
1668556800000,2022-11-16 00:00:00,DOT/USDT,5.9082,6.0037,5.63,5.712,3972.03911223168,695.38499864
1668470400000,2022-11-15 00:00:00,DOT/USDT,5.8466,6.0394,5.8086,5.9091,4572.48313462407,773.8036477
1668384000000,2022-11-14 00:00:00,DOT/USDT,5.7452,5.8899,5.4705,5.8608,3911.903314056144,667.46917043
1668297600000,2022-11-13 00:00:00,DOT/USDT,5.7893,5.9309,5.6139,5.7377,1937.811507205809,337.73315217
1668211200000,2022-11-12 00:00:00,DOT/USDT,5.7596,5.8999,5.5684,5.7817,2149.013197112098,371.69226994
1668124800000,2022-11-11 00:00:00,DOT/USDT,5.9856,6.0051,5.5158,5.7571,10521.255172179297,1827.52690976
1668038400000,2022-11-10 00:00:00,DOT/USDT,5.4255,6.1487,5.0,5.9688,16318.515996637201,2733.9693065
1667952000000,2022-11-09 00:00:00,DOT/USDT,6.2686,6.3593,5.3615,5.4019,34547.244193736915,6395.38758469
1667865600000,2022-11-08 00:00:00,DOT/USDT,7.1046,7.1921,5.85,6.2782,18614.96192584853,2965.01575704
1667779200000,2022-11-07 00:00:00,DOT/USDT,6.8029,7.4,6.669,7.1095,6641.1586147741,934.1245678
1667692800000,2022-11-06 00:00:00,DOT/USDT,7.0267,7.1413,6.8003,6.8168,3231.977032666176,474.11938632
1667606400000,2022-11-05 00:00:00,DOT/USDT,7.0697,7.2373,6.9531,7.0229,4972.505453278157,708.04161433
