https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume LTC
1669680000000,2022-11-29 00:00:00,LTC/USD,81.38112,83.6517,80.609753,83.007724,24354.077290569352,293.39531452
1669593600000,2022-11-28 00:00:00,LTC/USD,82.4993,82.7158,77.9929,81.447887,345246.8736813883,4238.86839055
1669507200000,2022-11-27 00:00:00,LTC/USD,83.78629,86.525899,81.93255,82.4117,475900.11953172024,5774.66694088
1669420800000,2022-11-26 00:00:00,LTC/USD,81.389914,86.7652,80.95896,83.815126,511909.380441984,6107.60139455
1669334400000,2022-11-25 00:00:00,LTC/USD,86.02506,86.88049,80.707335,81.322058,489421.1173752171,6018.30707943
1669248000000,2022-11-24 00:00:00,LTC/USD,86.509713,87.100799,82.848903,86.110943,523089.55758828245,6074.60026989
1669161600000,2022-11-23 00:00:00,LTC/USD,77.710661,89.99999,76.705468,86.552863,561178.1282905617,6483.64604982
1669075200000,2022-11-22 00:00:00,LTC/USD,66.087226,77.806057,65.863919,77.680938,481420.0615903918,6197.40278613
1668988800000,2022-11-21 00:00:00,LTC/USD,67.211345,68.83853,65.101545,66.667105,418133.18643029145,6271.95655834
1668902400000,2022-11-20 00:00:00,LTC/USD,69.493169,70.373689,66.305074,67.364919,410415.34017107246,6092.41941152
1668816000000,2022-11-19 00:00:00,LTC/USD,67.895033,69.999999,66.890942,69.595103,427403.54226801556,6141.28758841
1668729600000,2022-11-18 00:00:00,LTC/USD,67.994994,69.318694,67.10662,68.115072,417669.16969284316,6131.81719448
1668643200000,2022-11-17 00:00:00,LTC/USD,62.7661,68.22,62.086901,68.143526,439592.30819297803,6450.97684251
1668556800000,2022-11-16 00:00:00,LTC/USD,63.093258,65.353772,61.819516,62.775575,357267.7688845324,5691.1907041
1668470400000,2022-11-15 00:00:00,LTC/USD,61.413654,64.797144,61.3242,63.119834,380561.5455755408,6029.19116637
1668384000000,2022-11-14 00:00:00,LTC/USD,62.102744,63.871725,58.200001,61.403658,379795.0409349735,6185.21849195
1668297600000,2022-11-13 00:00:00,LTC/USD,64.309861,64.678348,60.9025,62.18486,374898.99115490064,6028.78242638
1668211200000,2022-11-12 00:00:00,LTC/USD,64.424095,65.113949,62.200001,64.1051,378984.24356269336,5911.92032401
1668124800000,2022-11-11 00:00:00,LTC/USD,63.518216,67.49,62.4853,64.304257,389593.63393011346,6058.59786126
1668038400000,2022-11-10 00:00:00,LTC/USD,53.18279,64.0,52.802245,63.380106,388935.5996678108,6136.55647196
1667952000000,2022-11-09 00:00:00,LTC/USD,58.525657,60.976803,50.694283,53.310045,332447.94276249193,6236.12196843
1667865600000,2022-11-08 00:00:00,LTC/USD,67.830588,68.951735,55.600135,58.641953,375191.8715080096,6398.01119018
1667779200000,2022-11-07 00:00:00,LTC/USD,68.471462,73.1086,66.83,67.798468,436948.96452809713,6444.82061937
1667692800000,2022-11-06 00:00:00,LTC/USD,69.340309,70.790832,67.83941,68.396105,432284.7829670595,6320.31287406
1667606400000,2022-11-05 00:00:00,LTC/USD,68.018376,71.724656,67.525679,69.423143,425853.1182867846,6134.16650247
1667520000000,2022-11-04 00:00:00,LTC/USD,62.310719,70.099999,62.211274,68.050289,427719.23526384064,6285.34046731
1667433600000,2022-11-03 00:00:00,LTC/USD,61.022316,64.93211,60.634312,62.392907,386585.1951376737,6195.97985934
1667347200000,2022-11-02 00:00:00,LTC/USD,55.156973,62.7,54.839295,61.1,400405.665978864,6553.28422224
1667260800000,2022-11-01 00:00:00,LTC/USD,55.570138,56.101389,54.591801,55.178176,348792.2156521158,6321.1987227
1667174400000,2022-10-31 00:00:00,LTC/USD,55.922351,56.890706,54.519488,56.1,285751.207435221,5093.60441061
1667088000000,2022-10-30 00:00:00,LTC/USD,57.206059,57.875023,55.445715,55.973397,345133.9600874848,6166.03562738
1667001600000,2022-10-29 00:00:00,LTC/USD,55.446705,57.99,55.191317,57.175065,352600.8296610194,6167.03854488
1666915200000,2022-10-28 00:00:00,LTC/USD,55.663174,55.975682,54.411902,55.436039,351846.64608777995,6346.89368928
1666828800000,2022-10-27 00:00:00,LTC/USD,57.29641,57.554477,55.296826,55.662814,337985.4257531034,6072.0147162
1666742400000,2022-10-26 00:00:00,LTC/USD,56.900526,58.58242,56.583693,57.280355,346791.45239566336,6054.28252663
1666656000000,2022-10-25 00:00:00,LTC/USD,54.190819,57.658422,53.242,56.853874,356627.56881085085,6272.70480831
1666569600000,2022-10-24 00:00:00,LTC/USD,55.874016,56.536971,53.414895,54.220676,340365.6022924049,6277.4134777
1666483200000,2022-10-23 00:00:00,LTC/USD,53.755643,55.9229,53.288278,55.873666,339818.9577763523,6081.91626045
1666396800000,2022-10-22 00:00:00,LTC/USD,53.360534,54.015909,52.92092,53.727235,324958.310760333,6048.2976792
1666310400000,2022-10-21 00:00:00,LTC/USD,53.84741,53.952903,51.000045,53.258879,340047.40225649567,6384.80209575
1666224000000,2022-10-20 00:00:00,LTC/USD,55.559696,56.323766,53.5921,53.851588,331243.63759050355,6151.04679161
1666137600000,2022-10-19 00:00:00,LTC/USD,57.023572,57.124364,55.50042,55.542084,343495.99602308293,6184.42757789
1666051200000,2022-10-18 00:00:00,LTC/USD,57.039412,57.455399,55.907277,57.059358,350810.57249493967,6148.1689383
1665964800000,2022-10-17 00:00:00,LTC/USD,56.572988,57.104625,56.194911,57.015229,350332.2835514725,6144.53874335
1665878400000,2022-10-16 00:00:00,LTC/USD,55.553354,56.873867,55.500001,56.566095,352066.3125456215,6223.98121252
1665792000000,2022-10-15 00:00:00,LTC/USD,56.538852,56.890077,55.570809,55.570809,345931.6699960771,6225.06089476
1665705600000,2022-10-14 00:00:00,LTC/USD,56.236066,57.83375,55.913894,56.465543,346871.2134991165,6143.05990999
1665619200000,2022-10-13 00:00:00,LTC/USD,62.418135,62.844744,55.01,56.189667,350897.4820707157,6244.87562937
1665532800000,2022-10-12 00:00:00,LTC/USD,62.240895,63.099842,61.661934,62.406394,978313.6338772341,15676.49676854
1665446400000,2022-10-11 00:00:00,LTC/USD,62.589776,62.589776,61.340639,62.25528,407249.5295192008,6541.60626246
1665360000000,2022-10-10 00:00:00,LTC/USD,62.796771,63.602991,61.7821,62.579867,412527.2547899031,6592.01232866
1665273600000,2022-10-09 00:00:00,LTC/USD,60.970563,63.0,60.838717,62.947461,395169.4560390099,6277.76640648
1665187200000,2022-10-08 00:00:00,LTC/USD,60.790405,61.649999,60.691937,60.96442,378986.93242616556,6216.526499
1665100800000,2022-10-07 00:00:00,LTC/USD,60.368904,61.124454,59.698503,60.791534,390412.51043644006,6422.15263784
1665014400000,2022-10-06 00:00:00,LTC/USD,61.309321,61.723973,60.21535,60.363228,377606.0874216114,6255.56485186
1664928000000,2022-10-05 00:00:00,LTC/USD,61.942164,61.984066,60.0733,61.268364,376889.1808429106,6151.44841868
1664841600000,2022-10-04 00:00:00,LTC/USD,60.551457,62.371113,60.320234,61.923752,398719.8080858921,6438.88322668
1664755200000,2022-10-03 00:00:00,LTC/USD,58.08395,60.724856,57.856622,60.547309,359701.0227751881,5940.82592135
1664668800000,2022-10-02 00:00:00,LTC/USD,59.151452,59.684634,58.010271,58.051224,360702.6386169884,6213.52339818
1664582400000,2022-10-01 00:00:00,LTC/USD,59.596779,60.129049,58.750301,59.149667,364036.67327581736,6154.50080684
1664496000000,2022-09-30 00:00:00,LTC/USD,59.844167,61.12733,59.023761,59.584554,375995.6238065503,6310.28678685
1664409600000,2022-09-29 00:00:00,LTC/USD,59.292164,60.1739,58.179195,59.844954,377478.8589429728,6307.61382059
1664323200000,2022-09-28 00:00:00,LTC/USD,58.636179,59.9545,57.186857,59.301537,379169.5731578737,6393.92488525
1664236800000,2022-09-27 00:00:00,LTC/USD,59.361297,61.459993,57.666727,58.624613,403667.5608638735,6885.63284612
1664150400000,2022-09-26 00:00:00,LTC/USD,58.1766,59.602764,57.968178,59.476,401047.20002412045,6743.00894519
1664064000000,2022-09-25 00:00:00,LTC/USD,58.993131,59.996798,58.007349,58.147937,376298.67452830455,6471.40197817
1663977600000,2022-09-24 00:00:00,LTC/USD,61.096771,61.562493,58.775017,58.9278,381361.634243267,6471.6760891
