https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume NEAR
1669680000000,2022-11-29 00:00:00,NEAR/USDT,1.5916,1.5946,1.5674,1.5705,26.63568,16.96
1669593600000,2022-11-28 00:00:00,NEAR/USDT,1.6281,1.6829,1.5147,1.5914,2207.65493774571,1387.24075515
1669507200000,2022-11-27 00:00:00,NEAR/USDT,1.6131,1.6776,1.5986,1.6635,1527.943018340745,918.51098187
1669420800000,2022-11-26 00:00:00,NEAR/USDT,1.6469,1.6948,1.5887,1.6114,1534.96080069584,952.5634856
1669334400000,2022-11-25 00:00:00,NEAR/USDT,1.6442,1.6551,1.5974,1.6428,1433.475680692716,872.58076497
1669248000000,2022-11-24 00:00:00,NEAR/USDT,1.691,1.7296,1.6253,1.6428,1579.880692661628,961.69995901
1669161600000,2022-11-23 00:00:00,NEAR/USDT,1.6255,1.695,1.5905,1.6907,2305.611080162731,1363.70206433
1669075200000,2022-11-22 00:00:00,NEAR/USDT,1.5551,1.6444,1.494,1.6258,2071.2653033963657,1273.99760327
1668988800000,2022-11-21 00:00:00,NEAR/USDT,1.569,1.5988,1.4337,1.5602,2941.357182530702,1885.24367551
1668902400000,2022-11-20 00:00:00,NEAR/USDT,1.744,1.7619,1.5554,1.5703,2024.8077680193862,1289.44008662
1668816000000,2022-11-19 00:00:00,NEAR/USDT,1.7812,1.787,1.7032,1.7477,763.077638766016,436.61820608
1668729600000,2022-11-18 00:00:00,NEAR/USDT,1.8408,1.869,1.755,1.7853,1377.687839055033,771.68422061
1668643200000,2022-11-17 00:00:00,NEAR/USDT,1.9256,1.9358,1.8189,1.8418,5477.342676818074,2973.90741493
1668556800000,2022-11-16 00:00:00,NEAR/USDT,1.9796,2.0104,1.8934,1.9247,826.435585392234,429.38410422
1668470400000,2022-11-15 00:00:00,NEAR/USDT,1.9686,2.049,1.9311,1.9793,1520.3198317262122,768.10985284
1668384000000,2022-11-14 00:00:00,NEAR/USDT,1.9506,2.0204,1.8042,1.9614,5152.370538289674,2626.88413291
1668297600000,2022-11-13 00:00:00,NEAR/USDT,2.0006,2.0774,1.8988,1.9516,939.6307714193961,481.46688431
1668211200000,2022-11-12 00:00:00,NEAR/USDT,2.1305,2.1343,1.9537,1.9975,3640.504764136875,1822.53054525
1668124800000,2022-11-11 00:00:00,NEAR/USDT,2.3129,2.3183,2.0396,2.1301,8677.656567759754,4073.82590853
1668038400000,2022-11-10 00:00:00,NEAR/USDT,2.0677,2.475,2.025,2.3198,3357.83276732967,1447.46649165
1667952000000,2022-11-09 00:00:00,NEAR/USDT,2.6298,2.7215,2.0,2.062,18632.030502617818,9035.90228061
1667865600000,2022-11-08 00:00:00,NEAR/USDT,3.0426,3.1177,2.1133,2.6344,10355.446399417704,3930.85575441
1667779200000,2022-11-07 00:00:00,NEAR/USDT,3.0862,3.1696,2.9719,3.0553,6354.323065478518,2079.77058406
1667692800000,2022-11-06 00:00:00,NEAR/USDT,3.3318,3.3587,3.0931,3.0933,3622.365126381204,1171.03582788
1667606400000,2022-11-05 00:00:00,NEAR/USDT,3.3065,3.44,3.2687,3.3253,8414.35978241661,2530.4062137
1667520000000,2022-11-04 00:00:00,NEAR/USDT,3.0326,3.3,3.0101,3.3,12821.405646092999,3885.27443821
1667433600000,2022-11-03 00:00:00,NEAR/USDT,2.8967,3.1182,2.8838,3.0285,2225.651488353,734.902258
1667347200000,2022-11-02 00:00:00,NEAR/USDT,3.0135,3.046,2.8343,2.898,3645.9479436382803,1258.09107786
1667260800000,2022-11-01 00:00:00,NEAR/USDT,3.1534,3.1729,3.0071,3.0151,3613.6306354075073,1198.51103957
1667174400000,2022-10-31 00:00:00,NEAR/USDT,3.098,3.1842,3.0495,3.1058,7817.026487786581,2516.91238579
1667088000000,2022-10-30 00:00:00,NEAR/USDT,3.0896,3.2309,3.0539,3.1022,1468.752680894246,473.45518693
1667001600000,2022-10-29 00:00:00,NEAR/USDT,3.0207,3.1696,3.0207,3.0834,4480.127533153783,1452.98291923
1666915200000,2022-10-28 00:00:00,NEAR/USDT,2.9654,3.0673,2.8978,3.023,2425.45754927687,802.33461769
1666828800000,2022-10-27 00:00:00,NEAR/USDT,3.054,3.1689,2.95,2.9621,4756.721427818416,1605.86118896
1666742400000,2022-10-26 00:00:00,NEAR/USDT,2.9981,3.1075,2.9866,3.0547,3727.690426722735,1220.31310005
1666656000000,2022-10-25 00:00:00,NEAR/USDT,2.9185,3.0819,2.8896,3.0014,3511.917209076792,1170.09302628
1666569600000,2022-10-24 00:00:00,NEAR/USDT,2.9836,3.0105,2.8569,2.9182,4109.306798544194,1408.16489567
1666483200000,2022-10-23 00:00:00,NEAR/USDT,2.9204,2.9971,2.8478,2.9811,1218.917586417549,408.88181759
