https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume XRP
1669680000000,2022-11-29 00:00:00,XRP/USDT,0.38854544,0.38914508,0.38519618,0.38519618,9906.967719554146,25719.27821183
1669593600000,2022-11-28 00:00:00,XRP/USDT,0.39625568,0.39625568,0.37407815,0.3892078,183027.56683059153,470256.67735999
1669507200000,2022-11-27 00:00:00,XRP/USDT,0.39542573,0.40912343,0.395327,0.39660463,188772.89771331145,475972.50116145
1669420800000,2022-11-26 00:00:00,XRP/USDT,0.40794178,0.41363498,0.39341,0.39592846,197718.66605565837,499379.77698208
1669334400000,2022-11-25 00:00:00,XRP/USDT,0.40113725,0.418108,0.38927933,0.40759623,307580.0358484002,754619.43268808
1669248000000,2022-11-24 00:00:00,XRP/USDT,0.38143721,0.40488,0.37452501,0.40214751,256077.22522771053,636774.36477901
1669161600000,2022-11-23 00:00:00,XRP/USDT,0.37579748,0.38205432,0.36847346,0.38161052,249474.20441496486,653740.37491148
1669075200000,2022-11-22 00:00:00,XRP/USDT,0.36463273,0.3779759,0.35157037,0.37568132,247725.55556568818,659403.44216659
1668988800000,2022-11-21 00:00:00,XRP/USDT,0.36068194,0.36833,0.34649963,0.36407627,242654.4671005862,666493.49901488
1668902400000,2022-11-20 00:00:00,XRP/USDT,0.38411438,0.39622849,0.35954007,0.36139731,255093.69652062675,705853.88839952
1668816000000,2022-11-19 00:00:00,XRP/USDT,0.38313496,0.38789062,0.37602,0.38424608,207625.701424712,540345.65928353
1668729600000,2022-11-18 00:00:00,XRP/USDT,0.38188146,0.38728899,0.3748547,0.38298704,228671.28708727143,597073.17273
1668643200000,2022-11-17 00:00:00,XRP/USDT,0.37523845,0.38595939,0.36945941,0.38155574,255205.43803840547,668854.9307066
1668556800000,2022-11-16 00:00:00,XRP/USDT,0.38836911,0.39108516,0.36211186,0.37537291,182324.3793266032,485715.33658783
1668470400000,2022-11-15 00:00:00,XRP/USDT,0.377127,0.397,0.36694656,0.38847695,258919.26192820945,666498.39051766
1668384000000,2022-11-14 00:00:00,XRP/USDT,0.34063835,0.37906347,0.3223198,0.3767,288203.06142028363,765073.16543744
1668297600000,2022-11-13 00:00:00,XRP/USDT,0.36364838,0.36929566,0.33331424,0.34095752,179805.26874380044,527353.87312707
1668211200000,2022-11-12 00:00:00,XRP/USDT,0.38422235,0.38422235,0.35968248,0.36351222,193858.4621967925,533292.83454843
1668124800000,2022-11-11 00:00:00,XRP/USDT,0.39376658,0.39870053,0.36718352,0.38447594,237602.79602126838,617991.32611853
1668038400000,2022-11-10 00:00:00,XRP/USDT,0.33204322,0.40249,0.33122018,0.39465306,391828.4638685815,992842.83737362
1667952000000,2022-11-09 00:00:00,XRP/USDT,0.40522074,0.41019587,0.31935457,0.33256066,802481.4232514683,2413037.73949531
1667865600000,2022-11-08 00:00:00,XRP/USDT,0.46482459,0.46689891,0.34000001,0.40577833,486767.11861478613,1199588.74741977
1667779200000,2022-11-07 00:00:00,XRP/USDT,0.4709281,0.47965157,0.46,0.46495312,288427.04839892907,620335.76288063
1667692800000,2022-11-06 00:00:00,XRP/USDT,0.49270711,0.49449592,0.46896992,0.47097231,249901.59420792875,530607.82747064
1667606400000,2022-11-05 00:00:00,XRP/USDT,0.50610373,0.51,0.49045389,0.49317147,311918.9415559517,632475.64088805
1667520000000,2022-11-04 00:00:00,XRP/USDT,0.45467945,0.50766603,0.45325381,0.50597603,510087.4047200563,1008125.63140601
1667433600000,2022-11-03 00:00:00,XRP/USDT,0.45012916,0.45966454,0.44906272,0.4548726,219371.8816828334,482271.03958962
1667347200000,2022-11-02 00:00:00,XRP/USDT,0.46361958,0.46580379,0.44611595,0.450157,269661.6545780794,599039.12319053
1667260800000,2022-11-01 00:00:00,XRP/USDT,0.46414641,0.4669442,0.45407471,0.46350804,240904.87300619666,519742.59822159
1667174400000,2022-10-31 00:00:00,XRP/USDT,0.45847559,0.46675331,0.44784419,0.4640464,224498.1070074088,483783.74879626
1667088000000,2022-10-30 00:00:00,XRP/USDT,0.47018439,0.47321154,0.45446197,0.45842355,265912.8691034392,580059.35581503
1667001600000,2022-10-29 00:00:00,XRP/USDT,0.47448387,0.48326501,0.46583416,0.4702544,308651.0849309462,656349.16957916
1666915200000,2022-10-28 00:00:00,XRP/USDT,0.4614077,0.475,0.45660995,0.47447138,258574.603092861,544974.07850577
1666828800000,2022-10-27 00:00:00,XRP/USDT,0.46843476,0.4815061,0.45899471,0.46152398,285043.3653569624,617613.33692122
1666742400000,2022-10-26 00:00:00,XRP/USDT,0.46115861,0.47105289,0.45744385,0.46888237,308686.78167793027,658345.89105564
1666656000000,2022-10-25 00:00:00,XRP/USDT,0.4528598,0.4724,0.44354269,0.46031073,292560.2126404052,635571.13396076
1666569600000,2022-10-24 00:00:00,XRP/USDT,0.46900872,0.47218934,0.44830685,0.45324773,262547.1417893717,579257.488591
1666483200000,2022-10-23 00:00:00,XRP/USDT,0.46536631,0.47159985,0.45255001,0.46921729,237487.80999252954,506136.10166098
1666396800000,2022-10-22 00:00:00,XRP/USDT,0.46189188,0.47,0.45630096,0.46525883,232045.33076413866,498744.60365242
1666310400000,2022-10-21 00:00:00,XRP/USDT,0.44610238,0.46155971,0.43538138,0.46119477,246465.53284986556,534406.60840509
1666224000000,2022-10-20 00:00:00,XRP/USDT,0.45039211,0.46431508,0.42304574,0.44654457,262182.4791510033,587136.19370851
1666137600000,2022-10-19 00:00:00,XRP/USDT,0.46590583,0.46685346,0.44745,0.4503979,222100.08031281337,493119.70662566
1666051200000,2022-10-18 00:00:00,XRP/USDT,0.48129219,0.48388527,0.45749718,0.46581365,248311.0642712888,533069.53171357
1665964800000,2022-10-17 00:00:00,XRP/USDT,0.47645071,0.48248,0.46373459,0.48000268,252897.22705742446,526866.28136623
1665878400000,2022-10-16 00:00:00,XRP/USDT,0.48151695,0.48732224,0.46843036,0.47650702,270543.9996209131,567764.98197427
1665792000000,2022-10-15 00:00:00,XRP/USDT,0.48894976,0.48989243,0.478,0.48200153,267470.70214870723,554916.70773059
1665705600000,2022-10-14 00:00:00,XRP/USDT,0.47898303,0.51188202,0.47839373,0.48887174,328514.599908054,671985.2530401
1665619200000,2022-10-13 00:00:00,XRP/USDT,0.48832364,0.4893552,0.4411972,0.47930653,401689.130351566,838063.12914528
1665532800000,2022-10-12 00:00:00,XRP/USDT,0.48615466,0.49555354,0.48255413,0.48821167,420826.1990078025,861974.88685144
1665446400000,2022-10-11 00:00:00,XRP/USDT,0.49273805,0.50209882,0.47848483,0.48612453,352963.3022239677,726075.89298974
1665360000000,2022-10-10 00:00:00,XRP/USDT,0.53193674,0.53787184,0.4934632,0.49380899,349833.00191165257,708437.89602059
1665273600000,2022-10-09 00:00:00,XRP/USDT,0.51677898,0.54698825,0.50634281,0.53207341,349330.07794468466,656544.88906838
1665187200000,2022-10-08 00:00:00,XRP/USDT,0.51787745,0.52891432,0.51170387,0.51734301,299925.5842701138,579742.21835937
1665100800000,2022-10-07 00:00:00,XRP/USDT,0.49331234,0.53222057,0.48254096,0.51807197,363336.671368888,701324.70469091
1665014400000,2022-10-06 00:00:00,XRP/USDT,0.48862638,0.50544746,0.48862638,0.49386279,273996.5068115244,554802.89740299
1664928000000,2022-10-05 00:00:00,XRP/USDT,0.47929189,0.501,0.47202848,0.48920292,293839.0660166976,600648.6347561
1664841600000,2022-10-04 00:00:00,XRP/USDT,0.46219969,0.48534099,0.45213303,0.47930056,313856.54106466,654821.97864459
1664755200000,2022-10-03 00:00:00,XRP/USDT,0.44852053,0.46889567,0.43806662,0.46230021,251237.15449318898,543450.22792265
