https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DAI,Volume USD
1705017600000,2024-01-12 00:00:00,DAI/USD,1.0005,1.00489,0.9997,0.9999,2183.588723,2183.3703641276998
1704931200000,2024-01-11 00:00:00,DAI/USD,0.98202,1.00481,0.98202,1.0005,151249.161057,151324.7856375285
1704844800000,2024-01-10 00:00:00,DAI/USD,1.0052,1.0052,0.98202,0.98202,23668.214533,23242.66003569666
1704758400000,2024-01-09 00:00:00,DAI/USD,1.00065,1.03948,0.98671,1.0052,43210.993526,43435.6906923352
1704672000000,2024-01-08 00:00:00,DAI/USD,0.98974,1.03069,0.98664,1.00065,55281.903667,55317.83690438355
1704585600000,2024-01-07 00:00:00,DAI/USD,0.99998,0.99998,0.98671,0.98974,93771.005288,92808.91477374511
1704499200000,2024-01-06 00:00:00,DAI/USD,0.9998,1.0,0.982,0.99998,39256.386259,39255.601131274816
1704412800000,2024-01-05 00:00:00,DAI/USD,0.99985,0.99985,0.99544,0.9998,65573.105253,65559.9906319494
1704326400000,2024-01-04 00:00:00,DAI/USD,0.99865,0.99989,0.98423,0.99985,89530.220696,89516.7911628956
1704240000000,2024-01-03 00:00:00,DAI/USD,0.99853,0.99977,0.97952,0.99865,45706.189382,45644.4860263343
1704153600000,2024-01-02 00:00:00,DAI/USD,0.9993,1.0,0.95702,0.99853,116101.306865,115930.63794390846
1704067200000,2024-01-01 00:00:00,DAI/USD,0.9999,1.0,0.9972,0.9993,5875.037969,5870.9254424217
1703980800000,2023-12-31 00:00:00,DAI/USD,0.99263,1.00862,0.99263,0.9999,24499.727212,24497.277239278803
1703894400000,2023-12-30 00:00:00,DAI/USD,0.99857,0.99931,0.9925,0.99263,54255.574999,53855.71141125737
1703808000000,2023-12-29 00:00:00,DAI/USD,0.99769,0.99923,0.99353,0.99857,6266.986411,6258.024620432269
1703721600000,2023-12-28 00:00:00,DAI/USD,0.9997,0.9997,0.99353,0.99769,37512.642456,37425.98825192664
1703635200000,2023-12-27 00:00:00,DAI/USD,0.99988,0.99988,0.9942,0.9997,432131.238999,432001.5996273003
1703548800000,2023-12-26 00:00:00,DAI/USD,0.9999,0.9999,0.99901,0.99988,16646.878543,16644.88091757484
1703462400000,2023-12-25 00:00:00,DAI/USD,0.99899,1.00059,0.99899,0.9999,22402.736428,22400.4961543572
1703376000000,2023-12-24 00:00:00,DAI/USD,0.99736,0.99941,0.99736,0.99899,1097.260884,1096.1526505071602
1703289600000,2023-12-23 00:00:00,DAI/USD,0.999,0.99931,0.99736,0.99736,6102.996627,6086.884715904721
1703203200000,2023-12-22 00:00:00,DAI/USD,0.99859,1.018,0.99859,0.999,97633.661488,97536.027826512
