https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOGE,Volume USD
1705017600000,2024-01-12 00:00:00,DOGE/USD,0.08458,0.08531,0.07796,0.07998,2262941.183428,180990.03585057144
1704931200000,2024-01-11 00:00:00,DOGE/USD,0.083,0.0879,0.08215,0.08458,4912175.303169,415471.78714203404
1704844800000,2024-01-10 00:00:00,DOGE/USD,0.07918,0.08487,0.07656,0.083,5334054.185349,442726.497383967
1704758400000,2024-01-09 00:00:00,DOGE/USD,0.08135,0.08379,0.07667,0.07918,5151456.280237,407892.3082691657
1704672000000,2024-01-08 00:00:00,DOGE/USD,0.07832,0.08182,0.07435,0.08135,3987293.45001,324366.32215831353
1704585600000,2024-01-07 00:00:00,DOGE/USD,0.08061,0.08144,0.07713,0.07832,1039272.095716,81395.79053647711
1704499200000,2024-01-06 00:00:00,DOGE/USD,0.08271,0.08271,0.07848,0.08061,1759980.444649,141872.0236431559
1704412800000,2024-01-05 00:00:00,DOGE/USD,0.08398,0.08484,0.08038,0.08271,1887247.125254,156094.20972975835
1704326400000,2024-01-04 00:00:00,DOGE/USD,0.08201,0.0848,0.08122,0.08398,2518461.994272,211500.43827896257
1704240000000,2024-01-03 00:00:00,DOGE/USD,0.09113,0.09205,0.07821,0.08201,5982081.131411,490590.4735870161
1704153600000,2024-01-02 00:00:00,DOGE/USD,0.09207,0.09449,0.09047,0.09113,3190846.562199,290781.8472131949
1704067200000,2024-01-01 00:00:00,DOGE/USD,0.08955,0.09211,0.08866,0.09207,1354867.12822,124742.6164952154
1703980800000,2023-12-31 00:00:00,DOGE/USD,0.09002,0.0908,0.08825,0.08955,996505.283274,89237.04811718671
1703894400000,2023-12-30 00:00:00,DOGE/USD,0.09088,0.09135,0.08932,0.09002,742571.840223,66846.31705687447
1703808000000,2023-12-29 00:00:00,DOGE/USD,0.09171,0.09297,0.08866,0.09088,1733316.44655,157523.79866246402
1703721600000,2023-12-28 00:00:00,DOGE/USD,0.09348,0.09494,0.09118,0.09171,2620531.927219,240328.9830452545
1703635200000,2023-12-27 00:00:00,DOGE/USD,0.09118,0.09396,0.0896,0.09348,2865914.514842,267905.6888474301
1703548800000,2023-12-26 00:00:00,DOGE/USD,0.0944,0.0944,0.08703,0.09118,2221262.313696,202534.69776280125
1703462400000,2023-12-25 00:00:00,DOGE/USD,0.09199,0.09512,0.09152,0.0944,2345867.785503,221449.9189514832
1703376000000,2023-12-24 00:00:00,DOGE/USD,0.09353,0.09523,0.09108,0.09199,1864645.22895,171528.71461111048
1703289600000,2023-12-23 00:00:00,DOGE/USD,0.09519,0.09519,0.09223,0.09353,1366353.998399,127795.08947025846
1703203200000,2023-12-22 00:00:00,DOGE/USD,0.095,0.09568,0.09203,0.09519,7830629.259324,745397.5991950516
1703116800000,2023-12-21 00:00:00,DOGE/USD,0.09146,0.09802,0.09073,0.095,9292496.232053,882787.142045035
1703030400000,2023-12-20 00:00:00,DOGE/USD,0.09022,0.09343,0.08945,0.09146,3245484.93347,296832.0520151662
1702944000000,2023-12-19 00:00:00,DOGE/USD,0.092,0.09348,0.08927,0.09022,2241430.702174,202221.87795013827
1702857600000,2023-12-18 00:00:00,DOGE/USD,0.09288,0.09368,0.08661,0.092,4163946.408718,383083.069602056
1702771200000,2023-12-17 00:00:00,DOGE/USD,0.09715,0.09772,0.09242,0.09288,1695927.865539,157517.78015126233
1702684800000,2023-12-16 00:00:00,DOGE/USD,0.09302,0.09722,0.0918,0.09715,2076881.908264,201769.0773878476
1702598400000,2023-12-15 00:00:00,DOGE/USD,0.09823,0.09881,0.09217,0.09302,2735473.384972,254453.73427009545
1702512000000,2023-12-14 00:00:00,DOGE/USD,0.09646,0.09891,0.09376,0.09823,2815599.22311,276576.3116860953
1702425600000,2023-12-13 00:00:00,DOGE/USD,0.09378,0.09764,0.08991,0.09646,11788057.450495,1137076.0216747478
1702339200000,2023-12-12 00:00:00,DOGE/USD,0.0943,0.09797,0.09132,0.09378,7385124.263411,692576.9534226836
1702252800000,2023-12-11 00:00:00,DOGE/USD,0.10178,0.10718,0.0911,0.0943,13639946.300133,1286246.9361025419
1702166400000,2023-12-10 00:00:00,DOGE/USD,0.09845,0.10262,0.09672,0.10178,4587273.751452,466892.72242278454
1702080000000,2023-12-09 00:00:00,DOGE/USD,0.10144,0.10474,0.0977,0.09845,8513879.20502,838191.4077342189
1701993600000,2023-12-08 00:00:00,DOGE/USD,0.09609,0.10414,0.0956,0.10144,10242191.707538,1038967.9268126547
1701907200000,2023-12-07 00:00:00,DOGE/USD,0.09473,0.09824,0.093,0.09609,3706261.358099,356134.6538997329
1701820800000,2023-12-06 00:00:00,DOGE/USD,0.09449,0.10618,0.09358,0.09473,12531571.398256,1187115.7585567909
1701734400000,2023-12-05 00:00:00,DOGE/USD,0.09187,0.09568,0.08762,0.09449,5193944.921913,490775.8556715594
1701648000000,2023-12-04 00:00:00,DOGE/USD,0.08579,0.0925,0.08537,0.09187,6464740.558109,593915.7150734739
1701561600000,2023-12-03 00:00:00,DOGE/USD,0.08618,0.0873,0.08373,0.08579,2783244.349637,238774.53275535823
1701475200000,2023-12-02 00:00:00,DOGE/USD,0.08382,0.08683,0.08337,0.08618,3995976.34269,344373.2412130242
1701388800000,2023-12-01 00:00:00,DOGE/USD,0.08338,0.08512,0.08233,0.08382,4219662.31586,353692.09531538526
1701302400000,2023-11-30 00:00:00,DOGE/USD,0.08066,0.08436,0.08066,0.08338,2771272.585259,231068.7081588954
