https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FIL,Volume USD
1705017600000,2024-01-12 00:00:00,FIL/USD,6.4949,6.4949,5.8,5.9745,17095.869812,102139.274191794
1704931200000,2024-01-11 00:00:00,FIL/USD,5.9687,6.5,5.9553,6.4949,27845.540084,180853.99829157162
1704844800000,2024-01-10 00:00:00,FIL/USD,5.4815,6.1188,5.2769,5.9687,17075.244227,101917.0102176949
1704758400000,2024-01-09 00:00:00,FIL/USD,5.863,5.8891,5.2264,5.4815,25827.388766,141572.831520829
1704672000000,2024-01-08 00:00:00,FIL/USD,5.6177,5.9025,5.05,5.863,29250.222694,171494.055654922
1704585600000,2024-01-07 00:00:00,FIL/USD,5.9056,6.15,5.5317,5.6177,14296.63253,80314.192563781
1704499200000,2024-01-06 00:00:00,FIL/USD,6.1471,6.3176,5.75,5.9056,28104.594498,165974.49326738878
1704412800000,2024-01-05 00:00:00,FIL/USD,6.485,6.5189,5.782,6.1471,36991.194508,227388.5717601268
1704326400000,2024-01-04 00:00:00,FIL/USD,6.4,6.784,6.2568,6.485,26535.783797,172084.557923545
1704240000000,2024-01-03 00:00:00,FIL/USD,7.1345,8.1903,6.1437,6.4,43290.246713,277057.57896320004
1704153600000,2024-01-02 00:00:00,FIL/USD,7.5798,7.8659,7.0995,7.1345,26658.995051,190198.60019135952
1704067200000,2024-01-01 00:00:00,FIL/USD,6.9577,8.1618,6.7575,7.5798,64272.152,487170.0577296
1703980800000,2023-12-31 00:00:00,FIL/USD,6.013,7.45,5.9448,6.9577,76252.318041,530540.7532338657
1703894400000,2023-12-30 00:00:00,FIL/USD,5.8011,6.12,5.65,6.013,8418.641823,50621.293281699
1703808000000,2023-12-29 00:00:00,FIL/USD,6.2401,6.2995,5.76,5.8011,26863.531059,155838.0300263649
1703721600000,2023-12-28 00:00:00,FIL/USD,5.9858,6.3499,5.8174,6.2401,28197.71307,175956.549328107
1703635200000,2023-12-27 00:00:00,FIL/USD,5.7872,6.105,5.5684,5.9858,19537.86549,116949.755250042
1703548800000,2023-12-26 00:00:00,FIL/USD,5.8136,5.819,5.3569,5.7872,13260.491562,76741.1167676064
1703462400000,2023-12-25 00:00:00,FIL/USD,5.6905,5.8836,5.6072,5.8136,6916.440885,40209.420729036
1703376000000,2023-12-24 00:00:00,FIL/USD,5.6543,5.773,5.4446,5.6905,19542.057463,111204.07799320151
1703289600000,2023-12-23 00:00:00,FIL/USD,5.5431,5.6575,5.3251,5.6543,5626.299157,31812.7833234251
1703203200000,2023-12-22 00:00:00,FIL/USD,5.5301,6.0,5.4747,5.5431,13941.766812,77280.6076155972
1703116800000,2023-12-21 00:00:00,FIL/USD,5.3296,5.5473,5.2871,5.5301,32424.252665,179309.3596627165
1703030400000,2023-12-20 00:00:00,FIL/USD,5.1148,5.3867,5.0824,5.3296,15319.497538,81646.7940785248
1702944000000,2023-12-19 00:00:00,FIL/USD,5.2919,5.4345,5.05,5.1148,13592.190697,69521.3369770156
1702857600000,2023-12-18 00:00:00,FIL/USD,5.2586,5.4109,4.8893,5.2919,20925.325737,110734.7312676303
1702771200000,2023-12-17 00:00:00,FIL/USD,5.6906,5.7663,5.2586,5.2586,13832.959062,72741.9985234332
1702684800000,2023-12-16 00:00:00,FIL/USD,4.7747,6.1214,4.7114,5.6906,90200.340282,513294.0564087492
1702598400000,2023-12-15 00:00:00,FIL/USD,4.8444,4.945,4.6896,4.7747,14368.587613,68605.6952757911
