https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GALA,Volume USD
1705017600000,2024-01-12 00:00:00,GALA/USD,0.02743,0.02871,0.025,0.02637,2159888.893018,56956.27010888466
1704931200000,2024-01-11 00:00:00,GALA/USD,0.02737,0.03029,0.0263,0.02743,4731323.770077,129780.21101321212
1704844800000,2024-01-10 00:00:00,GALA/USD,0.02496,0.0296,0.02468,0.02737,2178755.63317,59632.541679862894
1704758400000,2024-01-09 00:00:00,GALA/USD,0.02708,0.02756,0.024,0.02496,1493594.124783,37280.10935458368
1704672000000,2024-01-08 00:00:00,GALA/USD,0.02491,0.02788,0.023,0.02708,3455880.96945,93585.25665270601
1704585600000,2024-01-07 00:00:00,GALA/USD,0.026,0.02747,0.02478,0.02491,1391482.131207,34661.81988836637
1704499200000,2024-01-06 00:00:00,GALA/USD,0.02714,0.02714,0.02452,0.026,1513008.31798,39338.21626748
1704412800000,2024-01-05 00:00:00,GALA/USD,0.02852,0.02888,0.02572,0.02714,1535013.839016,41660.27559089424
1704326400000,2024-01-04 00:00:00,GALA/USD,0.02725,0.02898,0.02693,0.02852,1961483.184676,55941.500426959516
1704240000000,2024-01-03 00:00:00,GALA/USD,0.03162,0.03234,0.02639,0.02725,4359880.112083,118806.73305426176
1704153600000,2024-01-02 00:00:00,GALA/USD,0.03231,0.03383,0.031,0.03162,1660359.505122,52500.56755195764
1704067200000,2024-01-01 00:00:00,GALA/USD,0.03036,0.03245,0.0301,0.03231,1675953.811898,54150.06766242438
1703980800000,2023-12-31 00:00:00,GALA/USD,0.03129,0.0322,0.0301,0.03036,1497886.124619,45475.82274343284
1703894400000,2023-12-30 00:00:00,GALA/USD,0.0316,0.03262,0.03044,0.03129,863036.108606,27004.399838281737
1703808000000,2023-12-29 00:00:00,GALA/USD,0.03196,0.03308,0.02989,0.0316,2161986.257339,68318.7657319124
1703721600000,2023-12-28 00:00:00,GALA/USD,0.03398,0.03514,0.03122,0.03196,2483207.392449,79363.30826267005
1703635200000,2023-12-27 00:00:00,GALA/USD,0.03325,0.04125,0.03242,0.03398,3540351.696652,120301.15065223497
1703548800000,2023-12-26 00:00:00,GALA/USD,0.03616,0.0381,0.03122,0.03325,3921334.203787,130384.36227591775
1703462400000,2023-12-25 00:00:00,GALA/USD,0.03134,0.03674,0.03041,0.03616,3198859.208227,115670.74896948833
1703376000000,2023-12-24 00:00:00,GALA/USD,0.03178,0.03248,0.03,0.03134,2683858.534592,84112.12647411328
1703289600000,2023-12-23 00:00:00,GALA/USD,0.03266,0.03268,0.03094,0.03178,1527551.080116,48545.57332608649
1703203200000,2023-12-22 00:00:00,GALA/USD,0.03195,0.03318,0.03115,0.03266,1735161.204599,56670.36494220334
1703116800000,2023-12-21 00:00:00,GALA/USD,0.03061,0.03204,0.03042,0.03195,3181177.026138,101638.6059851091
1703030400000,2023-12-20 00:00:00,GALA/USD,0.02859,0.03152,0.02837,0.03061,2709526.754995,82938.61397039695
1702944000000,2023-12-19 00:00:00,GALA/USD,0.03122,0.03175,0.02791,0.02859,2459009.407244,70303.07895310597
1702857600000,2023-12-18 00:00:00,GALA/USD,0.02963,0.03122,0.02745,0.03122,1391753.728315,43450.5513979943
1702771200000,2023-12-17 00:00:00,GALA/USD,0.03091,0.03207,0.02957,0.02963,1997570.755585,59188.02148798355
1702684800000,2023-12-16 00:00:00,GALA/USD,0.02985,0.03187,0.02951,0.03091,1927989.568945,59594.15757608995
1702598400000,2023-12-15 00:00:00,GALA/USD,0.03269,0.033,0.02969,0.02985,3186985.209544,95131.5085048884
1702512000000,2023-12-14 00:00:00,GALA/USD,0.03199,0.0332,0.0309,0.03269,2545796.387052,83222.08389272988
1702425600000,2023-12-13 00:00:00,GALA/USD,0.03083,0.03214,0.02905,0.03199,3360637.315431,107506.78772063769
1702339200000,2023-12-12 00:00:00,GALA/USD,0.03065,0.033,0.02989,0.03083,4516755.444095,139251.57034144885
1702252800000,2023-12-11 00:00:00,GALA/USD,0.03494,0.03516,0.03,0.03065,4250743.904563,130285.30067485596
1702166400000,2023-12-10 00:00:00,GALA/USD,0.03234,0.03497,0.0318,0.03494,1330527.529498,46488.63188066012
1702080000000,2023-12-09 00:00:00,GALA/USD,0.03275,0.0355,0.03234,0.03234,2870231.400162,92823.2834812391
1701993600000,2023-12-08 00:00:00,GALA/USD,0.03178,0.03376,0.03041,0.03275,2916782.518721,95524.62748811275
1701907200000,2023-12-07 00:00:00,GALA/USD,0.02934,0.03319,0.029,0.03178,4221037.079273,134144.55837929595
1701820800000,2023-12-06 00:00:00,GALA/USD,0.03047,0.03194,0.02893,0.02934,3852805.313971,113041.30791190914
1701734400000,2023-12-05 00:00:00,GALA/USD,0.02996,0.0349,0.02919,0.03047,7605879.885722,231751.16011794936
1701648000000,2023-12-04 00:00:00,GALA/USD,0.02728,0.02999,0.02569,0.02996,4265733.223281,127801.36736949875
1701561600000,2023-12-03 00:00:00,GALA/USD,0.02693,0.02817,0.02621,0.02728,1802788.029448,49180.05744334144
1701475200000,2023-12-02 00:00:00,GALA/USD,0.02619,0.0278,0.0261,0.02693,2240212.014096,60328.90953960529
1701388800000,2023-12-01 00:00:00,GALA/USD,0.02571,0.02783,0.02544,0.02619,1746684.213464,45745.659550622164
1701302400000,2023-11-30 00:00:00,GALA/USD,0.02562,0.02619,0.02501,0.02571,943027.140887,24245.227792204772
1701216000000,2023-11-29 00:00:00,GALA/USD,0.02663,0.0267,0.02503,0.02562,2317310.709433,59369.500375673466
1701129600000,2023-11-28 00:00:00,GALA/USD,0.02721,0.029,0.02541,0.02663,2753271.486527,73319.61968621402
1701043200000,2023-11-27 00:00:00,GALA/USD,0.02732,0.028,0.02616,0.02721,3579358.8364,97394.35393844401
1700956800000,2023-11-26 00:00:00,GALA/USD,0.0261,0.02789,0.02544,0.02732,2870317.802858,78417.08237408056
1700870400000,2023-11-25 00:00:00,GALA/USD,0.02464,0.02888,0.02464,0.0261,4989502.602606,130226.01792801662
1700784000000,2023-11-24 00:00:00,GALA/USD,0.02435,0.02537,0.02401,0.02464,1006581.609433,24802.17085642912
1700697600000,2023-11-23 00:00:00,GALA/USD,0.02497,0.026,0.02405,0.02435,1587627.438892,38658.728137020196
1700611200000,2023-11-22 00:00:00,GALA/USD,0.0228,0.02547,0.02274,0.02497,2468625.99515,61641.59109889549
1700524800000,2023-11-21 00:00:00,GALA/USD,0.02587,0.02712,0.0228,0.0228,3153314.882765,71895.57932704201
1700438400000,2023-11-20 00:00:00,GALA/USD,0.02474,0.02684,0.02474,0.02587,3202732.740275,82854.69599091426
1700352000000,2023-11-19 00:00:00,GALA/USD,0.02429,0.02663,0.023,0.02474,2646341.216906,65470.48170625444
1700265600000,2023-11-18 00:00:00,GALA/USD,0.02669,0.02669,0.02321,0.02429,3260727.711895,79203.07612192955
1700179200000,2023-11-17 00:00:00,GALA/USD,0.02397,0.0271,0.02327,0.02669,2324666.642393,62045.352685469166
1700092800000,2023-11-16 00:00:00,GALA/USD,0.0245,0.02659,0.02275,0.02397,4085652.297171,97933.08556318887
1700006400000,2023-11-15 00:00:00,GALA/USD,0.02304,0.02525,0.02274,0.0245,6448705.724906,157993.290260197
1699920000000,2023-11-14 00:00:00,GALA/USD,0.02231,0.02425,0.02159,0.02304,5234825.558894,120610.38087691777
1699833600000,2023-11-13 00:00:00,GALA/USD,0.02456,0.0254,0.02217,0.02231,3672339.169412,81929.88686958172
