https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LINK,Volume USD
1705017600000,2024-01-12 00:00:00,LINK/USD,15.01321,15.34,13.8,14.18094,29151.4307,413394.689670858
1704931200000,2024-01-11 00:00:00,LINK/USD,15.08516,15.62494,14.65397,15.01321,28323.567548,425227.6675473091
1704844800000,2024-01-10 00:00:00,LINK/USD,13.69957,15.40297,13.5,15.08516,32920.726261,496614.4229633868
1704758400000,2024-01-09 00:00:00,LINK/USD,14.2,14.22569,13.301,13.69957,28741.911895,393751.83393938513
1704672000000,2024-01-08 00:00:00,LINK/USD,13.09609,14.70526,12.63491,14.2,47535.601023,675005.5345266
1704585600000,2024-01-07 00:00:00,LINK/USD,13.40793,13.7252,13.0369,13.09609,14721.016358,192787.75511584023
1704499200000,2024-01-06 00:00:00,LINK/USD,14.1578,14.1589,13.24926,13.40793,15993.224898,214436.03990664115
1704412800000,2024-01-05 00:00:00,LINK/USD,14.60621,14.70398,13.9,14.1578,21876.38832,309721.53055689594
1704326400000,2024-01-04 00:00:00,LINK/USD,14.1763,14.7681,14.0347,14.60621,34871.858458,509345.68772782426
1704240000000,2024-01-03 00:00:00,LINK/USD,15.155,15.48,13.45,14.1763,61242.720748,868195.1821398723
1704153600000,2024-01-02 00:00:00,LINK/USD,15.5525,16.07508,14.69093,15.155,45881.191548,695329.45790994
1704067200000,2024-01-01 00:00:00,LINK/USD,14.96599,15.61687,14.90541,15.5525,81609.81859,1269236.703620975
1703980800000,2023-12-31 00:00:00,LINK/USD,15.23238,15.57716,14.95823,14.96599,16109.817685,241099.37037553315
1703894400000,2023-12-30 00:00:00,LINK/USD,15.53999,15.60064,15.11859,15.23238,16300.77485,248299.59680964297
1703808000000,2023-12-29 00:00:00,LINK/USD,16.09591,16.26649,15.3,15.53999,45099.034445,700838.5442849555
1703721600000,2023-12-28 00:00:00,LINK/USD,16.68625,17.54999,15.9712,16.09591,69188.217704,1113647.3252239905
1703635200000,2023-12-27 00:00:00,LINK/USD,15.0683,16.7068,14.71895,16.68625,46682.856213,778961.8094841713
1703548800000,2023-12-26 00:00:00,LINK/USD,15.6635,15.88987,14.6924,15.0683,42735.951238,643958.1340395554
1703462400000,2023-12-25 00:00:00,LINK/USD,15.26049,15.69691,15.14605,15.6635,14571.02385,228233.232074475
1703376000000,2023-12-24 00:00:00,LINK/USD,15.6532,15.91,15.096,15.26049,48232.573434,736052.7045638227
1703289600000,2023-12-23 00:00:00,LINK/USD,15.40211,15.86,14.95,15.6532,18275.501134,286070.07435072877
1703203200000,2023-12-22 00:00:00,LINK/USD,15.18,15.7,15.11661,15.40211,27229.667196,419394.3294161835
1703116800000,2023-12-21 00:00:00,LINK/USD,14.23382,15.19,14.18461,15.18,57047.480094,865980.74782692
1703030400000,2023-12-20 00:00:00,LINK/USD,14.09029,14.8,13.93485,14.23382,59231.395568,843089.0228637097
1702944000000,2023-12-19 00:00:00,LINK/USD,14.63,14.8222,13.93286,14.09029,24299.93476,342393.12774948037
1702857600000,2023-12-18 00:00:00,LINK/USD,14.01271,14.66,13.65605,14.63,35442.254935,518520.18969905
1702771200000,2023-12-17 00:00:00,LINK/USD,14.32219,14.33628,13.93333,14.01271,14481.010225,202918.19678995977
1702684800000,2023-12-16 00:00:00,LINK/USD,14.31669,14.77764,14.15224,14.32219,44395.924794,635846.8701253788
1702598400000,2023-12-15 00:00:00,LINK/USD,15.39359,15.99999,14.2794,14.31669,35567.283441,509205.77116693027
1702512000000,2023-12-14 00:00:00,LINK/USD,14.7757,15.58268,14.36,15.39359,40659.104522,625889.584778814
1702425600000,2023-12-13 00:00:00,LINK/USD,14.52259,14.96649,13.88007,14.7757,35582.146005,525751.1147260786
1702339200000,2023-12-12 00:00:00,LINK/USD,14.76539,15.11,14.18864,14.52259,26699.001569,387738.6531959437
1702252800000,2023-12-11 00:00:00,LINK/USD,16.33551,16.45168,14.02001,14.76539,137745.381291,2033864.2754603184
1702166400000,2023-12-10 00:00:00,LINK/USD,16.23019,16.49553,15.80806,16.33551,29132.82423,475899.54153740726
1702080000000,2023-12-09 00:00:00,LINK/USD,16.985,17.30892,16.05004,16.23019,42077.176161,682920.5637565006
1701993600000,2023-12-08 00:00:00,LINK/USD,15.74,17.19002,15.58701,16.985,113919.147143,1934916.714223855
1701907200000,2023-12-07 00:00:00,LINK/USD,15.27,15.85039,14.77324,15.74,75219.226352,1183950.62278048
1701820800000,2023-12-06 00:00:00,LINK/USD,15.7159,16.18145,15.2608,15.27,61230.599943,934991.26112961
1701734400000,2023-12-05 00:00:00,LINK/USD,15.72514,16.01952,15.22102,15.7159,92179.118158,1448677.803059312
1701648000000,2023-12-04 00:00:00,LINK/USD,15.6863,16.38332,15.22354,15.72514,53549.439379,842072.4311562881
1701561600000,2023-12-03 00:00:00,LINK/USD,16.01939,16.25164,15.6863,15.6863,22919.023986,359514.68595159176
1701475200000,2023-12-02 00:00:00,LINK/USD,15.0,16.24232,14.95171,16.01939,82023.841213,1313971.9016891203
1701388800000,2023-12-01 00:00:00,LINK/USD,14.45375,15.09875,14.3703,15.0,34101.027077,511515.406155
