https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MATIC,Volume USD
1705017600000,2024-01-12 00:00:00,MATIC/USD,0.92734,0.94287,0.83648,0.86433,243310.062905,210300.18667067867
1704931200000,2024-01-11 00:00:00,MATIC/USD,0.89946,0.95865,0.8859,0.92734,342580.138972,317688.26607429446
1704844800000,2024-01-10 00:00:00,MATIC/USD,0.80704,0.91565,0.80537,0.89946,493105.905782,443529.0380146777
1704758400000,2024-01-09 00:00:00,MATIC/USD,0.84245,0.84739,0.78296,0.80704,355266.586933,286714.3463184083
1704672000000,2024-01-08 00:00:00,MATIC/USD,0.80106,0.84469,0.75,0.84245,333162.282257,280672.5646874097
1704585600000,2024-01-07 00:00:00,MATIC/USD,0.82792,0.84468,0.79185,0.80106,136972.571422,109723.24806330733
1704499200000,2024-01-06 00:00:00,MATIC/USD,0.85361,0.85373,0.79859,0.82792,140361.614486,116208.18786524913
1704412800000,2024-01-05 00:00:00,MATIC/USD,0.88509,0.88874,0.82217,0.85361,174284.691241,148771.15529023
1704326400000,2024-01-04 00:00:00,MATIC/USD,0.85623,0.89309,0.838,0.88509,568475.859489,503152.2984751191
1704240000000,2024-01-03 00:00:00,MATIC/USD,0.96989,0.98785,0.77,0.85623,781898.748674,669485.1655771391
1704153600000,2024-01-02 00:00:00,MATIC/USD,1.0175,1.03318,0.96128,0.96989,323523.845784,313782.5427874438
1704067200000,2024-01-01 00:00:00,MATIC/USD,0.96903,1.01883,0.95944,1.0175,157425.671939,160180.62119793252
1703980800000,2023-12-31 00:00:00,MATIC/USD,0.95429,1.01212,0.94445,0.96903,172330.675208,166993.59419680823
1703894400000,2023-12-30 00:00:00,MATIC/USD,0.97622,1.00582,0.95267,0.95429,134078.308145,127949.58867969204
1703808000000,2023-12-29 00:00:00,MATIC/USD,1.00156,1.01742,0.95,0.97622,364901.315664,356223.9623775101
1703721600000,2023-12-28 00:00:00,MATIC/USD,1.03653,1.06813,0.98814,1.00156,499534.896256,500314.17069415934
1703635200000,2023-12-27 00:00:00,MATIC/USD,1.01724,1.09,0.99224,1.03653,889968.906472,922479.4706254221
1703548800000,2023-12-26 00:00:00,MATIC/USD,0.91142,1.03212,0.8607,1.01724,1012457.172089,1029911.9337358143
1703462400000,2023-12-25 00:00:00,MATIC/USD,0.84728,0.91989,0.83462,0.91142,207595.905246,189207.05995930932
1703376000000,2023-12-24 00:00:00,MATIC/USD,0.85872,0.88764,0.83206,0.84728,213654.085924,181024.83392168675
1703289600000,2023-12-23 00:00:00,MATIC/USD,0.88091,0.88323,0.83148,0.85872,211844.6986,181915.279581792
1703203200000,2023-12-22 00:00:00,MATIC/USD,0.8195,0.8817,0.81399,0.88091,428413.486904,377393.7247486026
1703116800000,2023-12-21 00:00:00,MATIC/USD,0.77577,0.8195,0.76999,0.8195,245119.279694,200875.249709233
1703030400000,2023-12-20 00:00:00,MATIC/USD,0.76466,0.79627,0.7553,0.77577,387822.63081,300861.1623034737
